"Date","CUUR0400SAS"
1977-12-01,57.5
1978-01-01,NA
1978-02-01,58.2
1978-03-01,NA
1978-04-01,59.1
1978-05-01,NA
1978-06-01,60.2
1978-07-01,NA
1978-08-01,61.4
1978-09-01,NA
1978-10-01,62.6
1978-11-01,NA
1978-12-01,61.9
1979-01-01,NA
1979-02-01,63.6
1979-03-01,NA
1979-04-01,64.8
1979-05-01,NA
1979-06-01,66.4
1979-07-01,NA
1979-08-01,68.6
1979-09-01,NA
1979-10-01,70.5
1979-11-01,NA
1979-12-01,73
1980-01-01,NA
1980-02-01,76
1980-03-01,NA
1980-04-01,78.4
1980-05-01,NA
1980-06-01,81.4
1980-07-01,NA
1980-08-01,80
1980-09-01,NA
1980-10-01,81.7
1980-11-01,NA
1980-12-01,84.2
1981-01-01,NA
1981-02-01,85.4
1981-03-01,NA
1981-04-01,87.3
1981-05-01,NA
1981-06-01,89.1
1981-07-01,NA
1981-08-01,92.1
1981-09-01,NA
1981-10-01,95.9
1981-11-01,NA
1981-12-01,95.6
1982-01-01,NA
1982-02-01,97.2
1982-03-01,NA
1982-04-01,98.4
1982-05-01,NA
1982-06-01,98.9
1982-07-01,NA
1982-08-01,98.7
1982-09-01,NA
1982-10-01,98.3
1982-11-01,NA
1982-12-01,95.4
1983-01-01,NA
1983-02-01,96.5
1983-03-01,NA
1983-04-01,96.9
1983-05-01,NA
1983-06-01,97.9
1983-07-01,NA
1983-08-01,99.1
1983-09-01,NA
1983-10-01,100.2
1983-11-01,NA
1983-12-01,100.1
1984-01-01,NA
1984-02-01,101.4
1984-03-01,NA
1984-04-01,102.2
1984-05-01,NA
1984-06-01,104
1984-07-01,NA
1984-08-01,105.3
1984-09-01,NA
1984-10-01,106.3
1984-11-01,NA
1984-12-01,106.3
1985-01-01,NA
1985-02-01,107.4
1985-03-01,NA
1985-04-01,108.3
1985-05-01,NA
1985-06-01,110.1
1985-07-01,NA
1985-08-01,112.1
1985-09-01,NA
1985-10-01,113
1985-11-01,NA
1985-12-01,112.9
1986-01-01,NA
1986-02-01,114
1986-03-01,NA
1986-04-01,115
1986-05-01,NA
1986-06-01,116.3
1986-07-01,NA
1986-08-01,117.5
1986-09-01,NA
1986-10-01,118.8
1986-11-01,NA
1986-12-01,118.1
1987-01-01,118.4
1987-02-01,119.3
1987-03-01,119.6
1987-04-01,120.3
1987-05-01,120.9
1987-06-01,120.9
1987-07-01,121.4
1987-08-01,121.9
1987-09-01,122.8
1987-10-01,123.2
1987-11-01,123
1987-12-01,123.4
1988-01-01,124.3
1988-02-01,124.6
1988-03-01,125.2
1988-04-01,125.3
1988-05-01,126.1
1988-06-01,126.6
1988-07-01,127
1988-08-01,128.1
1988-09-01,128.1
1988-10-01,128.7
1988-11-01,128.7
1988-12-01,129
1989-01-01,129.8
1989-02-01,130.5
1989-03-01,130.9
1989-04-01,130.6
1989-05-01,131.4
1989-06-01,132
1989-07-01,133.2
1989-08-01,133.8
1989-09-01,134.2
1989-10-01,134.6
1989-11-01,134.8
1989-12-01,135.7
1990-01-01,136.5
1990-02-01,137.1
1990-03-01,137.9
1990-04-01,137.7
1990-05-01,138.4
1990-06-01,139.8
1990-07-01,140.5
1990-08-01,141.4
1990-09-01,142.6
1990-10-01,143
1990-11-01,143.2
1990-12-01,144.1
1991-01-01,145.3
1991-02-01,146
1991-03-01,146.3
1991-04-01,146.2
1991-05-01,146.2
1991-06-01,147.1
1991-07-01,148.2
1991-08-01,148.9
1991-09-01,149.7
1991-10-01,149.9
1991-11-01,150.2
1991-12-01,150.4
1992-01-01,151.7
1992-02-01,152.2
1992-03-01,152.7
1992-04-01,152.6
1992-05-01,152.8
1992-06-01,153
1992-07-01,153.6
1992-08-01,154
1992-09-01,154.8
1992-10-01,155.7
1992-11-01,156
1992-12-01,156.3
1993-01-01,157.4
1993-02-01,157.8
1993-03-01,157.8
1993-04-01,158.3
1993-05-01,158.8
1993-06-01,159.3
1993-07-01,159.7
1993-08-01,160.2
1993-09-01,160.8
1993-10-01,161
1993-11-01,161.6
1993-12-01,162
1994-01-01,162.7
1994-02-01,163.3
1994-03-01,163.8
1994-04-01,163.4
1994-05-01,163.1
1994-06-01,163.5
1994-07-01,164.3
1994-08-01,165.1
1994-09-01,165.6
1994-10-01,166.1
1994-11-01,165.9
1994-12-01,166
1995-01-01,167.3
1995-02-01,167.9
1995-03-01,168.3
1995-04-01,168.5
1995-05-01,168.9
1995-06-01,169.4
1995-07-01,169.7
1995-08-01,170.1
1995-09-01,170.6
1995-10-01,171
1995-11-01,170.6
1995-12-01,170.7
1996-01-01,171.5
1996-02-01,172.2
1996-03-01,171.9
1996-04-01,172.3
1996-05-01,173.2
1996-06-01,173.3
1996-07-01,174.6
1996-08-01,175
1996-09-01,175.7
1996-10-01,175.9
1996-11-01,176.2
1996-12-01,176.1
1997-01-01,176.8
1997-02-01,177.3
1997-03-01,178
1997-04-01,178.3
1997-05-01,178.6
1997-06-01,178.8
1997-07-01,179.6
1997-08-01,180
1997-09-01,180.5
1997-10-01,181.1
1997-11-01,181.3
1997-12-01,181.6
1998-01-01,181.9
1998-02-01,182.6
1998-03-01,183.2
1998-04-01,183.4
1998-05-01,183.9
1998-06-01,184.2
1998-07-01,184.8
1998-08-01,185.6
1998-09-01,186
1998-10-01,186.2
1998-11-01,186.8
1998-12-01,186.9
1999-01-01,187.6
1999-02-01,188.3
1999-03-01,188.7
1999-04-01,189.3
1999-05-01,189.4
1999-06-01,189.5
1999-07-01,190.7
1999-08-01,191.1
1999-09-01,191.6
1999-10-01,192.1
1999-11-01,192.4
1999-12-01,192.7
2000-01-01,193.7
2000-02-01,194.8
2000-03-01,195.5
2000-04-01,195.7
2000-05-01,196.4
2000-06-01,197.2
2000-07-01,198.4
2000-08-01,199.7
2000-09-01,199.8
2000-10-01,200.5
2000-11-01,200.6
2000-12-01,201.2
2001-01-01,203.5
2001-02-01,204.7
2001-03-01,205.6
2001-04-01,205.6
2001-05-01,206.7
2001-06-01,208.2
2001-07-01,208.8
2001-08-01,209.7
2001-09-01,209.9
2001-10-01,210.3
2001-11-01,210.9
2001-12-01,211.4
2002-01-01,212.5
2002-02-01,213.5
2002-03-01,213.8
2002-04-01,214.7
2002-05-01,214.6
2002-06-01,214.9
2002-07-01,215.5
2002-08-01,216.7
2002-09-01,217
2002-10-01,217.2
2002-11-01,217
2002-12-01,217.1
2003-01-01,219
2003-02-01,219.6
2003-03-01,219.9
2003-04-01,219.8
2003-05-01,220.6
2003-06-01,220.7
2003-07-01,221.7
2003-08-01,222.2
2003-09-01,222.2
2003-10-01,222.9
2003-11-01,221.9
2003-12-01,222.1
2004-01-01,223.7
2004-02-01,224.6
2004-03-01,225.3
2004-04-01,224.9
2004-05-01,225.7
2004-06-01,225.7
2004-07-01,226.7
2004-08-01,227.8
