"Date","CUURA320SAH"
1977-11-01,60.6
1977-12-01,NA
1978-01-01,61
1978-02-01,NA
1978-03-01,62
1978-04-01,NA
1978-05-01,61.7
1978-06-01,NA
1978-07-01,63.2
1978-08-01,NA
1978-09-01,64.4
1978-10-01,NA
1978-11-01,64.5
1978-12-01,NA
1979-01-01,65.1
1979-02-01,NA
1979-03-01,66.4
1979-04-01,NA
1979-05-01,66.3
1979-06-01,NA
1979-07-01,68.8
1979-08-01,NA
1979-09-01,69.8
1979-10-01,NA
1979-11-01,71.8
1979-12-01,NA
1980-01-01,74.7
1980-02-01,NA
1980-03-01,78.8
1980-04-01,NA
1980-05-01,80.6
1980-06-01,NA
1980-07-01,84.4
1980-08-01,NA
1980-09-01,82.1
1980-10-01,NA
1980-11-01,81.9
1980-12-01,NA
1981-01-01,84.8
1981-02-01,NA
1981-03-01,86.7
1981-04-01,NA
1981-05-01,89.8
1981-06-01,NA
1981-07-01,92.3
1981-08-01,NA
1981-09-01,95.7
1981-10-01,NA
1981-11-01,99.2
1981-12-01,NA
1982-01-01,99.9
1982-02-01,NA
1982-03-01,99.2
1982-04-01,NA
1982-05-01,98.7
1982-06-01,NA
1982-07-01,95.8
1982-08-01,NA
1982-09-01,96.7
1982-10-01,NA
1982-11-01,96.7
1982-12-01,NA
1983-01-01,98.2
1983-02-01,NA
1983-03-01,99.4
1983-04-01,NA
1983-05-01,98.8
1983-06-01,NA
1983-07-01,99.7
1983-08-01,NA
1983-09-01,100.6
1983-10-01,NA
1983-11-01,100.8
1983-12-01,NA
1984-01-01,101.1
1984-02-01,NA
1984-03-01,101.2
1984-04-01,NA
1984-05-01,102.5
1984-06-01,NA
1984-07-01,102.9
1984-08-01,NA
1984-09-01,103.9
1984-10-01,NA
1984-11-01,103.2
1984-12-01,NA
1985-01-01,103.7
1985-02-01,NA
1985-03-01,104
1985-04-01,NA
1985-05-01,105.2
1985-06-01,NA
1985-07-01,105.2
1985-08-01,NA
1985-09-01,107.9
1985-10-01,NA
1985-11-01,107.2
1985-12-01,NA
1986-01-01,106.7
1986-02-01,NA
1986-03-01,107.6
1986-04-01,NA
1986-05-01,106.8
1986-06-01,NA
1986-07-01,106
1986-08-01,NA
1986-09-01,107.3
1986-10-01,NA
1986-11-01,107.6
1986-12-01,NA
1987-01-01,108.1
1987-02-01,NA
1987-03-01,108
1987-04-01,NA
1987-05-01,106.9
1987-06-01,NA
1987-07-01,108.3
1987-08-01,NA
1987-09-01,109.3
1987-10-01,NA
1987-11-01,110.8
1987-12-01,NA
1988-01-01,111.8
1988-02-01,NA
1988-03-01,111.1
1988-04-01,NA
1988-05-01,112.9
1988-06-01,NA
1988-07-01,113.6
1988-08-01,NA
1988-09-01,114.9
1988-10-01,NA
1988-11-01,113.4
1988-12-01,NA
1989-01-01,115.2
1989-02-01,NA
1989-03-01,115
1989-04-01,NA
1989-05-01,115.2
1989-06-01,NA
1989-07-01,116.5
1989-08-01,NA
1989-09-01,117.9
1989-10-01,NA
1989-11-01,117.2
1989-12-01,NA
1990-01-01,116.7
1990-02-01,NA
1990-03-01,116.1
1990-04-01,NA
1990-05-01,119.6
1990-06-01,NA
1990-07-01,123.3
1990-08-01,NA
1990-09-01,123.1
1990-10-01,NA
1990-11-01,122.3
1990-12-01,NA
1991-01-01,122.3
1991-02-01,NA
1991-03-01,122.5
1991-04-01,NA
1991-05-01,123
1991-06-01,NA
1991-07-01,124.2
1991-08-01,NA
1991-09-01,123.7
1991-10-01,NA
1991-11-01,125.4
1991-12-01,NA
1992-01-01,126
1992-02-01,NA
1992-03-01,126.6
1992-04-01,NA
1992-05-01,126.2
1992-06-01,NA
1992-07-01,125.7
1992-08-01,NA
