"Date","CWUR0000SASL2RS"
1985-01-01,100.5
1985-02-01,100.7
1985-03-01,101.2
1985-04-01,101.4
1985-05-01,101.9
1985-06-01,102.8
1985-07-01,103.3
1985-08-01,103.5
1985-09-01,103.8
1985-10-01,103.9
1985-11-01,103.9
1985-12-01,104.2
1986-01-01,104.9
1986-02-01,105.5
1986-03-01,105.7
1986-04-01,105.9
1986-05-01,106.2
1986-06-01,107.6
1986-07-01,107.8
1986-08-01,108.1
1986-09-01,108.3
1986-10-01,108.2
1986-11-01,108.1
1986-12-01,108.3
1987-01-01,108.8
1987-02-01,109
1987-03-01,109.2
1987-04-01,109.5
1987-05-01,109.9
1987-06-01,111.1
1987-07-01,111.5
1987-08-01,112
1987-09-01,112.5
1987-10-01,112.2
1987-11-01,112.2
1987-12-01,112.2
1988-01-01,112.8
1988-02-01,113.2
1988-03-01,113.4
1988-04-01,113.9
1988-05-01,114.4
1988-06-01,115.7
1988-07-01,116.1
1988-08-01,116.6
1988-09-01,117.3
1988-10-01,117.6
1988-11-01,117.6
1988-12-01,118.1
1989-01-01,119
1989-02-01,119.5
1989-03-01,119.8
1989-04-01,120.1
1989-05-01,120.7
1989-06-01,121.9
1989-07-01,122.3
1989-08-01,122.7
1989-09-01,123.3
1989-10-01,123.2
1989-11-01,123.4
1989-12-01,123.9
1990-01-01,124.9
1990-02-01,125.7
1990-03-01,126.1
1990-04-01,126.3
1990-05-01,126.8
1990-06-01,128
1990-07-01,128.4
1990-08-01,129.1
1990-09-01,130.1
1990-10-01,130.3
1990-11-01,130.8
1990-12-01,131.1
1991-01-01,132.6
1991-02-01,133.4
1991-03-01,133.5
1991-04-01,133.3
1991-05-01,134
1991-06-01,134.9
1991-07-01,135.7
1991-08-01,136.2
1991-09-01,137.2
1991-10-01,137.2
1991-11-01,137.4
1991-12-01,137.9
1992-01-01,138.5
1992-02-01,138.9
1992-03-01,139.2
1992-04-01,139.6
1992-05-01,139.9
1992-06-01,140.7
1992-07-01,141.3
1992-08-01,141.7
1992-09-01,142.4
1992-10-01,142.7
1992-11-01,143.2
1992-12-01,143.5
1993-01-01,144.3
1993-02-01,144.6
1993-03-01,145
1993-04-01,145.3
1993-05-01,146
1993-06-01,147.1
1993-07-01,147.6
1993-08-01,148.1
1993-09-01,148.9
1993-10-01,148.9
1993-11-01,149
1993-12-01,149.5
1994-01-01,149.8
1994-02-01,150.4
1994-03-01,150.7
1994-04-01,150.8
1994-05-01,151
1994-06-01,152.1
1994-07-01,152.5
1994-08-01,153
1994-09-01,153.5
1994-10-01,153.4
1994-11-01,153.7
1994-12-01,154
1995-01-01,155.2
1995-02-01,155.8
1995-03-01,156.1
1995-04-01,156.4
1995-05-01,156.7
1995-06-01,157.7
1995-07-01,157.9
1995-08-01,158.6
1995-09-01,158.8
1995-10-01,159.1
1995-11-01,159.1
1995-12-01,159.2
1996-01-01,159.8
1996-02-01,160.5
1996-03-01,160.7
1996-04-01,161
1996-05-01,161.7
1996-06-01,162.6
1996-07-01,163.3
1996-08-01,163.8
1996-09-01,164.5
1996-10-01,164.4
1996-11-01,164.7
1996-12-01,165
1997-01-01,165.7
1997-02-01,166.2
1997-03-01,166.3
1997-04-01,166.4
1997-05-01,166.5
1997-06-01,167.7
1997-07-01,168.2
1997-08-01,168.2
1997-09-01,168.8
1997-10-01,169
1997-11-01,169.1
1997-12-01,168.8
1998-01-01,169.1
1998-02-01,169.2
1998-03-01,169.6
1998-04-01,169.8
1998-05-01,170.2
1998-06-01,171.2
1998-07-01,171.5
1998-08-01,171.5
1998-09-01,171.8
1998-10-01,171.3
1998-11-01,171.4
1998-12-01,171.5
1999-01-01,171.9
1999-02-01,172.3
1999-03-01,172.6
1999-04-01,172.7
1999-05-01,173
1999-06-01,174
1999-07-01,174.7
1999-08-01,175
1999-09-01,175.5
1999-10-01,175.4
1999-11-01,175.8
1999-12-01,175.9
2000-01-01,176.4
2000-02-01,176.9
2000-03-01,177.4
2000-04-01,177.7
2000-05-01,178.2
2000-06-01,180.2
2000-07-01,181.3
2000-08-01,181.9
2000-09-01,182.5
2000-10-01,182.7
2000-11-01,182.8
2000-12-01,183.7
2001-01-01,186.6
2001-02-01,186.9
2001-03-01,187
2001-04-01,187
2001-05-01,187.8
2001-06-01,189.6
2001-07-01,189.9
2001-08-01,190.1
2001-09-01,189.9
2001-10-01,189
2001-11-01,189.3
2001-12-01,189.2
2002-01-01,189.8
2002-02-01,190.1
