"Date","APUS48A74714"
2018-01-01,2.24
2018-02-01,2.306
2018-03-01,2.336
2018-04-01,2.634
2018-05-01,2.871
2018-06-01,3.032
2018-07-01,2.904
2018-08-01,2.823
2018-09-01,2.816
2018-10-01,2.876
2018-11-01,2.818
2018-12-01,2.712
2019-01-01,2.531
2019-02-01,2.387
2019-03-01,2.516
2019-04-01,2.928
2019-05-01,3.136
2019-06-01,2.976
2019-07-01,2.744
2019-08-01,2.739
2019-09-01,2.888
2019-10-01,2.931
2019-11-01,2.949
2019-12-01,2.887
2020-01-01,2.855
2020-02-01,2.834
2020-03-01,2.662
2020-04-01,2.226
2020-05-01,2.053
2020-06-01,2.233
2020-07-01,2.328
2020-08-01,2.296
2020-09-01,2.29
2020-10-01,2.238
2020-11-01,2.201
2020-12-01,2.181
2021-01-01,2.339
2021-02-01,2.537
2021-03-01,3.033
2021-04-01,2.999
2021-05-01,3.059
2021-06-01,3.104
2021-07-01,3.103
2021-08-01,3.096
2021-09-01,3.123
2021-10-01,3.39
2021-11-01,3.746
2021-12-01,3.783
2022-01-01,3.644
2022-02-01,3.758
2022-03-01,4.519
2022-04-01,4.62
2022-05-01,4.946
2022-06-01,5.559
2022-07-01,4.956
2022-08-01,4.128
2022-09-01,4.176
2022-10-01,4.806
2022-11-01,4.432
2022-12-01,3.651
2023-01-01,3.469
2023-02-01,3.577
2023-03-01,4.215
2023-04-01,4.796
2023-05-01,4.936
2023-06-01,4.389
2023-07-01,3.877
2023-08-01,4.27
2023-09-01,4.762
2023-10-01,4.492
2023-11-01,3.724
