"Date","APUS49E72620"
1978-11-01,0.239
1978-12-01,0.239
1979-01-01,0.239
1979-02-01,0.245
1979-03-01,0.245
1979-04-01,0.245
1979-05-01,0.245
1979-06-01,0.265
1979-07-01,0.312
1979-08-01,0.312
1979-09-01,0.312
1979-10-01,0.312
1979-11-01,0.312
1979-12-01,0.312
1980-01-01,0.323
1980-02-01,0.323
1980-03-01,0.323
1980-04-01,0.323
1980-05-01,0.323
1980-06-01,0.336
1980-07-01,0.373
1980-08-01,0.373
1980-09-01,0.373
1980-10-01,0.373
1980-11-01,0.343
1980-12-01,0.343
1981-01-01,0.384
1981-02-01,0.386
1981-03-01,0.386
1981-04-01,0.386
1981-05-01,0.428
1981-06-01,0.428
1981-07-01,0.428
1981-08-01,0.428
1981-09-01,0.428
1981-10-01,0.448
1981-11-01,0.407
1981-12-01,0.407
1982-01-01,0.434
1982-02-01,0.434
1982-03-01,0.434
1982-04-01,0.434
1982-05-01,0.561
1982-06-01,0.561
1982-07-01,0.561
1982-08-01,0.561
1982-09-01,0.561
1982-10-01,0.611
1982-11-01,0.524
1982-12-01,0.524
1983-01-01,0.578
1983-02-01,0.583
1983-03-01,0.583
1983-04-01,0.583
1983-05-01,0.654
1983-06-01,0.654
1983-07-01,0.748
1983-08-01,0.748
1983-09-01,0.748
1983-10-01,0.812
1983-11-01,0.769
1983-12-01,0.769
1984-01-01,0.782
1984-02-01,0.781
1984-03-01,0.77
1984-04-01,0.77
1984-05-01,0.799
1984-06-01,0.799
1984-07-01,0.799
1984-08-01,0.769
1984-09-01,0.769
1984-10-01,0.769
1984-11-01,0.745
1984-12-01,0.657
1985-01-01,0.384
1985-02-01,0.597
1985-03-01,0.597
1985-04-01,0.597
1985-05-01,0.715
1985-06-01,0.711
1985-07-01,0.715
1985-08-01,0.674
1985-09-01,NA
1985-10-01,0.674
1985-11-01,0.56
1985-12-01,0.56
1986-01-01,0.526
1986-02-01,0.526
1986-03-01,0.526
1986-04-01,0.526
1986-05-01,0.613
1986-06-01,0.613
1986-07-01,0.613
1986-08-01,0.613
1986-09-01,0.687
1986-10-01,0.687
1986-11-01,0.56
1986-12-01,0.56
1987-01-01,NA
1987-02-01,NA
1987-03-01,NA
1987-04-01,NA
1987-05-01,NA
1987-06-01,NA
1987-07-01,NA
1987-08-01,NA
1987-09-01,NA
1987-10-01,NA
1987-11-01,NA
1987-12-01,NA
1988-01-01,NA
1988-02-01,NA
1988-03-01,NA
1988-04-01,NA
1988-05-01,NA
1988-06-01,NA
1988-07-01,NA
1988-08-01,NA
1988-09-01,NA
1988-10-01,NA
1988-11-01,NA
1988-12-01,NA
1989-01-01,NA
1989-02-01,NA
1989-03-01,NA
1989-04-01,NA
1989-05-01,NA
1989-06-01,NA
1989-07-01,NA
1989-08-01,NA
1989-09-01,NA
1989-10-01,NA
1989-11-01,NA
1989-12-01,NA
1990-01-01,NA
1990-02-01,NA
1990-03-01,NA
1990-04-01,NA
1990-05-01,NA
1990-06-01,NA
1990-07-01,NA
1990-08-01,NA
1990-09-01,NA
1990-10-01,NA
1990-11-01,NA
1990-12-01,NA
1991-01-01,NA
1991-02-01,NA
1991-03-01,NA
1991-04-01,NA
1991-05-01,NA
1991-06-01,NA
1991-07-01,NA
1991-08-01,NA
1991-09-01,NA
1991-10-01,NA
1991-11-01,NA
1991-12-01,NA
1992-01-01,NA
1992-02-01,NA
1992-03-01,NA
1992-04-01,NA
1992-05-01,NA
1992-06-01,NA
1992-07-01,NA
1992-08-01,NA
1992-09-01,NA
1992-10-01,NA
1992-11-01,NA
1992-12-01,NA
1993-01-01,NA
1993-02-01,NA
1993-03-01,NA
