"Date","CUSR0000SEEA"
1967-01-01,32.9
1967-02-01,33
1967-03-01,33.2
1967-04-01,33.3
1967-05-01,33.5
1967-06-01,33.6
1967-07-01,33.7
1967-08-01,34
1967-09-01,34.1
1967-10-01,34.3
1967-11-01,34.3
1967-12-01,34.4
1968-01-01,34.5
1968-02-01,34.6
1968-03-01,34.8
1968-04-01,34.9
1968-05-01,35
1968-06-01,35.2
1968-07-01,35.3
1968-08-01,35.5
1968-09-01,35.6
1968-10-01,36.6
1968-11-01,36.5
1968-12-01,36.6
1969-01-01,36.6
1969-02-01,36.8
1969-03-01,36.9
1969-04-01,37.1
1969-05-01,37.3
1969-06-01,37.4
1969-07-01,37.6
1969-08-01,37.7
1969-09-01,37.9
1969-10-01,37.8
1969-11-01,37.8
1969-12-01,37.8
1970-01-01,37.9
1970-02-01,38
1970-03-01,38.2
1970-04-01,38.3
1970-05-01,38.5
1970-06-01,38.6
1970-07-01,38.8
1970-08-01,38.9
1970-09-01,39.1
1970-10-01,37.9
1970-11-01,40.7
1970-12-01,40.6
1971-01-01,40.7
1971-02-01,40.8
1971-03-01,41
1971-04-01,41.2
1971-05-01,41.3
1971-06-01,41.5
1971-07-01,41.7
1971-08-01,41.9
1971-09-01,42.1
1971-10-01,40.9
1971-11-01,40.8
1971-12-01,43.2
1972-01-01,43.3
1972-02-01,43.4
1972-03-01,43.6
1972-04-01,43.8
1972-05-01,44
1972-06-01,44.2
1972-07-01,44.3
1972-08-01,44.5
1972-09-01,44.7
1972-10-01,44.7
1972-11-01,44.7
1972-12-01,44.6
1973-01-01,44.7
1973-02-01,44.9
1973-03-01,45
1973-04-01,45.2
1973-05-01,45.5
1973-06-01,45.7
1973-07-01,45.9
1973-08-01,46.1
1973-09-01,46.2
1973-10-01,46
1973-11-01,45.8
1973-12-01,45.8
1974-01-01,45.9
1974-02-01,46.1
1974-03-01,46.3
1974-04-01,46.5
1974-05-01,46.8
1974-06-01,47
1974-07-01,47.2
1974-08-01,47.4
1974-09-01,47.5
1974-10-01,48.7
1974-11-01,48.5
1974-12-01,48.7
1975-01-01,48.8
1975-02-01,49
1975-03-01,49.3
1975-04-01,49.5
1975-05-01,49.8
1975-06-01,50
1975-07-01,50.3
1975-08-01,50.5
1975-09-01,50.3
1975-10-01,51.6
1975-11-01,51.9
1975-12-01,52.2
1976-01-01,52.3
1976-02-01,52.6
1976-03-01,52.8
1976-04-01,53.1
1976-05-01,53.3
1976-06-01,53.6
1976-07-01,53.9
1976-08-01,54.1
1976-09-01,53.6
1976-10-01,54.6
1976-11-01,54.9
1976-12-01,55.2
1977-01-01,55.2
1977-02-01,55.4
1977-03-01,55.7
1977-04-01,56
1977-05-01,56.3
1977-06-01,56.6
1977-07-01,56.9
1977-08-01,57.2
1977-09-01,56.3
1977-10-01,58.6
1977-11-01,59
1977-12-01,59.3
1978-01-01,59.9
1978-02-01,60.2
1978-03-01,60.6
1978-04-01,61
1978-05-01,61.4
1978-06-01,61.7
1978-07-01,62.1
1978-08-01,62.6
1978-09-01,62.6
1978-10-01,62.1
1978-11-01,62.6
1978-12-01,62.9
1979-01-01,63.3
1979-02-01,63.7
1979-03-01,64.1
1979-04-01,64.6
1979-05-01,65.1
1979-06-01,65.6
1979-07-01,66
1979-08-01,66.8
1979-09-01,66.7
1979-10-01,67.1
1979-11-01,67.5
1979-12-01,68
1980-01-01,68.4
1980-02-01,68.8
1980-03-01,69.3
1980-04-01,69.8
1980-05-01,70.4
1980-06-01,70.8
