"Date","CUURA103SEFV"
1952-12-01,21.5
1953-01-01,21.5
1953-02-01,NA
1953-03-01,NA
1953-04-01,21.7
1953-05-01,NA
1953-06-01,NA
1953-07-01,21.9
1953-08-01,NA
1953-09-01,NA
1953-10-01,22.4
1953-11-01,NA
1953-12-01,NA
1954-01-01,22.3
1954-02-01,NA
1954-03-01,NA
1954-04-01,22
1954-05-01,NA
1954-06-01,NA
1954-07-01,22.2
1954-08-01,NA
1954-09-01,NA
1954-10-01,22.4
1954-11-01,NA
1954-12-01,NA
1955-01-01,22.3
1955-02-01,NA
1955-03-01,NA
1955-04-01,22.4
1955-05-01,NA
1955-06-01,NA
1955-07-01,22.4
1955-08-01,NA
1955-09-01,NA
1955-10-01,22.9
1955-11-01,NA
1955-12-01,NA
1956-01-01,23.2
1956-02-01,23.1
1956-03-01,23.1
1956-04-01,23.1
1956-05-01,23.4
1956-06-01,23.3
1956-07-01,23.3
1956-08-01,23.4
1956-09-01,23.9
1956-10-01,23.9
1956-11-01,23.9
1956-12-01,23.9
1957-01-01,23.8
1957-02-01,23.9
1957-03-01,24
1957-04-01,24
1957-05-01,24.1
1957-06-01,24.2
1957-07-01,24.2
1957-08-01,24.2
1957-09-01,24.2
1957-10-01,24.1
1957-11-01,24.3
1957-12-01,24.4
1958-01-01,24.2
1958-02-01,24.3
1958-03-01,24.4
1958-04-01,24.4
1958-05-01,24.8
1958-06-01,24.8
1958-07-01,24.9
1958-08-01,24.9
1958-09-01,24.8
1958-10-01,24.9
1958-11-01,25.2
1958-12-01,25.1
1959-01-01,25.3
1959-02-01,25.4
1959-03-01,25.6
1959-04-01,25.7
1959-05-01,25.6
1959-06-01,25.7
1959-07-01,25.8
1959-08-01,25.9
1959-09-01,25.8
1959-10-01,25.9
1959-11-01,25.9
1959-12-01,25.9
1960-01-01,25.9
1960-02-01,25.9
1960-03-01,25.9
1960-04-01,26.1
1960-05-01,25.9
1960-06-01,25.9
1960-07-01,26
1960-08-01,26.2
1960-09-01,26
1960-10-01,26.1
1960-11-01,26
1960-12-01,26.4
1961-01-01,26.4
1961-02-01,26.5
1961-03-01,26.6
1961-04-01,26.7
1961-05-01,26.6
1961-06-01,26.6
1961-07-01,26.8
1961-08-01,26.7
1961-09-01,27.1
1961-10-01,27
1961-11-01,27.3
1961-12-01,27.3
1962-01-01,27.4
1962-02-01,27.5
1962-03-01,27.6
1962-04-01,27.7
1962-05-01,27.6
1962-06-01,27.6
1962-07-01,27.9
1962-08-01,27.4
1962-09-01,28
1962-10-01,28.2
1962-11-01,28.4
1962-12-01,28.4
1963-01-01,28.5
1963-02-01,28.6
1963-03-01,28.5
1963-04-01,28.7
1963-05-01,28.8
1963-06-01,28.6
1963-07-01,28.9
1963-08-01,29.4
1963-09-01,29.7
1963-10-01,30.1
1963-11-01,29.7
1963-12-01,30
1964-01-01,30
1964-02-01,30
1964-03-01,30.1
1964-04-01,30.1
1964-05-01,30.2
1964-06-01,30.2
1964-07-01,30.2
1964-08-01,30.2
1964-09-01,30.3
1964-10-01,30.5
1964-11-01,30.6
1964-12-01,30.6
1965-01-01,30.6
1965-02-01,30.6
1965-03-01,30.6
1965-04-01,30.6
1965-05-01,30.6
1965-06-01,30.6
1965-07-01,30.7
1965-08-01,30.7
1965-09-01,30.8
1965-10-01,30.9
1965-11-01,30.9
1965-12-01,31
1966-01-01,31.3
1966-02-01,31.4
1966-03-01,31.5
1966-04-01,31.6
1966-05-01,31.8
1966-06-01,32
1966-07-01,32.3
1966-08-01,32.5
1966-09-01,32.6
1966-10-01,32.7
1966-11-01,32.9
1966-12-01,33.3
1967-01-01,33.8
1967-02-01,33.8
1967-03-01,33.9
1967-04-01,34
1967-05-01,34.3
1967-06-01,34.3
1967-07-01,34.6
1967-08-01,34.6
1967-09-01,34.6
1967-10-01,34.7
1967-11-01,34.8
1967-12-01,34.8
1968-01-01,35
1968-02-01,35.1
1968-03-01,35.2
1968-04-01,35.3
1968-05-01,35.5
1968-06-01,35.8
1968-07-01,36
1968-08-01,36.1
1968-09-01,36.2
1968-10-01,36.5
1968-11-01,36.6
1968-12-01,36.7
1969-01-01,36.8
1969-02-01,36.9
1969-03-01,37
1969-04-01,37.2
1969-05-01,37.4
1969-06-01,37.7
1969-07-01,38
1969-08-01,38.1
1969-09-01,38.5
1969-10-01,39.1
1969-11-01,39.2
1969-12-01,39.4
1970-01-01,39.7
1970-02-01,39.8
1970-03-01,39.9
1970-04-01,40.1
1970-05-01,40.3
1970-06-01,40.6
1970-07-01,41
1970-08-01,41
1970-09-01,41.2
1970-10-01,41.5
1970-11-01,41.7
1970-12-01,41.9
1971-01-01,42
1971-02-01,42.1
1971-03-01,42.2
1971-04-01,42.3
1971-05-01,42.3
1971-06-01,42.6
1971-07-01,42.7
1971-08-01,43
1971-09-01,43.1
1971-10-01,43.2
1971-11-01,43.4
1971-12-01,43.4
1972-01-01,43.4
1972-02-01,43.5
1972-03-01,43.5
1972-04-01,43.8
1972-05-01,43.9
1972-06-01,44.1
1972-07-01,44.3
1972-08-01,44.4
1972-09-01,44.7
1972-10-01,45
1972-11-01,45.3
1972-12-01,45.3
1973-01-01,45.4
1973-02-01,45.4
1973-03-01,45.6
1973-04-01,46.4
1973-05-01,46.7
1973-06-01,46.9
1973-07-01,47.2
1973-08-01,48
1973-09-01,48.7
1973-10-01,50
1973-11-01,50.3
1973-12-01,50.6
1974-01-01,51.2
1974-02-01,51.3
1974-03-01,51.6
1974-04-01,52.5
1974-05-01,53.2
1974-06-01,53.5
1974-07-01,54.7
1974-08-01,55
1974-09-01,55.2
1974-10-01,56.1
1974-11-01,56.9
1974-12-01,57.6
1975-01-01,59.1
1975-02-01,59.2
1975-03-01,59.5
1975-04-01,59.2
1975-05-01,59.4
1975-06-01,59.5
1975-07-01,59.9
1975-08-01,60.3
1975-09-01,60.4
1975-10-01,60.9
1975-11-01,62.3
1975-12-01,62.5
1976-01-01,63.1
1976-02-01,63.3
1976-03-01,63.7
1976-04-01,64.2
1976-05-01,64.7
1976-06-01,65
1976-07-01,65.7
1976-08-01,65.7
1976-09-01,65.9
1976-10-01,66.2
1976-11-01,66.3
1976-12-01,66.2
1977-01-01,66.5
1977-02-01,66.9
1977-03-01,67.3
1977-04-01,68
1977-05-01,68.4
1977-06-01,68.6
1977-07-01,69.3
1977-08-01,69.7
1977-09-01,69.9
1977-10-01,70.7
1977-11-01,70.8
1977-12-01,70.8
1978-01-01,69.7
1978-02-01,NA
1978-03-01,70
1978-04-01,NA
1978-05-01,71.6
1978-06-01,NA
1978-07-01,72.3
1978-08-01,NA
1978-09-01,74.5
1978-10-01,NA
1978-11-01,75.3
1978-12-01,NA
1979-01-01,75.6
1979-02-01,NA
1979-03-01,76.5
1979-04-01,NA
1979-05-01,81
1979-06-01,NA
1979-07-01,83
1979-08-01,NA
1979-09-01,80.1
1979-10-01,NA
1979-11-01,81
1979-12-01,NA
1980-01-01,82.4
1980-02-01,NA
1980-03-01,84
1980-04-01,NA
1980-05-01,83.2
1980-06-01,NA
1980-07-01,88.1
1980-08-01,NA
1980-09-01,87.4
1980-10-01,NA
1980-11-01,89.4
1980-12-01,NA
1981-01-01,92.6
1981-02-01,NA
1981-03-01,91.5
1981-04-01,NA
1981-05-01,90.9
1981-06-01,NA
1981-07-01,90.4
1981-08-01,NA
1981-09-01,90.8
1981-10-01,NA
1981-11-01,92.4
1981-12-01,NA
1982-01-01,93.3
1982-02-01,NA
1982-03-01,93.6
1982-04-01,NA
1982-05-01,93.6
1982-06-01,NA
1982-07-01,93.7
1982-08-01,NA
1982-09-01,93.9
1982-10-01,NA
1982-11-01,95.1
1982-12-01,NA
1983-01-01,95.4
1983-02-01,NA
1983-03-01,96.9
1983-04-01,NA
1983-05-01,97.1
1983-06-01,NA
1983-07-01,99.8
1983-08-01,NA
1983-09-01,99.8
1983-10-01,NA
1983-11-01,101.8
1983-12-01,NA
1984-01-01,103.5
1984-02-01,NA
1984-03-01,105.1
1984-04-01,NA
1984-05-01,107.5
1984-06-01,NA
1984-07-01,107.6
1984-08-01,NA
1984-09-01,108.6
1984-10-01,NA
1984-11-01,109.6
1984-12-01,NA
1985-01-01,110.8
1985-02-01,NA
1985-03-01,112.1
1985-04-01,NA
1985-05-01,113.4
1985-06-01,NA
1985-07-01,113.5
1985-08-01,NA
1985-09-01,113.5
1985-10-01,NA
1985-11-01,115.4
1985-12-01,NA
1986-01-01,115.8
1986-02-01,NA
1986-03-01,115.8
1986-04-01,NA
1986-05-01,118.2
1986-06-01,NA
1986-07-01,120.2
1986-08-01,NA
1986-09-01,124.4
1986-10-01,NA
1986-11-01,124.5
1986-12-01,NA
1987-01-01,124.8
1987-02-01,NA
1987-03-01,126.2
1987-04-01,NA
1987-05-01,126.3
1987-06-01,NA
1987-07-01,127.4
1987-08-01,NA
1987-09-01,128.8
1987-10-01,NA
1987-11-01,129.4
1987-12-01,NA
1988-01-01,129.8
1988-02-01,NA
1988-03-01,130.5
1988-04-01,NA
1988-05-01,131.7
1988-06-01,NA
1988-07-01,132.2
1988-08-01,NA
1988-09-01,134.5
1988-10-01,NA
1988-11-01,135
1988-12-01,NA
1989-01-01,134.1
1989-02-01,NA
1989-03-01,136.5
1989-04-01,NA
1989-05-01,138.1
1989-06-01,NA
1989-07-01,139.4
1989-08-01,NA
1989-09-01,142.2
1989-10-01,NA
1989-11-01,141.9
1989-12-01,NA
1990-01-01,140.8
1990-02-01,NA
1990-03-01,143.9
1990-04-01,NA
1990-05-01,144.4
1990-06-01,NA
1990-07-01,145.2
1990-08-01,NA
1990-09-01,146.4
1990-10-01,NA
1990-11-01,146.4
1990-12-01,NA
1991-01-01,147.1
1991-02-01,NA
1991-03-01,145.4
1991-04-01,NA
1991-05-01,147
1991-06-01,NA
1991-07-01,147.7
1991-08-01,NA
1991-09-01,148.5
1991-10-01,NA
1991-11-01,148.8
1991-12-01,NA
1992-01-01,148.5
1992-02-01,NA
1992-03-01,147.1
1992-04-01,NA
1992-05-01,147.1
1992-06-01,NA
1992-07-01,147.3
1992-08-01,NA
1992-09-01,147.2
1992-10-01,NA
1992-11-01,147.4
1992-12-01,NA
1993-01-01,149.2
1993-02-01,NA
1993-03-01,149.7
1993-04-01,NA
1993-05-01,151.6
1993-06-01,NA
1993-07-01,152.1
1993-08-01,NA
1993-09-01,152.5
1993-10-01,NA
1993-11-01,152.4
1993-12-01,NA
1994-01-01,152.8
1994-02-01,NA
1994-03-01,152.9
1994-04-01,NA
1994-05-01,152.2
1994-06-01,NA
1994-07-01,152.9
1994-08-01,NA
1994-09-01,154.5
1994-10-01,NA
1994-11-01,155
1994-12-01,NA
1995-01-01,155.7
1995-02-01,NA
1995-03-01,156
1995-04-01,NA
1995-05-01,157.6
1995-06-01,NA
1995-07-01,157.9
1995-08-01,NA
1995-09-01,158.6
1995-10-01,NA
1995-11-01,158.3
1995-12-01,NA
1996-01-01,158.4
1996-02-01,NA
1996-03-01,160.9
1996-04-01,NA
1996-05-01,161.1
1996-06-01,NA
1996-07-01,161.7
1996-08-01,NA
1996-09-01,163
1996-10-01,NA
1996-11-01,163
1996-12-01,NA
1997-01-01,163.8
1997-02-01,NA
1997-03-01,164
1997-04-01,NA
1997-05-01,164.1
1997-06-01,NA
1997-07-01,166.4
1997-08-01,NA
1997-09-01,168.4
1997-10-01,NA
1997-11-01,169.9
1997-12-01,NA
1998-01-01,170.5
1998-02-01,NA
1998-03-01,171.5
1998-04-01,NA
1998-05-01,173.4
1998-06-01,NA
1998-07-01,174
1998-08-01,NA
1998-09-01,174.8
1998-10-01,NA
1998-11-01,175.1
1998-12-01,NA
1999-01-01,178.5
1999-02-01,NA
1999-03-01,179.3
1999-04-01,NA
1999-05-01,178.9
1999-06-01,NA
1999-07-01,179.8
1999-08-01,NA
1999-09-01,179.8
1999-10-01,NA
1999-11-01,180.3
1999-12-01,NA
2000-01-01,181.8
2000-02-01,NA
2000-03-01,182.7
2000-04-01,NA
2000-05-01,184.8
2000-06-01,NA
2000-07-01,185
2000-08-01,NA
2000-09-01,188.4
2000-10-01,NA
2000-11-01,189.2
2000-12-01,NA
2001-01-01,190.6
2001-02-01,NA
2001-03-01,192.3
2001-04-01,NA
2001-05-01,194
2001-06-01,NA
2001-07-01,197.4
2001-08-01,NA
2001-09-01,197.2
2001-10-01,NA
2001-11-01,197.2
2001-12-01,NA
2002-01-01,198.2
2002-02-01,NA
2002-03-01,198.8
2002-04-01,NA
2002-05-01,197.3
2002-06-01,NA
2002-07-01,197.1
2002-08-01,NA
2002-09-01,199.1
2002-10-01,NA
2002-11-01,199.5
2002-12-01,NA
2003-01-01,200.6
2003-02-01,NA
2003-03-01,201.7
2003-04-01,NA
2003-05-01,201.4
2003-06-01,NA
2003-07-01,202
2003-08-01,NA
2003-09-01,202.5
2003-10-01,NA
2003-11-01,203.2
2003-12-01,NA
2004-01-01,204.3
2004-02-01,NA
2004-03-01,205.6
2004-04-01,NA
2004-05-01,205.8
2004-06-01,NA
2004-07-01,206.8
2004-08-01,NA
2004-09-01,208.1
2004-10-01,NA
2004-11-01,209.3
2004-12-01,NA
2005-01-01,210
2005-02-01,NA
2005-03-01,211.3
2005-04-01,NA
2005-05-01,212.2
2005-06-01,NA
2005-07-01,210.6
2005-08-01,NA
2005-09-01,211.1
2005-10-01,NA
2005-11-01,210.8
2005-12-01,NA
2006-01-01,212.5
2006-02-01,NA
2006-03-01,212.8
2006-04-01,NA
2006-05-01,214.8
2006-06-01,NA
2006-07-01,216.7
