"Date","CUUR0000SEGB02"
1977-12-01,68.4
1978-01-01,68.6
1978-02-01,68.4
1978-03-01,68.6
1978-04-01,68.2
1978-05-01,68.8
1978-06-01,68.7
1978-07-01,70
1978-08-01,70.3
1978-09-01,71.1
1978-10-01,71.6
1978-11-01,71.6
1978-12-01,70.9
1979-01-01,71.9
1979-02-01,72.3
1979-03-01,74.2
1979-04-01,73.6
1979-05-01,74.9
1979-06-01,74.2
1979-07-01,74.9
1979-08-01,74.5
1979-09-01,75.5
1979-10-01,75.7
1979-11-01,76.2
1979-12-01,77.3
1980-01-01,77.2
1980-02-01,78.1
1980-03-01,78.7
1980-04-01,79.1
1980-05-01,79.6
1980-06-01,79.8
1980-07-01,81.4
1980-08-01,81.8
1980-09-01,82.9
1980-10-01,82.9
1980-11-01,82.6
1980-12-01,83.8
1981-01-01,84
1981-02-01,84.2
1981-03-01,84.7
1981-04-01,85.7
1981-05-01,87.4
1981-06-01,88.2
1981-07-01,87.3
1981-08-01,88.1
1981-09-01,89.4
1981-10-01,89.7
1981-11-01,90.1
1981-12-01,91.1
1982-01-01,91.7
1982-02-01,92.3
1982-03-01,92.4
1982-04-01,93.3
1982-05-01,94.1
1982-06-01,95.4
1982-07-01,95.6
1982-08-01,96.6
1982-09-01,96.2
1982-10-01,96.7
1982-11-01,96.9
1982-12-01,97.2
1983-01-01,98.4
1983-02-01,99.5
1983-03-01,99.8
1983-04-01,99.5
1983-05-01,99.2
1983-06-01,101.5
1983-07-01,101.7
1983-08-01,101.6
1983-09-01,101.4
1983-10-01,101
1983-11-01,101.8
1983-12-01,102.4
1984-01-01,102.6
1984-02-01,103
1984-03-01,102.6
1984-04-01,103.8
1984-05-01,103.6
1984-06-01,104.6
1984-07-01,105.3
1984-08-01,104.7
1984-09-01,105.6
1984-10-01,105.9
1984-11-01,105.9
1984-12-01,106.2
1985-01-01,106.2
1985-02-01,106.4
1985-03-01,106.5
1985-04-01,106.6
1985-05-01,107.4
1985-06-01,107.5
1985-07-01,108.2
1985-08-01,109.3
1985-09-01,109.5
1985-10-01,110.1
1985-11-01,109.9
1985-12-01,109.3
1986-01-01,110.5
1986-02-01,111.3
