"Date","CP0300USM086NEST"
2001-12-01,96.35
2002-01-01,93.78
2002-02-01,96.42
2002-03-01,99.85
2002-04-01,100.43
2002-05-01,99.2
2002-06-01,95.96
2002-07-01,92.91
2002-08-01,94.3
2002-09-01,97.39
2002-10-01,99.06
2002-11-01,98.22
2002-12-01,95.38
2003-01-01,92.61
2003-02-01,94.55
2003-03-01,97.03
2003-04-01,97.22
2003-05-01,96.19
2003-06-01,93.96
2003-07-01,91.4
2003-08-01,92.04
2003-09-01,95.95
2003-10-01,98.11
2003-11-01,97.02
2003-12-01,94.17
2004-01-01,91.41
2004-02-01,93.59
2004-03-01,97.31
2004-04-01,97.95
2004-05-01,97.18
2004-06-01,94.66
2004-07-01,91.47
2004-08-01,92.03
2004-09-01,95.8
2004-10-01,98
2004-11-01,97.26
2004-12-01,94.06
2005-01-01,91.87
2005-02-01,93.9
2005-03-01,97.69
2005-04-01,97.87
2005-05-01,96.79
2005-06-01,93.82
2005-07-01,90.39
2005-08-01,91.74
2005-09-01,95.38
2005-10-01,97.16
2005-11-01,96.38
2005-12-01,93.49
2006-01-01,91.08
2006-02-01,92.53
2006-03-01,96.94
2006-04-01,97.9
2006-05-01,96.85
2006-06-01,94.21
2006-07-01,90.11
2006-08-01,91.78
2006-09-01,96.39
2006-10-01,97.72
2006-11-01,96.46
2006-12-01,94.31
2007-01-01,91.78
2007-02-01,94.04
2007-03-01,97.01
2007-04-01,97.42
2007-05-01,96.17
2007-06-01,92.65
2007-07-01,89.75
2007-08-01,90.56
2007-09-01,94.61
2007-10-01,96.32
2007-11-01,95.91
2007-12-01,93.83
2008-01-01,91.51
2008-02-01,93.02
2008-03-01,95.4
2008-04-01,96.29
2008-05-01,95.27
2008-06-01,92.32
2008-07-01,90.09
2008-08-01,91.74
2008-09-01,95.66
2008-10-01,96.45
2008-11-01,95.85
2008-12-01,92.7
2009-01-01,90.62
2009-02-01,93.86
2009-03-01,96.81
2009-04-01,97.26
2009-05-01,96.23
2009-06-01,93.9
2009-07-01,91.25
2009-08-01,92.6
2009-09-01,96.81
2009-10-01,97.95
2009-11-01,96.85
2009-12-01,94.63
2010-01-01,92.42
2010-02-01,94.2
2010-03-01,96.63
2010-04-01,96.57
2010-05-01,95.64
2010-06-01,93.6
2010-07-01,91.17
2010-08-01,92.15
2010-09-01,95.63
2010-10-01,96.84
2010-11-01,96.01
2010-12-01,93.37
2011-01-01,92.11
2011-02-01,93.42
2011-03-01,95.68
2011-04-01,96.18
2011-05-01,96.31
2011-06-01,94.97
2011-07-01,93.35
2011-08-01,95.43
2011-09-01,98.57
2011-10-01,100.2
2011-11-01,100.14
