"Date","CUSR0000SETB01"
1991-07-01,96.5
1991-08-01,97.5
1991-09-01,97.6
1991-10-01,96.8
1991-11-01,97.7
1991-12-01,98.8
1992-01-01,97
1992-02-01,96.5
1992-03-01,96.8
1992-04-01,96.6
1992-05-01,97.5
1992-06-01,99.8
1992-07-01,100.3
1992-08-01,99.7
1992-09-01,99.6
1992-10-01,100.8
1992-11-01,101.3
1992-12-01,101.7
1993-01-01,101.5
1993-02-01,101.5
1993-03-01,100.7
1993-04-01,99.9
1993-05-01,97.9
1993-06-01,96.5
1993-07-01,95.2
1993-08-01,95
1993-09-01,93.9
1993-10-01,98.7
1993-11-01,97.3
1993-12-01,95.8
1994-01-01,94.6
1994-02-01,96.2
1994-03-01,95.8
1994-04-01,95.7
1994-05-01,93.9
1994-06-01,94.9
1994-07-01,97.8
1994-08-01,102.4
1994-09-01,101.8
1994-10-01,101.3
1994-11-01,102.1
1994-12-01,101.9
1995-01-01,100.9
1995-02-01,100.9
1995-03-01,100.2
1995-04-01,100.5
1995-05-01,101.6
1995-06-01,103.6
1995-07-01,101.2
1995-08-01,99.6
1995-09-01,98.1
1995-10-01,97.6
1995-11-01,95.8
1995-12-01,97.5
1996-01-01,101.3
1996-02-01,101.4
1996-03-01,104
1996-04-01,108.6
1996-05-01,109.7
1996-06-01,108
1996-07-01,106.1
1996-08-01,104.4
1996-09-01,104.4
1996-10-01,104.9
1996-11-01,107.2
1996-12-01,110.2
1997-01-01,110.6
1997-02-01,110.8
1997-03-01,108.6
1997-04-01,105.1
1997-05-01,101.4
1997-06-01,102.9
1997-07-01,101.2
1997-08-01,106.1
1997-09-01,108.7
1997-10-01,106.6
1997-11-01,104.4
1997-12-01,103.2
1998-01-01,99.4
1998-02-01,96
1998-03-01,91.7
1998-04-01,89.4
1998-05-01,91.2
1998-06-01,92.6
1998-07-01,92.3
1998-08-01,90.3
1998-09-01,89.7
1998-10-01,90.5
1998-11-01,89.4
1998-12-01,87.4
1999-01-01,86.7
1999-02-01,85.1
1999-03-01,87.7
1999-04-01,98.9
1999-05-01,97.5
1999-06-01,96.6
1999-07-01,100.7
1999-08-01,106.1
1999-09-01,109.9
1999-10-01,109.8
1999-11-01,108.5
1999-12-01,114.1
2000-01-01,115.9
2000-02-01,119.8
2000-03-01,133.2
2000-04-01,125.6
2000-05-01,123.6
2000-06-01,135.2
2000-07-01,133.7
2000-08-01,126.3
2000-09-01,134.2
2000-10-01,132.6
2000-11-01,131.8
2000-12-01,130.5
2001-01-01,130.6
2001-02-01,129.2
2001-03-01,125.6
2001-04-01,128.1
2001-05-01,140.1
2001-06-01,137.1
2001-07-01,123
2001-08-01,120.3
2001-09-01,130.9
2001-10-01,117
2001-11-01,104.1
2001-12-01,99.2
2002-01-01,100.5
2002-02-01,99.7
2002-03-01,107.8
2002-04-01,115.8
2002-05-01,116.5
2002-06-01,116.8
2002-07-01,118.5
2002-08-01,119.7
2002-09-01,120.6
2002-10-01,125.9
2002-11-01,125.1
2002-12-01,124.7
2003-01-01,137.1
2003-02-01,148.6
2003-03-01,147.3
