"Date","USACPIHOUMINMEI"
1982-12-01,38.6364426654509
1983-01-01,38.9068977641091
1983-02-01,39.0228070921054
1983-03-01,39.0228070921054
1983-04-01,39.2932621907636
1983-05-01,39.4091715187599
1983-06-01,39.5250808467563
1983-07-01,39.7182630600835
1983-08-01,39.8728088307453
1983-09-01,40.104627486738
1983-10-01,40.2205368147344
1983-11-01,40.3750825853962
1983-12-01,40.4523554707271
1984-01-01,40.6069012413889
1984-02-01,40.7228105693852
1984-03-01,40.9159927827125
1984-04-01,41.1864478813707
1984-05-01,41.302357209367
1984-06-01,41.4569029800288
1984-07-01,41.7659945213524
1984-08-01,41.9591767346797
1984-09-01,42.1909953906724
1984-10-01,42.3455411613342
1984-11-01,42.4614504893305
1984-12-01,42.6159962599923
1985-01-01,42.7319055879887
1985-02-01,43.0023606866468
1985-03-01,43.0796335719778
1985-04-01,43.272815785305
1985-05-01,43.7364530972904
1985-06-01,43.8909988679522
1985-07-01,44.1614539666104
1985-08-01,44.470545507934
1985-09-01,44.5864548359303
1985-10-01,44.8569099345885
1985-11-01,45.0887285905812
1985-12-01,45.2046379185776
1986-01-01,45.3591836892394
1986-02-01,45.4750930172357
1986-03-01,45.7841845585593
1986-04-01,46.1319125425484
1986-05-01,46.2478218705447
1986-06-01,46.3250947558756
1986-07-01,46.5569134118683
1986-08-01,46.7114591825301
1986-09-01,47.0205507238538
1986-10-01,47.213732937181
1986-11-01,47.2910058225119
1986-12-01,47.3296422651774
1987-01-01,47.5614609211701
1987-02-01,47.7546431344973
1987-03-01,47.9478253478246
1987-04-01,48.2182804464827
1987-05-01,48.3341897744791
1987-06-01,48.4500991024754
1987-07-01,48.6819177584681
1987-08-01,49.0296457424572
1987-09-01,49.1455550704536
1987-10-01,49.4546466117772
1987-11-01,49.4932830544426
1987-12-01,49.6478288251044
1988-01-01,49.9955568090935
1988-02-01,50.1501025797553
1988-03-01,50.381921235748
1988-04-01,50.4591941210789
1988-05-01,50.6137398917407
1988-06-01,50.8069221050679
1988-07-01,51.1160136463915
1988-08-01,51.4251051877151
1988-09-01,51.5410145157115
1988-10-01,51.6955602863733
1988-11-01,51.8114696143697
1988-12-01,51.8887424997006
1989-01-01,52.0819247130278
1989-02-01,52.3137433690205
1989-03-01,52.6614713530096
1989-04-01,52.6614713530096
1989-05-01,52.8932900090023
1989-06-01,53.0864722223295
1989-07-01,53.6273824196459
1989-08-01,53.8205646329731
1989-09-01,53.8205646329731
1989-10-01,54.1296561742967
1989-11-01,54.2842019449585
1989-12-01,54.4387477156203
1990-01-01,54.7092028142785
1990-02-01,54.8637485849403
1990-03-01,55.3660223395912
1990-04-01,55.4432952249221
1990-05-01,55.5205681102529
1990-06-01,56.0228418649038
1990-07-01,56.6796613902165
1990-08-01,57.2205715875328
1990-09-01,57.1432987022019
1990-10-01,57.2205715875328
1990-11-01,57.2205715875328
1990-12-01,57.3364809155292
1991-01-01,57.8773911128454
1991-02-01,58.1092097688382
1991-03-01,58.3410284248309
1991-04-01,58.3410284248309
1991-05-01,58.3410284248309
1991-06-01,58.5728470808236
1991-07-01,58.9978479501435
1991-08-01,59.1910301634708
1991-09-01,59.2296666061362
1991-10-01,59.3455759341326
1991-11-01,59.4228488194635
1991-12-01,59.5773945901253
1992-01-01,59.9637590167798
1992-02-01,60.1955776727725
1992-03-01,60.4660327714306
1992-04-01,60.3887598860998
1992-05-01,60.3501234434343
1992-06-01,60.6978514274234
1992-07-01,61.0455794114124
1992-08-01,61.2387616247397
1992-09-01,61.0455794114124
1992-10-01,61.2773980674051
1992-11-01,61.2773980674051
1992-12-01,61.3160345100706
1993-01-01,61.779671822056
1993-02-01,62.0501269207141
1993-03-01,62.204672691376
1993-04-01,62.2819455767068
1993-05-01,62.2819455767068
1993-06-01,62.5910371180305
1993-07-01,62.8228557740232
1993-08-01,63.0160379873504
1993-09-01,62.9387651020195
1993-10-01,63.0160379873504
1993-11-01,63.0160379873504
1993-12-01,63.1705837580122
1994-01-01,63.5569481846667
1994-02-01,63.9819490539867
1994-03-01,64.2524041526449
1994-04-01,64.175131267314
1994-05-01,64.1364948246485
1994-06-01,64.3683134806412
1994-07-01,64.6387685792994
1994-08-01,64.9864965632884
1994-09-01,64.9864965632884
1994-10-01,65.1410423339502
1994-11-01,65.1410423339502
1994-12-01,65.0251330059539
1995-01-01,65.4501338752738
1995-02-01,65.8364983019284
1995-03-01,66.1455898432519
1995-04-01,66.1842262859174
1995-05-01,66.2614991712483
1995-06-01,66.5319542699064
1995-07-01,66.918318696561
1995-08-01,67.0728644672228
1995-09-01,67.0728644672228
1995-10-01,67.26604668055
1995-11-01,67.26604668055
1995-12-01,67.3046831232155
1996-01-01,67.8069568778664
1996-02-01,68.1160484191899
1996-03-01,68.3865035178481
1996-04-01,68.3865035178481
1996-05-01,68.3865035178481
1996-06-01,68.6183221738408
1996-07-01,69.1205959284917
1996-08-01,69.2751416991535
1996-09-01,69.1592323711571
1996-10-01,69.3137781418189
1996-11-01,69.3137781418189
1996-12-01,69.2751416991535
1997-01-01,69.7774154538043
1997-02-01,70.1637798804588
1997-03-01,70.434234979117
1997-04-01,70.4728714217824
1997-05-01,70.4728714217824
1997-06-01,70.7433265204406
1997-07-01,71.1296909470951
1997-08-01,71.3615096030878
1997-09-01,71.2456002750915
1997-10-01,71.4774189310842
1997-11-01,71.4774189310842
1997-12-01,71.5933282590805
1998-01-01,72.0569655710659
1998-02-01,72.4433299977204
1998-03-01,72.6751486537132
1998-04-01,72.7910579817095
1998-05-01,72.8683308670404
