"Date","CUSR0000SAE1"
1993-01-01,76.1
1993-02-01,76.5
1993-03-01,77
1993-04-01,77.4
1993-05-01,77.8
1993-06-01,78.3
1993-07-01,78.7
1993-08-01,79.1
1993-09-01,79.5
1993-10-01,79.9
1993-11-01,80.3
1993-12-01,80.8
1994-01-01,81.1
1994-02-01,81.5
1994-03-01,81.9
1994-04-01,82.3
1994-05-01,82.8
1994-06-01,83.2
1994-07-01,83.6
1994-08-01,83.9
1994-09-01,84.3
1994-10-01,84.6
1994-11-01,85
1994-12-01,85.4
1995-01-01,85.8
1995-02-01,86.4
1995-03-01,86.7
1995-04-01,87
1995-05-01,87.4
1995-06-01,87.7
1995-07-01,88.1
1995-08-01,88.6
1995-09-01,89
1995-10-01,89.4
1995-11-01,89.8
1995-12-01,90.2
1996-01-01,90.6
1996-02-01,91
1996-03-01,91.4
1996-04-01,91.9
1996-05-01,92.2
1996-06-01,92.5
1996-07-01,92.9
1996-08-01,93.2
1996-09-01,93.5
1996-10-01,93.9
1996-11-01,94.3
1996-12-01,94.7
1997-01-01,95.1
1997-02-01,95.4
1997-03-01,95.8
1997-04-01,96.1
1997-05-01,96.6
1997-06-01,97
1997-07-01,97.4
1997-08-01,97.9
1997-09-01,98.4
1997-10-01,98.8
1997-11-01,99.1
1997-12-01,99.6
1998-01-01,100
1998-02-01,100.3
1998-03-01,100.7
1998-04-01,101.2
1998-05-01,101.7
1998-06-01,102
1998-07-01,102.3
1998-08-01,102.6
1998-09-01,103
1998-10-01,103.4
1998-11-01,103.8
1998-12-01,104.2
1999-01-01,104.6
1999-02-01,105.2
1999-03-01,105.7
1999-04-01,106.1
1999-05-01,106.5
1999-06-01,106.9
1999-07-01,107.3
1999-08-01,107.6
1999-09-01,108
1999-10-01,108.4
1999-11-01,108.5
1999-12-01,108.9
2000-01-01,109.9
2000-02-01,110.4
2000-03-01,110.9
2000-04-01,111.4
2000-05-01,111.9
2000-06-01,112.7
2000-07-01,113.1
2000-08-01,113
2000-09-01,113.4
2000-10-01,114
2000-11-01,114.5
2000-12-01,115
2001-01-01,115.4
2001-02-01,115.8
2001-03-01,116.4
2001-04-01,116.9
2001-05-01,117.5
2001-06-01,118.2
2001-07-01,118.7
2001-08-01,119.4
2001-09-01,120
2001-10-01,120.7
2001-11-01,121.3
2001-12-01,121.5
2002-01-01,122.2
2002-02-01,123.1
2002-03-01,123.7
2002-04-01,124.3
2002-05-01,124.9
2002-06-01,125.7
2002-07-01,126.4
2002-08-01,127
2002-09-01,127.7
2002-10-01,128.2
2002-11-01,128.8
2002-12-01,129.3
2003-01-01,130.2
2003-02-01,130.9
2003-03-01,131.6
2003-04-01,132.3
2003-05-01,133
2003-06-01,133.6
2003-07-01,134.3
2003-08-01,135.9
2003-09-01,136.7
2003-10-01,137.3
2003-11-01,137.8
2003-12-01,138.8
2004-01-01,139.6
2004-02-01,140.3
2004-03-01,141.1
2004-04-01,141.9
2004-05-01,142.5
2004-06-01,143.4
2004-07-01,143.9
2004-08-01,144.7
2004-09-01,145.7
2004-10-01,146.3
2004-11-01,147
2004-12-01,147.8
2005-01-01,148.4
2005-02-01,149.2
2005-03-01,150
2005-04-01,150.8
2005-05-01,151.7
2005-06-01,152.5
2005-07-01,153.2
2005-08-01,153.5
2005-09-01,154.7
2005-10-01,155.3
2005-11-01,156
2005-12-01,156.8
2006-01-01,157.9
2006-02-01,158.4
2006-03-01,159.1
2006-04-01,159.9
2006-05-01,160.7
2006-06-01,161.6
2006-07-01,162.4
2006-08-01,163.3
2006-09-01,164.1
2006-10-01,165
2006-11-01,165.8
2006-12-01,166.7
2007-01-01,167.169
2007-02-01,167.969
2007-03-01,168.879
2007-04-01,169.525
2007-05-01,170.222
2007-06-01,170.802
2007-07-01,171.602
2007-08-01,172.286
2007-09-01,172.938
2007-10-01,174.076
2007-11-01,175.08
2007-12-01,176.004
2008-01-01,176.97
2008-02-01,177.556
2008-03-01,178.221
2008-04-01,179.145
2008-05-01,179.844
2008-06-01,180.662
2008-07-01,181.329
2008-08-01,182.453
2008-09-01,183.521
2008-10-01,184.355
2008-11-01,185.174
2008-12-01,186.019
2009-01-01,186.701
2009-02-01,187.437
2009-03-01,188.148
2009-04-01,188.819
2009-05-01,189.686
2009-06-01,190.473
2009-07-01,191.217
2009-08-01,192.189
2009-09-01,192.955
2009-10-01,193.606
2009-11-01,194.22
2009-12-01,194.871
2010-01-01,195.483
2010-02-01,196.383
2010-03-01,197.307
2010-04-01,198.173
2010-05-01,198.726
2010-06-01,199.553
2010-07-01,199.953
2010-08-01,200.388
2010-09-01,200.734
2010-10-01,201.011
2010-11-01,201.811
2010-12-01,202.657
2011-01-01,203.667
2011-02-01,204.37
2011-03-01,205.011
2011-04-01,205.63
2011-05-01,206.372
2011-06-01,207.055
2011-07-01,207.691
2011-08-01,209.231
2011-09-01,209.853
2011-10-01,210.781
2011-11-01,211.474
2011-12-01,212.133
2012-01-01,212.752
2012-02-01,213.259
2012-03-01,213.85
2012-04-01,214.401
2012-05-01,215.142
2012-06-01,215.626
2012-07-01,216.654
2012-08-01,217.29
2012-09-01,218.236
2012-10-01,218.952
2012-11-01,219.583
2012-12-01,220.263
2013-01-01,221.376
2013-02-01,221.963
2013-03-01,222.541
2013-04-01,223.125
2013-05-01,223.647
2013-06-01,224.034
2013-07-01,224.812
2013-08-01,225.362
2013-09-01,225.749
2013-10-01,226.44
2013-11-01,227.234
2013-12-01,228.015
2014-01-01,228.073
2014-02-01,229.103
2014-03-01,229.723
2014-04-01,230.373
2014-05-01,231.05
2014-06-01,231.667
2014-07-01,232.213
2014-08-01,233.008
2014-09-01,233.417
2014-10-01,234.146
2014-11-01,234.8
2014-12-01,235.402
2015-01-01,236.63
2015-02-01,237.012
2015-03-01,238.117
2015-04-01,239.052
2015-05-01,239.665
2015-06-01,240.232
2015-07-01,241.058
2015-08-01,241.563
2015-09-01,242.52
2015-10-01,242.936
2015-11-01,243.567
2015-12-01,244.004
2016-01-01,244.548
2016-02-01,245.046
2016-03-01,245.554
2016-04-01,246.213
2016-05-01,246.761
2016-06-01,247.276
2016-07-01,247.732
2016-08-01,248.242
2016-09-01,248.753
2016-10-01,249.496
2016-11-01,249.94
2016-12-01,250.769
2017-01-01,250.948
2017-02-01,251.469
2017-03-01,251.829
2017-04-01,252.052
2017-05-01,252.306
2017-06-01,252.982
2017-07-01,253.351
2017-08-01,253.49
2017-09-01,254.117
2017-10-01,254.756
2017-11-01,255.516
2017-12-01,255.747
2018-01-01,255.949
2018-02-01,256.37
2018-03-01,256.384
2018-04-01,256.694
2018-05-01,257.475
2018-06-01,257.971
2018-07-01,258.713
2018-08-01,260.256
2018-09-01,260.682
2018-10-01,261.265
2018-11-01,261.912
2018-12-01,262.456
2019-01-01,262.978
2019-02-01,263.711
2019-03-01,264.665
2019-04-01,265.059
2019-05-01,265.484
2019-06-01,265.809
2019-07-01,266.069
2019-08-01,266.609
2019-09-01,266.726
2019-10-01,267.281
2019-11-01,267.747
2019-12-01,268.035
2020-01-01,268.741
2020-02-01,269.454
2020-03-01,270.218
2020-04-01,270.724
2020-05-01,270.931
2020-06-01,271.077
2020-07-01,271.817
2020-08-01,271.232
2020-09-01,270.589
2020-10-01,270.962
2020-11-01,271.297
2020-12-01,271.807
2021-01-01,272.155
2021-02-01,272.619
2021-03-01,272.36
2021-04-01,272.955
2021-05-01,273.703
2021-06-01,274.153
2021-07-01,274.958
2021-08-01,274.972
2021-09-01,275.852
2021-10-01,276.57
2021-11-01,277.041
2021-12-01,277.28
2022-01-01,278.006
2022-02-01,278.45
2022-03-01,279.243
2022-04-01,279.821
2022-05-01,280.551
2022-06-01,281.522
2022-07-01,282.16
2022-08-01,283.449
2022-09-01,284.358
2022-10-01,284.955
2022-11-01,285.71
2022-12-01,286.533
2023-01-01,287.426
2023-02-01,287.722
2023-03-01,289.138
2023-04-01,289.811
2023-05-01,290.068
2023-06-01,290.365
2023-07-01,291.283
2023-08-01,291.573
2023-09-01,292.529
2023-10-01,292.563
2023-11-01,292.574
