"Date","APU0400FD3101"
1998-01-01,3.486
1998-02-01,3.356
1998-03-01,3.336
1998-04-01,3.412
1998-05-01,3.447
1998-06-01,3.475
1998-07-01,3.423
1998-08-01,3.434
1998-09-01,3.347
1998-10-01,3.442
1998-11-01,3.292
1998-12-01,3.328
1999-01-01,3.288
1999-02-01,3.371
1999-03-01,3.348
1999-04-01,3.259
1999-05-01,3.338
1999-06-01,3.331
1999-07-01,3.385
1999-08-01,3.439
1999-09-01,3.366
1999-10-01,3.445
1999-11-01,3.385
1999-12-01,3.314
2000-01-01,3.341
2000-02-01,3.448
2000-03-01,3.467
2000-04-01,3.416
2000-05-01,3.55
2000-06-01,3.515
2000-07-01,3.531
2000-08-01,3.554
2000-09-01,3.611
2000-10-01,3.605
2000-11-01,3.531
2000-12-01,3.576
2001-01-01,3.594
2001-02-01,3.557
2001-03-01,3.525
2001-04-01,3.546
2001-05-01,3.663
2001-06-01,3.66
2001-07-01,3.751
2001-08-01,3.743
2001-09-01,3.665
2001-10-01,3.623
2001-11-01,3.652
2001-12-01,3.639
2002-01-01,3.637
2002-02-01,3.55
2002-03-01,3.591
2002-04-01,3.503
2002-05-01,3.585
2002-06-01,3.557
2002-07-01,3.485
2002-08-01,3.508
2002-09-01,3.412
2002-10-01,3.399
2002-11-01,3.433
2002-12-01,3.523
2003-01-01,3.47
2003-02-01,3.451
2003-03-01,3.514
2003-04-01,3.508
2003-05-01,2.564
2003-06-01,2.63
2003-07-01,2.768
2003-08-01,2.711
2003-09-01,2.763
2003-10-01,3.167
2003-11-01,3.089
2003-12-01,3.113
2004-01-01,3.002
2004-02-01,3.114
2004-03-01,3.013
2004-04-01,3
2004-05-01,2.832
2004-06-01,2.998
2004-07-01,2.988
2004-08-01,3.039
2004-09-01,3.04
2004-10-01,2.768
2004-11-01,2.604
2004-12-01,2.746
2005-01-01,2.75
2005-02-01,2.698
2005-03-01,2.764
2005-04-01,2.816
2005-05-01,3.137
2005-06-01,3.208
2005-07-01,3.104
2005-08-01,3.119
2005-09-01,3.057
2005-10-01,3.082
2005-11-01,3.121
2005-12-01,3.146
2006-01-01,3.215
2006-02-01,3.231
2006-03-01,3.19
2006-04-01,3.169
2006-05-01,3.167
2006-06-01,3.063
2006-07-01,3.257
2006-08-01,3.323
2006-09-01,3.342
2006-10-01,3.25
2006-11-01,3.125
2006-12-01,2.998
2007-01-01,3.094
2007-02-01,2.945
2007-03-01,3.199
2007-04-01,3.111
2007-05-01,3.067
2007-06-01,3.066
2007-07-01,3.094
2007-08-01,3.048
2007-09-01,3.047
2007-10-01,3.024
2007-11-01,3
2007-12-01,2.953
2008-01-01,2.915
2008-02-01,2.871
2008-03-01,2.935
2008-04-01,2.798
2008-05-01,3.13
2008-06-01,3.221
2008-07-01,3.204
2008-08-01,3.337
2008-09-01,3.344
2008-10-01,3.077
2008-11-01,3.231
2008-12-01,3.188
2009-01-01,3.218
2009-02-01,3.142
2009-03-01,3.249
2009-04-01,3.068
2009-05-01,3.072
2009-06-01,3.172
2009-07-01,3.352
2009-08-01,3.303
2009-09-01,3.274
2009-10-01,3.363
2009-11-01,2.866
2009-12-01,2.88
2010-01-01,2.875
2010-02-01,3.065
2010-03-01,3.021
2010-04-01,3.035
2010-05-01,3.023
2010-06-01,3.135
2010-07-01,3.341
2010-08-01,3.249
2010-09-01,3.216
2010-10-01,3.172
2010-11-01,3.296
2010-12-01,3.355
2011-01-01,3.387
2011-02-01,3.479
2011-03-01,3.523
2011-04-01,3.417
2011-05-01,3.597
2011-06-01,3.652
