"Date","CUUR0100SAS"
1977-12-01,60.4
1978-01-01,NA
1978-02-01,61.2
1978-03-01,NA
1978-04-01,61.8
1978-05-01,NA
1978-06-01,62.5
1978-07-01,NA
1978-08-01,63.5
1978-09-01,NA
1978-10-01,64.3
1978-11-01,NA
1978-12-01,65.1
1979-01-01,NA
1979-02-01,65.9
1979-03-01,NA
1979-04-01,66.7
1979-05-01,NA
1979-06-01,67.8
1979-07-01,NA
1979-08-01,69
1979-09-01,NA
1979-10-01,70.7
1979-11-01,NA
1979-12-01,71.9
1980-01-01,NA
1980-02-01,73.3
1980-03-01,NA
1980-04-01,75.6
1980-05-01,NA
1980-06-01,77.3
1980-07-01,NA
1980-08-01,78.6
1980-09-01,NA
1980-10-01,79.7
1980-11-01,NA
1980-12-01,81.4
1981-01-01,NA
1981-02-01,83.1
1981-03-01,NA
1981-04-01,84.6
1981-05-01,NA
1981-06-01,86.8
1981-07-01,NA
1981-08-01,89.5
1981-09-01,NA
1981-10-01,91
1981-11-01,NA
1981-12-01,92.2
1982-01-01,NA
1982-02-01,91.7
1982-03-01,NA
1982-04-01,92.2
1982-05-01,NA
1982-06-01,95.2
1982-07-01,NA
1982-08-01,95.7
1982-09-01,NA
1982-10-01,97
1982-11-01,NA
1982-12-01,96.5
1983-01-01,NA
1983-02-01,97.6
1983-03-01,NA
1983-04-01,98.8
1983-05-01,NA
1983-06-01,99.3
1983-07-01,NA
1983-08-01,100
1983-09-01,NA
1983-10-01,101.3
1983-11-01,NA
1983-12-01,102.1
1984-01-01,NA
1984-02-01,103.5
1984-03-01,NA
1984-04-01,104.6
1984-05-01,NA
1984-06-01,105.2
1984-07-01,NA
1984-08-01,106.9
1984-09-01,NA
1984-10-01,107.9
1984-11-01,NA
1984-12-01,108.6
1985-01-01,NA
1985-02-01,109.3
1985-03-01,NA
1985-04-01,110.7
1985-05-01,NA
1985-06-01,111.6
1985-07-01,NA
1985-08-01,112.4
1985-09-01,NA
1985-10-01,113.3
1985-11-01,NA
1985-12-01,114.8
1986-01-01,NA
1986-02-01,116
1986-03-01,NA
1986-04-01,117.4
1986-05-01,NA
1986-06-01,118.3
1986-07-01,NA
1986-08-01,119.3
1986-09-01,NA
1986-10-01,120.2
1986-11-01,NA
1986-12-01,121
1987-01-01,121.6
1987-02-01,122
1987-03-01,122.2
1987-04-01,122.8
1987-05-01,123.5
1987-06-01,124.4
1987-07-01,125
1987-08-01,126
1987-09-01,126.3
1987-10-01,127
1987-11-01,127.2
1987-12-01,127.8
1988-01-01,129
1988-02-01,129.5
1988-03-01,129.7
1988-04-01,130.4
1988-05-01,131
1988-06-01,132.1
1988-07-01,132.8
1988-08-01,133.7
1988-09-01,134.9
1988-10-01,135
1988-11-01,135.8
1988-12-01,135.9
1989-01-01,136.9
1989-02-01,137.3
1989-03-01,138.6
1989-04-01,139
1989-05-01,140
1989-06-01,140.5
1989-07-01,141.7
1989-08-01,142.2
1989-09-01,142.8
1989-10-01,143.4
1989-11-01,144
1989-12-01,144.3
1990-01-01,145.4
1990-02-01,145.7
1990-03-01,147.1
1990-04-01,147.7
1990-05-01,148.1
1990-06-01,148.6
1990-07-01,150.6
1990-08-01,151.9
1990-09-01,152.2
1990-10-01,152.3
1990-11-01,152.7
1990-12-01,152.7
1991-01-01,155.2
1991-02-01,156.1
1991-03-01,156.5
1991-04-01,156.4
1991-05-01,156.4
1991-06-01,157.3
1991-07-01,158.7
1991-08-01,159.4
1991-09-01,159.9
1991-10-01,159.7
1991-11-01,160.2
1991-12-01,160.9
1992-01-01,161.7
1992-02-01,162.5
1992-03-01,163.7
1992-04-01,163.5
1992-05-01,163.3
1992-06-01,164.5
1992-07-01,165.7
1992-08-01,166.4
1992-09-01,166.3
1992-10-01,166.8
1992-11-01,166.8
1992-12-01,166.9
1993-01-01,168.2
1993-02-01,168.8
1993-03-01,169.4
1993-04-01,169.6
1993-05-01,169.7
1993-06-01,170.9
1993-07-01,171.6
1993-08-01,171.9
1993-09-01,171.9
1993-10-01,172.3
1993-11-01,172.5
1993-12-01,173.1
1994-01-01,174
1994-02-01,175.4
1994-03-01,175.6
1994-04-01,175.3
1994-05-01,174.9
1994-06-01,175.9
1994-07-01,176.6
1994-08-01,177.7
1994-09-01,177.5
1994-10-01,177.7
1994-11-01,178
1994-12-01,177.5
1995-01-01,178.8
1995-02-01,179.8
1995-03-01,180.3
1995-04-01,180.4
1995-05-01,180.5
1995-06-01,181.3
1995-07-01,182.3
1995-08-01,182.5
1995-09-01,182.7
1995-10-01,183
1995-11-01,183.3
1995-12-01,183.4
1996-01-01,184.6
1996-02-01,185.6
1996-03-01,186
1996-04-01,185.5
1996-05-01,185.5
1996-06-01,186.3
1996-07-01,187.5
1996-08-01,188.4
1996-09-01,188.3
1996-10-01,188.7
1996-11-01,188.8
1996-12-01,189.3
1997-01-01,190.3
1997-02-01,191.3
1997-03-01,191.8
1997-04-01,191.7
1997-05-01,191.4
1997-06-01,192.6
1997-07-01,193.7
1997-08-01,193.9
1997-09-01,193.9
1997-10-01,194.4
1997-11-01,194.1
1997-12-01,194.7
1998-01-01,195.6
1998-02-01,196.2
1998-03-01,196.5
1998-04-01,196.5
1998-05-01,196.2
1998-06-01,197
1998-07-01,197.9
1998-08-01,198.7
1998-09-01,198.8
1998-10-01,199
1998-11-01,199.1
1998-12-01,199.3
1999-01-01,199.7
1999-02-01,200.4
1999-03-01,201
1999-04-01,201
1999-05-01,200.8
1999-06-01,201.6
1999-07-01,202.3
1999-08-01,202.7
1999-09-01,202.7
1999-10-01,203.2
1999-11-01,203.6
1999-12-01,203.7
2000-01-01,205.1
2000-02-01,205.8
2000-03-01,206.6
2000-04-01,206.7
2000-05-01,206.4
2000-06-01,207.7
2000-07-01,209.2
2000-08-01,209.5
2000-09-01,209.7
2000-10-01,210.2
2000-11-01,210.9
2000-12-01,211
2001-01-01,213
2001-02-01,213.8
2001-03-01,215.2
2001-04-01,215.4
2001-05-01,215.4
2001-06-01,216.9
2001-07-01,217.7
2001-08-01,218.7
2001-09-01,218.2
2001-10-01,218.3
2001-11-01,219
2001-12-01,219
2002-01-01,220.5
2002-02-01,222.2
2002-03-01,223.1
2002-04-01,223.3
2002-05-01,223.8
2002-06-01,224.6
2002-07-01,225.8
2002-08-01,226.8
2002-09-01,226.3
2002-10-01,227.1
2002-11-01,227.3
2002-12-01,227.1
2003-01-01,228.9
2003-02-01,229.5
2003-03-01,231.2
2003-04-01,231.1
2003-05-01,232.6
2003-06-01,233.3
2003-07-01,234.5
2003-08-01,235.2
2003-09-01,234.8
2003-10-01,235.7
2003-11-01,235.6
2003-12-01,235.7
2004-01-01,237.3
2004-02-01,238.3
2004-03-01,240.2
2004-04-01,241.5
2004-05-01,241.1
2004-06-01,243
2004-07-01,244
2004-08-01,244
2004-09-01,243.7
2004-10-01,243.9
2004-11-01,243.6
2004-12-01,243.4
2005-01-01,245.3
2005-02-01,246.8
2005-03-01,249.9
2005-04-01,249.9
2005-05-01,248.7
2005-06-01,249.5
2005-07-01,251.9
2005-08-01,252.1
2005-09-01,251.2
2005-10-01,254.1
2005-11-01,254.1
2005-12-01,253.4
2006-01-01,255.6
2006-02-01,256.6
2006-03-01,258.1
2006-04-01,259.3
2006-05-01,259.8
2006-06-01,262.3
2006-07-01,264.1
2006-08-01,264.9
2006-09-01,263.1
2006-10-01,262.7
2006-11-01,263
2006-12-01,263.4
2007-01-01,264.54
2007-02-01,265.655
2007-03-01,266.49
2007-04-01,267.151
2007-05-01,267.641
2007-06-01,269.963
2007-07-01,271.702
2007-08-01,271.435
2007-09-01,270.308
2007-10-01,270.592
2007-11-01,271.219
2007-12-01,271.332
2008-01-01,272.502
2008-02-01,273.755
2008-03-01,275.104
2008-04-01,275.422
2008-05-01,276.128
2008-06-01,279.059
2008-07-01,282.128
2008-08-01,282.261
2008-09-01,280.369
2008-10-01,279.66
2008-11-01,279.127
2008-12-01,279.261
2009-01-01,280.383
2009-02-01,281.194
2009-03-01,281.955
2009-04-01,281.827
2009-05-01,281.315
2009-06-01,283.138
2009-07-01,284.51
2009-08-01,284.886
2009-09-01,283.842
2009-10-01,283.798
2009-11-01,283.559
2009-12-01,283.487
2010-01-01,284.157
2010-02-01,284.771
2010-03-01,285.22
2010-04-01,285.349
2010-05-01,285.889
2010-06-01,286.957
2010-07-01,287.758
2010-08-01,287.584
2010-09-01,286.848
2010-10-01,286.641
2010-11-01,286.811
2010-12-01,286.58
2011-01-01,287.061
2011-02-01,287.79
2011-03-01,288.413
2011-04-01,288.74
2011-05-01,289.421
2011-06-01,290.731
2011-07-01,292.042
2011-08-01,292.625
2011-09-01,292.818
2011-10-01,292.659
2011-11-01,292.694
2011-12-01,292.492
2012-01-01,293.104
2012-02-01,293.418
2012-03-01,293.967
2012-04-01,294.32
2012-05-01,294.827
2012-06-01,296.218
2012-07-01,296.215
2012-08-01,296.666
2012-09-01,297.158
2012-10-01,297.574
2012-11-01,298.13
2012-12-01,298.553
2013-01-01,299.578
2013-02-01,300.447
2013-03-01,300.692
2013-04-01,301.016
2013-05-01,301.994
2013-06-01,302.782
2013-07-01,303.556
2013-08-01,303.744
2013-09-01,304.358
2013-10-01,304.121
2013-11-01,305.101
2013-12-01,305.367
2014-01-01,307.429
2014-02-01,307.037
2014-03-01,308.285
2014-04-01,308.177
2014-05-01,309.57
2014-06-01,309.869
2014-07-01,310.242
2014-08-01,310.073
2014-09-01,309.809
2014-10-01,310.037
2014-11-01,310.767
2014-12-01,310.844
2015-01-01,312.501
2015-02-01,313.19
2015-03-01,312.989
2015-04-01,313.724
2015-05-01,314.128
2015-06-01,315.48
2015-07-01,315.601
2015-08-01,315.622
2015-09-01,316.624
2015-10-01,316.906
2015-11-01,317.843
2015-12-01,317.353
2016-01-01,317.977
2016-02-01,319.212
2016-03-01,319.998
2016-04-01,321.041
2016-05-01,321.813
2016-06-01,323.006
2016-07-01,323.701
2016-08-01,324.117
2016-09-01,324.19
2016-10-01,324.914
2016-11-01,325.751
2016-12-01,326.063
2017-01-01,327.218
2017-02-01,328.452
2017-03-01,327.737
2017-04-01,328.385
2017-05-01,329.095
2017-06-01,329.674
2017-07-01,329.545
2017-08-01,330.092
2017-09-01,330.453
2017-10-01,330.424
2017-11-01,331.15
2017-12-01,332.006
2018-01-01,332.886
2018-02-01,334.012
2018-03-01,334.865
2018-04-01,335.433
2018-05-01,336.839
2018-06-01,337.595
2018-07-01,337.754
2018-08-01,338.472
2018-09-01,338.521
2018-10-01,338.222
2018-11-01,338.384
2018-12-01,339.604
2019-01-01,340.839
2019-02-01,341.407
2019-03-01,342.262
2019-04-01,343.333
2019-05-01,343.671
2019-06-01,345.002
2019-07-01,345.471
2019-08-01,346.016
2019-09-01,346.636
2019-10-01,346.37
2019-11-01,347.822
2019-12-01,348.163
2020-01-01,350.229
2020-02-01,351.467
2020-03-01,351.513
2020-04-01,350.479
2020-05-01,351.075
2020-06-01,352.42
2020-07-01,353.955
2020-08-01,353.224
2020-09-01,353.37
2020-10-01,352.848
2020-11-01,353.904
2020-12-01,353.715
2021-01-01,353.853
2021-02-01,354.874
2021-03-01,355.873
2021-04-01,357.972
2021-05-01,359.111
2021-06-01,362.155
2021-07-01,362.161
2021-08-01,361.603
2021-09-01,361.742
2021-10-01,362.587
2021-11-01,363.95
2021-12-01,364.512
2022-01-01,366.687
2022-02-01,367.514
2022-03-01,370.184
2022-04-01,374.044
2022-05-01,374.918
2022-06-01,379.054
2022-07-01,378.922
2022-08-01,381.613
2022-09-01,384.33
2022-10-01,385.271
2022-11-01,385.971
2022-12-01,388.149
2023-01-01,390.816
2023-02-01,393.427
2023-03-01,391.922
2023-04-01,392.562
2023-05-01,393.054
2023-06-01,394.909
2023-07-01,396.085
2023-08-01,397.44
2023-09-01,399.003
2023-10-01,399.275
2023-11-01,401.523
