"Date","CUURA422SASL2RS"
1982-12-01,100
1983-01-01,NA
1983-02-01,100
1983-03-01,NA
1983-04-01,99.7
1983-05-01,NA
1983-06-01,101.4
1983-07-01,NA
1983-08-01,102.4
1983-09-01,NA
1983-10-01,102.9
1983-11-01,NA
1983-12-01,102.2
1984-01-01,NA
1984-02-01,104.9
1984-03-01,NA
1984-04-01,106
1984-05-01,NA
1984-06-01,108.4
1984-07-01,NA
1984-08-01,109.8
1984-09-01,NA
1984-10-01,111.6
1984-11-01,NA
1984-12-01,110.6
1985-01-01,NA
1985-02-01,110.7
1985-03-01,NA
1985-04-01,111.4
1985-05-01,NA
1985-06-01,114
1985-07-01,NA
1985-08-01,115.3
1985-09-01,NA
1985-10-01,115.7
1985-11-01,NA
1985-12-01,114.5
1986-01-01,NA
1986-02-01,116.5
1986-03-01,NA
1986-04-01,117.7
1986-05-01,NA
1986-06-01,120.2
1986-07-01,NA
1986-08-01,120.8
1986-09-01,NA
1986-10-01,121.7
1986-11-01,NA
1986-12-01,120.1
1987-01-01,120.7
1987-02-01,120.9
1987-03-01,121
1987-04-01,121.3
1987-05-01,122.9
1987-06-01,122.5
1987-07-01,124.1
1987-08-01,124.8
1987-09-01,125.3
1987-10-01,125.4
1987-11-01,124.8
1987-12-01,125.2
1988-01-01,126.5
1988-02-01,125.6
1988-03-01,126.4
1988-04-01,127.2
1988-05-01,129.4
1988-06-01,130.1
1988-07-01,130.4
1988-08-01,131.4
1988-09-01,131.7
1988-10-01,131.8
1988-11-01,130
1988-12-01,130.6
1989-01-01,131.9
1989-02-01,132.4
1989-03-01,132.6
1989-04-01,132.9
1989-05-01,134.8
1989-06-01,135
1989-07-01,135.5
1989-08-01,136.3
1989-09-01,135.3
1989-10-01,135.5
1989-11-01,134.7
1989-12-01,134.8
1990-01-01,136.1
1990-02-01,136.2
1990-03-01,137
1990-04-01,138.1
1990-05-01,140
1990-06-01,140.5
1990-07-01,141
1990-08-01,142
1990-09-01,143.3
1990-10-01,144
1990-11-01,143
1990-12-01,144.3
1991-01-01,145.5
1991-02-01,145.9
1991-03-01,146.2
1991-04-01,145.5
1991-05-01,147.3
1991-06-01,148.7
1991-07-01,149.7
1991-08-01,151.1
1991-09-01,151.8
1991-10-01,152.3
1991-11-01,151
1991-12-01,151.2
1992-01-01,153.2
1992-02-01,153.1
1992-03-01,153.6
1992-04-01,154.7
1992-05-01,155.4
1992-06-01,155.9
1992-07-01,156.6
1992-08-01,156.8
1992-09-01,158.9
1992-10-01,160
1992-11-01,158.4
1992-12-01,158.7
1993-01-01,160.5
1993-02-01,160.9
1993-03-01,160.5
1993-04-01,161
1993-05-01,162.2
1993-06-01,162.7
1993-07-01,162.9
1993-08-01,164
1993-09-01,164.6
1993-10-01,165.3
1993-11-01,165
1993-12-01,164.8
1994-01-01,165.4
1994-02-01,165.6
1994-03-01,166.8
1994-04-01,166.8
1994-05-01,167.1
1994-06-01,167.2
1994-07-01,167.1
1994-08-01,168.2
1994-09-01,168.7
1994-10-01,169.3
1994-11-01,168.3
1994-12-01,168.1
1995-01-01,169.6
1995-02-01,169.9
1995-03-01,170.6
1995-04-01,170.8
1995-05-01,171.7
1995-06-01,172.1
1995-07-01,172.7
1995-08-01,172.4
1995-09-01,173.6
1995-10-01,173.3
1995-11-01,172.9
1995-12-01,172.6
1996-01-01,172.5
1996-02-01,173.5
1996-03-01,168
1996-04-01,169.2
1996-05-01,174.3
1996-06-01,175.6
1996-07-01,176.6
1996-08-01,175.9
1996-09-01,177.5
1996-10-01,178.5
1996-11-01,178.2
1996-12-01,177.8
1997-01-01,177.1
1997-02-01,177.7
1997-03-01,179.5
1997-04-01,178.8
1997-05-01,180.5
1997-06-01,181.2
1997-07-01,181.6
1997-08-01,181
1997-09-01,181.2
1997-10-01,181.7
1997-11-01,181.5
1997-12-01,181.9
1998-01-01,NA
1998-02-01,180.1
1998-03-01,NA
1998-04-01,181
1998-05-01,NA
1998-06-01,182.4
1998-07-01,NA
1998-08-01,183.8
1998-09-01,NA
1998-10-01,183.2
1998-11-01,NA
1998-12-01,183.6
1999-01-01,NA
1999-02-01,184.9
1999-03-01,NA
1999-04-01,186.5
1999-05-01,NA
1999-06-01,187
1999-07-01,NA
1999-08-01,189
1999-09-01,NA
1999-10-01,190.2
1999-11-01,NA
1999-12-01,190
2000-01-01,NA
2000-02-01,191.9
2000-03-01,NA
2000-04-01,191.7
2000-05-01,NA
2000-06-01,194.3
2000-07-01,NA
2000-08-01,199
2000-09-01,NA
2000-10-01,198.8
2000-11-01,NA
2000-12-01,200
2001-01-01,NA
2001-02-01,205.8
2001-03-01,NA
2001-04-01,202
2001-05-01,NA
2001-06-01,204.9
2001-07-01,NA
2001-08-01,205.2
2001-09-01,NA
2001-10-01,205
2001-11-01,NA
2001-12-01,207.4
2002-01-01,NA
2002-02-01,207.3
2002-03-01,NA
2002-04-01,208.6
2002-05-01,NA
2002-06-01,210.7
2002-07-01,NA
2002-08-01,211.5
2002-09-01,NA
2002-10-01,213.7
2002-11-01,NA
2002-12-01,213.6
2003-01-01,NA
2003-02-01,216.5
2003-03-01,NA
2003-04-01,217.1
2003-05-01,NA
2003-06-01,219.2
2003-07-01,NA
2003-08-01,218.3
2003-09-01,NA
2003-10-01,220.3
2003-11-01,NA
2003-12-01,219.7
2004-01-01,NA
2004-02-01,222.8
2004-03-01,NA
2004-04-01,222
2004-05-01,NA
2004-06-01,224.6
2004-07-01,NA
2004-08-01,227
2004-09-01,NA
2004-10-01,227.4
2004-11-01,NA
2004-12-01,228.5
2005-01-01,NA
2005-02-01,230.2
2005-03-01,NA
2005-04-01,231
2005-05-01,NA
2005-06-01,231.8
2005-07-01,NA
2005-08-01,235
2005-09-01,NA
2005-10-01,241.3
2005-11-01,NA
2005-12-01,239.3
2006-01-01,NA
2006-02-01,246.4
2006-03-01,NA
2006-04-01,248.2
2006-05-01,NA
2006-06-01,248.1
2006-07-01,NA
2006-08-01,250.2
2006-09-01,NA
2006-10-01,252.7
2006-11-01,NA
2006-12-01,251.7
2007-01-01,NA
2007-02-01,255.088
2007-03-01,NA
2007-04-01,256.52
2007-05-01,NA
2007-06-01,261.309
2007-07-01,NA
2007-08-01,261.184
2007-09-01,NA
2007-10-01,263.489
2007-11-01,NA
2007-12-01,263.273
2008-01-01,NA
2008-02-01,266.049
2008-03-01,NA
2008-04-01,268.561
2008-05-01,NA
2008-06-01,274.421
2008-07-01,NA
2008-08-01,275.982
