"Date","CUURA320SEFV"
1977-11-01,61.8
1977-12-01,NA
1978-01-01,62.9
1978-02-01,NA
1978-03-01,62.8
1978-04-01,NA
1978-05-01,64.1
1978-06-01,NA
1978-07-01,65.5
1978-08-01,NA
1978-09-01,65.5
1978-10-01,NA
1978-11-01,66.7
1978-12-01,NA
1979-01-01,71.3
1979-02-01,NA
1979-03-01,71.6
1979-04-01,NA
1979-05-01,74.3
1979-06-01,NA
1979-07-01,75
1979-08-01,NA
1979-09-01,75.1
1979-10-01,NA
1979-11-01,75.5
1979-12-01,NA
1980-01-01,75.5
1980-02-01,NA
1980-03-01,76
1980-04-01,NA
1980-05-01,77
1980-06-01,NA
1980-07-01,79.6
1980-08-01,NA
1980-09-01,81.2
1980-10-01,NA
1980-11-01,81.4
1980-12-01,NA
1981-01-01,82.4
1981-02-01,NA
1981-03-01,83
1981-04-01,NA
1981-05-01,83
1981-06-01,NA
1981-07-01,84.8
1981-08-01,NA
1981-09-01,86.7
1981-10-01,NA
1981-11-01,90.8
1981-12-01,NA
1982-01-01,94.2
1982-02-01,NA
1982-03-01,94.4
1982-04-01,NA
1982-05-01,95.5
1982-06-01,NA
1982-07-01,95.8
1982-08-01,NA
1982-09-01,95.8
1982-10-01,NA
1982-11-01,95.8
1982-12-01,NA
1983-01-01,98.9
1983-02-01,NA
1983-03-01,99.5
1983-04-01,NA
1983-05-01,99.7
1983-06-01,NA
1983-07-01,99.8
1983-08-01,NA
1983-09-01,100.4
1983-10-01,NA
1983-11-01,102.8
1983-12-01,NA
1984-01-01,103.7
1984-02-01,NA
1984-03-01,103.9
1984-04-01,NA
1984-05-01,104.1
1984-06-01,NA
1984-07-01,104.1
1984-08-01,NA
1984-09-01,103.8
1984-10-01,NA
1984-11-01,105.2
1984-12-01,NA
1985-01-01,105.3
1985-02-01,NA
1985-03-01,105.7
1985-04-01,NA
1985-05-01,105.9
1985-06-01,NA
1985-07-01,107.5
1985-08-01,NA
1985-09-01,107.5
1985-10-01,NA
1985-11-01,107.5
1985-12-01,NA
1986-01-01,107.5
1986-02-01,NA
1986-03-01,108
1986-04-01,NA
1986-05-01,108
1986-06-01,NA
1986-07-01,98.9
1986-08-01,NA
1986-09-01,109.9
1986-10-01,NA
1986-11-01,114.4
1986-12-01,NA
1987-01-01,114.4
1987-02-01,NA
1987-03-01,117.4
1987-04-01,NA
1987-05-01,120
1987-06-01,NA
1987-07-01,120.1
1987-08-01,NA
1987-09-01,120.1
1987-10-01,NA
1987-11-01,121.2
1987-12-01,NA
1988-01-01,122.6
1988-02-01,NA
1988-03-01,124.6
1988-04-01,NA
1988-05-01,126.1
1988-06-01,NA
1988-07-01,126.1
1988-08-01,NA
1988-09-01,127.9
1988-10-01,NA
1988-11-01,128.5
1988-12-01,NA
1989-01-01,129.3
1989-02-01,NA
1989-03-01,129.1
1989-04-01,NA
1989-05-01,129.4
1989-06-01,NA
1989-07-01,130.9
1989-08-01,NA
1989-09-01,131.8
1989-10-01,NA
1989-11-01,134.2
1989-12-01,NA
1990-01-01,136.7
1990-02-01,NA
1990-03-01,137.9
1990-04-01,NA
1990-05-01,141.2
1990-06-01,NA
1990-07-01,142.9
1990-08-01,NA
1990-09-01,142.9
1990-10-01,NA
1990-11-01,143.3
1990-12-01,NA
1991-01-01,143.2
1991-02-01,NA
1991-03-01,144.1
1991-04-01,NA
1991-05-01,147
1991-06-01,NA
1991-07-01,147.9
1991-08-01,NA
1991-09-01,147.8
1991-10-01,NA
1991-11-01,149.5
1991-12-01,NA
1992-01-01,149.5
1992-02-01,NA
1992-03-01,150.8
1992-04-01,NA
1992-05-01,150.7
1992-06-01,NA
1992-07-01,152.2
1992-08-01,NA
1992-09-01,152.5
1992-10-01,NA
1992-11-01,149.6
1992-12-01,NA
1993-01-01,154.5
1993-02-01,NA
1993-03-01,154.8
1993-04-01,NA
1993-05-01,155.2
1993-06-01,NA
1993-07-01,156.8
1993-08-01,NA
1993-09-01,158.2
1993-10-01,NA
1993-11-01,158
1993-12-01,NA
1994-01-01,158.3
1994-02-01,NA
1994-03-01,158.9
1994-04-01,NA
1994-05-01,159.1
1994-06-01,NA
1994-07-01,159.5
1994-08-01,NA
1994-09-01,160.1
1994-10-01,NA
1994-11-01,161.3
1994-12-01,NA
1995-01-01,160.9
1995-02-01,NA
1995-03-01,161.8
1995-04-01,NA
1995-05-01,162.4
1995-06-01,NA
1995-07-01,164.3
1995-08-01,NA
1995-09-01,164.5
1995-10-01,NA
1995-11-01,163.8
1995-12-01,NA
1996-01-01,164.7
1996-02-01,NA
1996-03-01,165.4
1996-04-01,NA
1996-05-01,165.7
1996-06-01,NA
1996-07-01,166.2
1996-08-01,NA
1996-09-01,167.7
1996-10-01,NA
1996-11-01,168.5
1996-12-01,NA
1997-01-01,169.5
1997-02-01,NA
1997-03-01,169.9
1997-04-01,NA
1997-05-01,171
1997-06-01,NA
1997-07-01,171.8
1997-08-01,NA
1997-09-01,171.6
1997-10-01,NA
1997-11-01,172
1997-12-01,173.6
1998-01-01,NA
1998-02-01,174.1
1998-03-01,NA
1998-04-01,174.3
1998-05-01,NA
1998-06-01,176.2
1998-07-01,NA
1998-08-01,175.8
1998-09-01,NA
1998-10-01,176.2
1998-11-01,NA
1998-12-01,175
1999-01-01,NA
1999-02-01,174.8
1999-03-01,NA
1999-04-01,176.4
1999-05-01,NA
1999-06-01,176.4
1999-07-01,NA
1999-08-01,176.4
1999-09-01,NA
1999-10-01,177.1
1999-11-01,NA
1999-12-01,176.2
2000-01-01,NA
2000-02-01,177.2
2000-03-01,NA
2000-04-01,178.8
2000-05-01,NA
2000-06-01,181.5
2000-07-01,NA
2000-08-01,183.8
2000-09-01,NA
2000-10-01,185.2
2000-11-01,NA
2000-12-01,185.2
2001-01-01,NA
2001-02-01,185.6
2001-03-01,NA
2001-04-01,186.5
2001-05-01,NA
2001-06-01,186.5
2001-07-01,NA
2001-08-01,187.3
2001-09-01,NA
2001-10-01,188.5
2001-11-01,NA
2001-12-01,187.1
2002-01-01,NA
2002-02-01,189.1
2002-03-01,NA
2002-04-01,188.7
2002-05-01,NA
2002-06-01,189
2002-07-01,NA
2002-08-01,190.3
2002-09-01,NA
2002-10-01,190.9
2002-11-01,NA
2002-12-01,191
2003-01-01,NA
2003-02-01,192.3
2003-03-01,NA
2003-04-01,192.4
2003-05-01,NA
2003-06-01,192.8
2003-07-01,NA
2003-08-01,193.7
2003-09-01,NA
2003-10-01,194.6
2003-11-01,NA
2003-12-01,195.6
2004-01-01,NA
2004-02-01,196.6
2004-03-01,NA
2004-04-01,197
2004-05-01,NA
2004-06-01,194.8
2004-07-01,NA
2004-08-01,195.2
2004-09-01,NA
2004-10-01,196
2004-11-01,NA
2004-12-01,195.9
2005-01-01,NA
2005-02-01,199.6
2005-03-01,NA
2005-04-01,201.1
2005-05-01,NA
2005-06-01,202.8
2005-07-01,NA
2005-08-01,203.1
2005-09-01,NA
2005-10-01,203.6
2005-11-01,NA
2005-12-01,203.8
2006-01-01,NA
2006-02-01,204.3
2006-03-01,NA
2006-04-01,205
2006-05-01,NA
2006-06-01,205.8
2006-07-01,NA
2006-08-01,206.6
2006-09-01,NA
2006-10-01,206.9
2006-11-01,NA
2006-12-01,209.3
2007-01-01,NA
2007-02-01,213.642
2007-03-01,NA
2007-04-01,214.74
2007-05-01,NA
2007-06-01,215.108
2007-07-01,NA
2007-08-01,215.899
2007-09-01,NA
2007-10-01,215.889
2007-11-01,NA
2007-12-01,218.271
2008-01-01,NA
2008-02-01,219.618
2008-03-01,NA
2008-04-01,219.97
2008-05-01,NA
2008-06-01,221.113
2008-07-01,NA
2008-08-01,221.836
2008-09-01,NA
2008-10-01,223.723
2008-11-01,NA
2008-12-01,225.271
2009-01-01,NA
2009-02-01,225.604
2009-03-01,NA
2009-04-01,229.613
2009-05-01,NA
2009-06-01,229.527
2009-07-01,NA
2009-08-01,229.294
2009-09-01,NA
2009-10-01,229.04
2009-11-01,NA
2009-12-01,231.543
2010-01-01,NA
2010-02-01,232.291
2010-03-01,NA
2010-04-01,233.43
2010-05-01,NA
2010-06-01,233.555
2010-07-01,NA
2010-08-01,232.409
2010-09-01,NA
2010-10-01,232.823
2010-11-01,NA
2010-12-01,235.326
2011-01-01,NA
2011-02-01,236.91
2011-03-01,NA
2011-04-01,238.776
2011-05-01,NA
2011-06-01,239.832
2011-07-01,NA
2011-08-01,240.125
2011-09-01,NA
2011-10-01,241.462
2011-11-01,NA
2011-12-01,241.791
2012-01-01,NA
2012-02-01,241.297
2012-03-01,NA
2012-04-01,243.404
2012-05-01,NA
2012-06-01,247.97
2012-07-01,NA
2012-08-01,248.498
2012-09-01,NA
2012-10-01,247.847
2012-11-01,NA
2012-12-01,248.43
2013-01-01,NA
2013-02-01,249.335
2013-03-01,NA
2013-04-01,251.538
2013-05-01,NA
2013-06-01,252.31
2013-07-01,NA
2013-08-01,253.388
2013-09-01,NA
2013-10-01,253.376
2013-11-01,NA
2013-12-01,254.853
2014-01-01,NA
2014-02-01,254.769
2014-03-01,NA
2014-04-01,255.723
2014-05-01,NA
2014-06-01,256.787
2014-07-01,NA
2014-08-01,259.576
2014-09-01,NA
2014-10-01,261.332
2014-11-01,NA
2014-12-01,263.444
2015-01-01,NA
2015-02-01,264.127
2015-03-01,NA
2015-04-01,266.195
2015-05-01,NA
2015-06-01,266.691
2015-07-01,NA
2015-08-01,268.354
2015-09-01,NA
2015-10-01,271.678
2015-11-01,NA
2015-12-01,270.877
2016-01-01,NA
2016-02-01,271.634
2016-03-01,NA
2016-04-01,274.258
2016-05-01,NA
2016-06-01,274.855
2016-07-01,NA
2016-08-01,275.274
2016-09-01,NA
2016-10-01,276.63
2016-11-01,NA
2016-12-01,277.179
2017-01-01,NA
2017-02-01,278.124
2017-03-01,NA
2017-04-01,281.096
2017-05-01,NA
2017-06-01,281.809
2017-07-01,NA
2017-08-01,282.953
2017-09-01,NA
2017-10-01,283.585
2017-11-01,NA
2017-12-01,283.356
2018-01-01,NA
2018-02-01,283.48
2018-03-01,NA
2018-04-01,286.707
2018-05-01,NA
2018-06-01,286.872
2018-07-01,NA
2018-08-01,288.941
2018-09-01,NA
2018-10-01,285.983
2018-11-01,NA
2018-12-01,288.804
2019-01-01,NA
2019-02-01,289.267
2019-03-01,NA
2019-04-01,291.096
2019-05-01,NA
2019-06-01,291.321
2019-07-01,NA
2019-08-01,291.352
2019-09-01,NA
2019-10-01,292.408
2019-11-01,NA
2019-12-01,292.916
2020-01-01,NA
2020-02-01,296.099
2020-03-01,NA
2020-04-01,299.572
2020-05-01,NA
2020-06-01,299.402
2020-07-01,NA
2020-08-01,298.483
2020-09-01,NA
2020-10-01,299.101
2020-11-01,NA
2020-12-01,298.949
2021-01-01,NA
2021-02-01,297.674
2021-03-01,NA
2021-04-01,304.495
2021-05-01,NA
2021-06-01,313.461
2021-07-01,NA
2021-08-01,311.755
2021-09-01,NA
2021-10-01,317.929
2021-11-01,NA
2021-12-01,322.647
2022-01-01,NA
2022-02-01,324.2
2022-03-01,NA
2022-04-01,328.818
2022-05-01,NA
2022-06-01,328.851
2022-07-01,NA
2022-08-01,334.319
2022-09-01,NA
2022-10-01,335.331
2022-11-01,NA
2022-12-01,346.614
2023-01-01,NA
2023-02-01,351.341
2023-03-01,NA
2023-04-01,354.214
2023-05-01,NA
2023-06-01,358.727
2023-07-01,NA
2023-08-01,360.629
2023-09-01,NA
2023-10-01,362.935
