"Date","CWSR0000SEHC"
1997-09-01,166.9
1997-10-01,167.2
1997-11-01,167.7
1997-12-01,168.1
1998-01-01,168.6
1998-02-01,169.1
1998-03-01,169.5
1998-04-01,170
1998-05-01,170.4
1998-06-01,170.9
1998-07-01,171.3
1998-08-01,171.8
1998-09-01,172.3
1998-10-01,172.8
1998-11-01,173.2
1998-12-01,173.5
1999-01-01,173.8
1999-02-01,174.2
1999-03-01,174.5
1999-04-01,174.9
1999-05-01,175.3
1999-06-01,175.5
1999-07-01,175.9
1999-08-01,176.2
1999-09-01,176.5
1999-10-01,176.8
1999-11-01,177.3
1999-12-01,177.6
2000-01-01,178.4
2000-02-01,178.9
2000-03-01,179.2
2000-04-01,179.6
2000-05-01,180.1
2000-06-01,180.5
2000-07-01,181
2000-08-01,181.4
2000-09-01,181.9
2000-10-01,182.4
2000-11-01,182.8
2000-12-01,183.3
2001-01-01,183.9
2001-02-01,184.4
2001-03-01,185.2
2001-04-01,185.7
2001-05-01,186.5
2001-06-01,187.2
2001-07-01,187.7
2001-08-01,188.6
2001-09-01,189.2
2001-10-01,190
2001-11-01,190.8
2001-12-01,191.5
2002-01-01,192.1
2002-02-01,192.8
2002-03-01,193.3
2002-04-01,193.9
2002-05-01,194.4
2002-06-01,194.9
2002-07-01,195.4
2002-08-01,195.8
2002-09-01,196.4
2002-10-01,196.8
2002-11-01,197.3
2002-12-01,197.8
2003-01-01,198.3
2003-02-01,198.5
2003-03-01,198.8
2003-04-01,198.9
2003-05-01,199.2
2003-06-01,199.2
2003-07-01,199.6
2003-08-01,200
2003-09-01,200.4
2003-10-01,200.9
2003-11-01,201.3
2003-12-01,201.5
2004-01-01,201.9
2004-02-01,202.2
2004-03-01,202.7
2004-04-01,203.2
2004-05-01,203.7
2004-06-01,204.1
2004-07-01,204.4
2004-08-01,204.8
2004-09-01,205.1
2004-10-01,205.4
2004-11-01,205.7
2004-12-01,206
2005-01-01,206.5
2005-02-01,207.1
2005-03-01,207.4
2005-04-01,207.7
2005-05-01,208.1
2005-06-01,208.5
2005-07-01,208.9
2005-08-01,209.3
2005-09-01,209.7
2005-10-01,210.2
2005-11-01,210.6
2005-12-01,211.1
2006-01-01,211.7
2006-02-01,212.3
2006-03-01,213
2006-04-01,213.9
2006-05-01,214.8
2006-06-01,215.8
2006-07-01,216.6
2006-08-01,217.3
2006-09-01,218
2006-10-01,218.8
2006-11-01,219.4
2006-12-01,220
2007-01-01,220.602
2007-02-01,221.185
2007-03-01,221.704
2007-04-01,222.062
2007-05-01,222.264
2007-06-01,222.671
2007-07-01,223.093
2007-08-01,223.693
2007-09-01,224.321
2007-10-01,224.811
2007-11-01,225.548
2007-12-01,226.151
2008-01-01,226.614
2008-02-01,226.984
2008-03-01,227.407
2008-04-01,227.866
2008-05-01,228.12
2008-06-01,228.594
2008-07-01,228.938
2008-08-01,229.27
2008-09-01,229.747
2008-10-01,230.069
2008-11-01,230.679
2008-12-01,230.828
2009-01-01,231.341
2009-02-01,231.617
2009-03-01,232.135
2009-04-01,232.469
2009-05-01,232.881
2009-06-01,232.922
2009-07-01,232.886
2009-08-01,233.078
2009-09-01,232.827
2009-10-01,232.805
2009-11-01,232.547
2009-12-01,232.479
2010-01-01,232.304
2010-02-01,232.234
2010-03-01,232.084
2010-04-01,232.07
2010-05-01,232.192
2010-06-01,232.315
2010-07-01,232.426
2010-08-01,232.453
2010-09-01,232.575
2010-10-01,232.713
2010-11-01,232.974
2010-12-01,233.162
2011-01-01,233.421
2011-02-01,233.8
2011-03-01,233.951
2011-04-01,234.143
2011-05-01,234.394
2011-06-01,234.738
2011-07-01,235.256
2011-08-01,235.682
2011-09-01,235.959
2011-10-01,236.405
2011-11-01,236.769
2011-12-01,237.236
2012-01-01,237.678
2012-02-01,238.015
2012-03-01,238.492
2012-04-01,239.001
2012-05-01,239.294
2012-06-01,239.5
2012-07-01,239.917
2012-08-01,240.369
2012-09-01,240.892
2012-10-01,241.295
2012-11-01,241.671
2012-12-01,242.019
2013-01-01,242.427
2013-02-01,242.92
2013-03-01,243.295
2013-04-01,243.81
2013-05-01,244.286
2013-06-01,244.756
2013-07-01,245.123
2013-08-01,245.692
2013-09-01,246.151
2013-10-01,246.648
2013-11-01,247.266
2013-12-01,247.924
2014-01-01,248.445
2014-02-01,248.998
2014-03-01,249.608
2014-04-01,250.122
2014-05-01,250.633
2014-06-01,251.105
2014-07-01,251.645
2014-08-01,252.154
2014-09-01,252.637
2014-10-01,253.194
2014-11-01,253.748
2014-12-01,254.201
2015-01-01,254.843
2015-02-01,255.488
2015-03-01,256.137
2015-04-01,256.819
2015-05-01,257.412
2015-06-01,258.231
2015-07-01,258.924
2015-08-01,259.523
2015-09-01,260.186
2015-10-01,260.765
2015-11-01,261.338
2015-12-01,261.956
2016-01-01,262.692
2016-02-01,263.364
2016-03-01,263.971
2016-04-01,264.699
2016-05-01,265.603
2016-06-01,266.402
2016-07-01,267.169
2016-08-01,267.866
2016-09-01,268.834
2016-10-01,269.62
2016-11-01,270.494
2016-12-01,271.203
2017-01-01,271.781
2017-02-01,272.455
2017-03-01,273.029
2017-04-01,273.546
2017-05-01,274.14
2017-06-01,274.892
2017-07-01,275.601
2017-08-01,276.495
2017-09-01,277.281
2017-10-01,278.112
2017-11-01,278.853
2017-12-01,279.805
2018-01-01,280.511
2018-02-01,280.999
2018-03-01,281.898
2018-04-01,282.779
2018-05-01,283.492
2018-06-01,284.086
2018-07-01,284.912
2018-08-01,285.688
2018-09-01,286.277
2018-10-01,287.089
2018-11-01,287.978
2018-12-01,288.672
2019-01-01,289.421
2019-02-01,290.298
2019-03-01,291.214
2019-04-01,292.204
2019-05-01,292.927
2019-06-01,293.783
2019-07-01,294.532
2019-08-01,295.192
2019-09-01,296.015
2019-10-01,296.607
2019-11-01,297.361
2019-12-01,298.157
2020-01-01,299.093
2020-02-01,299.819
2020-03-01,300.61
2020-04-01,301.196
2020-05-01,301.867
2020-06-01,302.063
2020-07-01,302.71
2020-08-01,303.117
2020-09-01,303.352
2020-10-01,303.957
2020-11-01,304.072
2020-12-01,304.577
2021-01-01,305.131
2021-02-01,305.913
2021-03-01,306.66
2021-04-01,307.379
2021-05-01,308.309
2021-06-01,309.253
2021-07-01,310.169
2021-08-01,310.96
2021-09-01,312.271
2021-10-01,313.582
2021-11-01,314.958
2021-12-01,316.245
2022-01-01,317.654
2022-02-01,319.111
2022-03-01,320.563
2022-04-01,322.092
2022-05-01,323.976
2022-06-01,326.099
2022-07-01,328.172
2022-08-01,330.508
2022-09-01,333.095
2022-10-01,335.203
2022-11-01,337.311
2022-12-01,339.971
2023-01-01,342.296
2023-02-01,344.549
2023-03-01,346.265
2023-04-01,348.181
2023-05-01,349.957
2023-06-01,351.478
2023-07-01,353.107
2023-08-01,354.465
2023-09-01,356.454
2023-10-01,357.887
2023-11-01,359.672
