"Date","CUUR0000SAM1"
1947-03-01,36.1
1947-04-01,NA
1947-05-01,NA
1947-06-01,36.6
1947-07-01,NA
1947-08-01,NA
1947-09-01,37.2
1947-10-01,NA
1947-11-01,37.6
1947-12-01,37.8
1948-01-01,NA
1948-02-01,NA
1948-03-01,38.4
1948-04-01,NA
1948-05-01,NA
1948-06-01,38.6
1948-07-01,NA
1948-08-01,NA
1948-09-01,38.8
1948-10-01,NA
1948-11-01,NA
1948-12-01,39
1949-01-01,NA
1949-02-01,NA
1949-03-01,39
1949-04-01,NA
1949-05-01,NA
1949-06-01,39.2
1949-07-01,NA
1949-08-01,NA
1949-09-01,39.3
1949-10-01,NA
1949-11-01,NA
1949-12-01,39.3
1950-01-01,NA
1950-02-01,NA
1950-03-01,39.3
1950-04-01,NA
1950-05-01,NA
1950-06-01,39.4
1950-07-01,NA
1950-08-01,NA
1950-09-01,40
1950-10-01,NA
1950-11-01,NA
1950-12-01,40.4
1951-01-01,NA
1951-02-01,NA
1951-03-01,40.7
1951-04-01,NA
1951-05-01,NA
1951-06-01,40.8
1951-07-01,NA
1951-08-01,NA
1951-09-01,41.1
1951-10-01,NA
1951-11-01,NA
1951-12-01,41
1952-01-01,NA
1952-02-01,NA
1952-03-01,41.1
1952-04-01,NA
1952-05-01,NA
1952-06-01,41.1
1952-07-01,NA
1952-08-01,NA
1952-09-01,41.2
1952-10-01,NA
1952-11-01,NA
1952-12-01,41.4
1953-01-01,NA
1953-02-01,NA
1953-03-01,41.2
1953-04-01,NA
1953-05-01,NA
1953-06-01,41.7
1953-07-01,NA
1953-08-01,NA
1953-09-01,41.7
1953-10-01,NA
1953-11-01,NA
1953-12-01,41.9
1954-01-01,NA
1954-02-01,NA
1954-03-01,41.6
1954-04-01,NA
1954-05-01,NA
1954-06-01,42.1
1954-07-01,NA
1954-08-01,NA
1954-09-01,42.2
1954-10-01,NA
1954-11-01,NA
1954-12-01,42.3
1955-01-01,NA
1955-02-01,NA
1955-03-01,42
1955-04-01,NA
1955-05-01,NA
1955-06-01,42.4
1955-07-01,NA
1955-08-01,NA
1955-09-01,42.5
1955-10-01,NA
1955-11-01,NA
1955-12-01,43.3
1956-01-01,NA
1956-02-01,NA
1956-03-01,43.3
1956-04-01,NA
1956-05-01,NA
1956-06-01,43.3
1956-07-01,NA
1956-08-01,NA
1956-09-01,43.6
1956-10-01,NA
1956-11-01,NA
1956-12-01,43.7
1957-01-01,NA
1957-02-01,NA
1957-03-01,44
1957-04-01,NA
1957-05-01,NA
1957-06-01,44.7
1957-07-01,NA
1957-08-01,NA
1957-09-01,44.8
1957-10-01,NA
1957-11-01,NA
1957-12-01,45.4
1958-01-01,NA
1958-02-01,NA
1958-03-01,45.9
1958-04-01,NA
1958-05-01,NA
1958-06-01,46.2
1958-07-01,NA
1958-08-01,NA
1958-09-01,46.3
1958-10-01,NA
1958-11-01,NA
1958-12-01,46.4
1959-01-01,NA
1959-02-01,NA
1959-03-01,46.4
1959-04-01,NA
1959-05-01,NA
1959-06-01,46.8
1959-07-01,NA
1959-08-01,NA
1959-09-01,47.1
1959-10-01,NA
1959-11-01,NA
1959-12-01,47.1
1960-01-01,NA
1960-02-01,NA
1960-03-01,47
1960-04-01,NA
1960-05-01,NA
1960-06-01,47
1960-07-01,NA
1960-08-01,NA
1960-09-01,46.9
1960-10-01,NA
1960-11-01,NA
1960-12-01,46.5
1961-01-01,NA
1961-02-01,NA
1961-03-01,46.4
1961-04-01,NA
1961-05-01,NA
1961-06-01,46.5
1961-07-01,NA
1961-08-01,NA
1961-09-01,46.3
1961-10-01,NA
1961-11-01,NA
1961-12-01,46.1
1962-01-01,NA
1962-02-01,NA
1962-03-01,45.9
1962-04-01,NA
1962-05-01,NA
1962-06-01,45.8
1962-07-01,NA
1962-08-01,NA
1962-09-01,45.3
1962-10-01,NA
1962-11-01,NA
1962-12-01,45.1
1963-01-01,NA
1963-02-01,NA
1963-03-01,45.2
1963-04-01,NA
1963-05-01,NA
1963-06-01,45.2
1963-07-01,NA
1963-08-01,NA
1963-09-01,45.2
1963-10-01,NA
1963-11-01,NA
1963-12-01,45.1
1964-01-01,NA
1964-02-01,NA
1964-03-01,NA
1964-04-01,NA
1964-05-01,NA
1964-06-01,45.2
