"Date","CUURX400SA0"
2021-03-01,163.257
2021-04-01,165.088
2021-05-01,166.813
2021-06-01,168.425
2021-07-01,169.267
2021-08-01,169.477
2021-09-01,169.977
2021-10-01,171.226
2021-11-01,172.214
2021-12-01,172.722
2022-01-01,174.269
2022-02-01,175.89
2022-03-01,178.019
2022-04-01,179.339
2022-05-01,180.81
2022-06-01,182.79
2022-07-01,183.277
2022-08-01,183.543
2022-09-01,184.088
2022-10-01,185.41
2022-11-01,184.626
2022-12-01,183.686
2023-01-01,184.717
2023-02-01,185.968
2023-03-01,187.301
2023-04-01,188.008
2023-05-01,188.833
2023-06-01,189.295
2023-07-01,189.737
2023-08-01,190.368
2023-09-01,191.238
2023-10-01,191.321
2023-11-01,190.409
