"Date","APUS49E74712"
1978-01-01,0.605
1978-02-01,0.608
1978-03-01,0.607
1978-04-01,0.615
1978-05-01,0.626
1978-06-01,0.634
1978-07-01,0.642
1978-08-01,0.651
1978-09-01,0.659
1978-10-01,0.657
1978-11-01,0.658
1978-12-01,0.668
1979-01-01,0.675
1979-02-01,0.679
1979-03-01,0.713
1979-04-01,0.794
1979-05-01,0.843
1979-06-01,0.892
1979-07-01,0.924
1979-08-01,0.971
1979-09-01,1.011
1979-10-01,1.015
1979-11-01,1.017
1979-12-01,1.039
1980-01-01,1.118
1980-02-01,1.211
1980-03-01,1.253
1980-04-01,1.27
1980-05-01,1.254
1980-06-01,1.249
1980-07-01,1.227
1980-08-01,1.214
1980-09-01,1.212
1980-10-01,1.197
1980-11-01,1.186
1980-12-01,1.19
1981-01-01,1.207
1981-02-01,1.267
1981-03-01,1.333
1981-04-01,1.336
1981-05-01,1.35
1981-06-01,1.35
1981-07-01,1.359
1981-08-01,1.36
1981-09-01,1.343
1981-10-01,1.334
1981-11-01,1.324
1981-12-01,1.317
1982-01-01,1.302
1982-02-01,1.267
1982-03-01,1.222
1982-04-01,1.187
1982-05-01,1.19
1982-06-01,1.239
1982-07-01,1.29
1982-08-01,1.292
1982-09-01,1.27
1982-10-01,1.243
1982-11-01,1.216
1982-12-01,1.163
1983-01-01,1.14
1983-02-01,1.072
1983-03-01,1.045
1983-04-01,1.1
1983-05-01,1.197
1983-06-01,1.233
1983-07-01,1.254
1983-08-01,1.24
1983-09-01,1.189
1983-10-01,1.15
1983-11-01,1.11
1983-12-01,1.148
1984-01-01,1.167
1984-02-01,1.138
1984-03-01,1.136
1984-04-01,1.192
1984-05-01,1.227
1984-06-01,1.206
1984-07-01,1.129
1984-08-01,1.105
1984-09-01,1.119
1984-10-01,1.167
1984-11-01,1.183
1984-12-01,1.176
1985-01-01,1.073
1985-02-01,1.039
1985-03-01,1.089
1985-04-01,1.178
1985-05-01,1.2
1985-06-01,1.202
1985-07-01,1.174
1985-08-01,1.114
1985-09-01,1.095
1985-10-01,1.093
1985-11-01,1.089
1985-12-01,1.086
1986-01-01,1.084
1986-02-01,1.027
1986-03-01,0.924
1986-04-01,0.902
1986-05-01,0.942
1986-06-01,0.953
1986-07-01,0.848
1986-08-01,0.778
1986-09-01,0.812
1986-10-01,0.767
1986-11-01,0.734
1986-12-01,0.744
