"Date","CUUR0100SETA02"
1977-12-01,51.1
1978-01-01,50.8
1978-02-01,50.9
1978-03-01,51.5
1978-04-01,53
1978-05-01,55.3
1978-06-01,57.3
1978-07-01,58.6
1978-08-01,58.8
1978-09-01,58.6
1978-10-01,58.4
1978-11-01,58.2
1978-12-01,58
1979-01-01,57.9
1979-02-01,57.9
1979-03-01,58.5
1979-04-01,59.9
1979-05-01,61.5
1979-06-01,62.5
1979-07-01,62.6
1979-08-01,62
1979-09-01,60.7
1979-10-01,59.8
1979-11-01,59.4
1979-12-01,59.4
1980-01-01,59
1980-02-01,58.5
1980-03-01,58.4
1980-04-01,58.9
1980-05-01,59.7
1980-06-01,60.1
1980-07-01,60.9
1980-08-01,61.8
1980-09-01,64.3
1980-10-01,66.7
1980-11-01,69.1
1980-12-01,70.2
1981-01-01,70.1
1981-02-01,70.2
1981-03-01,70.5
1981-04-01,71.6
1981-05-01,73.4
1981-06-01,75.7
1981-07-01,77.9
1981-08-01,79.9
1981-09-01,81.7
1981-10-01,83.3
1981-11-01,84.3
1981-12-01,84.4
1982-01-01,84
1982-02-01,83.7
1982-03-01,84.1
1982-04-01,85.4
1982-05-01,87.2
1982-06-01,89.3
1982-07-01,90.6
1982-08-01,91.2
1982-09-01,91.2
1982-10-01,91.8
1982-11-01,93
1982-12-01,93.6
1983-01-01,93.2
1983-02-01,92.6
1983-03-01,92.7
1983-04-01,93.6
1983-05-01,95
1983-06-01,96.6
1983-07-01,98.7
1983-08-01,100.8
1983-09-01,103
1983-10-01,104.9
1983-11-01,106.6
1983-12-01,107.1
1984-01-01,107
1984-02-01,107
1984-03-01,108.4
1984-04-01,110.8
1984-05-01,113.2
1984-06-01,114.4
1984-07-01,114.8
1984-08-01,115
1984-09-01,115
1984-10-01,115.2
1984-11-01,114.9
1984-12-01,114.6
1985-01-01,114.6
1985-02-01,115.2
1985-03-01,115.6
1985-04-01,115.7
1985-05-01,115
1985-06-01,113.9
1985-07-01,112.8
1985-08-01,112
1985-09-01,112.1
1985-10-01,112.4
1985-11-01,112.7
1985-12-01,112.5
1986-01-01,112
1986-02-01,111
1986-03-01,110
1986-04-01,109.3
1986-05-01,108.9
1986-06-01,108.5
1986-07-01,107.9
1986-08-01,107.2
1986-09-01,107.6
1986-10-01,108
1986-11-01,108.1
1986-12-01,106.8
1987-01-01,106.2
1987-02-01,106.9
1987-03-01,108.7
1987-04-01,111.3
1987-05-01,113.6
1987-06-01,115
1987-07-01,115.8
1987-08-01,115.9
1987-09-01,116.6
1987-10-01,117.1
1987-11-01,117.4
1987-12-01,117.1
1988-01-01,116.7
1988-02-01,116.6
1988-03-01,116.6
1988-04-01,117
1988-05-01,117.3
1988-06-01,117.7
1988-07-01,117.9
1988-08-01,119
1988-09-01,119.1
1988-10-01,119.7
1988-11-01,119.4
1988-12-01,119.9
1989-01-01,120.1
1989-02-01,120.1
1989-03-01,120
1989-04-01,120.1
1989-05-01,120.4
1989-06-01,120.7
1989-07-01,120.5
1989-08-01,119.5
1989-09-01,118.9
1989-10-01,118.5
1989-11-01,118.8
1989-12-01,118.4
1990-01-01,117.7
1990-02-01,116.2
1990-03-01,115.4
1990-04-01,115.1
1990-05-01,115.8
1990-06-01,116.5
1990-07-01,117.2
1990-08-01,117.3
1990-09-01,117.3
1990-10-01,117.2
1990-11-01,116.3
1990-12-01,116.3
1991-01-01,115.6
1991-02-01,114.8
1991-03-01,114.3
1991-04-01,115
1991-05-01,117.2
1991-06-01,119.2
1991-07-01,120.8
1991-08-01,120.6
1991-09-01,120.5
1991-10-01,120.8
1991-11-01,121.2
1991-12-01,120.7
1992-01-01,118.2
1992-02-01,116.3
1992-03-01,116
1992-04-01,118.4
1992-05-01,121.3
1992-06-01,124.1
1992-07-01,125.7
1992-08-01,127.2
1992-09-01,128.5
1992-10-01,130
1992-11-01,130.9
1992-12-01,130
1993-01-01,128.3
1993-02-01,126.9
1993-03-01,127.5
1993-04-01,129.7
1993-05-01,132.6
1993-06-01,135.6
1993-07-01,137.7
1993-08-01,139.2
1993-09-01,140.6
1993-10-01,141.8
1993-11-01,142.6
1993-12-01,141
1994-01-01,138.3
1994-02-01,135.5
1994-03-01,134.8
1994-04-01,136.6
1994-05-01,139.2
1994-06-01,142.2
1994-07-01,144
1994-08-01,145.5
1994-09-01,146.8
1994-10-01,149
1994-11-01,151.5
1994-12-01,152.9
1995-01-01,153.9
1995-02-01,155
1995-03-01,156.6
1995-04-01,158.7
1995-05-01,160
1995-06-01,160.9
1995-07-01,160.5
1995-08-01,160.4
1995-09-01,159.9
1995-10-01,160.5
1995-11-01,161.1
1995-12-01,161.6
1996-01-01,161.4
1996-02-01,161.2
1996-03-01,161
1996-04-01,161.1
1996-05-01,161.3
1996-06-01,160.8
1996-07-01,160.5
1996-08-01,160.1
1996-09-01,160.4
1996-10-01,160.2
1996-11-01,159.7
1996-12-01,158.8
1997-01-01,157.9
1997-02-01,157.6
1997-03-01,157.8
1997-04-01,157.8
1997-05-01,157.5
1997-06-01,155.5
1997-07-01,153.6
1997-08-01,152
1997-09-01,151.6
1997-10-01,151.3
1997-11-01,151
1997-12-01,151.2
1998-01-01,151.2
1998-02-01,151.3
1998-03-01,150.3
1998-04-01,151.3
1998-05-01,153.4
1998-06-01,154.3
1998-07-01,154.6
1998-08-01,154.3
1998-09-01,155
1998-10-01,156.3
1998-11-01,157.4
1998-12-01,156.5
1999-01-01,154.1
1999-02-01,152
1999-03-01,151.3
1999-04-01,152.3
1999-05-01,153.6
1999-06-01,155.1
1999-07-01,156.7
1999-08-01,158.3
1999-09-01,159.9
1999-10-01,160.4
1999-11-01,159.9
1999-12-01,158.6
2000-01-01,157.2
2000-02-01,156.2
2000-03-01,156.1
2000-04-01,157.3
2000-05-01,158.9
2000-06-01,159.6
2000-07-01,159.4
2000-08-01,159.5
2000-09-01,160.2
2000-10-01,161.7
2000-11-01,162.9
2000-12-01,163.7
2001-01-01,163.7
2001-02-01,163.6
2001-03-01,163.3
2001-04-01,163.2
2001-05-01,162.5
2001-06-01,162.6
2001-07-01,162.1
2001-08-01,162.1
2001-09-01,161.3
2001-10-01,161.6
2001-11-01,161
2001-12-01,160.6
2002-01-01,158.9
2002-02-01,157.1
2002-03-01,155.2
2002-04-01,154.9
2002-05-01,155.1
2002-06-01,155.5
2002-07-01,156
2002-08-01,156.6
2002-09-01,155.2
2002-10-01,153.6
2002-11-01,151.6
2002-12-01,151.2
2003-01-01,151
2003-02-01,151.1
2003-03-01,151.2
2003-04-01,151.1
2003-05-01,150.7
2003-06-01,150.2
2003-07-01,148.5
2003-08-01,146.1
2003-09-01,141.7
2003-10-01,137.9
2003-11-01,134.9
2003-12-01,133.9
2004-01-01,133.7
2004-02-01,134
2004-03-01,134.1
2004-04-01,134.1
2004-05-01,134.5
2004-06-01,133.1
2004-07-01,134.7
2004-08-01,136.4
2004-09-01,139.2
2004-10-01,139.5
2004-11-01,139.4
2004-12-01,140
2005-01-01,140.2
2005-02-01,140.3
2005-03-01,140.5
2005-04-01,141
2005-05-01,141.8
2005-06-01,143
2005-07-01,144.3
2005-08-01,145.5
2005-09-01,145.2
2005-10-01,144.4
2005-11-01,143.3
2005-12-01,143.3
2006-01-01,143.5
2006-02-01,144
2006-03-01,144.7
2006-04-01,145.3
2006-05-01,146
2006-06-01,146.7
2006-07-01,147.4
2006-08-01,147.9
2006-09-01,146.5
2006-10-01,144.7
2006-11-01,142.7
2006-12-01,141.5
2007-01-01,140.379
2007-02-01,139.59
2007-03-01,139.306
2007-04-01,139.272
2007-05-01,139.322
2007-06-01,139.881
2007-07-01,140.859
2007-08-01,142.034
2007-09-01,142.016
2007-10-01,141.802
2007-11-01,141.463
2007-12-01,141.893
2008-01-01,142.209
2008-02-01,142.306
2008-03-01,142.274
2008-04-01,141.784
2008-05-01,141.317
2008-06-01,140.978
2008-07-01,140.913
2008-08-01,140.617
2008-09-01,138.085
2008-10-01,134.74
2008-11-01,131.811
2008-12-01,131.017
2009-01-01,130.2
2009-02-01,128.26
2009-03-01,126.522
2009-04-01,126.408
2009-05-01,127.677
2009-06-01,129.172
2009-07-01,129.842
2009-08-01,133.314
2009-09-01,134.653
2009-10-01,137.915
2009-11-01,139
2009-12-01,142.212
2010-01-01,144.125
2010-02-01,145.312
2010-03-01,145.951
2010-04-01,146.451
2010-05-01,147.679
2010-06-01,149.581
2010-07-01,151.674
2010-08-01,153.294
2010-09-01,151.981
2010-10-01,150.375
2010-11-01,148.975
2010-12-01,149.065
2011-01-01,149.066
2011-02-01,149.443
2011-03-01,150.644
2011-04-01,152.795
2011-05-01,155.539
2011-06-01,159.467
2011-07-01,162.306
2011-08-01,164.085
2011-09-01,162.454
2011-10-01,160.764
2011-11-01,158.98
2011-12-01,157.606
2012-01-01,156.487
2012-02-01,156.228
2012-03-01,157.903
2012-04-01,160.396
2012-05-01,162.94
2012-06-01,164.734
2012-07-01,165.205
2012-08-01,164.055
2012-09-01,160.495
2012-10-01,157.541
2012-11-01,155.078
2012-12-01,154.57
2013-01-01,154.679
2013-02-01,155.992
2013-03-01,157.819
2013-04-01,158.822
2013-05-01,159.285
2013-06-01,159.53
2013-07-01,159.808
2013-08-01,159.945
2013-09-01,158.264
2013-10-01,156.938
2013-11-01,155.299
2013-12-01,154.877
2014-01-01,154.185
2014-02-01,154.592
2014-03-01,156.073
2014-04-01,157.903
2014-05-01,158.953
2014-06-01,159.423
2014-07-01,160.237
2014-08-01,160.768
2014-09-01,158.793
2014-10-01,155.45
2014-11-01,151.54
2014-12-01,149.169
2015-01-01,148.559
2015-02-01,150.518
2015-03-01,154.14
2015-04-01,156.913
2015-05-01,157.983
2015-06-01,158.465
2015-07-01,158.635
2015-08-01,158.308
2015-09-01,155.663
2015-10-01,152.746
2015-11-01,150.002
2015-12-01,149.144
2016-01-01,149.383
2016-02-01,150.792
2016-03-01,153.201
2016-04-01,154.668
2016-05-01,154.544
2016-06-01,153.492
2016-07-01,152.541
2016-08-01,151.755
2016-09-01,149.137
2016-10-01,146.4
2016-11-01,144.118
