"Date","CUURA320SA0L1E"
1982-01-01,96.2
1982-02-01,NA
1982-03-01,96.1
1982-04-01,NA
1982-05-01,97.1
1982-06-01,NA
1982-07-01,96.1
1982-08-01,NA
1982-09-01,96.7
1982-10-01,NA
1982-11-01,97.5
1982-12-01,NA
1983-01-01,98.2
1983-02-01,NA
1983-03-01,99.2
1983-04-01,NA
1983-05-01,99
1983-06-01,NA
1983-07-01,100
1983-08-01,NA
1983-09-01,101.2
1983-10-01,NA
1983-11-01,101.9
1983-12-01,NA
1984-01-01,102
1984-02-01,NA
1984-03-01,102.4
1984-04-01,NA
1984-05-01,103
1984-06-01,NA
1984-07-01,103.2
1984-08-01,NA
1984-09-01,103.9
1984-10-01,NA
1984-11-01,104.4
1984-12-01,NA
1985-01-01,104.9
1985-02-01,NA
1985-03-01,105.5
1985-04-01,NA
1985-05-01,106.1
1985-06-01,NA
1985-07-01,106.2
1985-08-01,NA
1985-09-01,108.3
1985-10-01,NA
1985-11-01,108.7
1985-12-01,NA
1986-01-01,108.9
1986-02-01,NA
1986-03-01,109.8
1986-04-01,NA
1986-05-01,109.8
1986-06-01,NA
1986-07-01,109.8
1986-08-01,NA
1986-09-01,111.1
1986-10-01,NA
1986-11-01,112
1986-12-01,NA
1987-01-01,112.7
1987-02-01,NA
1987-03-01,113
1987-04-01,NA
1987-05-01,113.1
1987-06-01,NA
1987-07-01,114
1987-08-01,NA
1987-09-01,114.5
1987-10-01,NA
1987-11-01,116
1987-12-01,NA
1988-01-01,116.9
1988-02-01,NA
1988-03-01,117.2
1988-04-01,NA
1988-05-01,118.6
1988-06-01,NA
1988-07-01,119.1
1988-08-01,NA
1988-09-01,121
1988-10-01,NA
1988-11-01,120.5
1988-12-01,NA
1989-01-01,122.6
1989-02-01,NA
1989-03-01,122.3
1989-04-01,NA
1989-05-01,122.8
1989-06-01,NA
1989-07-01,123
1989-08-01,NA
1989-09-01,125.2
1989-10-01,NA
1989-11-01,125.2
1989-12-01,NA
1990-01-01,125.4
1990-02-01,NA
1990-03-01,126.1
1990-04-01,NA
1990-05-01,128.3
1990-06-01,NA
1990-07-01,131.1
1990-08-01,NA
1990-09-01,132.2
1990-10-01,NA
1990-11-01,132.5
1990-12-01,NA
1991-01-01,133.3
1991-02-01,NA
1991-03-01,134.5
1991-04-01,NA
1991-05-01,134.3
1991-06-01,NA
1991-07-01,134.2
1991-08-01,NA
1991-09-01,134.5
1991-10-01,NA
1991-11-01,136.4
1991-12-01,NA
1992-01-01,136.8
1992-02-01,NA
1992-03-01,137.6
1992-04-01,NA
1992-05-01,136.8
1992-06-01,NA
1992-07-01,136.3
1992-08-01,NA
1992-09-01,136.9
1992-10-01,NA
1992-11-01,138.9
1992-12-01,NA
1993-01-01,140.6
1993-02-01,NA
1993-03-01,142.4
1993-04-01,NA
1993-05-01,141.7
1993-06-01,NA
1993-07-01,141.5
1993-08-01,NA
1993-09-01,141.5
1993-10-01,NA
1993-11-01,142
1993-12-01,NA
1994-01-01,143.4
1994-02-01,NA
1994-03-01,147.2
1994-04-01,NA
1994-05-01,146.8
1994-06-01,NA
1994-07-01,146.6
1994-08-01,NA
1994-09-01,147.7
1994-10-01,NA
1994-11-01,147.7
1994-12-01,NA
1995-01-01,151.2
1995-02-01,NA
1995-03-01,153.2
1995-04-01,NA
1995-05-01,152
1995-06-01,NA
1995-07-01,151.6
1995-08-01,NA
1995-09-01,153
1995-10-01,NA
1995-11-01,154.8
1995-12-01,NA
1996-01-01,157
1996-02-01,NA
1996-03-01,157.2
1996-04-01,NA
1996-05-01,156.6
1996-06-01,NA
1996-07-01,155.8
1996-08-01,NA
1996-09-01,158.3
1996-10-01,NA
1996-11-01,160.2
1996-12-01,NA
1997-01-01,162.7
1997-02-01,NA
1997-03-01,162.9
1997-04-01,NA
1997-05-01,162.2
1997-06-01,NA
1997-07-01,162.2
1997-08-01,NA
