"Date","CUSR0000SEMC"
1980-01-01,73.9
1980-02-01,74.9
1980-03-01,75.7
1980-04-01,76.6
1980-05-01,77.3
1980-06-01,77.8
1980-07-01,78.3
1980-08-01,78.7
1980-09-01,79.6
1980-10-01,80.1
1980-11-01,80.6
1980-12-01,81.2
1981-01-01,81.9
1981-02-01,82.4
1981-03-01,83.2
1981-04-01,83.8
1981-05-01,84.6
1981-06-01,85.2
1981-07-01,86.6
1981-08-01,87.4
1981-09-01,87.9
1981-10-01,88.6
1981-11-01,89.3
1981-12-01,90
1982-01-01,90.3
1982-02-01,90.8
1982-03-01,91.2
1982-04-01,91.9
1982-05-01,92.5
1982-06-01,93
1982-07-01,93.5
1982-08-01,94.1
1982-09-01,94.6
1982-10-01,94.9
1982-11-01,95.4
1982-12-01,96
1983-01-01,96.7
1983-02-01,97.5
1983-03-01,97.7
1983-04-01,98.1
1983-05-01,98.8
1983-06-01,99.4
1983-07-01,100.1
1983-08-01,100.7
1983-09-01,101.3
1983-10-01,102
1983-11-01,102.7
1983-12-01,103.3
1984-01-01,103.9
1984-02-01,104.9
1984-03-01,105.2
1984-04-01,105.7
1984-05-01,106.3
1984-06-01,106.8
1984-07-01,107.2
1984-08-01,107.6
1984-09-01,108.1
1984-10-01,108.8
1984-11-01,109.3
1984-12-01,109.8
1985-01-01,110.4
1985-02-01,110.9
1985-03-01,111.6
1985-04-01,112
1985-05-01,112.7
1985-06-01,113.1
1985-07-01,113.7
1985-08-01,114.4
1985-09-01,115
1985-10-01,115.6
1985-11-01,116.3
1985-12-01,117.1
1986-01-01,117.3
1986-02-01,117.8
1986-03-01,118.7
1986-04-01,119.3
1986-05-01,119.9
1986-06-01,120.4
1986-07-01,121
1986-08-01,121.6
1986-09-01,122.5
1986-10-01,123.2
1986-11-01,123.9
1986-12-01,124.5
1987-01-01,125
1987-02-01,125.6
1987-03-01,126.3
1987-04-01,127.2
1987-05-01,127.8
1987-06-01,128.6
1987-07-01,129.3
1987-08-01,130
1987-09-01,130.8
1987-10-01,131.4
1987-11-01,131.8
1987-12-01,132.3
1988-01-01,133.5
1988-02-01,134.3
1988-03-01,135
1988-04-01,135.7
1988-05-01,136.4
1988-06-01,137.3
1988-07-01,138.2
1988-08-01,138.6
1988-09-01,139.3
1988-10-01,140
1988-11-01,140.7
1988-12-01,141.3
1989-01-01,142.4
1989-02-01,143.3
1989-03-01,144
1989-04-01,144.6
1989-05-01,145.2
1989-06-01,145.9
1989-07-01,146.7
1989-08-01,147.4
1989-09-01,148.1
1989-10-01,148.8
1989-11-01,149.6
1989-12-01,150.5
1990-01-01,151.3
1990-02-01,152
1990-03-01,152.8
1990-04-01,153.8
1990-05-01,155.1
1990-06-01,155.7
1990-07-01,156.7
1990-08-01,157.6
1990-09-01,158.3
1990-10-01,159.1
1990-11-01,160
1990-12-01,160.7
1991-01-01,161.4
1991-02-01,162.1
1991-03-01,162.9
1991-04-01,163.5
1991-05-01,164.4
1991-06-01,165.2
1991-07-01,165.8
1991-08-01,166.9
1991-09-01,168
1991-10-01,168.7
1991-11-01,169.4
1991-12-01,170.4
1992-01-01,171.3
1992-02-01,172.3
1992-03-01,173
1992-04-01,173.9
1992-05-01,174.6
1992-06-01,175.3
1992-07-01,176.1
1992-08-01,176.9
1992-09-01,177.8
1992-10-01,178.6
1992-11-01,179.4
1992-12-01,180
1993-01-01,180.9
1993-02-01,181.4
1993-03-01,182
1993-04-01,182.8
1993-05-01,184.2
1993-06-01,184.6
1993-07-01,185.2
1993-08-01,185.8
1993-09-01,186.4
1993-10-01,187
1993-11-01,187.5
1993-12-01,188
1994-01-01,188.5
1994-02-01,189.1
1994-03-01,190
1994-04-01,191.1
1994-05-01,191.4
1994-06-01,192.1
1994-07-01,192.8
1994-08-01,193.4
1994-09-01,194.2
1994-10-01,195.3
1994-11-01,195.9
1994-12-01,196.7
1995-01-01,197.4
1995-02-01,198.3
1995-03-01,198.8
1995-04-01,199.2
1995-05-01,199.9
1995-06-01,200.6
1995-07-01,201.4
1995-08-01,201.9
1995-09-01,202.6
1995-10-01,203.1
1995-11-01,203.8
1995-12-01,204.6
1996-01-01,205.2
1996-02-01,205.8
1996-03-01,206.1
1996-04-01,206.7
1996-05-01,207.4
1996-06-01,207.7
1996-07-01,208.5
1996-08-01,209.1
1996-09-01,209.8
