"Date","CUSR0000SEEE01"
2005-01-01,155.7
2005-02-01,151
2005-03-01,149.4
2005-04-01,147.9
2005-05-01,146.5
2005-06-01,145
2005-07-01,142.9
2005-08-01,139.6
2005-09-01,138.9
2005-10-01,137.1
2005-11-01,135.2
2005-12-01,132
2006-01-01,129
2006-02-01,128.4
2006-03-01,126.6
2006-04-01,123
2006-05-01,120.7
2006-06-01,119.8
2006-07-01,118.9
2006-08-01,119.3
2006-09-01,118
2006-10-01,116.5
2006-11-01,116.1
2006-12-01,116.6
2007-01-01,114.181
2007-02-01,113.382
2007-03-01,112.815
2007-04-01,112.435
2007-05-01,111.106
2007-06-01,108.948
2007-07-01,107.748
2007-08-01,106.992
2007-09-01,106.502
2007-10-01,104.846
2007-11-01,100.868
2007-12-01,100.871
2008-01-01,100.636
2008-02-01,99.944
2008-03-01,99.27
2008-04-01,97.527
2008-05-01,96.561
2008-06-01,96.037
2008-07-01,94.899
2008-08-01,93.421
2008-09-01,91.531
2008-10-01,90.404
2008-11-01,89.514
2008-12-01,89.262
2009-01-01,88.389
2009-02-01,87.074
2009-03-01,85.182
2009-04-01,84.491
2009-05-01,83.826
2009-06-01,83.609
2009-07-01,80.941
2009-08-01,79.016
2009-09-01,78.82
2009-10-01,78.823
2009-11-01,78.661
2009-12-01,78.523
2010-01-01,78.18
2010-02-01,77.45
2010-03-01,77.649
2010-04-01,77.154
2010-05-01,76.192
2010-06-01,75.584
2010-07-01,75.907
2010-08-01,76.305
2010-09-01,76.46
2010-10-01,75.88
2010-11-01,75.38
2010-12-01,74.179
2011-01-01,72.941
2011-02-01,72.287
2011-03-01,71.509
2011-04-01,71.106
2011-05-01,70.499
2011-06-01,68.854
2011-07-01,68.685
2011-08-01,67.191
2011-09-01,66.427
2011-10-01,65.9
2011-11-01,66.158
2011-12-01,64.967
2012-01-01,64.555
2012-02-01,64.463
2012-03-01,63.725
2012-04-01,62.677
2012-05-01,63.041
2012-06-01,63.11
2012-07-01,62.777
2012-08-01,62.225
2012-09-01,61.403
2012-10-01,60.716
2012-11-01,59.775
2012-12-01,59.319
2013-01-01,59.194
2013-02-01,58.775
2013-03-01,58.376
2013-04-01,57.51
2013-05-01,57.175
2013-06-01,56.745
2013-07-01,56.061
2013-08-01,55.917
2013-09-01,55.864
2013-10-01,55.227
2013-11-01,54.732
2013-12-01,55.373
2014-01-01,54.889
2014-02-01,54.34
2014-03-01,54.203
2014-04-01,53.981
2014-05-01,53.46
2014-06-01,53.18
2014-07-01,52.713
2014-08-01,52.053
2014-09-01,51.325
2014-10-01,51.022
2014-11-01,50.263
2014-12-01,49.52
2015-01-01,49.19
2015-02-01,49.146
2015-03-01,48.717
2015-04-01,48.707
2015-05-01,48.458
2015-06-01,48.03
2015-07-01,47.713
2015-08-01,47.314
2015-09-01,47.436
2015-10-01,47.056
2015-11-01,46.741
2015-12-01,46.237
2016-01-01,45.424
2016-02-01,45.249
2016-03-01,45.269
2016-04-01,45.282
2016-05-01,44.853
2016-06-01,44.496
2016-07-01,44.205
2016-08-01,43.917
2016-09-01,43.77
2016-10-01,43.721
2016-11-01,43.576
2016-12-01,43.377
2017-01-01,43.475
2017-02-01,43.369
2017-03-01,42.818
2017-04-01,42.896
2017-05-01,42.361
2017-06-01,42.561
2017-07-01,42.973
2017-08-01,42.451
2017-09-01,42.19
2017-10-01,42.284
2017-11-01,42.04
2017-12-01,41.353
2018-01-01,41.455
2018-02-01,41.278
2018-03-01,41.249
2018-04-01,41.424
2018-05-01,41.37
2018-06-01,40.986
2018-07-01,40.23
2018-08-01,40.575
2018-09-01,41.092
2018-10-01,40.573
2018-11-01,39.841
2018-12-01,40.11
2019-01-01,40.044
2019-02-01,39.649
2019-03-01,39.889
2019-04-01,39.603
2019-05-01,39.339
2019-06-01,38.586
2019-07-01,39.745
2019-08-01,40.056
2019-09-01,39.73
2019-10-01,38.938
2019-11-01,38.868
2019-12-01,38.001
2020-01-01,37.728
2020-02-01,38.247
2020-03-01,38.706
2020-04-01,39.015
2020-05-01,38.629
2020-06-01,38.778
2020-07-01,38.686
2020-08-01,38.866
2020-09-01,37.459
2020-10-01,37.201
2020-11-01,37.964
2020-12-01,38.315
2021-01-01,38.316
2021-02-01,38.204
2021-03-01,37.453
2021-04-01,39.358
2021-05-01,39.611
2021-06-01,39.662
2021-07-01,40.135
2021-08-01,40.184
2021-09-01,40.649
2021-10-01,40.31
2021-11-01,39.78
2021-12-01,39.401
2022-01-01,39.651
2022-02-01,39.958
2022-03-01,40.302
2022-04-01,39.446
2022-05-01,38.909
2022-06-01,39.421
2022-07-01,38.719
2022-08-01,38.469
2022-09-01,39.175
2022-10-01,39.076
2022-11-01,38.02
2022-12-01,37.115
2023-01-01,37.21
2023-02-01,37.712
2023-03-01,37.957
2023-04-01,37.449
2023-05-01,37.289
2023-06-01,37.357
2023-07-01,36.82
2023-08-01,36.529
2023-09-01,37.146
2023-10-01,36.845
2023-11-01,36.258
