"Date","CUSR0000SEAF"
1989-01-01,117.7
1989-02-01,120.6
1989-03-01,119.1
1989-04-01,120.3
1989-05-01,123.4
1989-06-01,123
1989-07-01,118.6
1989-08-01,117.3
1989-09-01,117.8
1989-10-01,117.9
1989-11-01,117.7
1989-12-01,115.8
1990-01-01,115
1990-02-01,126
1990-03-01,128
1990-04-01,126.5
1990-05-01,125.3
1990-06-01,126.8
1990-07-01,128.1
1990-08-01,127.1
1990-09-01,127.5
1990-10-01,126.7
1990-11-01,126.3
1990-12-01,126.3
1991-01-01,124.9
1991-02-01,126.3
1991-03-01,128.7
1991-04-01,130.6
1991-05-01,129.5
1991-06-01,129.8
1991-07-01,129.4
1991-08-01,129.7
1991-09-01,129.4
1991-10-01,129.1
1991-11-01,130.2
1991-12-01,129.2
1992-01-01,126.6
1992-02-01,126.3
1992-03-01,127.1
1992-04-01,131.3
1992-05-01,130.3
1992-06-01,129.6
1992-07-01,128.3
1992-08-01,128.8
1992-09-01,130.1
1992-10-01,130.6
1992-11-01,131.9
1992-12-01,130.7
1993-01-01,127.9
1993-02-01,127
1993-03-01,125.9
1993-04-01,126.5
1993-05-01,127.7
1993-06-01,128.1
1993-07-01,126.7
1993-08-01,128.4
1993-09-01,126.5
1993-10-01,126.3
1993-11-01,127.5
1993-12-01,127.1
1994-01-01,125.6
1994-02-01,125.5
1994-03-01,125.8
1994-04-01,128
1994-05-01,125.2
1994-06-01,128.4
1994-07-01,129.2
1994-08-01,128.6
1994-09-01,129.5
1994-10-01,128.6
1994-11-01,131.2
1994-12-01,131.3
1995-01-01,129
1995-02-01,126.8
1995-03-01,127.1
1995-04-01,127.1
1995-05-01,123.6
1995-06-01,121.6
1995-07-01,123
1995-08-01,128
1995-09-01,131.2
1995-10-01,131
1995-11-01,129.7
1995-12-01,128.7
1996-01-01,131.5
1996-02-01,134.4
1996-03-01,133.3
1996-04-01,133.7
1996-05-01,130.4
1996-06-01,129.1
1996-07-01,125.7
1996-08-01,125.1
1996-09-01,131.4
1996-10-01,128.5
1996-11-01,126.7
1996-12-01,126.9
1997-01-01,127.9
1997-02-01,127.2
1997-03-01,129.7
1997-04-01,133.7
1997-05-01,133.8
1997-06-01,132.9
1997-07-01,131.3
1997-08-01,127.3
1997-09-01,126.7
1997-10-01,126.2
1997-11-01,126
1997-12-01,125.8
1998-01-01,124.4
1998-02-01,123.8
1998-03-01,123.5
1998-04-01,124.5
1998-05-01,125.8
1998-06-01,124.9
1998-07-01,124.5
1998-08-01,126.7
1998-09-01,126
1998-10-01,129.1
1998-11-01,130.3
1998-12-01,129.2
1999-01-01,130.1
1999-02-01,127.1
1999-03-01,124.7
1999-04-01,126.5
1999-05-01,126.6
1999-06-01,127.4
1999-07-01,130.2
1999-08-01,130.5
1999-09-01,131
1999-10-01,130.8
1999-11-01,130.6
1999-12-01,132.6
2000-01-01,133.6
2000-02-01,133.7
2000-03-01,132.7
2000-04-01,131.1
2000-05-01,131.1
2000-06-01,131.8
2000-07-01,131.2
2000-08-01,128.9
2000-09-01,128
2000-10-01,128.7
2000-11-01,128.2
2000-12-01,127.6
2001-01-01,128.1
2001-02-01,129.6
2001-03-01,129.9
2001-04-01,130.2
2001-05-01,130
2001-06-01,128.9
2001-07-01,128.7
2001-08-01,128.6
2001-09-01,129.3
2001-10-01,129
2001-11-01,129.5
2001-12-01,128
2002-01-01,126.9
2002-02-01,127.4
2002-03-01,127.8
2002-04-01,127.4
2002-05-01,126.5
2002-06-01,126.5
2002-07-01,126.6
2002-08-01,126.6
2002-09-01,125.6
2002-10-01,125.3
2002-11-01,125.2
2002-12-01,125.4
2003-01-01,123.3
2003-02-01,122.3
2003-03-01,121.8
2003-04-01,121.6
2003-05-01,122.5
2003-06-01,122.2
2003-07-01,121.6
2003-08-01,123.1
2003-09-01,123.6
2003-10-01,122.7
2003-11-01,121
2003-12-01,119.7
2004-01-01,120
2004-02-01,119.6
2004-03-01,119.8
2004-04-01,118.8
2004-05-01,117.1
2004-06-01,117.8
2004-07-01,118.2
2004-08-01,117.1
2004-09-01,118.7
2004-10-01,118.1
2004-11-01,118.5
2004-12-01,118.9
2005-01-01,119.6
2005-02-01,118.1
2005-03-01,116.8
2005-04-01,119.4
2005-05-01,118.8
2005-06-01,118.1
2005-07-01,116.5
2005-08-01,115.8
2005-09-01,114.9
2005-10-01,113.9
2005-11-01,113.5
2005-12-01,115.6
2006-01-01,114.8
2006-02-01,116.3
2006-03-01,116.6
2006-04-01,116.1
2006-05-01,117.5
2006-06-01,116.6
2006-07-01,118.4
2006-08-01,117.8
2006-09-01,116
2006-10-01,116.8
2006-11-01,115.8
2006-12-01,115
2007-01-01,114.01
2007-02-01,114.88
2007-03-01,115.951
2007-04-01,113.407
2007-05-01,113.123
2007-06-01,113.18
2007-07-01,112.498
2007-08-01,112.338
2007-09-01,113.355
2007-10-01,114.578
2007-11-01,115.121
2007-12-01,114.43
2008-01-01,115.359
2008-02-01,115.408
2008-03-01,114.599
2008-04-01,114.41
2008-05-01,114.334
2008-06-01,113.264
2008-07-01,112.776
2008-08-01,111.354
2008-09-01,112.981
2008-10-01,113.318
2008-11-01,113.665
2008-12-01,113.287
2009-01-01,113.617
2009-02-01,113.471
2009-03-01,114.321
2009-04-01,115.566
2009-05-01,114.29
2009-06-01,115.757
2009-07-01,114.448
2009-08-01,115.123
2009-09-01,115.488
2009-10-01,114.738
2009-11-01,113.905
2009-12-01,112.836
2010-01-01,114.432
2010-02-01,114.772
2010-03-01,114.977
2010-04-01,114.794
2010-05-01,114.873
2010-06-01,114.734
2010-07-01,115.809
2010-08-01,114.372
2010-09-01,113.314
2010-10-01,112.544
2010-11-01,112.909
2010-12-01,112.363
2011-01-01,111.263
2011-02-01,110.951
2011-03-01,110.968
2011-04-01,110.949
2011-05-01,111.746
2011-06-01,111.73
2011-07-01,113.618
2011-08-01,115.494
2011-09-01,115.565
2011-10-01,115.998
2011-11-01,116.655
2011-12-01,117.622
2012-01-01,119.506
2012-02-01,119.361
2012-03-01,119.388
2012-04-01,118.598
2012-05-01,119.566
2012-06-01,120.134
2012-07-01,119.865
2012-08-01,119.952
2012-09-01,120.079
2012-10-01,121.433
2012-11-01,119.131
2012-12-01,118.863
2013-01-01,119.031
2013-02-01,119.798
2013-03-01,117.173
2013-04-01,116.249
2013-05-01,117.143
2013-06-01,116.859
2013-07-01,115.971
2013-08-01,114.679
2013-09-01,114.393
2013-10-01,114.763
2013-11-01,115.636
2013-12-01,116.757
2014-01-01,116.7
2014-02-01,116.379
2014-03-01,117.969
2014-04-01,119.242
2014-05-01,118.77
2014-06-01,118.227
2014-07-01,117.898
2014-08-01,116.875
2014-09-01,116.408
2014-10-01,117.219
2014-11-01,117.148
2014-12-01,117.616
2015-01-01,118.21
2015-02-01,115.292
2015-03-01,118.076
2015-04-01,118.749
2015-05-01,118.15
2015-06-01,119.597
2015-07-01,119.72
2015-08-01,123.371
2015-09-01,123.06
2015-10-01,121.059
2015-11-01,123.245
2015-12-01,118.159
2016-01-01,118.145
2016-02-01,119.163
2016-03-01,117.918
2016-04-01,115.418
2016-05-01,115.468
2016-06-01,113.074
2016-07-01,115.974
2016-08-01,116.458
2016-09-01,114.577
2016-10-01,114.062
2016-11-01,115.276
2016-12-01,115.483
2017-01-01,115.343
2017-02-01,115.739
2017-03-01,113.744
2017-04-01,114.947
2017-05-01,113.396
2017-06-01,113.234
2017-07-01,113.081
2017-08-01,112.368
2017-09-01,119.714
2017-10-01,117.016
2017-11-01,115.022
2017-12-01,115.5
2018-01-01,116.542
2018-02-01,116.883
2018-03-01,119.403
2018-04-01,120.434
2018-05-01,121.945
2018-06-01,122.475
2018-07-01,121.308
2018-08-01,117.834
2018-09-01,120.961
2018-10-01,121.962
2018-11-01,121.645
2018-12-01,122.519
2019-01-01,119.878
2019-02-01,122.481
2019-03-01,122.506
2019-04-01,121.95
2019-05-01,121.264
2019-06-01,118.657
2019-07-01,118.815
2019-08-01,117.833
2019-09-01,118.244
2019-10-01,116.774
2019-11-01,116.88
2019-12-01,116.96
2020-01-01,117.65
2020-02-01,117.364
2020-03-01,112.785
2020-04-01,108.771
2020-05-01,107.287
2020-06-01,112.363
2020-07-01,114.545
2020-08-01,114.557
2020-09-01,111.298
2020-10-01,108.225
2020-11-01,111.775
2020-12-01,110.788
2021-01-01,110.713
2021-02-01,109.262
2021-03-01,108.052
2021-04-01,110.869
2021-05-01,110.667
2021-06-01,111.459
2021-07-01,112.936
2021-08-01,112.959
2021-09-01,114.606
2021-10-01,116.976
2021-11-01,116.862
2021-12-01,115.964
2022-01-01,120.233
2022-02-01,122.678
2022-03-01,122.107
2022-04-01,120.709
2022-05-01,122.157
2022-06-01,122.59
2022-07-01,122.082
2022-08-01,122.641
2022-09-01,122.228
2022-10-01,119.856
2022-11-01,121.407
2022-12-01,121.792
2023-01-01,126.329
2023-02-01,127.39
2023-03-01,126.948
2023-04-01,127.044
2023-05-01,126.452
2023-06-01,127.337
2023-07-01,129.024
2023-08-01,126.624
2023-09-01,124.582
2023-10-01,125.103
2023-11-01,123.381
