"Date","STICKCPIXSHLTRM159SFRBATL"
1985-09-01,4.181583569
1985-10-01,4.289798388
1985-11-01,4.394954118
1985-12-01,4.280391431
1986-01-01,4.620183749
1986-02-01,4.57658679
1986-03-01,4.494205619
1986-04-01,4.498944074
1986-05-01,4.533484094
1986-06-01,4.589392605
1986-07-01,4.612108459
1986-08-01,4.549196539
1986-09-01,4.543152416
1986-10-01,4.397589912
1986-11-01,4.252299421
1986-12-01,4.461544456
1987-01-01,4.333645351
1987-02-01,4.157761126
1987-03-01,4.155083433
1987-04-01,4.206536684
1987-05-01,4.138264927
1987-06-01,3.88819209
1987-07-01,3.971880784
1987-08-01,3.982892306
1987-09-01,4.055717173
1987-10-01,4.007175562
1987-11-01,4.013532241
1987-12-01,3.748418092
1988-01-01,3.714372785
1988-02-01,3.819990038
1988-03-01,3.886768723
1988-04-01,4.072630335
1988-05-01,4.216283426
1988-06-01,4.415671293
1988-07-01,4.40870214
1988-08-01,4.459216916
1988-09-01,4.526903045
1988-10-01,4.640180671
1988-11-01,4.688127343
1988-12-01,4.930650426
1989-01-01,5.096444284
1989-02-01,5.110908501
1989-03-01,4.964682171
1989-04-01,4.794625544
1989-05-01,4.890379325
1989-06-01,4.941273106
1989-07-01,4.898565335
1989-08-01,4.948592094
1989-09-01,4.896732074
1989-10-01,4.798297941
1989-11-01,4.779708974
1989-12-01,4.746945209
1990-01-01,4.77779534
1990-02-01,4.961047592
1990-03-01,5.218415861
1990-04-01,5.262637115
1990-05-01,5.241523972
1990-06-01,5.244395004
1990-07-01,5.322466461
1990-08-01,5.443325632
1990-09-01,5.531140531
1990-10-01,5.67271552
1990-11-01,5.705502397
1990-12-01,5.654764162
1991-01-01,5.766212074
1991-02-01,5.88751487
1991-03-01,5.585080896
1991-04-01,5.383268361
1991-05-01,5.3257192
1991-06-01,5.244513187
1991-07-01,5.248076891
1991-08-01,5.195105823
1991-09-01,5.119588065
1991-10-01,4.765196616
1991-11-01,4.674047156
1991-12-01,4.632576921
1992-01-01,4.237512706
1992-02-01,3.894551065
1992-03-01,4.034557629
1992-04-01,4.209143038
1992-05-01,3.969054274
1992-06-01,3.7701467
1992-07-01,3.685942841
1992-08-01,3.428190396
1992-09-01,3.20169809
1992-10-01,3.543000004
1992-11-01,3.61743842
1992-12-01,3.557996415
1993-01-01,3.59111082
1993-02-01,3.603843317
1993-03-01,3.381893576
1993-04-01,3.279085655
1993-05-01,3.476188834
1993-06-01,3.571006844
1993-07-01,3.423617302
1993-08-01,3.583433268
1993-09-01,3.668431355
1993-10-01,3.506234947
1993-11-01,3.51627113
1993-12-01,3.574356617
1994-01-01,3.444955674
1994-02-01,3.294534323
1994-03-01,3.398118913
1994-04-01,3.31700008
1994-05-01,3.104992764
1994-06-01,3.150609951
1994-07-01,3.161512984
1994-08-01,3.032314142
1994-09-01,2.953663222
1994-10-01,2.77898171
1994-11-01,2.713233115
1994-12-01,2.648777253
1995-01-01,2.94383008
1995-02-01,3.05451878
1995-03-01,3.139812347
1995-04-01,3.202427332
1995-05-01,3.214392418
1995-06-01,3.114314171
1995-07-01,3.128278899
1995-08-01,3.165094941
1995-09-01,3.248818361
1995-10-01,3.401144354
1995-11-01,3.284880699
1995-12-01,3.112527668
1996-01-01,2.952153464
1996-02-01,3.007709739
1996-03-01,2.843757123
1996-04-01,2.74291247
1996-05-01,2.874604284
1996-06-01,2.936445726
1996-07-01,2.883032678
1996-08-01,2.881062484
1996-09-01,2.952505322
1996-10-01,2.880326868
1996-11-01,2.963231908
1996-12-01,3.192336113
1997-01-01,2.948338857
1997-02-01,2.690282395
1997-03-01,2.832546662
1997-04-01,2.841956506
1997-05-01,2.752795076
1997-06-01,2.651139596
1997-07-01,2.669566558
1997-08-01,2.44339859
1997-09-01,2.262642897
1997-10-01,2.307575409
1997-11-01,2.172780211
1997-12-01,2.117392333
1998-01-01,2.257622177
1998-02-01,2.341487331
1998-03-01,2.217367179
1998-04-01,2.179599426
1998-05-01,2.153399984
1998-06-01,2.07667144
1998-07-01,2.056649259
1998-08-01,2.109942794
1998-09-01,2.063086005
1998-10-01,1.927012612
1998-11-01,1.942709373
1998-12-01,1.88469991
1999-01-01,1.861945
1999-02-01,1.8011382
1999-03-01,1.7565686
1999-04-01,1.7752419
1999-05-01,1.6776047
1999-06-01,1.6158932
