"Date","CPIOGSNS"
1979-07-01,68.4
1979-08-01,69.1
1979-09-01,70.7
1979-10-01,70.9
1979-11-01,71.1
1979-12-01,71.5
1980-01-01,72.3
1980-02-01,72.9
1980-03-01,73.2
1980-04-01,73.5
1980-05-01,74
1980-06-01,74.5
1980-07-01,74.8
1980-08-01,75.2
1980-09-01,77.3
1980-10-01,77.6
1980-11-01,78.1
1980-12-01,78.7
1981-01-01,79.3
1981-02-01,79.7
1981-03-01,80.2
1981-04-01,80.6
1981-05-01,81.4
1981-06-01,81.8
1981-07-01,82.2
1981-08-01,82.6
1981-09-01,85.2
1981-10-01,86
1981-11-01,86.2
1981-12-01,86.5
1982-01-01,87.1
1982-02-01,87.7
1982-03-01,88.4
1982-04-01,89
1982-05-01,89.4
1982-06-01,89.7
1982-07-01,90.2
1982-08-01,90.5
1982-09-01,93.5
1982-10-01,95.1
1982-11-01,96
1982-12-01,97
1983-01-01,98.1
1983-02-01,98.7
1983-03-01,98.8
1983-04-01,99.3
1983-05-01,99.4
1983-06-01,99.7
1983-07-01,100.8
1983-08-01,101.3
1983-09-01,103.2
1983-10-01,104
1983-11-01,104.5
1983-12-01,104.7
1984-01-01,105.3
1984-02-01,105.7
1984-03-01,105.9
1984-04-01,106.1
1984-05-01,106.3
1984-06-01,106.7
1984-07-01,107.4
1984-08-01,107.7
1984-09-01,110.3
1984-10-01,110.7
1984-11-01,110.9
1984-12-01,111
1985-01-01,111.9
1985-02-01,112.3
1985-03-01,112.6
1985-04-01,112.8
1985-05-01,113
1985-06-01,113.2
1985-07-01,113.9
1985-08-01,114.3
1985-09-01,116.8
1985-10-01,117.4
1985-11-01,117.5
1985-12-01,118
1986-01-01,118.9
1986-02-01,119.3
1986-03-01,119.6
1986-04-01,119.8
1986-05-01,119.9
1986-06-01,120.1
1986-07-01,120.9
1986-08-01,121.4
1986-09-01,123.8
1986-10-01,124.3
1986-11-01,124.4
1986-12-01,124.5
1987-01-01,125.5
1987-02-01,126.1
1987-03-01,126.3
1987-04-01,126.6
1987-05-01,126.9
1987-06-01,127.2
1987-07-01,128
1987-08-01,128.5
1987-09-01,131.1
1987-10-01,131.6
1987-11-01,131.8
1987-12-01,132.1
1988-01-01,133.4
1988-02-01,134.2
1988-03-01,134.6
1988-04-01,134.8
1988-05-01,135.1
1988-06-01,135.5
1988-07-01,136.5
1988-08-01,137.5
1988-09-01,140
1988-10-01,140.6
1988-11-01,141
1988-12-01,141.3
1989-01-01,143.4
1989-02-01,144.1
1989-03-01,144.4
1989-04-01,144.7
1989-05-01,145.4
1989-06-01,146.3
1989-07-01,147.3
1989-08-01,148.7
1989-09-01,151.2
1989-10-01,151.8
1989-11-01,151.9
1989-12-01,152.9
1990-01-01,154
1990-02-01,154.7
1990-03-01,155.2
1990-04-01,155.8
1990-05-01,156.6
1990-06-01,157.8
1990-07-01,159.2
1990-08-01,160.4
1990-09-01,162.6
1990-10-01,163.2
1990-11-01,163.6
1990-12-01,164.5
1991-01-01,166.5
1991-02-01,167.4
1991-03-01,167.9
1991-04-01,168.8
1991-05-01,169.1
1991-06-01,170
1991-07-01,170.8
1991-08-01,172.2
1991-09-01,175.8
1991-10-01,176.2
1991-11-01,176.9
1991-12-01,177.6
1992-01-01,178.6
1992-02-01,179.4
1992-03-01,179.8
1992-04-01,180.3
1992-05-01,181.3
1992-06-01,181.5
1992-07-01,182.3
1992-08-01,183.9
1992-09-01,187
1992-10-01,187.9
1992-11-01,188
1992-12-01,189.1
1993-01-01,191
1993-02-01,191.5
1993-03-01,192
1993-04-01,192.4
1993-05-01,193.2
1993-06-01,193.1
1993-07-01,193.7
1993-08-01,193.4
1993-09-01,193.1
1993-10-01,193.4
1993-11-01,193.8
1993-12-01,194.2
1994-01-01,195.1
1994-02-01,195.2
1994-03-01,195.5
1994-04-01,196.4
1994-05-01,197.1
1994-06-01,197.6
1994-07-01,198
1994-08-01,199.4
1994-09-01,201.4
1994-10-01,201.9
1994-11-01,202.3
1994-12-01,202.4
1995-01-01,203
1995-02-01,204.1
1995-03-01,204
1995-04-01,204.3
1995-05-01,204.9
1995-06-01,205.3
1995-07-01,205.7
1995-08-01,207.7
1995-09-01,210.2
1995-10-01,210.7
1995-11-01,211.2
1995-12-01,211.1
1996-01-01,212
1996-02-01,212.6
1996-03-01,213
1996-04-01,213.3
1996-05-01,214.1
1996-06-01,214
1996-07-01,214.6
1996-08-01,216.3
1996-09-01,218.3
1996-10-01,218.8
1996-11-01,219.2
1996-12-01,218.7
1997-01-01,220
1997-02-01,220.7
1997-03-01,221.4
1997-04-01,222.7
1997-05-01,223.1
1997-06-01,223.1
1997-07-01,223.5
1997-08-01,225.7
1997-09-01,228.1
1997-10-01,229.4
1997-11-01,229.9
1997-12-01,230.1
1998-01-01,231.3
1998-02-01,233.1
1998-03-01,232.4
1998-04-01,234.7
1998-05-01,236.7
1998-06-01,236.4
1998-07-01,237.8
1998-08-01,238
1998-09-01,240.4
1998-10-01,241.3
1998-11-01,240.5
1998-12-01,250.3
1999-01-01,255.4
1999-02-01,255
1999-03-01,253.3
1999-04-01,256.1
1999-05-01,255.8
1999-06-01,255.9
1999-07-01,258.3
1999-08-01,257.6
1999-09-01,262.6
1999-10-01,263.2
1999-11-01,263
1999-12-01,263
2000-01-01,264.7
2000-02-01,266.7
2000-03-01,268
2000-04-01,271.9
2000-05-01,270.2
2000-06-01,269.6
2000-07-01,272.2
2000-08-01,271.6
2000-09-01,274.7
2000-10-01,273
2000-11-01,276.2
2000-12-01,274
2001-01-01,275.9
2001-02-01,277.2
2001-03-01,277.7
2001-04-01,281.3
2001-05-01,280.2
2001-06-01,281.2
2001-07-01,285.8
2001-08-01,283.3
2001-09-01,287.8
2001-10-01,285.6
2001-11-01,289.2
2001-12-01,286.4
2002-01-01,287.2
2002-02-01,290.2
2002-03-01,288.5
2002-04-01,292.9
2002-05-01,291.5
2002-06-01,294.4
2002-07-01,294.5
2002-08-01,295.9
2002-09-01,297
2002-10-01,295.4
2002-11-01,295.6
2002-12-01,295.8
2003-01-01,296.5
2003-02-01,297.5
2003-03-01,297.3
2003-04-01,298.1
2003-05-01,298.1
2003-06-01,298.1
2003-07-01,299.2
2003-08-01,299.6
2003-09-01,299.9
2003-10-01,300.2
2003-11-01,300
2003-12-01,300.2
2004-01-01,301.4
2004-02-01,302.3
2004-03-01,303.1
2004-04-01,303.6
2004-05-01,303.8
2004-06-01,304.1
2004-07-01,305.1
2004-08-01,305.5
2004-09-01,306.3
2004-10-01,306.8
2004-11-01,307
2004-12-01,307.8
2005-01-01,309.3
2005-02-01,310.8
2005-03-01,311.2
2005-04-01,311.6
2005-05-01,312.5
2005-06-01,312.5
2005-07-01,314.1
2005-08-01,314.4
2005-09-01,315
2005-10-01,315.3
2005-11-01,316.2
2005-12-01,317.3
2006-01-01,318.2
2006-02-01,319.1
2006-03-01,320
2006-04-01,320
2006-05-01,320.2
2006-06-01,321.5
2006-07-01,321.2
2006-08-01,321.7
2006-09-01,323.3
2006-10-01,324.3
2006-11-01,324.3
2006-12-01,326.7
2007-01-01,329.198
2007-02-01,330.459
2007-03-01,331.144
2007-04-01,331.743
2007-05-01,332.785
2007-06-01,333.378
2007-07-01,333.415
2007-08-01,333.325
2007-09-01,334.801
2007-10-01,335.68
2007-11-01,336.379
2007-12-01,337.633
2008-01-01,339.052
2008-02-01,340.191
2008-03-01,341.827
2008-04-01,343.41
2008-05-01,344.709
2008-06-01,345.885
2008-07-01,346.81
2008-08-01,346.99
2008-09-01,348.166
2008-10-01,349.276
2008-11-01,349.04
2008-12-01,349.22
2009-01-01,350.259
2009-02-01,351.223
2009-03-01,361.156
2009-04-01,370.606
2009-05-01,369.901
2009-06-01,370.595
2009-07-01,372.894
2009-08-01,372.699
2009-09-01,374.219
2009-10-01,375.444
2009-11-01,376.702
2009-12-01,377.33
2010-01-01,377.652
2010-02-01,377.992
2010-03-01,378.808
2010-04-01,378.911
2010-05-01,379.714
2010-06-01,380.926
2010-07-01,383.247
2010-08-01,383.685
2010-09-01,383.663
2010-10-01,382.764
2010-11-01,383.633
2010-12-01,384.502
2011-01-01,384.689
2011-02-01,385.397
2011-03-01,385.637
2011-04-01,386.226
2011-05-01,385.476
2011-06-01,386.171
2011-07-01,386.494
2011-08-01,387.053
2011-09-01,388.627
2011-10-01,389.119
2011-11-01,390.761
2011-12-01,391.043
2012-01-01,391.382
2012-02-01,391.236
2012-03-01,392.364
2012-04-01,393.32
2012-05-01,392.859
2012-06-01,393.989
2012-07-01,395.418
2012-08-01,396.161
2012-09-01,396.155
2012-10-01,396.337
2012-11-01,396.702
2012-12-01,396.814
2013-01-01,397.543
2013-02-01,398.291
2013-03-01,399.265
2013-04-01,400.239
2013-05-01,399.966
2013-06-01,400.347
2013-07-01,401.454
2013-08-01,402.403
2013-09-01,402.675
2013-10-01,402.693
2013-11-01,403.047
2013-12-01,404.097
2014-01-01,405.127
2014-02-01,405.91
2014-03-01,406.715
2014-04-01,407.03
2014-05-01,407.178
2014-06-01,407.974
2014-07-01,408.483
2014-08-01,408.898
2014-09-01,409.059
2014-10-01,410.325
2014-11-01,409.825
2014-12-01,410.642
2015-01-01,412.545
2015-02-01,411.837
2015-03-01,412.402
2015-04-01,412.231
2015-05-01,412.841
2015-06-01,415.022
2015-07-01,415.359
2015-08-01,415.576
2015-09-01,416.34
2015-10-01,417.968
2015-11-01,418.351
2015-12-01,418.298
2016-01-01,419.074
2016-02-01,419.627
2016-03-01,420.632
2016-04-01,420.977
2016-05-01,421.881
2016-06-01,422.915
2016-07-01,423.439
2016-08-01,424.105
2016-09-01,425.494
2016-10-01,425.524
2016-11-01,426.045
2016-12-01,427.159
2017-01-01,427.621
2017-02-01,427.992
2017-03-01,428.336
2017-04-01,432.175
2017-05-01,431.911
2017-06-01,433.121
2017-07-01,434.033
2017-08-01,433.328
2017-09-01,434.057
2017-10-01,436.252
2017-11-01,436.352
2017-12-01,435.831
2018-01-01,437.687
2018-02-01,438.306
2018-03-01,439.269
2018-04-01,442.553
2018-05-01,442.71
2018-06-01,442.851
2018-07-01,443.17
2018-08-01,442.934
2018-09-01,443.409
2018-10-01,444.334
2018-11-01,445.48
2018-12-01,445.059
2019-01-01,446
2019-02-01,448.15
2019-03-01,448.471
2019-04-01,448.658
2019-05-01,449.896
2019-06-01,449.345
2019-07-01,451.709
2019-08-01,453.074
2019-09-01,453.193
2019-10-01,455.225
2019-11-01,456.262
2019-12-01,455.413
2020-01-01,458.336
2020-02-01,460.144
2020-03-01,461.495
2020-04-01,461.294
2020-05-01,460.73
2020-06-01,462.149
2020-07-01,463.712
2020-08-01,462.847
2020-09-01,463.656
2020-10-01,463.919
2020-11-01,464.211
2020-12-01,466.332
2021-01-01,467.995
2021-02-01,469.886
2021-03-01,472.607
2021-04-01,473.649
2021-05-01,473.011
2021-06-01,473.718
2021-07-01,477.103
2021-08-01,479.048
2021-09-01,479.525
2021-10-01,483.592
2021-11-01,484.683
2021-12-01,487.131
2022-01-01,490.856
2022-02-01,496.045
2022-03-01,498.538
2022-04-01,500.673
2022-05-01,502.966
2022-06-01,505.312
2022-07-01,507.204
2022-08-01,510.892
2022-09-01,512.565
2022-10-01,514.958
2022-11-01,518.668
2022-12-01,518.088
2023-01-01,521.433
2023-02-01,526.196
2023-03-01,528.811
2023-04-01,533.706
2023-05-01,536.518
2023-06-01,537.386
2023-07-01,537.926
2023-08-01,540.27
2023-09-01,543.35
2023-10-01,546.825
2023-11-01,547.96
