"Date","CUUR0000SAS2RS"
1982-12-01,100
1983-01-01,100.7
1983-02-01,101
1983-03-01,101
1983-04-01,101.7
1983-05-01,102
1983-06-01,102.3
1983-07-01,102.8
1983-08-01,103.2
1983-09-01,103.8
1983-10-01,104.1
1983-11-01,104.5
1983-12-01,104.7
1984-01-01,105.1
1984-02-01,105.4
1984-03-01,105.9
1984-04-01,106.6
1984-05-01,106.9
1984-06-01,107.3
1984-07-01,108.1
1984-08-01,108.6
1984-09-01,109.2
1984-10-01,109.6
1984-11-01,109.9
1984-12-01,110.3
1985-01-01,110.6
1985-02-01,111.3
1985-03-01,111.5
1985-04-01,112
1985-05-01,113.2
1985-06-01,113.6
1985-07-01,114.3
1985-08-01,115.1
1985-09-01,115.4
1985-10-01,116.1
1985-11-01,116.7
1985-12-01,117
1986-01-01,117.4
1986-02-01,117.7
1986-03-01,118.5
1986-04-01,119.4
1986-05-01,119.7
1986-06-01,119.9
1986-07-01,120.5
1986-08-01,120.9
1986-09-01,121.7
1986-10-01,122.2
1986-11-01,122.4
1986-12-01,122.5
1987-01-01,123.1
1987-02-01,123.6
1987-03-01,124.1
1987-04-01,124.8
1987-05-01,125.1
1987-06-01,125.4
1987-07-01,126
1987-08-01,126.9
1987-09-01,127.2
1987-10-01,128
1987-11-01,128.1
1987-12-01,128.5
1988-01-01,129.4
1988-02-01,129.8
1988-03-01,130.4
1988-04-01,130.6
1988-05-01,131
1988-06-01,131.5
1988-07-01,132.3
1988-08-01,133.1
1988-09-01,133.4
1988-10-01,133.8
1988-11-01,134.1
1988-12-01,134.3
1989-01-01,134.8
1989-02-01,135.4
1989-03-01,136.3
1989-04-01,136.3
1989-05-01,136.9
1989-06-01,137.4
1989-07-01,138.8
1989-08-01,139.3
1989-09-01,139.3
1989-10-01,140.1
1989-11-01,140.5
1989-12-01,140.9
1990-01-01,141.6
1990-02-01,142
1990-03-01,143.3
1990-04-01,143.5
1990-05-01,143.7
1990-06-01,145
1990-07-01,146.7
1990-08-01,148.1
1990-09-01,147.9
1990-10-01,148.1
1990-11-01,148.1
1990-12-01,148.4
1991-01-01,149.8
1991-02-01,150.4
1991-03-01,151
1991-04-01,151
1991-05-01,151
1991-06-01,151.6
1991-07-01,152.7
1991-08-01,153.2
1991-09-01,153.3
1991-10-01,153.6
1991-11-01,153.8
1991-12-01,154.2
1992-01-01,155.2
1992-02-01,155.8
1992-03-01,156.5
1992-04-01,156.3
1992-05-01,156.2
1992-06-01,157.1
1992-07-01,158
1992-08-01,158.5
1992-09-01,158
1992-10-01,158.6
1992-11-01,158.6
1992-12-01,158.7
1993-01-01,159.9
1993-02-01,160.6
1993-03-01,161
1993-04-01,161.2
1993-05-01,161.2
1993-06-01,162
1993-07-01,162.6
1993-08-01,163.1
1993-09-01,162.9
1993-10-01,163.1
1993-11-01,163.1
1993-12-01,163.5
1994-01-01,164.5
1994-02-01,165.6
1994-03-01,166.3
1994-04-01,166.1
1994-05-01,166
1994-06-01,166.6
1994-07-01,167.3
1994-08-01,168.2
1994-09-01,168.2
1994-10-01,168.6
1994-11-01,168.6
1994-12-01,168.3
1995-01-01,169.4
1995-02-01,170.4
1995-03-01,171.2
1995-04-01,171.3
1995-05-01,171.5
1995-06-01,172.2
1995-07-01,173.2
1995-08-01,173.6
1995-09-01,173.6
1995-10-01,174.1
1995-11-01,174.1
1995-12-01,174.2
1996-01-01,175.5
1996-02-01,176.3
1996-03-01,177
1996-04-01,177
1996-05-01,177
1996-06-01,177.6
1996-07-01,178.9
1996-08-01,179.3
1996-09-01,179
1996-10-01,179.4
1996-11-01,179.4
1996-12-01,179.3
1997-01-01,180.6
1997-02-01,181.6
1997-03-01,182.3
1997-04-01,182.4
1997-05-01,182.4
1997-06-01,183.1
1997-07-01,184.1
1997-08-01,184.7
1997-09-01,184.4
1997-10-01,185
1997-11-01,185
1997-12-01,185.3
1998-01-01,186.5
1998-02-01,187.5
1998-03-01,188.1
1998-04-01,188.4
1998-05-01,188.6
1998-06-01,189.3
1998-07-01,190.1
1998-08-01,190.8
1998-09-01,191
1998-10-01,191.5
1998-11-01,191.5
1998-12-01,191.5
1999-01-01,192.3
1999-02-01,193.1
1999-03-01,193.9
1999-04-01,194.3
1999-05-01,194.2
1999-06-01,194.9
1999-07-01,195.7
1999-08-01,196.1
1999-09-01,196.1
1999-10-01,196.3
1999-11-01,196.3
1999-12-01,196.3
2000-01-01,198
2000-02-01,198.9
2000-03-01,200.1
2000-04-01,200.2
2000-05-01,200.3
2000-06-01,201.2
2000-07-01,202.1
2000-08-01,202.7
2000-09-01,202.6
2000-10-01,203.3
2000-11-01,203.2
2000-12-01,203.1
2001-01-01,204.5
2001-02-01,205.7
2001-03-01,207.2
2001-04-01,207.4
2001-05-01,207.8
2001-06-01,209
2001-07-01,209.7
2001-08-01,210.8
2001-09-01,210.3
2001-10-01,210.8
2001-11-01,211.3
2001-12-01,211.7
2002-01-01,213
2002-02-01,214.7
2002-03-01,215.6
2002-04-01,216.1
2002-05-01,216.1
2002-06-01,216.8
2002-07-01,217.4
2002-08-01,218.3
2002-09-01,217.9
2002-10-01,218.4
2002-11-01,218.2
2002-12-01,218.1
2003-01-01,219.5
2003-02-01,220.3
2003-03-01,220.9
2003-04-01,220.8
2003-05-01,221.5
2003-06-01,221.7
2003-07-01,222.6
2003-08-01,223.1
2003-09-01,222.6
2003-10-01,223.5
2003-11-01,223
2003-12-01,222.9
2004-01-01,224.1
2004-02-01,224.9
2004-03-01,226.8
2004-04-01,227.4
2004-05-01,227.7
2004-06-01,228.3
2004-07-01,229.2
2004-08-01,229.4
2004-09-01,229.3
2004-10-01,229.8
2004-11-01,229
2004-12-01,228.9
2005-01-01,230.1
2005-02-01,231.7
2005-03-01,233.7
2005-04-01,233.7
2005-05-01,233.2
2005-06-01,233.8
2005-07-01,234.9
2005-08-01,235
2005-09-01,233.8
2005-10-01,235.1
2005-11-01,234.9
2005-12-01,235
2006-01-01,236.2
2006-02-01,237.8
2006-03-01,239.6
2006-04-01,240.4
2006-05-01,241
2006-06-01,242
2006-07-01,243.4
2006-08-01,244.1
2006-09-01,243.8
2006-10-01,244.7
2006-11-01,244.7
2006-12-01,245
2007-01-01,246.476
2007-02-01,248.024
2007-03-01,249.087
2007-04-01,249.877
2007-05-01,250.055
2007-06-01,251.2
2007-07-01,252.358
2007-08-01,252.53
2007-09-01,252.272
2007-10-01,252.713
2007-11-01,252.495
2007-12-01,252.669
2008-01-01,254.239
2008-02-01,255.199
2008-03-01,256.47
2008-04-01,256.463
2008-05-01,256.532
2008-06-01,257.585
2008-07-01,258.637
2008-08-01,258.547
2008-09-01,258.255
2008-10-01,258.368
2008-11-01,257.961
2008-12-01,257.567
2009-01-01,258.83
