"Date","CUSR0000SEFX"
1978-01-01,68
1978-02-01,68.2
1978-03-01,68.5
1978-04-01,69.8
1978-05-01,70.4
1978-06-01,71
1978-07-01,71.7
1978-08-01,72.5
1978-09-01,72.9
1978-10-01,73.4
1978-11-01,74
1978-12-01,74.7
1979-01-01,75
1979-02-01,75.5
1979-03-01,76
1979-04-01,76.3
1979-05-01,76.8
1979-06-01,77
1979-07-01,77.4
1979-08-01,77.6
1979-09-01,78
1979-10-01,78.6
1979-11-01,79.1
1979-12-01,79.4
1980-01-01,80
1980-02-01,80.6
1980-03-01,81.1
1980-04-01,81.5
1980-05-01,82
1980-06-01,82.8
1980-07-01,82.9
1980-08-01,83.7
1980-09-01,84.3
1980-10-01,84.9
1980-11-01,85.2
1980-12-01,85.5
1981-01-01,86.4
1981-02-01,87.8
1981-03-01,88.8
1981-04-01,89.1
1981-05-01,89.8
1981-06-01,90.1
1981-07-01,90.8
1981-08-01,91.2
1981-09-01,91.7
1981-10-01,91.8
1981-11-01,91.9
1981-12-01,92
1982-01-01,92.8
1982-02-01,93.2
1982-03-01,93.6
1982-04-01,93.7
1982-05-01,94.2
1982-06-01,95
1982-07-01,95.4
1982-08-01,95.6
1982-09-01,96.5
1982-10-01,96.7
1982-11-01,97.3
1982-12-01,97.7
1983-01-01,98.1
1983-02-01,98.5
1983-03-01,98.7
1983-04-01,99.2
1983-05-01,99.6
1983-06-01,99.6
1983-07-01,99
1983-08-01,99.8
1983-09-01,100.5
1983-10-01,100.7
1983-11-01,101.5
1983-12-01,101.9
1984-01-01,102.7
1984-02-01,103
1984-03-01,103.4
1984-04-01,104
1984-05-01,104.4
1984-06-01,104.8
1984-07-01,105.3
1984-08-01,105.9
1984-09-01,106.5
1984-10-01,106.8
1984-11-01,107.1
1984-12-01,107.4
1985-01-01,107.4
1985-02-01,108.5
1985-03-01,108.6
1985-04-01,109.4
1985-05-01,110.3
1985-06-01,110.3
1985-07-01,110.6
1985-08-01,111.3
1985-09-01,112.2
1985-10-01,114.1
1985-11-01,115.1
1985-12-01,115.9
1986-01-01,116.2
1986-02-01,116.7
1986-03-01,117.2
1986-04-01,117.1
1986-05-01,117.5
1986-06-01,118.9
1986-07-01,119.1
1986-08-01,119.3
1986-09-01,119.6
1986-10-01,119.8
1986-11-01,119.8
1986-12-01,120.3
1987-01-01,121.1
1987-02-01,121.1
1987-03-01,121.4
1987-04-01,121.9
1987-05-01,122.2
1987-06-01,123.5
1987-07-01,124.1
1987-08-01,124.4
1987-09-01,124.6
1987-10-01,124.9
1987-11-01,125.5
1987-12-01,125.8
1988-01-01,127
1988-02-01,127.8
1988-03-01,128.4
1988-04-01,129.5
1988-05-01,129.6
1988-06-01,130.7
1988-07-01,131.5
1988-08-01,131.6
1988-09-01,132.3
1988-10-01,132.6
1988-11-01,132.7
1988-12-01,133.3
1989-01-01,133.6
1989-02-01,134.3
1989-03-01,135.4
1989-04-01,136
1989-05-01,136.8
1989-06-01,137.3
1989-07-01,137.5
1989-08-01,138.5
1989-09-01,139.5
1989-10-01,139.7
1989-11-01,139.9
1989-12-01,140.3
1990-01-01,141.4
1990-02-01,141.5
1990-03-01,142.4
1990-04-01,142.4
1990-05-01,143.3
1990-06-01,144
1990-07-01,144.7
1990-08-01,145.5
1990-09-01,146.3
1990-10-01,147
1990-11-01,147.2
1990-12-01,147.4
1991-01-01,152.2
1991-02-01,155.1
1991-03-01,155.3
1991-04-01,155.6
1991-05-01,155.9
1991-06-01,156.6
1991-07-01,157.4
1991-08-01,158.1
1991-09-01,159.2
1991-10-01,159.2
1991-11-01,159
1991-12-01,159.3
1992-01-01,159.5
1992-02-01,160.1
1992-03-01,160.5
1992-04-01,161.7
1992-05-01,162.1
1992-06-01,162.3
1992-07-01,162.7
1992-08-01,163
1992-09-01,163.5
1992-10-01,164
1992-11-01,164.8
1992-12-01,165.3
1993-01-01,165.6
1993-02-01,165.6
1993-03-01,166.2
1993-04-01,166.5
1993-05-01,166.9
1993-06-01,167.3
1993-07-01,167.8
1993-08-01,168.2
1993-09-01,168.3
1993-10-01,168.6
1993-11-01,168.3
1993-12-01,169.5
1994-01-01,170.6
1994-02-01,170.5
1994-03-01,170.7
1994-04-01,170.9
1994-05-01,171
1994-06-01,171.3
1994-07-01,171.2
1994-08-01,171.5
1994-09-01,172.1
1994-10-01,172.5
1994-11-01,173.1
1994-12-01,173.5
1995-01-01,173.3
1995-02-01,173.8
1995-03-01,174.6
1995-04-01,175.4
1995-05-01,176.1
1995-06-01,176.5
1995-07-01,177.1
1995-08-01,177.6
1995-09-01,177.9
1995-10-01,178.2
1995-11-01,178.6
1995-12-01,178.8
1996-01-01,179.4
1996-02-01,180
1996-03-01,180.6
1996-04-01,181.8
1996-05-01,182.3
1996-06-01,182.8
1996-07-01,182.4
1996-08-01,183.2
1996-09-01,183.9
1996-10-01,185
1996-11-01,185.4
1996-12-01,185.6
1997-01-01,186.5
1997-02-01,187
1997-03-01,187.6
1997-04-01,188
1997-05-01,188.7
1997-06-01,188.9
1997-07-01,189.7
1997-08-01,190.3
1997-09-01,190.8
1997-10-01,191.2
1997-11-01,191.7
1997-12-01,192.5
1998-01-01,193.1
1998-02-01,193.6
1998-03-01,194
1998-04-01,193.6
1998-05-01,193.4
1998-06-01,193.9
1998-07-01,195.1
1998-08-01,195.4
1998-09-01,196.5
1998-10-01,196.9
1998-11-01,196.9
1998-12-01,198.1
1999-01-01,198.2
1999-02-01,198.9
1999-03-01,199.2
1999-04-01,199.4
1999-05-01,200.3
1999-06-01,200.9
1999-07-01,201.2
1999-08-01,202
1999-09-01,202.7
1999-10-01,202.2
1999-11-01,202.9
1999-12-01,203.5
2000-01-01,204.3
2000-02-01,204.8
2000-03-01,204.1
2000-04-01,204.2
2000-05-01,205.2
2000-06-01,206.1
2000-07-01,207.7
2000-08-01,208.8
2000-09-01,209.2
2000-10-01,209.9
2000-11-01,210.3
2000-12-01,210.4
2001-01-01,211
2001-02-01,211.6
2001-03-01,212.4
2001-04-01,213.2
2001-05-01,214.2
2001-06-01,215.1
2001-07-01,215.8
2001-08-01,216.5
2001-09-01,216.8
2001-10-01,217.8
2001-11-01,218.5
2001-12-01,219.2
2002-01-01,219.6
2002-02-01,219.8
2002-03-01,220.7
2002-04-01,221.5
2002-05-01,222
2002-06-01,221.9
2002-07-01,222.2
2002-08-01,223
2002-09-01,223.7
2002-10-01,224.3
2002-11-01,225.8
2002-12-01,225.7
2003-01-01,226.6
2003-02-01,226.7
2003-03-01,227.1
2003-04-01,227.4
2003-05-01,227.6
2003-06-01,228.2
2003-07-01,228.4
2003-08-01,228.3
2003-09-01,229.9
2003-10-01,230.5
2003-11-01,231.2
2003-12-01,231.9
2004-01-01,232.2
2004-02-01,232.8
2004-03-01,233.1
2004-04-01,234.4
2004-05-01,235.3
2004-06-01,236.6
2004-07-01,237.7
2004-08-01,238.1
2004-09-01,238.5
2004-10-01,239.3
2004-11-01,240.1
2004-12-01,240.9
2005-01-01,241.3
2005-02-01,242.3
2005-03-01,242.7
2005-04-01,243.1
2005-05-01,243.3
2005-06-01,244.2
2005-07-01,244.6
2005-08-01,244.9
2005-09-01,245.6
2005-10-01,246.6
2005-11-01,247.6
2005-12-01,248
2006-01-01,249.3
2006-02-01,250.7
2006-03-01,251
2006-04-01,251.9
2006-05-01,253.9
2006-06-01,255.2
2006-07-01,255.9
2006-08-01,256.6
2006-09-01,257.6
2006-10-01,257.6
2006-11-01,257.6
2006-12-01,258.4
2007-01-01,260.073
2007-02-01,260.849
2007-03-01,261.453
2007-04-01,263.929
2007-05-01,265.116
2007-06-01,265.533
2007-07-01,267.568
2007-08-01,268.337
2007-09-01,268.668
2007-10-01,269.737
2007-11-01,270.041
2007-12-01,270.329
2008-01-01,271.642
2008-02-01,272.925
2008-03-01,273.686
2008-04-01,275.556
2008-05-01,276.618
2008-06-01,277.553
2008-07-01,277.701
2008-08-01,279.237
2008-09-01,279.916
2008-10-01,280.207
2008-11-01,281.296
2008-12-01,282.39
2009-01-01,282.875
2009-02-01,282.687
2009-03-01,283.414
2009-04-01,284.628
2009-05-01,284.902
2009-06-01,285.04
2009-07-01,285.45
2009-08-01,284.937
2009-09-01,287.285
2009-10-01,288.508
2009-11-01,287.822
2009-12-01,289.055
2010-01-01,289.878
2010-02-01,288.847
2010-03-01,289.853
2010-04-01,290.114
2010-05-01,290.492
2010-06-01,291.082
2010-07-01,291.629
2010-08-01,292.2
2010-09-01,293.468
2010-10-01,294.22
2010-11-01,295.356
2010-12-01,295.568
2011-01-01,295.847
2011-02-01,295.78
2011-03-01,296.668
2011-04-01,297.553
2011-05-01,301.644
2011-06-01,302.29
2011-07-01,302.635
2011-08-01,303.275
2011-09-01,303.782
2011-10-01,303.234
2011-11-01,303.578
2011-12-01,304.349
2012-01-01,306.773
2012-02-01,308.371
2012-03-01,307.258
2012-04-01,308.612
2012-05-01,310.173
2012-06-01,312.082
2012-07-01,311.148
2012-08-01,311.251
2012-09-01,311.939
2012-10-01,312.284
2012-11-01,312.966
2012-12-01,313.606
2013-01-01,314.141
2013-02-01,315.476
2013-03-01,315.184
2013-04-01,316.544
2013-05-01,317.066
2013-06-01,317.348
2013-07-01,318.193
2013-08-01,318.891
2013-09-01,319.189
2013-10-01,320.547
2013-11-01,321.386
2013-12-01,320.953
2014-01-01,320.439
2014-02-01,320.606
2014-03-01,320.922
2014-04-01,322.424
2014-05-01,323.085
2014-06-01,323.589
2014-07-01,323.302
2014-08-01,324.125
2014-09-01,324.842
2014-10-01,326.306
2014-11-01,328.088
2014-12-01,328.025
2015-01-01,327.871
2015-02-01,328.492
2015-03-01,328.715
2015-04-01,329.865
2015-05-01,331.239
2015-06-01,330.669
2015-07-01,330.812
2015-08-01,330.945
2015-09-01,331.323
2015-10-01,331.711
2015-11-01,332.004
2015-12-01,332.505
2016-01-01,332.985
2016-02-01,333.724
2016-03-01,334.106
2016-04-01,334.97
2016-05-01,336.324
2016-06-01,336.512
2016-07-01,336.754
2016-08-01,337.036
2016-09-01,337.913
2016-10-01,338.942
2016-11-01,339.566
2016-12-01,340.158
2017-01-01,340.366
2017-02-01,341.405
2017-03-01,341.685
2017-04-01,341.854
2017-05-01,342.957
2017-06-01,344.436
2017-07-01,343.804
2017-08-01,344.593
2017-09-01,344.413
2017-10-01,344.673
2017-11-01,345.135
2017-12-01,346.189
2018-01-01,347.864
2018-02-01,348.51
2018-03-01,348.872
2018-04-01,349.289
2018-05-01,349.603
2018-06-01,350.833
2018-07-01,350.889
2018-08-01,351.155
2018-09-01,352.899
2018-10-01,353.196
2018-11-01,354.095
2018-12-01,353.965
2019-01-01,354.166
2019-02-01,353.257
2019-03-01,353.967
2019-04-01,354.578
2019-05-01,353.734
2019-06-01,354.57
2019-07-01,355.923
2019-08-01,355.739
2019-09-01,356.532
2019-10-01,355.939
2019-11-01,355.902
2019-12-01,357.664
2020-01-01,358.947
2020-02-01,359.716
2020-03-01,359.743
2020-04-01,359.839
2020-05-01,363.372
2020-06-01,364.722
2020-07-01,361.401
2020-08-01,364.232
2020-09-01,364.456
2020-10-01,365.392
2020-11-01,367.5
2020-12-01,367.636
2021-01-01,367.968
2021-02-01,368.156
2021-03-01,369.031
2021-04-01,370.416
2021-05-01,370.685
2021-06-01,372.805
2021-07-01,373.331
2021-08-01,375.285
2021-09-01,376.7
2021-10-01,377.016
2021-11-01,377.515
2021-12-01,381.344
2022-01-01,383.554
2022-02-01,384.823
2022-03-01,387.294
2022-04-01,389.313
2022-05-01,392.382
2022-06-01,393.612
2022-07-01,394.764
2022-08-01,396.501
2022-09-01,398.404
2022-10-01,403.29
2022-11-01,404.362
2022-12-01,407.448
2023-01-01,410.007
2023-02-01,408.833
2023-03-01,409.906
2023-04-01,414.514
2023-05-01,417.235
2023-06-01,419.404
2023-07-01,420.092
2023-08-01,420.221
2023-09-01,423.822
2023-10-01,424.74
2023-11-01,425.252
