"Date","CUUR0200SAS2RS"
1982-12-01,100
1983-01-01,NA
1983-02-01,100.7
1983-03-01,NA
1983-04-01,101
1983-05-01,NA
1983-06-01,101.5
1983-07-01,NA
1983-08-01,102.2
1983-09-01,NA
1983-10-01,102.9
1983-11-01,NA
1983-12-01,103.9
1984-01-01,NA
1984-02-01,104.1
1984-03-01,NA
1984-04-01,104.7
1984-05-01,NA
1984-06-01,105.8
1984-07-01,NA
1984-08-01,106.5
1984-09-01,NA
1984-10-01,107.7
1984-11-01,NA
1984-12-01,108.1
1985-01-01,NA
1985-02-01,108.8
1985-03-01,NA
1985-04-01,109.5
1985-05-01,NA
1985-06-01,110.8
1985-07-01,NA
1985-08-01,111.8
1985-09-01,NA
1985-10-01,112.7
1985-11-01,NA
1985-12-01,113.5
1986-01-01,NA
1986-02-01,113.9
1986-03-01,NA
1986-04-01,115.3
1986-05-01,NA
1986-06-01,115.9
1986-07-01,NA
1986-08-01,116.6
1986-09-01,NA
1986-10-01,117.6
1986-11-01,NA
1986-12-01,118.1
1987-01-01,118.9
1987-02-01,119.1
1987-03-01,120.1
1987-04-01,120.8
1987-05-01,120.9
1987-06-01,121.3
1987-07-01,122.3
1987-08-01,123.6
1987-09-01,123.3
1987-10-01,123.7
1987-11-01,123.7
1987-12-01,123.6
1988-01-01,124
1988-02-01,124.9
1988-03-01,125.8
1988-04-01,125.9
1988-05-01,126.5
1988-06-01,126.6
1988-07-01,127.9
1988-08-01,128.6
1988-09-01,128.3
1988-10-01,129.3
1988-11-01,128.9
1988-12-01,128.4
1989-01-01,129.1
1989-02-01,130
1989-03-01,130.4
1989-04-01,131.2
1989-05-01,131.4
1989-06-01,132.3
1989-07-01,133.2
1989-08-01,133.4
1989-09-01,133.2
1989-10-01,134.1
1989-11-01,134.1
1989-12-01,134.3
1990-01-01,134.7
1990-02-01,135.4
1990-03-01,136.6
1990-04-01,137.1
1990-05-01,137.2
1990-06-01,138.1
1990-07-01,139.8
1990-08-01,140.8
1990-09-01,140.6
1990-10-01,141.2
1990-11-01,141.2
1990-12-01,140.9
1991-01-01,141.3
1991-02-01,142
1991-03-01,143.4
1991-04-01,143.2
1991-05-01,144.2
1991-06-01,144.1
1991-07-01,144.5
1991-08-01,145
1991-09-01,145.3
1991-10-01,146.1
1991-11-01,145.9
1991-12-01,146.4
1992-01-01,147.6
1992-02-01,147.7
1992-03-01,147.6
1992-04-01,147.7
1992-05-01,148
1992-06-01,149.3
1992-07-01,150.3
1992-08-01,150.5
1992-09-01,149.9
1992-10-01,150.3
1992-11-01,150.3
1992-12-01,150.4
1993-01-01,151.6
1993-02-01,152.5
1993-03-01,152.9
1993-04-01,152.8
1993-05-01,153.2
1993-06-01,153.9
1993-07-01,154.6
1993-08-01,154.9
1993-09-01,155.1
1993-10-01,155.8
1993-11-01,155.9
1993-12-01,156.1
1994-01-01,156.7
1994-02-01,157.6
1994-03-01,158.4
1994-04-01,158.8
1994-05-01,159.2
1994-06-01,159.7
1994-07-01,160.3
1994-08-01,161
1994-09-01,160.9
1994-10-01,161.5
1994-11-01,161.8
1994-12-01,161.8
1995-01-01,162.7
1995-02-01,163.6
1995-03-01,164.4
1995-04-01,164.9
1995-05-01,164.8
1995-06-01,165.7
1995-07-01,166.8
1995-08-01,167.5
1995-09-01,167.9
1995-10-01,168.3
1995-11-01,168.5
1995-12-01,168.7
1996-01-01,169.4
1996-02-01,170.4
1996-03-01,171
1996-04-01,171.4
1996-05-01,171.3
1996-06-01,172
1996-07-01,173.1
1996-08-01,173.4
1996-09-01,173.2
1996-10-01,173.5
1996-11-01,173.6
1996-12-01,173.6
1997-01-01,174.8
1997-02-01,175.8
1997-03-01,176.3
1997-04-01,176.5
1997-05-01,176.8
1997-06-01,177.5
1997-07-01,178.4
1997-08-01,179
1997-09-01,178.8
1997-10-01,179.3
1997-11-01,179.4
1997-12-01,179.2
1998-01-01,180.3
1998-02-01,181.1
1998-03-01,181.8
1998-04-01,182.3
1998-05-01,182.7
1998-06-01,183.4
1998-07-01,183.9
1998-08-01,184.3
1998-09-01,184.4
1998-10-01,184.9
1998-11-01,184.7
1998-12-01,184.6
1999-01-01,185.3
1999-02-01,186
1999-03-01,186.8
1999-04-01,187.5
1999-05-01,187.7
1999-06-01,188.3
1999-07-01,188.7
1999-08-01,189.1
1999-09-01,189.2
1999-10-01,189.2
1999-11-01,189.1
1999-12-01,189
2000-01-01,190.5
2000-02-01,191.5
2000-03-01,192.5
2000-04-01,192.9
2000-05-01,193.7
2000-06-01,194.5
2000-07-01,195.4
2000-08-01,195.5
2000-09-01,195.7
2000-10-01,196
2000-11-01,195.7
2000-12-01,195.4
2001-01-01,196.5
2001-02-01,197.3
2001-03-01,198.3
2001-04-01,198.5
2001-05-01,198.9
2001-06-01,199.7
2001-07-01,200.2
2001-08-01,201.2
2001-09-01,201
2001-10-01,201.4
2001-11-01,202
2001-12-01,202.4
2002-01-01,203.4
2002-02-01,204.5
2002-03-01,205.6
2002-04-01,206
2002-05-01,206.4
2002-06-01,207.2
2002-07-01,207.4
2002-08-01,207.9
2002-09-01,207.8
2002-10-01,208
2002-11-01,207.9
2002-12-01,207.9
2003-01-01,208.3
2003-02-01,209.8
2003-03-01,209.9
2003-04-01,209.8
2003-05-01,210.2
2003-06-01,210.7
2003-07-01,210.8
2003-08-01,210.9
2003-09-01,210.7
2003-10-01,211.2
2003-11-01,211.1
2003-12-01,210.7
2004-01-01,211.4
2004-02-01,211.8
2004-03-01,213.9
2004-04-01,214
2004-05-01,214.6
2004-06-01,215.6
2004-07-01,216.2
2004-08-01,215.9
2004-09-01,215.9
2004-10-01,216.2
2004-11-01,215.6
2004-12-01,215.3
2005-01-01,215.4
2005-02-01,217.1
2005-03-01,218.2
2005-04-01,218.4
2005-05-01,218.3
2005-06-01,218.9
2005-07-01,219.4
2005-08-01,219.4
2005-09-01,218.9
2005-10-01,219.1
2005-11-01,218.5
2005-12-01,218.5
2006-01-01,218.9
2006-02-01,219.6
2006-03-01,221.4
2006-04-01,221.3
2006-05-01,221.8
2006-06-01,222.8
2006-07-01,223.2
2006-08-01,223.5
2006-09-01,223.6
2006-10-01,224.3
2006-11-01,224.1
2006-12-01,224.1
2007-01-01,224.58
2007-02-01,225.728
2007-03-01,227.057
2007-04-01,227.308
2007-05-01,227.336
2007-06-01,227.508
2007-07-01,227.945
2007-08-01,228.569
2007-09-01,228.793
2007-10-01,229.185
2007-11-01,228.318
