"Date","APU0300702611"
1980-01-01,0.769
1980-02-01,0.812
1980-03-01,0.787
1980-04-01,0.811
1980-05-01,0.808
1980-06-01,0.812
1980-07-01,0.831
1980-08-01,0.83
1980-09-01,0.806
1980-10-01,0.824
1980-11-01,0.812
1980-12-01,0.83
1981-01-01,0.82
1981-02-01,0.847
1981-03-01,0.843
1981-04-01,0.851
1981-05-01,0.822
1981-06-01,0.829
1981-07-01,0.833
1981-08-01,0.816
1981-09-01,0.807
1981-10-01,0.8
1981-11-01,0.786
1981-12-01,0.803
1982-01-01,0.784
1982-02-01,0.816
1982-03-01,0.799
1982-04-01,0.84
1982-05-01,0.851
1982-06-01,0.871
1982-07-01,0.861
1982-08-01,0.877
1982-09-01,0.821
1982-10-01,0.861
1982-11-01,0.875
1982-12-01,0.893
1983-01-01,0.884
1983-02-01,0.913
1983-03-01,0.882
1983-04-01,0.899
1983-05-01,0.896
1983-06-01,0.918
1983-07-01,0.95
1983-08-01,0.942
1983-09-01,0.892
1983-10-01,0.879
1983-11-01,0.876
1983-12-01,0.923
1984-01-01,0.876
1984-02-01,0.919
1984-03-01,0.924
1984-04-01,0.943
1984-05-01,0.921
1984-06-01,0.959
1984-07-01,0.973
1984-08-01,0.998
1984-09-01,0.984
1984-10-01,0.994
1984-11-01,0.976
1984-12-01,1.017
1985-01-01,1.033
1985-02-01,1.065
1985-03-01,1.015
1985-04-01,1.034
1985-05-01,1.056
1985-06-01,1.058
1985-07-01,1.044
1985-08-01,1.041
1985-09-01,1.009
1985-10-01,1.035
1985-11-01,0.971
1985-12-01,1.001
1986-01-01,0.962
1986-02-01,0.957
1986-03-01,0.947
1986-04-01,0.973
1986-05-01,0.989
1986-06-01,0.991
1986-07-01,0.991
1986-08-01,1.007
1986-09-01,1.002
1986-10-01,0.993
1986-11-01,0.972
1986-12-01,0.986
1987-01-01,0.972
1987-02-01,0.997
1987-03-01,1.018
1987-04-01,1.011
1987-05-01,0.925
1987-06-01,0.951
1987-07-01,0.913
1987-08-01,0.959
1987-09-01,0.996
1987-10-01,1.067
1987-11-01,1.012
1987-12-01,1.003
1988-01-01,0.963
1988-02-01,0.995
1988-03-01,0.964
1988-04-01,1.079
1988-05-01,1.066
1988-06-01,1.11
1988-07-01,1.179
1988-08-01,1.174
1988-09-01,1.13
1988-10-01,1.158
1988-11-01,1.116
1988-12-01,1.14
1989-01-01,1.116
1989-02-01,1.155
1989-03-01,1.137
1989-04-01,1.175
1989-05-01,1.17
1989-06-01,1.145
1989-07-01,1.224
1989-08-01,1.242
1989-09-01,1.17
1989-10-01,1.263
1989-11-01,1.274
1989-12-01,1.336
1990-01-01,1.249
1990-02-01,1.289
1990-03-01,1.241
1990-04-01,1.357
1990-05-01,1.347
1990-06-01,1.327
1990-07-01,1.463
1990-08-01,1.512
1990-09-01,1.432
1990-10-01,1.451
1990-11-01,1.367
1990-12-01,1.377
1991-01-01,1.334
1991-02-01,1.302
1991-03-01,1.287
1991-04-01,1.293
1991-05-01,1.337
1991-06-01,1.325
1991-07-01,1.38
1991-08-01,NA
1991-09-01,NA
1991-10-01,NA
1991-11-01,NA
1991-12-01,NA
1992-01-01,NA
1992-02-01,NA
1992-03-01,NA
1992-04-01,NA
1992-05-01,NA
1992-06-01,NA
1992-07-01,NA
1992-08-01,NA
1992-09-01,NA
1992-10-01,NA
1992-11-01,NA
1992-12-01,1.222
1993-01-01,1.138
1993-02-01,1.168
1993-03-01,1.092
1993-04-01,1.146
1993-05-01,1.134
1993-06-01,1.198
1993-07-01,1.217
1993-08-01,1.24
1993-09-01,1.228
1993-10-01,1.167
1993-11-01,1.027
1993-12-01,1.153
1994-01-01,1.023
1994-02-01,1.124
1994-03-01,1.049
1994-04-01,1.166
1994-05-01,1.111
1994-06-01,1.209
1994-07-01,1.183
1994-08-01,1.268
1994-09-01,1.291
1994-10-01,1.189
1994-11-01,1.183
1994-12-01,1.286
1995-01-01,NA
1995-02-01,1.338
1995-03-01,1.077
1995-04-01,1.317
1995-05-01,1.297
1995-06-01,1.345
1995-07-01,1.304
1995-08-01,1.368
1995-09-01,1.266
1995-10-01,1.244
1995-11-01,1.19
1995-12-01,1.304
1996-01-01,1.306
1996-02-01,1.38
1996-03-01,1.345
1996-04-01,1.463
1996-05-01,1.434
1996-06-01,1.525
1996-07-01,1.506
1996-08-01,1.587
1996-09-01,1.408
1996-10-01,1.426
1996-11-01,1.454
1996-12-01,1.475
1997-01-01,1.441
1997-02-01,1.55
1997-03-01,1.406
1997-04-01,1.504
1997-05-01,1.438
1997-06-01,1.548
1997-07-01,1.573
1997-08-01,1.541
1997-09-01,1.517
1997-10-01,1.553
1997-11-01,1.525
1997-12-01,1.546
1998-01-01,1.497
1998-02-01,1.549
1998-03-01,1.751
1998-04-01,1.761
1998-05-01,1.809
1998-06-01,1.763
1998-07-01,1.536
1998-08-01,1.611
1998-09-01,1.585
1998-10-01,1.518
1998-11-01,1.536
1998-12-01,1.632
1999-01-01,1.415
1999-02-01,1.557
1999-03-01,1.666
1999-04-01,1.613
1999-05-01,1.695
1999-06-01,1.676
1999-07-01,1.727
1999-08-01,1.731
1999-09-01,1.648
1999-10-01,1.602
1999-11-01,1.637
1999-12-01,1.704
2000-01-01,1.524
2000-02-01,1.587
2000-03-01,1.524
2000-04-01,1.525
2000-05-01,1.642
2000-06-01,1.655
2000-07-01,1.746
2000-08-01,1.735
2000-09-01,1.743
2000-10-01,1.703
