"Date","CUSR0000SANL1"
1989-01-01,108
1989-02-01,108.6
1989-03-01,109.6
1989-04-01,112.3
1989-05-01,113.5
1989-06-01,113.1
1989-07-01,113
1989-08-01,112.1
1989-09-01,112.1
1989-10-01,112.9
1989-11-01,112.6
1989-12-01,112.7
1990-01-01,115.5
1990-02-01,116.3
1990-03-01,116.8
1990-04-01,116.8
1990-05-01,116.8
1990-06-01,117.7
1990-07-01,117.8
1990-08-01,120.6
1990-09-01,123.1
1990-10-01,125.4
1990-11-01,125.4
1990-12-01,126
1991-01-01,125.2
1991-02-01,124.3
1991-03-01,123.3
1991-04-01,123.5
1991-05-01,124.1
1991-06-01,124
1991-07-01,123.8
1991-08-01,124.9
1991-09-01,124.9
1991-10-01,124.8
1991-11-01,125.5
1991-12-01,125.7
1992-01-01,125.4
1992-02-01,125.8
1992-03-01,126.5
1992-04-01,126.7
1992-05-01,127.5
1992-06-01,128.2
1992-07-01,128.6
1992-08-01,128.3
1992-09-01,128.2
1992-10-01,128.5
1992-11-01,128.6
1992-12-01,129.1
1993-01-01,129.6
1993-02-01,130.4
1993-03-01,130.3
1993-04-01,130.5
1993-05-01,129.9
1993-06-01,129.3
1993-07-01,128.9
1993-08-01,128.7
1993-09-01,127.9
1993-10-01,128.9
1993-11-01,128.9
1993-12-01,128.7
1994-01-01,128.4
1994-02-01,128.7
1994-03-01,128.9
1994-04-01,128.8
1994-05-01,128.8
1994-06-01,129.3
1994-07-01,130
1994-08-01,130.8
1994-09-01,131.1
1994-10-01,130.6
1994-11-01,130.6
1994-12-01,130.5
1995-01-01,130.3
1995-02-01,130.3
1995-03-01,130.3
1995-04-01,130.3
1995-05-01,131
1995-06-01,131.3
1995-07-01,131.2
1995-08-01,131.2
1995-09-01,131
1995-10-01,131.1
1995-11-01,131
1995-12-01,131.4
1996-01-01,132.7
1996-02-01,132.8
1996-03-01,133.9
1996-04-01,134.9
1996-05-01,135.4
1996-06-01,134.7
1996-07-01,134.6
1996-08-01,133.6
1996-09-01,134.1
1996-10-01,134.7
1996-11-01,135.7
1996-12-01,136.3
1997-01-01,136.8
1997-02-01,137.1
1997-03-01,136.7
1997-04-01,136.2
1997-05-01,135.5
1997-06-01,135.5
1997-07-01,135.5
1997-08-01,136.1
1997-09-01,136.7
1997-10-01,136.5
1997-11-01,136.6
1997-12-01,136.3
1998-01-01,135.5
1998-02-01,135.1
1998-03-01,134.3
1998-04-01,133.7
1998-05-01,134.1
1998-06-01,134.4
1998-07-01,134.6
1998-08-01,134.8
1998-09-01,133.9
1998-10-01,134.6
1998-11-01,134.7
1998-12-01,135.5
1999-01-01,135.9
1999-02-01,135.2
1999-03-01,135.8
1999-04-01,138.9
1999-05-01,138.3
1999-06-01,137.7
1999-07-01,139.4
1999-08-01,140.9
1999-09-01,141.5
1999-10-01,142.5
1999-11-01,142.8
1999-12-01,144.6
2000-01-01,145.1
2000-02-01,147.2
2000-03-01,150.5
2000-04-01,148.4
2000-05-01,146.5
2000-06-01,149.4
2000-07-01,150
2000-08-01,148.4
2000-09-01,150.2
2000-10-01,150.3
2000-11-01,151.9
2000-12-01,151.6
2001-01-01,151.5
2001-02-01,150.9
2001-03-01,149.7
2001-04-01,150.1
2001-05-01,152.8
2001-06-01,151.8
2001-07-01,149.1
2001-08-01,147.9
2001-09-01,149.6
2001-10-01,146.9
2001-11-01,145.3
2001-12-01,143.9
2002-01-01,144.1
2002-02-01,144
2002-03-01,145.9
2002-04-01,147.3
2002-05-01,146.6
2002-06-01,146.5
2002-07-01,147.2
2002-08-01,148.2
2002-09-01,147.5
2002-10-01,148.8
2002-11-01,151.3
2002-12-01,151.4
2003-01-01,152.9
2003-02-01,155.8
2003-03-01,155.5
2003-04-01,151.2
2003-05-01,147.8
2003-06-01,147.7
2003-07-01,149.1
2003-08-01,152.2
2003-09-01,153.6
2003-10-01,152
2003-11-01,152.5
2003-12-01,152.8
2004-01-01,155.7
2004-02-01,156.5
2004-03-01,157.1
2004-04-01,155.7
2004-05-01,158
2004-06-01,159.7
2004-07-01,159.1
2004-08-01,159
2004-09-01,158.4
2004-10-01,163.2
2004-11-01,165.1
2004-12-01,164
2005-01-01,161.8
2005-02-01,164
2005-03-01,165.2
2005-04-01,166
2005-05-01,163.5
2005-06-01,163.7
2005-07-01,168.7
2005-08-01,174.6
2005-09-01,185.9
2005-10-01,182
2005-11-01,172.9
2005-12-01,172
2006-01-01,175.6
2006-02-01,174.9
2006-03-01,174.7
2006-04-01,178.5
2006-05-01,180.3
2006-06-01,180.8
2006-07-01,184.7
2006-08-01,186.9
