"Date","CUURX000SATCLTB"
2009-12-01,100
2010-01-01,100.573
2010-02-01,100.824
2010-03-01,100.721
2010-04-01,100.835
2010-05-01,101.04
2010-06-01,101.376
2010-07-01,101.749
2010-08-01,102.148
2010-09-01,101.777
2010-10-01,101.417
2010-11-01,101.037
2010-12-01,101.358
2011-01-01,101.548
2011-02-01,102.095
2011-03-01,102.793
2011-04-01,103.516
2011-05-01,104.615
2011-06-01,105.716
2011-07-01,106.089
2011-08-01,106.375
2011-09-01,105.782
2011-10-01,105.17
2011-11-01,104.658
2011-12-01,104.533
2012-01-01,104.571
2012-02-01,105.013
2012-03-01,105.485
2012-04-01,106.15
2012-05-01,106.817
2012-06-01,107.26
2012-07-01,107.21
2012-08-01,106.914
2012-09-01,106.015
2012-10-01,105.297
2012-11-01,105.073
2012-12-01,105.167
2013-01-01,105.248
2013-02-01,105.595
2013-03-01,106.142
2013-04-01,106.651
2013-05-01,106.795
2013-06-01,106.948
2013-07-01,106.97
2013-08-01,107.087
2013-09-01,106.828
2013-10-01,106.339
2013-11-01,105.913
2013-12-01,105.81
2014-01-01,105.479
2014-02-01,105.772
2014-03-01,105.998
2014-04-01,106.577
2014-05-01,106.677
2014-06-01,106.608
2014-07-01,106.967
2014-08-01,106.914
2014-09-01,106.283
2014-10-01,105.619
2014-11-01,104.913
2014-12-01,104.592
2015-01-01,104.614
2015-02-01,105.292
2015-03-01,106.263
2015-04-01,107.141
2015-05-01,107.546
2015-06-01,107.447
2015-07-01,107.221
2015-08-01,107.217
2015-09-01,106.632
2015-10-01,105.611
2015-11-01,105.33
2015-12-01,105.291
2016-01-01,105.686
2016-02-01,106.48
2016-03-01,107.014
2016-04-01,107.28
2016-05-01,107.126
2016-06-01,106.666
2016-07-01,106.258
2016-08-01,106.051
2016-09-01,105.269
2016-10-01,104.888
2016-11-01,104.354
2016-12-01,104.423
2017-01-01,105.245
2017-02-01,105.305
2017-03-01,105.632
2017-04-01,106.182
2017-05-01,106.015
2017-06-01,105.407
2017-07-01,104.838
2017-08-01,104.595
2017-09-01,103.569
2017-10-01,103.068
2017-11-01,103.123
2017-12-01,103.762
2018-01-01,104.084
2018-02-01,104.395
2018-03-01,105.128
2018-04-01,104.744
2018-05-01,104.62
2018-06-01,104.766
2018-07-01,105.255
2018-08-01,105.299
2018-09-01,103.389
2018-10-01,103.661
2018-11-01,104.149
2018-12-01,104.267
2019-01-01,104.993
2019-02-01,105.225
2019-03-01,105.655
2019-04-01,105.748
2019-05-01,105.322
2019-06-01,105.883
2019-07-01,106.372
2019-08-01,106.506
2019-09-01,104.609
2019-10-01,104.428
2019-11-01,104.176
2019-12-01,104.232
2020-01-01,104.292
2020-02-01,104.939
2020-03-01,105.904
2020-04-01,105.389
2020-05-01,104.938
2020-06-01,104.491
2020-07-01,106.389
2020-08-01,108.865
2020-09-01,109.972
2020-10-01,110.899
2020-11-01,110.254
2020-12-01,110.032
2021-01-01,109.621
2021-02-01,109.788
2021-03-01,110.81
2021-04-01,115.653
2021-05-01,120.09
2021-06-01,127.13
2021-07-01,128.677
2021-08-01,128.328
2021-09-01,126.731
2021-10-01,129.1
2021-11-01,131.472
2021-12-01,134.165
2022-01-01,135.722
2022-02-01,136.512
2022-03-01,135.273
2022-04-01,135.581
2022-05-01,136.744
2022-06-01,138.683
2022-07-01,139.341
2022-08-01,139.485
2022-09-01,136.872
2022-10-01,135.665
2022-11-01,133.911
2022-12-01,132.401
2023-01-01,131.892
2023-02-01,131.299
2023-03-01,132.041
2023-04-01,134.736
2023-05-01,136.627
2023-06-01,137.399
2023-07-01,137.368
2023-08-01,136.584
2023-09-01,133.311
2023-10-01,132.454
2023-11-01,132.558
