"Date","CUUR0000SEHB"
1997-12-01,100
1998-01-01,105.1
1998-02-01,109.3
1998-03-01,111.2
1998-04-01,110.2
1998-05-01,108.7
1998-06-01,109.6
1998-07-01,111.7
1998-08-01,112.9
1998-09-01,109.8
1998-10-01,109.5
1998-11-01,106.3
1998-12-01,103.8
1999-01-01,107.1
1999-02-01,110.5
1999-03-01,114.5
1999-04-01,114.6
1999-05-01,111.8
1999-06-01,113.8
1999-07-01,117.1
1999-08-01,117.1
1999-09-01,113.8
1999-10-01,113.1
1999-11-01,108.5
1999-12-01,105.8
2000-01-01,111.3
2000-02-01,115.1
2000-03-01,120.9
2000-04-01,119.4
2000-05-01,117.5
2000-06-01,120.5
2000-07-01,122.8
2000-08-01,123
2000-09-01,118.1
2000-10-01,118.5
2000-11-01,113.9
2000-12-01,108.8
2001-01-01,114.1
2001-02-01,119.1
2001-03-01,124.2
2001-04-01,121.8
2001-05-01,120
2001-06-01,123.7
2001-07-01,124
2001-08-01,125.2
2001-09-01,116.8
2001-10-01,114.5
2001-11-01,111.6
2001-12-01,108.6
2002-01-01,113.1
2002-02-01,119.3
2002-03-01,121.9
2002-04-01,122.1
2002-05-01,120.1
2002-06-01,120.9
2002-07-01,121.7
2002-08-01,123.8
2002-09-01,117.6
2002-10-01,117
2002-11-01,113.2
2002-12-01,109.2
2003-01-01,114.3
2003-02-01,117.6
2003-03-01,119.7
2003-04-01,118.7
2003-05-01,121.4
2003-06-01,122.4
2003-07-01,124.8
2003-08-01,125.1
2003-09-01,118.5
2003-10-01,120.9
2003-11-01,115
2003-12-01,112.9
2004-01-01,117.2
2004-02-01,120
2004-03-01,128.1
2004-04-01,129.1
2004-05-01,128.2
2004-06-01,129.1
2004-07-01,132.2
2004-08-01,130.6
2004-09-01,127.2
2004-10-01,128
2004-11-01,121.9
2004-12-01,118.7
2005-01-01,122.6
2005-02-01,128.9
2005-03-01,138.3
2005-04-01,136.2
2005-05-01,131.7
2005-06-01,132.8
2005-07-01,136.4
2005-08-01,134.3
2005-09-01,124.7
2005-10-01,129.7
2005-11-01,125.2
2005-12-01,122.8
2006-01-01,127.5
2006-02-01,133.4
2006-03-01,140.4
2006-04-01,140.4
2006-05-01,137.9
2006-06-01,139.1
2006-07-01,142.8
2006-08-01,141.1
2006-09-01,135
2006-10-01,135.7
2006-11-01,130.7
2006-12-01,127.7
2007-01-01,133.633
2007-02-01,139.16
2007-03-01,142.247
2007-04-01,144.832
2007-05-01,144.112
2007-06-01,148.622
2007-07-01,153.016
2007-08-01,150.236
2007-09-01,144.48
2007-10-01,143.172
2007-11-01,136.703
2007-12-01,133.545
2008-01-01,140.176
2008-02-01,144.092
2008-03-01,149.434
2008-04-01,146.378
2008-05-01,145.634
2008-06-01,148.621
2008-07-01,153.032
2008-08-01,149.146
2008-09-01,143.597
2008-10-01,141.14
2008-11-01,133.555
2008-12-01,129.157
2009-01-01,133.559
2009-02-01,135.809
2009-03-01,137.715
2009-04-01,137.7
2009-05-01,135.68
2009-06-01,138.318
2009-07-01,139.424
2009-08-01,137.454
2009-09-01,133.706
2009-10-01,133.485
2009-11-01,125.426
2009-12-01,122.638
2010-01-01,125.778
2010-02-01,128.991
2010-03-01,133.075
2010-04-01,134.331
2010-05-01,136.121
2010-06-01,140.476
2010-07-01,143.358
2010-08-01,139.999
2010-09-01,135.8
2010-10-01,133.58
2010-11-01,126.704
2010-12-01,125.665
2011-01-01,128.63
2011-02-01,131.572
2011-03-01,136.486
2011-04-01,136.597
2011-05-01,139.094
2011-06-01,145.608
2011-07-01,150.095
2011-08-01,145.1
2011-09-01,140.259
2011-10-01,136.551
2011-11-01,130.687
2011-12-01,128.131
2012-01-01,131.601
2012-02-01,136.832
2012-03-01,141.314
2012-04-01,141.337
2012-05-01,144.775
2012-06-01,150.656
2012-07-01,149.964
2012-08-01,145.981
2012-09-01,142.337
2012-10-01,140.038
2012-11-01,132.399
2012-12-01,129.021
2013-01-01,134.07
2013-02-01,138.38
2013-03-01,143.39
2013-04-01,143.766
2013-05-01,147.984
2013-06-01,151.783
2013-07-01,154.024
2013-08-01,149.328
2013-09-01,144.44
2013-10-01,137.585
2013-11-01,133.973
2013-12-01,130.549
2014-01-01,136.139
2014-02-01,140.893
2014-03-01,148.106
2014-04-01,148.418
2014-05-01,155.353
2014-06-01,156.45
2014-07-01,158.859
2014-08-01,155.817
2014-09-01,151.721
