"Date","SUUR0000SETG"
1999-12-01,100
2000-01-01,99.7
2000-02-01,102.1
2000-03-01,104.1
2000-04-01,103.7
2000-05-01,104.6
2000-06-01,105.5
2000-07-01,106.3
2000-08-01,106.4
2000-09-01,104.7
2000-10-01,103.7
2000-11-01,104.3
2000-12-01,104.4
2001-01-01,104.5
2001-02-01,104.8
2001-03-01,104.1
2001-04-01,104
2001-05-01,104.5
2001-06-01,107.4
2001-07-01,106.6
2001-08-01,105.4
2001-09-01,104.9
2001-10-01,103
2001-11-01,101.7
2001-12-01,101.8
2002-01-01,102.1
2002-02-01,102.8
2002-03-01,103.2
2002-04-01,104.1
2002-05-01,105
2002-06-01,104.3
2002-07-01,103.8
2002-08-01,103.6
2002-09-01,102
2002-10-01,100.8
2002-11-01,100.7
2002-12-01,101
2003-01-01,100.6
2003-02-01,101.6
2003-03-01,102.5
2003-04-01,103.2
2003-05-01,105.5
2003-06-01,106.9
2003-07-01,107.6
2003-08-01,105.9
2003-09-01,104.8
2003-10-01,104.8
2003-11-01,103
2003-12-01,101.9
2004-01-01,102.4
2004-02-01,103.1
2004-03-01,104
2004-04-01,104.6
2004-05-01,104.2
2004-06-01,105.2
2004-07-01,105.8
2004-08-01,102.6
2004-09-01,101
2004-10-01,102.2
2004-11-01,102.8
2004-12-01,101.3
2005-01-01,100.9
2005-02-01,102.1
2005-03-01,104.2
2005-04-01,106.5
2005-05-01,108.1
2005-06-01,110.3
2005-07-01,111.8
2005-08-01,109.9
2005-09-01,109
2005-10-01,109.6
2005-11-01,108.6
2005-12-01,107.1
2006-01-01,108.3
2006-02-01,109.2
2006-03-01,109.8
2006-04-01,111.2
2006-05-01,113.3
2006-06-01,115.9
2006-07-01,116.8
2006-08-01,114.5
2006-09-01,112.3
2006-10-01,110.9
2006-11-01,107.8
2006-12-01,106.8
2007-01-01,108.559
2007-02-01,109.68
2007-03-01,110.63
2007-04-01,111.29
2007-05-01,111.924
2007-06-01,114.48
2007-07-01,115.192
2007-08-01,114.054
2007-09-01,113.168
2007-10-01,114.032
2007-11-01,114.599
2007-12-01,114.506
2008-01-01,114.928
2008-02-01,116.431
2008-03-01,119.296
2008-04-01,120.351
2008-05-01,124.495
2008-06-01,130.15
2008-07-01,131.994
2008-08-01,130.472
2008-09-01,126.804
2008-10-01,122.242
2008-11-01,118.685
2008-12-01,116.641
2009-01-01,115.236
2009-02-01,113.788
2009-03-01,113.652
2009-04-01,113.005
2009-05-01,112.94
2009-06-01,115.08
2009-07-01,117.74
2009-08-01,117.675
2009-09-01,117.973
2009-10-01,118.73
2009-11-01,120.068
2009-12-01,120.092
2010-01-01,118.357
2010-02-01,118.98
2010-03-01,120.406
2010-04-01,122.649
2010-05-01,124.715
2010-06-01,126.112
2010-07-01,125.429
2010-08-01,124.047
2010-09-01,123.028
2010-10-01,123.094
2010-11-01,124.891
2010-12-01,125.953
2011-01-01,127.867
2011-02-01,130.238
2011-03-01,132.236
2011-04-01,132.656
2011-05-01,132.42
2011-06-01,132.792
2011-07-01,132.797
2011-08-01,132.755
2011-09-01,131.689
2011-10-01,130.912
2011-11-01,130.754
2011-12-01,129.527
2012-01-01,128.355
2012-02-01,129.429
2012-03-01,131.7
2012-04-01,134.091
2012-05-01,135.116
2012-06-01,134.534
2012-07-01,132.221
2012-08-01,130.837
2012-09-01,130.989
2012-10-01,131.709
2012-11-01,132.312
2012-12-01,132.715
2013-01-01,132.988
2013-02-01,133.373
2013-03-01,135.747
2013-04-01,136.551
2013-05-01,138.739
2013-06-01,138.805
2013-07-01,135.762
2013-08-01,132.182
2013-09-01,131.883
2013-10-01,133.85
2013-11-01,136.358
2013-12-01,131.906
2014-01-01,128.922
2014-02-01,130.072
2014-03-01,131.628
2014-04-01,135.767
2014-05-01,142.14
2014-06-01,142.745
2014-07-01,134.835
2014-08-01,128.576
2014-09-01,127.557
2014-10-01,129.668
2014-11-01,130.997
2014-12-01,126.558
2015-01-01,124.957
2015-02-01,125.722
2015-03-01,125.81
2015-04-01,128.002
2015-05-01,133.834
2015-06-01,135.722
2015-07-01,128.855
2015-08-01,123.531
2015-09-01,122.622
2015-10-01,125.472
2015-11-01,127.385
2015-12-01,123.844
2016-01-01,123.561
2016-02-01,124.832
2016-03-01,124.787
2016-04-01,128.097
2016-05-01,132.529
2016-06-01,132.457
2016-07-01,125.004
2016-08-01,120.6
2016-09-01,119.992
2016-10-01,120.915
2016-11-01,122.232
2016-12-01,120.096
2017-01-01,121.046
2017-02-01,123.77
2017-03-01,124.864
2017-04-01,128.053
2017-05-01,130.048
2017-06-01,128.845
2017-07-01,122.682
2017-08-01,117.563
2017-09-01,117.466
2017-10-01,119.905
2017-11-01,119.845
2017-12-01,116.503
2018-01-01,116.567
2018-02-01,119.142
2018-03-01,119.935
2018-04-01,121.941
2018-05-01,123.466
2018-06-01,122.561
2018-07-01,118.669
2018-08-01,115.675
2018-09-01,115.828
2018-10-01,117.577
2018-11-01,117.026
2018-12-01,112.992
2019-01-01,112.989
2019-02-01,115.863
2019-03-01,116.447
2019-04-01,119.053
2019-05-01,123.459
2019-06-01,122.981
2019-07-01,118.569
2019-08-01,116.127
2019-09-01,116.631
2019-10-01,118.663
2019-11-01,118.673
2019-12-01,113.264
2020-01-01,114.011
2020-02-01,116.961
2020-03-01,107.381
2020-04-01,102.362
2020-05-01,100.744
2020-06-01,101.613
2020-07-01,101.102
2020-08-01,96.525
2020-09-01,100.462
2020-10-01,102.542
2020-11-01,104.368
2020-12-01,99.543
2021-01-01,98.325
2021-02-01,100.264
2021-03-01,100.737
2021-04-01,109.504
2021-05-01,118.736
2021-06-01,120.944
2021-07-01,115.988
2021-08-01,105.048
2021-09-01,99.651
2021-10-01,101.65
2021-11-01,105.387
2021-12-01,103.35
2022-01-01,103.305
2022-02-01,107.73
2022-03-01,115.237
2022-04-01,133.444
2022-05-01,149.079
2022-06-01,148.052
2022-07-01,137.746
2022-08-01,128.419
2022-09-01,128.577
2022-10-01,132.036
2022-11-01,132.071
2022-12-01,123.983
2023-01-01,122.417
2023-02-01,127.73
2023-03-01,129.684
2023-04-01,132.331
2023-05-01,133.706
2023-06-01,127.411
2023-07-01,119.255
2023-08-01,116.602
2023-09-01,117.008
2023-10-01,120.098
2023-11-01,120.433
