"Date","CUURA316SAH1"
1963-11-01,23.7
1963-12-01,NA
1964-01-01,NA
1964-02-01,23.8
1964-03-01,NA
1964-04-01,NA
1964-05-01,23.7
1964-06-01,NA
1964-07-01,NA
1964-08-01,23.7
1964-09-01,NA
1964-10-01,NA
1964-11-01,23.6
1964-12-01,NA
1965-01-01,NA
1965-02-01,23.7
1965-03-01,NA
1965-04-01,NA
1965-05-01,23.7
1965-06-01,NA
1965-07-01,NA
1965-08-01,23.7
1965-09-01,NA
1965-10-01,NA
1965-11-01,24
1965-12-01,NA
1966-01-01,NA
1966-02-01,24.1
1966-03-01,NA
1966-04-01,NA
1966-05-01,24.3
1966-06-01,NA
1966-07-01,NA
1966-08-01,24.8
1966-09-01,NA
1966-10-01,NA
1966-11-01,25.1
1966-12-01,NA
1967-01-01,NA
1967-02-01,25.4
1967-03-01,NA
1967-04-01,NA
1967-05-01,25.8
1967-06-01,NA
1967-07-01,NA
1967-08-01,26.1
1967-09-01,NA
1967-10-01,NA
1967-11-01,26.3
1967-12-01,NA
1968-01-01,NA
1968-02-01,26.6
1968-03-01,NA
1968-04-01,NA
1968-05-01,26.9
1968-06-01,NA
1968-07-01,NA
1968-08-01,27.5
1968-09-01,NA
1968-10-01,NA
1968-11-01,28
1968-12-01,NA
1969-01-01,NA
1969-02-01,28.9
1969-03-01,NA
1969-04-01,NA
1969-05-01,30.1
1969-06-01,NA
1969-07-01,NA
1969-08-01,30.7
1969-09-01,NA
1969-10-01,NA
1969-11-01,31.4
1969-12-01,NA
1970-01-01,NA
1970-02-01,32.1
1970-03-01,NA
1970-04-01,NA
1970-05-01,32.9
1970-06-01,NA
1970-07-01,NA
1970-08-01,33.4
1970-09-01,NA
1970-10-01,NA
1970-11-01,34
1970-12-01,NA
1971-01-01,NA
1971-02-01,33.8
1971-03-01,NA
1971-04-01,NA
1971-05-01,33.2
1971-06-01,NA
1971-07-01,NA
1971-08-01,34
1971-09-01,NA
1971-10-01,NA
1971-11-01,34.2
1971-12-01,NA
1972-01-01,NA
1972-02-01,34.5
1972-03-01,NA
1972-04-01,NA
1972-05-01,34.5
1972-06-01,NA
1972-07-01,NA
1972-08-01,34.9
1972-09-01,NA
1972-10-01,NA
1972-11-01,34.6
1972-12-01,NA
1973-01-01,NA
1973-02-01,34.7
1973-03-01,NA
1973-04-01,NA
1973-05-01,34.8
1973-06-01,NA
1973-07-01,NA
1973-08-01,35.2
1973-09-01,NA
1973-10-01,NA
1973-11-01,36.7
1973-12-01,NA
1974-01-01,NA
1974-02-01,36.9
1974-03-01,NA
1974-04-01,NA
1974-05-01,37.6
1974-06-01,NA
1974-07-01,NA
1974-08-01,38.9
1974-09-01,NA
1974-10-01,NA
1974-11-01,40.3
1974-12-01,NA
1975-01-01,NA
1975-02-01,41.3
1975-03-01,NA
1975-04-01,NA
1975-05-01,41.5
1975-06-01,NA
1975-07-01,NA
1975-08-01,42.7
1975-09-01,NA
1975-10-01,NA
1975-11-01,43.3
1975-12-01,NA
1976-01-01,NA
1976-02-01,44.1
1976-03-01,NA
1976-04-01,NA
1976-05-01,44.4
1976-06-01,NA
1976-07-01,NA
1976-08-01,45.3
1976-09-01,NA
1976-10-01,NA
1976-11-01,45.7
1976-12-01,NA
1977-01-01,NA
1977-02-01,46.5
1977-03-01,NA
1977-04-01,NA
1977-05-01,47.7
1977-06-01,NA
1977-07-01,NA
1977-08-01,48.5
1977-09-01,NA
1977-10-01,NA
1977-11-01,49.2
1977-12-01,NA
1978-01-01,NA
1978-02-01,51
1978-03-01,NA
1978-04-01,52
1978-05-01,NA
1978-06-01,52.8
1978-07-01,NA
1978-08-01,54.2
1978-09-01,NA
1978-10-01,55.8
1978-11-01,NA
1978-12-01,56.6
1979-01-01,NA
1979-02-01,58.5
1979-03-01,NA
1979-04-01,60.3
1979-05-01,NA
1979-06-01,62.3
1979-07-01,NA
1979-08-01,65.2
1979-09-01,NA
1979-10-01,68.4
1979-11-01,NA
1979-12-01,71.2
1980-01-01,NA
1980-02-01,73.9
1980-03-01,NA
1980-04-01,79.2
1980-05-01,NA
1980-06-01,81.6
1980-07-01,NA
1980-08-01,80.8
1980-09-01,NA
1980-10-01,84.1
1980-11-01,NA
1980-12-01,87.4
1981-01-01,NA
1981-02-01,87.5
1981-03-01,NA
1981-04-01,88.9
1981-05-01,NA
1981-06-01,91.4
1981-07-01,NA
1981-08-01,92.2
1981-09-01,NA
1981-10-01,94.4
1981-11-01,NA
1981-12-01,96.2
1982-01-01,NA
1982-02-01,92.8
1982-03-01,NA
1982-04-01,96.3
1982-05-01,NA
1982-06-01,97.7
1982-07-01,NA
1982-08-01,98.5
1982-09-01,NA
1982-10-01,97.6
1982-11-01,NA
1982-12-01,95.6
1983-01-01,NA
1983-02-01,96.4
1983-03-01,NA
1983-04-01,99.2
1983-05-01,NA
1983-06-01,100.7
1983-07-01,NA
1983-08-01,100.3
1983-09-01,NA
1983-10-01,101.6
1983-11-01,NA
1983-12-01,101.9
1984-01-01,NA
1984-02-01,103.2
1984-03-01,NA
1984-04-01,102.6
1984-05-01,NA
1984-06-01,103.5
1984-07-01,NA
1984-08-01,103.9
1984-09-01,NA
1984-10-01,105.9
1984-11-01,NA
1984-12-01,104.5
1985-01-01,NA
1985-02-01,106.2
1985-03-01,NA
1985-04-01,106.4
1985-05-01,NA
1985-06-01,108.7
1985-07-01,NA
1985-08-01,110.9
1985-09-01,NA
1985-10-01,110.2
1985-11-01,NA
1985-12-01,110.5
1986-01-01,NA
1986-02-01,112.9
1986-03-01,NA
1986-04-01,113.9
1986-05-01,NA
1986-06-01,113
1986-07-01,NA
1986-08-01,112.6
1986-09-01,NA
1986-10-01,113.3
1986-11-01,NA
1986-12-01,113.6
1987-01-01,NA
1987-02-01,113.1
1987-03-01,NA
1987-04-01,113.7
1987-05-01,NA
1987-06-01,111.3
1987-07-01,NA
1987-08-01,112.6
1987-09-01,NA
1987-10-01,113.9
1987-11-01,NA
1987-12-01,112.7
1988-01-01,NA
1988-02-01,111
1988-03-01,NA
1988-04-01,112.1
1988-05-01,NA
1988-06-01,110.9
1988-07-01,NA
1988-08-01,113.9
1988-09-01,NA
1988-10-01,111.8
1988-11-01,NA
1988-12-01,111.6
1989-01-01,NA
1989-02-01,112.7
1989-03-01,NA
1989-04-01,112.5
1989-05-01,NA
1989-06-01,113.3
1989-07-01,NA
1989-08-01,114
1989-09-01,NA
1989-10-01,114.6
1989-11-01,NA
1989-12-01,113.6
1990-01-01,NA
1990-02-01,115.2
1990-03-01,NA
1990-04-01,115.4
1990-05-01,NA
1990-06-01,116.3
1990-07-01,NA
1990-08-01,117.9
1990-09-01,NA
1990-10-01,119.2
1990-11-01,NA
1990-12-01,119
1991-01-01,NA
1991-02-01,119.7
1991-03-01,NA
1991-04-01,120.8
1991-05-01,NA
1991-06-01,120.7
1991-07-01,NA
1991-08-01,120.8
1991-09-01,NA
1991-10-01,124.1
1991-11-01,NA
1991-12-01,123.7
1992-01-01,NA
1992-02-01,123
1992-03-01,NA
1992-04-01,122.7
1992-05-01,NA
1992-06-01,124.7
1992-07-01,NA
1992-08-01,125.7
1992-09-01,NA
1992-10-01,123
1992-11-01,NA
1992-12-01,124.3
1993-01-01,NA
1993-02-01,127.3
1993-03-01,NA
1993-04-01,125.9
1993-05-01,NA
1993-06-01,123.4
1993-07-01,NA
1993-08-01,127.8
1993-09-01,NA
1993-10-01,127.4
1993-11-01,NA
1993-12-01,126.1
1994-01-01,NA
1994-02-01,127.8
1994-03-01,NA
1994-04-01,130.8
1994-05-01,NA
1994-06-01,129.7
1994-07-01,NA
1994-08-01,130.3
1994-09-01,NA
1994-10-01,131.4
1994-11-01,NA
1994-12-01,132.7
1995-01-01,NA
1995-02-01,134
1995-03-01,NA
1995-04-01,134.3
1995-05-01,NA
1995-06-01,134.3
1995-07-01,NA
1995-08-01,135.2
1995-09-01,NA
1995-10-01,136.8
1995-11-01,NA
1995-12-01,136.7
1996-01-01,NA
1996-02-01,137.9
1996-03-01,NA
1996-04-01,138.3
1996-05-01,NA
1996-06-01,139.9
1996-07-01,NA
1996-08-01,140.1
1996-09-01,NA
1996-10-01,140.8
1996-11-01,NA
1996-12-01,140.8
1997-01-01,NA
1997-02-01,142.4
1997-03-01,NA
1997-04-01,143.4
1997-05-01,NA
1997-06-01,144.2
1997-07-01,NA
1997-08-01,145.4
1997-09-01,NA
1997-10-01,148.4
1997-11-01,NA
1997-12-01,148.7
1998-01-01,149.1
1998-02-01,150
1998-03-01,150.6
1998-04-01,151.4
1998-05-01,151.9
1998-06-01,152.5
1998-07-01,152.8
1998-08-01,153.1
1998-09-01,154
1998-10-01,154
1998-11-01,154
1998-12-01,154.8
1999-01-01,155.6
1999-02-01,156.3
1999-03-01,156.6
1999-04-01,156.9
1999-05-01,156.6
1999-06-01,157.6
1999-07-01,157.7
1999-08-01,157.9
1999-09-01,158.2
1999-10-01,158.7
1999-11-01,159.1
1999-12-01,159.6
2000-01-01,160.4
2000-02-01,160.8
2000-03-01,162.3
2000-04-01,162.5
2000-05-01,163
2000-06-01,163.1
2000-07-01,164.3
2000-08-01,164.5
2000-09-01,164.6
2000-10-01,165.2
2000-11-01,164.8
2000-12-01,164.7
2001-01-01,164.8
2001-02-01,165.8
2001-03-01,167.3
2001-04-01,167.5
2001-05-01,167.5
2001-06-01,168.8
2001-07-01,168.7
2001-08-01,169.4
2001-09-01,170
2001-10-01,170.5
2001-11-01,171.2
2001-12-01,171.4
2002-01-01,173.6
2002-02-01,174.3
2002-03-01,175.1
2002-04-01,174.5
2002-05-01,174.5
2002-06-01,173.7
2002-07-01,173.8
2002-08-01,173.2
2002-09-01,173.4
2002-10-01,174.2
2002-11-01,174
2002-12-01,175.3
2003-01-01,176.1
2003-02-01,176.2
2003-03-01,177
2003-04-01,176.9
2003-05-01,176.9
2003-06-01,176.8
2003-07-01,177
2003-08-01,176.9
2003-09-01,175.7
2003-10-01,176.4
2003-11-01,175.9
2003-12-01,175.6
2004-01-01,174.2
2004-02-01,172.9
2004-03-01,174.9
2004-04-01,174.2
2004-05-01,174.4
2004-06-01,174.7
2004-07-01,174.9
2004-08-01,175.3
2004-09-01,175.7
2004-10-01,175.2
2004-11-01,175.7
2004-12-01,176.8
2005-01-01,176.6
2005-02-01,176.3
2005-03-01,176.3
2005-04-01,176.9
2005-05-01,176.4
2005-06-01,176
2005-07-01,177.2
2005-08-01,177.9
2005-09-01,177.7
2005-10-01,176.4
2005-11-01,176.5
2005-12-01,176.5
2006-01-01,176.5
2006-02-01,177
2006-03-01,176.7
2006-04-01,177.6
2006-05-01,177.6
2006-06-01,177
2006-07-01,176.8
2006-08-01,176.3
2006-09-01,177.9
2006-10-01,178
2006-11-01,177.4
2006-12-01,177.2
2007-01-01,176.951
2007-02-01,177.943
2007-03-01,177.663
2007-04-01,178.346
2007-05-01,178.705
2007-06-01,180.6
2007-07-01,182.045
2007-08-01,181.223
2007-09-01,181.47
2007-10-01,181.945
2007-11-01,181.301
2007-12-01,181.097
2008-01-01,182.624
2008-02-01,183.02
2008-03-01,182.457
2008-04-01,183.114
2008-05-01,184.023
2008-06-01,184.384
2008-07-01,184.99
2008-08-01,184.762
2008-09-01,187.305
2008-10-01,187.738
2008-11-01,189.162
2008-12-01,189.59
