"Date","CUURA101SAH1"
1952-12-01,23.4
1953-01-01,23.4
1953-02-01,23.4
1953-03-01,23.4
1953-04-01,23.7
1953-05-01,24.2
1953-06-01,24.2
1953-07-01,24.3
1953-08-01,24.4
1953-09-01,24.4
1953-10-01,24.5
1953-11-01,24.5
1953-12-01,24.5
1954-01-01,24.4
1954-02-01,24.5
1954-03-01,24.5
1954-04-01,24.5
1954-05-01,24.7
1954-06-01,24.8
1954-07-01,24.9
1954-08-01,24.9
1954-09-01,25
1954-10-01,25
1954-11-01,25
1954-12-01,25
1955-01-01,25.1
1955-02-01,25.1
1955-03-01,25.1
1955-04-01,24.7
1955-05-01,24.7
1955-06-01,24.8
1955-07-01,24.8
1955-08-01,24.8
1955-09-01,24.9
1955-10-01,25.2
1955-11-01,25.2
1955-12-01,25.3
1956-01-01,25.3
1956-02-01,25.3
1956-03-01,25.3
1956-04-01,25.3
1956-05-01,25.4
1956-06-01,25.4
1956-07-01,25.7
1956-08-01,25.7
1956-09-01,25.8
1956-10-01,25.8
1956-11-01,25.8
1956-12-01,25.8
1957-01-01,26
1957-02-01,26.2
1957-03-01,26.3
1957-04-01,26.6
1957-05-01,26.7
1957-06-01,26.7
1957-07-01,26.7
1957-08-01,26.8
1957-09-01,26.6
1957-10-01,26.6
1957-11-01,26.6
1957-12-01,26.9
1958-01-01,27
1958-02-01,27.2
1958-03-01,27.2
1958-04-01,27.4
1958-05-01,27.4
1958-06-01,27.4
1958-07-01,27.3
1958-08-01,27.4
1958-09-01,27.4
1958-10-01,27.4
1958-11-01,27.5
1958-12-01,27.5
1959-01-01,27.5
1959-02-01,27.6
1959-03-01,27.6
1959-04-01,27.8
1959-05-01,27.9
1959-06-01,27.8
1959-07-01,27.8
1959-08-01,28
1959-09-01,28
1959-10-01,28.3
1959-11-01,28.4
1959-12-01,28.4
1960-01-01,28.5
1960-02-01,28.6
1960-03-01,28.6
1960-04-01,28.6
1960-05-01,28.6
1960-06-01,28.7
1960-07-01,28.8
1960-08-01,28.9
1960-09-01,28.9
1960-10-01,29.1
1960-11-01,29.1
1960-12-01,29.2
1961-01-01,29.2
1961-02-01,29.2
1961-03-01,29.2
1961-04-01,29.2
1961-05-01,29.2
1961-06-01,29.3
1961-07-01,29.3
1961-08-01,29.4
1961-09-01,29.4
1961-10-01,29.5
1961-11-01,29.5
1961-12-01,29.6
1962-01-01,29.6
1962-02-01,29.8
1962-03-01,29.8
1962-04-01,29.8
1962-05-01,29.8
1962-06-01,29.9
1962-07-01,30
1962-08-01,30
1962-09-01,30
1962-10-01,30.1
1962-11-01,30.1
1962-12-01,30.1
1963-01-01,30.2
1963-02-01,30.3
1963-03-01,30.3
1963-04-01,30.4
1963-05-01,30.4
1963-06-01,30.4
1963-07-01,30.4
1963-08-01,30.5
1963-09-01,30.5
1963-10-01,30.8
1963-11-01,30.7
1963-12-01,30.7
1964-01-01,30.8
1964-02-01,31
1964-03-01,31
1964-04-01,31
1964-05-01,31.1
1964-06-01,31.2
1964-07-01,31.2
1964-08-01,31.3
1964-09-01,31.3
1964-10-01,31.4
1964-11-01,31.3
1964-12-01,31.4
1965-01-01,31.7
1965-02-01,31.7
1965-03-01,31.6
1965-04-01,31.6
1965-05-01,31.6
1965-06-01,31.7
1965-07-01,31.7
1965-08-01,31.8
1965-09-01,31.8
1965-10-01,32
1965-11-01,32
1965-12-01,32.1
1966-01-01,32.1
1966-02-01,32.2
1966-03-01,32.2
1966-04-01,32.3
1966-05-01,32.3
1966-06-01,32.4
1966-07-01,32.4
1966-08-01,32.6
1966-09-01,32.7
1966-10-01,32.8
1966-11-01,32.8
1966-12-01,32.8
1967-01-01,32.8
1967-02-01,33.2
1967-03-01,32.8
1967-04-01,33
1967-05-01,33.1
1967-06-01,33
1967-07-01,32.9
1967-08-01,32.9
1967-09-01,33.1
1967-10-01,33.2
1967-11-01,33.3
1967-12-01,33.5
1968-01-01,33.5
1968-02-01,33.6
1968-03-01,33.8
1968-04-01,33.8
1968-05-01,33.9
1968-06-01,34.2
1968-07-01,34.5
1968-08-01,35.2
1968-09-01,35.2
1968-10-01,35.3
1968-11-01,35.4
1968-12-01,35.8
1969-01-01,36
1969-02-01,36.1
1969-03-01,36.6
1969-04-01,36.7
1969-05-01,36.8
1969-06-01,36.9
1969-07-01,37.1
1969-08-01,37.2
1969-09-01,37.7
1969-10-01,37.9
1969-11-01,38
1969-12-01,38.5
1970-01-01,38.6
1970-02-01,38.7
1970-03-01,39.2
1970-04-01,40
1970-05-01,40.4
1970-06-01,40.8
1970-07-01,41
1970-08-01,41.4
1970-09-01,41.6
1970-10-01,41.9
1970-11-01,42
1970-12-01,42.9
1971-01-01,42.9
1971-02-01,43.1
1971-03-01,43.4
1971-04-01,43.6
1971-05-01,43.7
1971-06-01,44.3
1971-07-01,44.4
1971-08-01,44.5
1971-09-01,44.8
1971-10-01,44.9
1971-11-01,45.1
1971-12-01,45.4
1972-01-01,46.3
1972-02-01,46.4
1972-03-01,46.4
1972-04-01,46.6
1972-05-01,46.7
1972-06-01,47
1972-07-01,47.2
1972-08-01,47.5
1972-09-01,47.7
1972-10-01,48.2
1972-11-01,48.1
1972-12-01,48.6
1973-01-01,48.8
1973-02-01,49
1973-03-01,49.1
1973-04-01,49.7
1973-05-01,49.7
1973-06-01,50.1
1973-07-01,50.1
1973-08-01,50.6
1973-09-01,50.8
1973-10-01,51.1
1973-11-01,51.5
1973-12-01,52.3
1974-01-01,52.6
1974-02-01,52.9
1974-03-01,53.6
1974-04-01,53.6
1974-05-01,53.8
1974-06-01,54.1
1974-07-01,54.3
1974-08-01,54.5
1974-09-01,55.2
1974-10-01,55.5
1974-11-01,55.8
1974-12-01,56.1
1975-01-01,56.2
1975-02-01,56.3
1975-03-01,56.1
1975-04-01,56.5
1975-05-01,56.8
1975-06-01,57.2
1975-07-01,57.1
1975-08-01,57.4
1975-09-01,57.8
1975-10-01,58
1975-11-01,58.7
1975-12-01,59
1976-01-01,59.2
1976-02-01,59.3
1976-03-01,59.5
1976-04-01,59.6
1976-05-01,59.5
1976-06-01,59.9
1976-07-01,60
1976-08-01,60.1
1976-09-01,60.4
1976-10-01,60.6
1976-11-01,60.5
1976-12-01,60.7
1977-01-01,61.5
1977-02-01,61.5
1977-03-01,62
1977-04-01,62.1
1977-05-01,62.3
1977-06-01,62.8
1977-07-01,62.9
1977-08-01,63
1977-09-01,63.4
1977-10-01,63.7
1977-11-01,64
1977-12-01,64
1978-01-01,64.5
1978-02-01,64.6
1978-03-01,64.9
1978-04-01,65
1978-05-01,65.2
1978-06-01,65.7
1978-07-01,66.1
1978-08-01,66.6
1978-09-01,67
1978-10-01,67.5
1978-11-01,67.6
1978-12-01,67.7
1979-01-01,68.4
1979-02-01,68.8
1979-03-01,68.8
1979-04-01,69.3
1979-05-01,70.2
1979-06-01,70.5
1979-07-01,70.7
1979-08-01,71.4
1979-09-01,72.5
1979-10-01,73.2
1979-11-01,74.4
1979-12-01,74.7
1980-01-01,75.9
1980-02-01,75.8
1980-03-01,76.8
1980-04-01,77.4
1980-05-01,78.5
1980-06-01,80.2
1980-07-01,80.4
1980-08-01,81.1
1980-09-01,80.2
1980-10-01,81.2
1980-11-01,81.8
1980-12-01,83.4
1981-01-01,83.6
1981-02-01,83.9
1981-03-01,83.4
1981-04-01,83.2
1981-05-01,84.3
1981-06-01,85
1981-07-01,87.3
1981-08-01,89.1
1981-09-01,91.8
1981-10-01,91.4
1981-11-01,90.8
1981-12-01,90.2
1982-01-01,89.6
1982-02-01,89.1
1982-03-01,86.5
1982-04-01,87.3
1982-05-01,90.1
1982-06-01,94.6
1982-07-01,94.6
1982-08-01,95.9
1982-09-01,96.7
1982-10-01,100.2
1982-11-01,100.2
1982-12-01,97.3
1983-01-01,97.9
1983-02-01,97.8
1983-03-01,97.8
1983-04-01,99.8
1983-05-01,100.2
1983-06-01,100.3
1983-07-01,100.8
1983-08-01,100.5
1983-09-01,101
1983-10-01,101.8
1983-11-01,102.7
1983-12-01,102.9
1984-01-01,103.8
1984-02-01,104.2
1984-03-01,104.1
1984-04-01,105
1984-05-01,105.3
1984-06-01,105.2
1984-07-01,105.8
1984-08-01,106.9
1984-09-01,107.9
1984-10-01,107.8
1984-11-01,109.2
1984-12-01,109.1
1985-01-01,108.9
1985-02-01,109.5
1985-03-01,109.4
1985-04-01,109.9
1985-05-01,110.9
1985-06-01,111.6
1985-07-01,112.2
1985-08-01,113.9
1985-09-01,113.5
1985-10-01,113.6
1985-11-01,115.6
1985-12-01,115.8
1986-01-01,116.8
1986-02-01,117.3
1986-03-01,118.6
1986-04-01,118.7
1986-05-01,118.2
1986-06-01,119.4
1986-07-01,121.8
1986-08-01,122.5
1986-09-01,121.5
1986-10-01,122.9
1986-11-01,122.5
1986-12-01,123.5
1987-01-01,124.9
1987-02-01,125.3
1987-03-01,125.3
1987-04-01,125.8
1987-05-01,127.7
1987-06-01,128.4
1987-07-01,129
1987-08-01,130.5
1987-09-01,130.8
1987-10-01,132.6
1987-11-01,132.7
1987-12-01,134.7
1988-01-01,137.1
1988-02-01,136.2
1988-03-01,137.2
1988-04-01,138.1
1988-05-01,138.8
1988-06-01,138.8
1988-07-01,140.2
1988-08-01,140.8
1988-09-01,141.9
1988-10-01,142.8
1988-11-01,142.8
1988-12-01,142.9
1989-01-01,144
1989-02-01,144.3
1989-03-01,145.8
1989-04-01,145.8
1989-05-01,147.5
1989-06-01,147.9
1989-07-01,148.8
1989-08-01,149.2
1989-09-01,149.7
1989-10-01,151.2
1989-11-01,152.7
1989-12-01,152.7
1990-01-01,153
1990-02-01,152.8
1990-03-01,155.5
1990-04-01,156.7
1990-05-01,157.1
1990-06-01,156.5
1990-07-01,159.8
1990-08-01,162.3
1990-09-01,160.4
1990-10-01,160.4
1990-11-01,159.8
1990-12-01,160.6
1991-01-01,163.1
1991-02-01,164
1991-03-01,163.8
1991-04-01,164.1
1991-05-01,164.2
1991-06-01,165.5
1991-07-01,168.1
1991-08-01,168.4
1991-09-01,167.1
1991-10-01,166.8
1991-11-01,168.3
1991-12-01,168.5
1992-01-01,169.9
1992-02-01,170.9
1992-03-01,173.5
1992-04-01,173.1
1992-05-01,171.9
1992-06-01,172.6
1992-07-01,173.7
1992-08-01,174.3
1992-09-01,174.1
1992-10-01,175.1
1992-11-01,174.4
1992-12-01,174.3
1993-01-01,176
1993-02-01,176.1
1993-03-01,177.1
1993-04-01,176.6
1993-05-01,176.5
1993-06-01,178.3
1993-07-01,178.6
1993-08-01,179.5
1993-09-01,178
1993-10-01,178.3
1993-11-01,177.1
1993-12-01,178.3
1994-01-01,179.3
1994-02-01,183.5
1994-03-01,183.7
1994-04-01,182.6
1994-05-01,182
1994-06-01,182.3
1994-07-01,183.2
1994-08-01,185.7
1994-09-01,184.5
1994-10-01,185.5
1994-11-01,184.5
1994-12-01,184.1
1995-01-01,185.4
1995-02-01,186.4
1995-03-01,186.6
1995-04-01,187.3
1995-05-01,187.6
1995-06-01,188.4
1995-07-01,189.9
1995-08-01,190.1
1995-09-01,188.9
1995-10-01,189.5
1995-11-01,189.7
1995-12-01,189.6
1996-01-01,191.7
1996-02-01,192
1996-03-01,192.7
1996-04-01,192.1
1996-05-01,191.8
1996-06-01,192.2
1996-07-01,193.9
1996-08-01,194.3
1996-09-01,193.3
1996-10-01,194.3
1996-11-01,194.1
1996-12-01,194.5
1997-01-01,196
1997-02-01,197.4
1997-03-01,198.2
1997-04-01,198.1
1997-05-01,197.7
1997-06-01,198.6
1997-07-01,200.5
1997-08-01,201.3
1997-09-01,200.5
1997-10-01,201.6
1997-11-01,201.6
1997-12-01,202.4
1998-01-01,203.8
1998-02-01,204.4
1998-03-01,205.2
1998-04-01,204.6
1998-05-01,205.2
1998-06-01,206.4
1998-07-01,207.6
1998-08-01,208.1
1998-09-01,207.6
1998-10-01,208.5
1998-11-01,208.5
1998-12-01,208.8
1999-01-01,209.3
1999-02-01,210.1
1999-03-01,210.7
1999-04-01,210.7
1999-05-01,210.8
1999-06-01,211.5
1999-07-01,212.4
1999-08-01,213
1999-09-01,212.8
1999-10-01,213.2
1999-11-01,214
1999-12-01,213.9
2000-01-01,216.9
2000-02-01,217.1
2000-03-01,218
2000-04-01,217.5
2000-05-01,217.1
2000-06-01,218.5
2000-07-01,219.4
2000-08-01,220
2000-09-01,219.9
2000-10-01,220.6
2000-11-01,221.1
2000-12-01,220.8
2001-01-01,221.6
2001-02-01,222.9
2001-03-01,225
2001-04-01,225.6
2001-05-01,225.4
2001-06-01,227.3
2001-07-01,227.8
2001-08-01,229.4
2001-09-01,228.8
2001-10-01,229.7
2001-11-01,231.4
2001-12-01,232.4
2002-01-01,235.3
2002-02-01,237.4
2002-03-01,239.2
2002-04-01,239.5
2002-05-01,238.8
2002-06-01,239.5
2002-07-01,240.5
2002-08-01,242.6
2002-09-01,241.3
2002-10-01,243.5
2002-11-01,242.1
2002-12-01,241.5
2003-01-01,246.4
2003-02-01,246.4
2003-03-01,248.1
2003-04-01,247.4
2003-05-01,249
2003-06-01,248.9
2003-07-01,250
2003-08-01,252.4
2003-09-01,249.8
2003-10-01,252.9
2003-11-01,252.2
2003-12-01,252.3
2004-01-01,254.7
2004-02-01,254.7
2004-03-01,259
2004-04-01,261.4
2004-05-01,260.6
2004-06-01,262.8
2004-07-01,262.3
2004-08-01,263.2
2004-09-01,262.8
2004-10-01,264.8
2004-11-01,263
2004-12-01,263
2005-01-01,266.6
2005-02-01,267.7
2005-03-01,276.9
2005-04-01,275
2005-05-01,270.2
2005-06-01,269.7
2005-07-01,272
2005-08-01,272.8
2005-09-01,269.1
2005-10-01,273.7
2005-11-01,272.7
2005-12-01,272
2006-01-01,274
2006-02-01,276.9
2006-03-01,280.7
2006-04-01,284.1
2006-05-01,286.4
2006-06-01,288.2
2006-07-01,290.1
2006-08-01,291.1
2006-09-01,289
2006-10-01,289.8
2006-11-01,289.3
2006-12-01,289.6
2007-01-01,290.208
2007-02-01,292.219
2007-03-01,293.493
2007-04-01,294.39
2007-05-01,295.233
2007-06-01,297.654
2007-07-01,299.859
2007-08-01,300.088
2007-09-01,297.907
2007-10-01,298.26
2007-11-01,298.507
2007-12-01,298.163
2008-01-01,298.233
2008-02-01,300.736
2008-03-01,304.244
2008-04-01,303.015
2008-05-01,303.001
2008-06-01,304.891
2008-07-01,307.161
2008-08-01,308.643
2008-09-01,309.178
2008-10-01,308.989
2008-11-01,307.725
2008-12-01,307.53
2009-01-01,308.572
2009-02-01,309.934
2009-03-01,311.959
2009-04-01,312.32
2009-05-01,311.898
2009-06-01,311.507
2009-07-01,312.82
2009-08-01,313.419
2009-09-01,310.805
2009-10-01,311.411
2009-11-01,310.57
2009-12-01,310.819
2010-01-01,311.149
2010-02-01,311.383
2010-03-01,312.257
2010-04-01,311.818
2010-05-01,312.953
