"Date","APUS23A7471A"
1978-01-01,0.683
1978-02-01,0.682
1978-03-01,0.681
1978-04-01,0.681
1978-05-01,0.686
1978-06-01,0.696
1978-07-01,0.702
1978-08-01,0.713
1978-09-01,0.721
1978-10-01,0.724
1978-11-01,0.733
1978-12-01,0.743
1979-01-01,0.756
1979-02-01,0.769
1979-03-01,0.796
1979-04-01,0.84
1979-05-01,0.884
1979-06-01,0.946
1979-07-01,0.995
1979-08-01,1.041
1979-09-01,1.081
1979-10-01,1.097
1979-11-01,1.082
1979-12-01,1.11
1980-01-01,1.183
1980-02-01,1.258
1980-03-01,1.305
1980-04-01,1.319
1980-05-01,1.313
1980-06-01,1.307
1980-07-01,1.303
1980-08-01,1.297
1980-09-01,1.283
1980-10-01,1.269
1980-11-01,1.269
1980-12-01,1.275
1981-01-01,1.325
1981-02-01,1.411
1981-03-01,1.452
1981-04-01,1.44
1981-05-01,1.413
1981-06-01,1.405
1981-07-01,1.38
1981-08-01,1.356
1981-09-01,1.375
1981-10-01,1.378
1981-11-01,1.377
1981-12-01,1.373
1982-01-01,1.364
1982-02-01,1.344
1982-03-01,1.29
1982-04-01,1.224
1982-05-01,1.252
1982-06-01,1.339
1982-07-01,1.363
1982-08-01,1.346
1982-09-01,1.329
1982-10-01,1.311
1982-11-01,1.31
1982-12-01,1.293
1983-01-01,1.259
1983-02-01,1.224
1983-03-01,1.193
1983-04-01,1.26
1983-05-01,1.297
1983-06-01,1.307
1983-07-01,1.309
1983-08-01,1.344
1983-09-01,1.345
1983-10-01,1.331
1983-11-01,1.315
1983-12-01,1.29
1984-01-01,1.27
1984-02-01,1.273
1984-03-01,1.273
1984-04-01,1.289
1984-05-01,1.29
1984-06-01,1.291
1984-07-01,1.275
1984-08-01,1.26
1984-09-01,1.263
1984-10-01,1.265
1984-11-01,1.26
1984-12-01,1.254
1985-01-01,1.198
1985-02-01,1.186
1985-03-01,1.219
1985-04-01,1.257
1985-05-01,1.276
1985-06-01,1.286
1985-07-01,1.299
1985-08-01,1.293
1985-09-01,1.275
1985-10-01,1.255
1985-11-01,1.282
1985-12-01,1.28
1986-01-01,1.266
1986-02-01,1.16
1986-03-01,1.013
1986-04-01,0.908
1986-05-01,0.97
1986-06-01,1.027
1986-07-01,0.934
1986-08-01,0.877
1986-09-01,0.902
1986-10-01,0.869
1986-11-01,0.895
1986-12-01,0.918
1987-01-01,0.953
1987-02-01,0.978
1987-03-01,0.974
1987-04-01,1.018
1987-05-01,1.016
1987-06-01,1.031
1987-07-01,1.051
1987-08-01,1.078
1987-09-01,1.07
1987-10-01,1.055
1987-11-01,1.048
1987-12-01,1.031
1988-01-01,1.011
1988-02-01,1.013
1988-03-01,1.001
1988-04-01,1.015
1988-05-01,1.038
1988-06-01,1.042
1988-07-01,1.065
1988-08-01,1.106
1988-09-01,1.091
1988-10-01,1.055
1988-11-01,1.051
1988-12-01,1.04
1989-01-01,1.012
1989-02-01,1.02
1989-03-01,1.027
