"Date","APUA10474715"
1993-12-01,1.167
1994-01-01,1.135
1994-02-01,1.165
1994-03-01,1.159
1994-04-01,1.179
1994-05-01,1.194
1994-06-01,1.214
1994-07-01,1.255
1994-08-01,1.304
1994-09-01,1.297
1994-10-01,1.256
1994-11-01,1.284
1994-12-01,1.278
1995-01-01,1.26
1995-02-01,1.242
1995-03-01,1.23
1995-04-01,1.25
1995-05-01,1.332
1995-06-01,1.371
1995-07-01,1.341
1995-08-01,1.313
1995-09-01,1.312
1995-10-01,1.292
1995-11-01,1.258
1995-12-01,1.257
1996-01-01,1.263
1996-02-01,1.255
1996-03-01,1.278
1996-04-01,1.344
1996-05-01,1.397
1996-06-01,1.389
1996-07-01,1.368
1996-08-01,1.34
1996-09-01,1.328
1996-10-01,1.334
1996-11-01,1.32
1996-12-01,1.37
1997-01-01,1.385
1997-02-01,1.377
1997-03-01,1.35
1997-04-01,1.323
1997-05-01,1.336
1997-06-01,1.339
1997-07-01,1.31
1997-08-01,1.34
1997-09-01,1.386
1997-10-01,1.364
1997-11-01,1.315
1997-12-01,1.28
