"Date","CUSR0000SETG"
1989-01-01,125.8
1989-02-01,125.6
1989-03-01,126.3
1989-04-01,127.7
1989-05-01,128.5
1989-06-01,130.4
1989-07-01,130.8
1989-08-01,131.9
1989-09-01,132.2
1989-10-01,133
1989-11-01,131.8
1989-12-01,130.7
1990-01-01,131.8
1990-02-01,134
1990-03-01,136.4
1990-04-01,139.2
1990-05-01,140.8
1990-06-01,143.5
1990-07-01,143.6
1990-08-01,144.2
1990-09-01,146.3
1990-10-01,149
1990-11-01,150.4
1990-12-01,152.7
1991-01-01,153.2
1991-02-01,153.8
1991-03-01,150.5
1991-04-01,145.8
1991-05-01,146.6
1991-06-01,148.3
1991-07-01,147.8
1991-08-01,149.5
1991-09-01,148.6
1991-10-01,146.6
1991-11-01,147.2
1991-12-01,149.2
1992-01-01,149.3
1992-02-01,148.4
1992-03-01,150.8
1992-04-01,153.5
1992-05-01,152.1
1992-06-01,146.9
1992-07-01,149.5
1992-08-01,148.5
1992-09-01,147.2
1992-10-01,154.9
1992-11-01,157.5
1992-12-01,157.3
1993-01-01,159.6
1993-02-01,162.1
1993-03-01,160.6
1993-04-01,161.9
1993-05-01,166.2
1993-06-01,166.5
1993-07-01,168.3
1993-08-01,170.2
1993-09-01,169.7
1993-10-01,169.5
1993-11-01,172.8
1993-12-01,176
1994-01-01,175.3
1994-02-01,175.9
1994-03-01,178.5
1994-04-01,176.5
1994-05-01,169.9
1994-06-01,169.9
1994-07-01,171.4
1994-08-01,173.2
1994-09-01,171.7
1994-10-01,168.4
1994-11-01,167.2
1994-12-01,165.6
1995-01-01,168.4
1995-02-01,169.9
1995-03-01,174.5
1995-04-01,176.7
1995-05-01,176.7
1995-06-01,182.5
1995-07-01,181.8
1995-08-01,177.1
1995-09-01,176.1
1995-10-01,178.7
1995-11-01,177.5
1995-12-01,170.7
1996-01-01,173.7
1996-02-01,177.2
1996-03-01,176.6
1996-04-01,177.1
1996-05-01,179.5
1996-06-01,182.2
1996-07-01,180.6
1996-08-01,181.9
1996-09-01,185
1996-10-01,186.8
1996-11-01,188.6
1996-12-01,193.7
1997-01-01,188.9
1997-02-01,182.9
1997-03-01,186
1997-04-01,187.2
1997-05-01,187.6
1997-06-01,186.1
1997-07-01,186.6
1997-08-01,183.2
1997-09-01,186.2
1997-10-01,190.3
1997-11-01,187.5
1997-12-01,188.2
1998-01-01,190
1998-02-01,191.4
1998-03-01,191.6
1998-04-01,191
1998-05-01,189.6
1998-06-01,187.9
1998-07-01,189.6
1998-08-01,192.1
1998-09-01,190.5
1998-10-01,189.2
1998-11-01,189.3
1998-12-01,191.9
1999-01-01,193.2
1999-02-01,193.2
1999-03-01,196.8
1999-04-01,199.4
1999-05-01,197.7
1999-06-01,192.1
1999-07-01,198.3
1999-08-01,196
1999-09-01,194.6
1999-10-01,201.5
1999-11-01,204.7
1999-12-01,204.5
2000-01-01,202.6
2000-02-01,205
2000-03-01,208.1
2000-04-01,207.2
2000-05-01,209.2
2000-06-01,211.1
2000-07-01,210.3
2000-08-01,213.6
2000-09-01,212.7
2000-10-01,208.5
2000-11-01,212.5
2000-12-01,213.1
2001-01-01,214
2001-02-01,213.5
2001-03-01,209.4
2001-04-01,207.8
2001-05-01,207.8
2001-06-01,213.3
2001-07-01,211.9
2001-08-01,210.8
2001-09-01,211.8
2001-10-01,209.9
2001-11-01,208.7
2001-12-01,208.3
2002-01-01,209.7
2002-02-01,209.5
2002-03-01,208.3
2002-04-01,209.8
2002-05-01,210.1
2002-06-01,207.1
2002-07-01,204.6
2002-08-01,206.3
2002-09-01,205.6
2002-10-01,204.5
2002-11-01,205.7
2002-12-01,206.9
2003-01-01,206.3
2003-02-01,206.1
2003-03-01,207.5
2003-04-01,206.8
2003-05-01,209.2
2003-06-01,209.9
2003-07-01,210.7
2003-08-01,210.6
2003-09-01,210.9
2003-10-01,212.1
2003-11-01,211.2
2003-12-01,210
2004-01-01,210.8
2004-02-01,211
2004-03-01,211.4
2004-04-01,211.2
2004-05-01,208.4
2004-06-01,207.6
2004-07-01,207.6
2004-08-01,206.5
2004-09-01,205.1
2004-10-01,207.1
2004-11-01,211.8
2004-12-01,210.3
2005-01-01,208.9
2005-02-01,208.7
2005-03-01,211.7
2005-04-01,214.8
2005-05-01,216.3
2005-06-01,217.4
2005-07-01,219
2005-08-01,219.8
2005-09-01,220.8
2005-10-01,223.2
2005-11-01,223.6
2005-12-01,222.4
2006-01-01,224.6
2006-02-01,224.5
2006-03-01,224.5
2006-04-01,225.6
2006-05-01,228.3
2006-06-01,229
2006-07-01,230.1
2006-08-01,230
2006-09-01,229.1
2006-10-01,227
2006-11-01,222.8
2006-12-01,222.4
2007-01-01,226.154
2007-02-01,227.416
2007-03-01,227.874
2007-04-01,228.041
2007-05-01,227.734
2007-06-01,228.069
2007-07-01,228.753
2007-08-01,228.54
2007-09-01,230.271
2007-10-01,233.182
2007-11-01,236.208
2007-12-01,238.153
2008-01-01,239.173
2008-02-01,239.099
2008-03-01,244.884
2008-04-01,244.577
2008-05-01,250.728
2008-06-01,258.805
2008-07-01,262.819
2008-08-01,263.918
2008-09-01,260.328
2008-10-01,253.282
2008-11-01,245.888
2008-12-01,241.8
2009-01-01,239.157
2009-02-01,234.709
2009-03-01,232.32
2009-04-01,230.179
2009-05-01,228.153
2009-06-01,227.351
2009-07-01,233.266
2009-08-01,235.522
2009-09-01,238.609
2009-10-01,242.361
2009-11-01,246.54
2009-12-01,249.002
2010-01-01,247.107
2010-02-01,246.046
2010-03-01,246.477
2010-04-01,247.937
2010-05-01,249.828
2010-06-01,250.806
2010-07-01,251.942
2010-08-01,252.516
2010-09-01,252.262
2010-10-01,253.139
2010-11-01,257.384
2010-12-01,261.352
2011-01-01,266.429
2011-02-01,269.573
2011-03-01,272.664
2011-04-01,268.074
2011-05-01,262.681
2011-06-01,263.981
2011-07-01,270.109
2011-08-01,277.154
2011-09-01,274.993
2011-10-01,271.061
