"Date","CUUR0100SETA01"
1977-12-01,73.3
1978-01-01,NA
1978-02-01,73.6
1978-03-01,NA
1978-04-01,73.6
1978-05-01,NA
1978-06-01,74.8
1978-07-01,NA
1978-08-01,74.9
1978-09-01,NA
1978-10-01,75.9
1978-11-01,NA
1978-12-01,77.7
1979-01-01,NA
1979-02-01,79.1
1979-03-01,NA
1979-04-01,79.9
1979-05-01,NA
1979-06-01,81
1979-07-01,NA
1979-08-01,81.1
1979-09-01,NA
1979-10-01,81.8
1979-11-01,NA
1979-12-01,83.8
1980-01-01,NA
1980-02-01,85.6
1980-03-01,NA
1980-04-01,87
1980-05-01,NA
1980-06-01,87.9
1980-07-01,NA
1980-08-01,89
1980-09-01,NA
1980-10-01,89.7
1980-11-01,NA
1980-12-01,91.6
1981-01-01,NA
1981-02-01,91.2
1981-03-01,NA
1981-04-01,92
1981-05-01,NA
1981-06-01,94.7
1981-07-01,NA
1981-08-01,94.7
1981-09-01,NA
1981-10-01,95.3
1981-11-01,NA
1981-12-01,97.7
1982-01-01,NA
1982-02-01,96.6
1982-03-01,NA
1982-04-01,96.6
1982-05-01,NA
1982-06-01,97.7
1982-07-01,NA
1982-08-01,98.5
1982-09-01,NA
1982-10-01,98.4
1982-11-01,NA
1982-12-01,99.4
1983-01-01,NA
1983-02-01,99.4
1983-03-01,NA
1983-04-01,99.2
1983-05-01,NA
1983-06-01,99.2
1983-07-01,NA
1983-08-01,99.5
1983-09-01,NA
1983-10-01,100.7
1983-11-01,NA
1983-12-01,101.8
1984-01-01,NA
1984-02-01,101.8
1984-03-01,NA
1984-04-01,101.8
1984-05-01,NA
1984-06-01,101.8
1984-07-01,NA
1984-08-01,102.2
1984-09-01,NA
1984-10-01,103.1
1984-11-01,NA
1984-12-01,104.2
1985-01-01,NA
1985-02-01,105.1
1985-03-01,NA
1985-04-01,105.1
1985-05-01,NA
1985-06-01,105.3
1985-07-01,NA
1985-08-01,105.3
1985-09-01,NA
1985-10-01,106.2
1985-11-01,NA
1985-12-01,107.8
1986-01-01,NA
1986-02-01,108.2
1986-03-01,NA
1986-04-01,108.6
1986-05-01,NA
1986-06-01,110.2
1986-07-01,NA
1986-08-01,110.5
1986-09-01,NA
1986-10-01,112
1986-11-01,NA
1986-12-01,114.4
1987-01-01,114.6
1987-02-01,113
1987-03-01,112.9
1987-04-01,113.4
1987-05-01,113.9
1987-06-01,114.1
1987-07-01,114.1
1987-08-01,113.9
1987-09-01,113.5
1987-10-01,114.9
1987-11-01,115.9
1987-12-01,115.7
1988-01-01,115.4
1988-02-01,115.5
1988-03-01,115
1988-04-01,114.9
1988-05-01,115.2
1988-06-01,115.3
1988-07-01,115.2
1988-08-01,115
1988-09-01,115.5
1988-10-01,117
1988-11-01,117.3
1988-12-01,117.5
1989-01-01,118
1989-02-01,117.9
1989-03-01,117.7
1989-04-01,118
1989-05-01,118.1
1989-06-01,117.6
1989-07-01,117
1989-08-01,116.2
1989-09-01,115.7
1989-10-01,117.4
1989-11-01,118.9
1989-12-01,119.8
