"Date","CUUR0300SA0"
1966-12-01,32.2
1967-01-01,NA
1967-02-01,NA
1967-03-01,32.2
1967-04-01,NA
1967-05-01,NA
1967-06-01,32.5
1967-07-01,NA
1967-08-01,NA
1967-09-01,32.8
1967-10-01,NA
1967-11-01,NA
1967-12-01,33.1
1968-01-01,NA
1968-02-01,NA
1968-03-01,33.5
1968-04-01,NA
1968-05-01,NA
1968-06-01,33.9
1968-07-01,NA
1968-08-01,NA
1968-09-01,34.3
1968-10-01,NA
1968-11-01,NA
1968-12-01,34.8
1969-01-01,NA
1969-02-01,NA
1969-03-01,35.4
1969-04-01,NA
1969-05-01,NA
1969-06-01,35.9
1969-07-01,NA
1969-08-01,NA
1969-09-01,36.4
1969-10-01,NA
1969-11-01,NA
1969-12-01,36.9
1970-01-01,NA
1970-02-01,NA
1970-03-01,37.4
1970-04-01,NA
1970-05-01,NA
1970-06-01,37.9
1970-07-01,NA
1970-08-01,NA
1970-09-01,38.3
1970-10-01,NA
1970-11-01,NA
1970-12-01,38.8
1971-01-01,NA
1971-02-01,NA
1971-03-01,39
1971-04-01,NA
1971-05-01,NA
1971-06-01,39.6
1971-07-01,NA
1971-08-01,NA
1971-09-01,39.7
1971-10-01,NA
1971-11-01,NA
1971-12-01,40.1
1972-01-01,NA
1972-02-01,NA
1972-03-01,40.3
1972-04-01,NA
1972-05-01,NA
1972-06-01,40.6
1972-07-01,NA
1972-08-01,NA
1972-09-01,40.9
1972-10-01,NA
1972-11-01,NA
1972-12-01,41.2
1973-01-01,NA
1973-02-01,NA
1973-03-01,42.1
1973-04-01,NA
1973-05-01,NA
1973-06-01,43
1973-07-01,NA
1973-08-01,NA
1973-09-01,44.3
1973-10-01,NA
1973-11-01,NA
1973-12-01,45.2
1974-01-01,NA
1974-02-01,NA
1974-03-01,46.7
1974-04-01,NA
1974-05-01,NA
1974-06-01,48.1
1974-07-01,NA
1974-08-01,NA
1974-09-01,50.1
1974-10-01,NA
1974-11-01,NA
1974-12-01,51.3
1975-01-01,NA
1975-02-01,NA
1975-03-01,52.2
1975-04-01,NA
1975-05-01,NA
1975-06-01,53.2
1975-07-01,NA
1975-08-01,NA
1975-09-01,54.2
1975-10-01,NA
1975-11-01,NA
1975-12-01,55
1976-01-01,NA
1976-02-01,NA
1976-03-01,55.3
1976-04-01,NA
1976-05-01,NA
1976-06-01,56.2
1976-07-01,NA
1976-08-01,NA
1976-09-01,57
1976-10-01,NA
1976-11-01,NA
1976-12-01,57.5
1977-01-01,NA
1977-02-01,NA
1977-03-01,58.9
1977-04-01,NA
1977-05-01,NA
1977-06-01,60.1
1977-07-01,NA
1977-08-01,NA
1977-09-01,61
1977-10-01,NA
1977-11-01,NA
1977-12-01,61.6
1978-01-01,NA
1978-02-01,62.4
1978-03-01,NA
1978-04-01,63.5
1978-05-01,NA
1978-06-01,64.9
1978-07-01,NA
1978-08-01,65.9
1978-09-01,NA
1978-10-01,66.8
1978-11-01,NA
1978-12-01,67.7
1979-01-01,NA
1979-02-01,68.9
1979-03-01,NA
1979-04-01,70.3
1979-05-01,NA
1979-06-01,72.2
1979-07-01,NA
1979-08-01,73.6
1979-09-01,NA
1979-10-01,75
1979-11-01,NA
1979-12-01,76.3
1980-01-01,NA
1980-02-01,78.5
1980-03-01,NA
1980-04-01,80.6
1980-05-01,NA
1980-06-01,82.2
1980-07-01,NA
1980-08-01,82.7
1980-09-01,NA
1980-10-01,84.2
1980-11-01,NA
1980-12-01,85.8
1981-01-01,NA
1981-02-01,87.8
1981-03-01,NA
1981-04-01,89
1981-05-01,NA
1981-06-01,90.4
1981-07-01,NA
1981-08-01,91.9
1981-09-01,NA
1981-10-01,93
1981-11-01,NA
1981-12-01,94.3
1982-01-01,NA
1982-02-01,95.1
1982-03-01,NA
1982-04-01,94.7
1982-05-01,NA
1982-06-01,97
1982-07-01,NA
1982-08-01,97.6
1982-09-01,NA
1982-10-01,98
1982-11-01,NA
1982-12-01,97.8
1983-01-01,NA
1983-02-01,98
1983-03-01,NA
1983-04-01,98.8
1983-05-01,NA
1983-06-01,99.6
1983-07-01,NA
1983-08-01,100.2
1983-09-01,NA
1983-10-01,101.2
1983-11-01,NA
1983-12-01,101.3
1984-01-01,NA
1984-02-01,102.4
1984-03-01,NA
1984-04-01,103.1
1984-05-01,NA
1984-06-01,103.6
1984-07-01,NA
1984-08-01,104.3
1984-09-01,NA
1984-10-01,105.1
1984-11-01,NA
1984-12-01,105.3
1985-01-01,NA
1985-02-01,105.7
1985-03-01,NA
1985-04-01,106.4
1985-05-01,NA
1985-06-01,107.1
1985-07-01,NA
1985-08-01,107.6
1985-09-01,NA
1985-10-01,108.3
1985-11-01,NA
1985-12-01,108.7
1986-01-01,NA
1986-02-01,108.9
1986-03-01,NA
1986-04-01,107.9
1986-05-01,NA
1986-06-01,108.7
1986-07-01,NA
1986-08-01,108.7
1986-09-01,NA
1986-10-01,109.4
1986-11-01,NA
1986-12-01,109.7
1987-01-01,110.2
1987-02-01,110.7
1987-03-01,111.1
1987-04-01,111.5
1987-05-01,111.8
1987-06-01,112.2
1987-07-01,112.6
1987-08-01,112.9
1987-09-01,113.5
1987-10-01,113.8
1987-11-01,114.1
1987-12-01,114
1988-01-01,114.1
1988-02-01,114.4
1988-03-01,114.8
1988-04-01,115.4
1988-05-01,115.6
1988-06-01,116.1
1988-07-01,116.6
1988-08-01,117
1988-09-01,117.7
1988-10-01,118.2
1988-11-01,118.3
1988-12-01,118.5
1989-01-01,118.9
1989-02-01,119.2
1989-03-01,119.8
1989-04-01,120.8
1989-05-01,121.3
1989-06-01,121.7
1989-07-01,122
1989-08-01,122.1
1989-09-01,122.5
1989-10-01,123
1989-11-01,123.2
1989-12-01,123.4
1990-01-01,124.6
1990-02-01,125.4
1990-03-01,126
1990-04-01,126.1
1990-05-01,126.5
1990-06-01,127.3
1990-07-01,127.8
1990-08-01,128.7
1990-09-01,129.7
1990-10-01,130.7
1990-11-01,130.9
1990-12-01,130.9
1991-01-01,131.4
1991-02-01,131.7
1991-03-01,131.9
1991-04-01,132.1
1991-05-01,132.5
1991-06-01,132.8
1991-07-01,133
1991-08-01,133.3
1991-09-01,133.8
1991-10-01,134.1
1991-11-01,134.4
1991-12-01,134.3
1992-01-01,134.4
1992-02-01,134.9
1992-03-01,135.5
1992-04-01,135.9
1992-05-01,136.2
1992-06-01,136.7
1992-07-01,136.8
1992-08-01,137
1992-09-01,137.3
1992-10-01,137.8
1992-11-01,138.1
1992-12-01,137.9
1993-01-01,138.4
1993-02-01,139.1
1993-03-01,139.7
1993-04-01,140.2
1993-05-01,140.7
1993-06-01,140.8
1993-07-01,140.9
1993-08-01,141.5
1993-09-01,141.6
1993-10-01,142.2
1993-11-01,142.3
1993-12-01,142.2
1994-01-01,142.5
1994-02-01,142.9
1994-03-01,143.6
1994-04-01,143.8
1994-05-01,144.3
1994-06-01,144.7
1994-07-01,145
1994-08-01,145.5
1994-09-01,145.8
1994-10-01,145.9
1994-11-01,146
1994-12-01,146.1
1995-01-01,146.7
1995-02-01,147.4
1995-03-01,148
1995-04-01,148.4
1995-05-01,148.8
1995-06-01,149.1
1995-07-01,149.2
1995-08-01,149.7
1995-09-01,149.8
1995-10-01,150.5
1995-11-01,150.4
1995-12-01,150.3
1996-01-01,151.1
1996-02-01,151.5
1996-03-01,152.4
1996-04-01,153.2
1996-05-01,153.5
1996-06-01,154
1996-07-01,154
1996-08-01,154.1
1996-09-01,154.5
1996-10-01,154.9
1996-11-01,155.1
1996-12-01,155.1
1997-01-01,155.7
1997-02-01,156.1
1997-03-01,156.5
1997-04-01,156.7
1997-05-01,156.6
1997-06-01,157
1997-07-01,157
1997-08-01,157.1
1997-09-01,157.5
1997-10-01,157.8
1997-11-01,157.8
1997-12-01,157.3
1998-01-01,157.6
1998-02-01,157.8
1998-03-01,158.2
1998-04-01,158.5
1998-05-01,158.8
1998-06-01,159.1
1998-07-01,159.3
1998-08-01,159.5
1998-09-01,159.5
1998-10-01,159.8
1998-11-01,159.6
1998-12-01,159.6
1999-01-01,159.9
1999-02-01,160
1999-03-01,160.6
1999-04-01,161.5
1999-05-01,161.6
1999-06-01,161.7
1999-07-01,162.2
1999-08-01,162.6
1999-09-01,163.2
1999-10-01,163.6
1999-11-01,163.5
1999-12-01,163.6
2000-01-01,164.1
2000-02-01,164.8
2000-03-01,166.5
