"Date","STICKCPIM679SFRBATL"
1967-03-01,2.41746703
1967-04-01,2.707222868
1967-05-01,2.567033919
1967-06-01,3.643903982
1967-07-01,3.714671283
1967-08-01,3.767218455
1967-09-01,3.539697958
1967-10-01,3.652966842
1967-11-01,4.046816716
1967-12-01,4.382168471
1968-01-01,4.802142257
1968-02-01,4.602187298
1968-03-01,5.202621234
1968-04-01,4.527912376
1968-05-01,4.14019655
1968-06-01,5.1465744
1968-07-01,6.015303195
1968-08-01,6.998019585
1968-09-01,5.017905468
1968-10-01,5.342183628
1968-11-01,5.632205394
1968-12-01,7.109185558
1969-01-01,6.613282013
1969-02-01,5.734752775
1969-03-01,6.530416429
1969-04-01,7.292141777
1969-05-01,7.889118091
1969-06-01,6.230363978
1969-07-01,5.739885892
1969-08-01,5.850210559
1969-09-01,6.827924463
1969-10-01,6.240158596
1969-11-01,6.148186521
1969-12-01,5.977923271
1970-01-01,7.24949034
1970-02-01,8.347773821
1970-03-01,9.115349181
1970-04-01,8.471545983
1970-05-01,7.828641901
1970-06-01,6.759927877
1970-07-01,6.156536413
1970-08-01,6.095933866
1970-09-01,6.315308557
1970-10-01,5.952071289
1970-11-01,6.420472049
1970-12-01,6.386904239
1971-01-01,6.951531031
1971-02-01,4.660925362
1971-03-01,2.576801622
1971-04-01,2.021804236
1971-05-01,2.938248128
1971-06-01,5.622267482
1971-07-01,5.674206635
1971-08-01,5.677828385
1971-09-01,4.237142242
1971-10-01,3.131773072
1971-11-01,2.842164244
1971-12-01,2.729712305
1972-01-01,4.202560114
1972-02-01,3.851033124
1972-03-01,3.545382576
1972-04-01,2.868586609
1972-05-01,3.028929214
1972-06-01,3.366517631
1972-07-01,3.623657685
1972-08-01,3.741908365
1972-09-01,2.965986795
1972-10-01,2.607614345
1972-11-01,2.505419089
1972-12-01,2.877694194
1973-01-01,2.610339712
1973-02-01,2.758203576
1973-03-01,3.033054477
1973-04-01,3.840616404
1973-05-01,4.591313061
1973-06-01,4.776111204
1973-07-01,4.395268384
1973-08-01,4.812652565
1973-09-01,6.84043197
1973-10-01,10.294770452
1973-11-01,9.882760092
1973-12-01,8.954991147
1974-01-01,7.195932609
1974-02-01,8.058146916
1974-03-01,8.58564112
1974-04-01,8.675897918
1974-05-01,9.884176431
1974-06-01,11.441737054
1974-07-01,13.269234462
1974-08-01,13.95224695
1974-09-01,14.132233678
1974-10-01,13.700784697
1974-11-01,12.222187951
1974-12-01,11.762330199
1975-01-01,11.001359396
1975-02-01,11.050708666
1975-03-01,8.94677863
1975-04-01,8.251971186
1975-05-01,6.025879436
1975-06-01,6.338774863
1975-07-01,5.511940465
1975-08-01,5.937093722
1975-09-01,6.693076686
1975-10-01,7.413713482
1975-11-01,9.122697536
1975-12-01,8.409605472
1976-01-01,8.908648184
1976-02-01,7.65554694
1976-03-01,7.165472005
1976-04-01,5.141602614
1976-05-01,4.768291082
1976-06-01,4.941561277
1976-07-01,6.6363966
1976-08-01,7.32795155
1976-09-01,7.370612109
1976-10-01,6.330170923
1976-11-01,6.119262518
1976-12-01,5.015280914
1977-01-01,5.724970727
1977-02-01,5.622254126
1977-03-01,6.754525487
1977-04-01,7.325634243
1977-05-01,7.751082467
1977-06-01,8.390797448
1977-07-01,8.001873555
1977-08-01,7.761286112
1977-09-01,7.193393243
1977-10-01,6.585223373
1977-11-01,6.804918539
1977-12-01,6.831850664
1978-01-01,7.431819736
1978-02-01,7.260671951
1978-03-01,7.598764455
1978-04-01,7.858297174
1978-05-01,8.900307424
1978-06-01,9.414727503
1978-07-01,10.085026066
1978-08-01,10.140747248
1978-09-01,10.818598802
1978-10-01,11.002834473
1978-11-01,10.756605314
1978-12-01,8.754859394
1979-01-01,7.841899539
1979-02-01,8.860210269
1979-03-01,10.165607847
1979-04-01,11.183845774
1979-05-01,11.048730081
1979-06-01,11.663938098
1979-07-01,12.21606259
1979-08-01,13.016939958
1979-09-01,13.203672523
1979-10-01,13.727726689
1979-11-01,14.456739862
1979-12-01,15.300160409
1980-01-01,15.848722087
1980-02-01,14.686047977
1980-03-01,15.592369104
1980-04-01,15.401236891
1980-05-01,16.126513216
1980-06-01,16.615692236
1980-07-01,9.844671252
1980-08-01,6.612004179
1980-09-01,4.080421233
1980-10-01,9.990442481
1980-11-01,13.007226161
1980-12-01,13.709420104
1981-01-01,11.992284831
1981-02-01,9.058088754
1981-03-01,7.1359581
1981-04-01,7.083597175
1981-05-01,9.815318021
1981-06-01,12.196657909
1981-07-01,15.264660783
1981-08-01,14.375179009
1981-09-01,14.622745956
1981-10-01,9.737341684
1981-11-01,7.934642167
1981-12-01,4.713517445
1982-01-01,5.012706212
1982-02-01,4.812120036
1982-03-01,3.308658257
1982-04-01,5.286143422
1982-05-01,7.932028949
1982-06-01,11.957539339
1982-07-01,10.66354103
1982-08-01,7.869188671
1982-09-01,3.844867506
1982-10-01,2.738728718
1982-11-01,0.617074236
1982-12-01,-0.458984747
1983-01-01,0.424916406
1983-02-01,2.358596486
1983-03-01,4.473677364
1983-04-01,4.514095801
