"Date","CWUR0000SETC"
1977-12-01,74.3
1978-01-01,74.7
1978-02-01,75.2
1978-03-01,75.7
1978-04-01,76.3
1978-05-01,76.4
1978-06-01,77.2
1978-07-01,77.8
1978-08-01,78.3
1978-09-01,78.6
1978-10-01,78.3
1978-11-01,79.9
1978-12-01,80.3
1979-01-01,81.1
1979-02-01,82.1
1979-03-01,82
1979-04-01,82.7
1979-05-01,83
1979-06-01,83.2
1979-07-01,84.1
1979-08-01,84.8
1979-09-01,86
1979-10-01,87.4
1979-11-01,88.5
1979-12-01,89.6
1980-01-01,90.2
1980-02-01,92.1
1980-03-01,92.7
1980-04-01,93.8
1980-05-01,94
1980-06-01,93.9
1980-07-01,95.4
1980-08-01,95.7
1980-09-01,96.5
1980-10-01,96.2
1980-11-01,97.1
1980-12-01,98.1
1981-01-01,98.4
1981-02-01,99.2
1981-03-01,99.4
1981-04-01,100.6
1981-05-01,101.2
1981-06-01,100.7
1981-07-01,100.5
1981-08-01,101.8
1981-09-01,102.9
1981-10-01,103.2
1981-11-01,103.5
1981-12-01,103.5
1982-01-01,104.1
1982-02-01,103.6
1982-03-01,104
1982-04-01,103.5
1982-05-01,104.7
1982-06-01,105
1982-07-01,104.1
1982-08-01,103
1982-09-01,102.7
1982-10-01,103
1982-11-01,103.3
1982-12-01,102.9
1983-01-01,103.4
1983-02-01,103
1983-03-01,102.1
1983-04-01,101.4
1983-05-01,100.6
1983-06-01,100.3
1983-07-01,100
1983-08-01,99.7
1983-09-01,99.5
1983-10-01,99.5
1983-11-01,100.1
1983-12-01,99.8
1984-01-01,96.6
1984-02-01,96.3
1984-03-01,95.5
1984-04-01,96.2
1984-05-01,95.8
1984-06-01,95.9
1984-07-01,95
1984-08-01,95.2
1984-09-01,95.1
1984-10-01,94
1984-11-01,95.2
1984-12-01,95.8
1985-01-01,95.6
1985-02-01,96.6
1985-03-01,95.5
1985-04-01,96
1985-05-01,95.2
1985-06-01,96.5
1985-07-01,95.6
1985-08-01,95.8
1985-09-01,96.3
1985-10-01,95.9
1985-11-01,95.1
1985-12-01,95.4
1986-01-01,96.3
1986-02-01,96
1986-03-01,96.3
1986-04-01,95.7
1986-05-01,96
1986-06-01,95.3
1986-07-01,95.2
1986-08-01,95.6
1986-09-01,94.8
1986-10-01,94
1986-11-01,94.6
1986-12-01,94.7
1987-01-01,95.4
1987-02-01,95.4
1987-03-01,95.7
1987-04-01,94.7
1987-05-01,95.4
1987-06-01,95.7
1987-07-01,95.4
1987-08-01,95.9
1987-09-01,96.4
1987-10-01,96.9
1987-11-01,96.4
1987-12-01,96.5
1988-01-01,97.3
1988-02-01,97.2
1988-03-01,97.3
1988-04-01,97
1988-05-01,97.9
1988-06-01,97.6
1988-07-01,96.8
1988-08-01,97.6
1988-09-01,97.9
1988-10-01,97.4
1988-11-01,97.6
1988-12-01,98.4
1989-01-01,99.1
1989-02-01,99.3
1989-03-01,98.3
1989-04-01,99
1989-05-01,99.8
1989-06-01,100.2
1989-07-01,99.7
1989-08-01,100.3
