"Date","CUSR0000SAF115"
1967-01-01,29.3
1967-02-01,29.3
1967-03-01,29.2
1967-04-01,29.2
1967-05-01,29.2
1967-06-01,29.2
1967-07-01,29.2
1967-08-01,29.3
1967-09-01,29.4
1967-10-01,29.4
1967-11-01,29.4
1967-12-01,29.4
1968-01-01,29.5
1968-02-01,29.5
1968-03-01,29.5
1968-04-01,29.6
1968-05-01,29.6
1968-06-01,29.7
1968-07-01,29.7
1968-08-01,29.9
1968-09-01,30
1968-10-01,30
1968-11-01,30.1
1968-12-01,30.2
1969-01-01,30.2
1969-02-01,30.3
1969-03-01,30.4
1969-04-01,30.5
1969-05-01,30.5
1969-06-01,30.6
1969-07-01,30.6
1969-08-01,30.7
1969-09-01,30.8
1969-10-01,30.9
1969-11-01,31.1
1969-12-01,31.4
1970-01-01,31.6
1970-02-01,31.8
1970-03-01,32.1
1970-04-01,32.4
1970-05-01,32.7
1970-06-01,32.8
1970-07-01,33.1
1970-08-01,33.2
1970-09-01,33.4
1970-10-01,33.6
1970-11-01,33.7
1970-12-01,33.8
1971-01-01,33.9
1971-02-01,34
1971-03-01,34.1
1971-04-01,34.2
1971-05-01,34.2
1971-06-01,34.3
1971-07-01,34.4
1971-08-01,34.5
1971-09-01,34.5
1971-10-01,34.5
1971-11-01,34.4
1971-12-01,34.4
1972-01-01,34.4
1972-02-01,34.5
1972-03-01,34.6
1972-04-01,34.6
1972-05-01,34.6
1972-06-01,34.4
1972-07-01,34.4
1972-08-01,34.5
1972-09-01,34.6
1972-10-01,34.7
1972-11-01,34.8
1972-12-01,34.8
1973-01-01,34.9
1973-02-01,35.2
1973-03-01,35.4
1973-04-01,35.7
1973-05-01,36.1
1973-06-01,36.4
1973-07-01,36.5
1973-08-01,36.7
1973-09-01,37.2
1973-10-01,38.1
1973-11-01,38.9
1973-12-01,39.4
1974-01-01,39.9
1974-02-01,41.2
1974-03-01,42.8
1974-04-01,44
1974-05-01,45.1
1974-06-01,46.4
1974-07-01,47.8
1974-08-01,49.6
1974-09-01,51.5
1974-10-01,53
1974-11-01,54.8
1974-12-01,57.1
1975-01-01,57.8
1975-02-01,57.7
1975-03-01,57.4
1975-04-01,56.4
1975-05-01,55.1
1975-06-01,54.1
1975-07-01,53.3
1975-08-01,53.8
1975-09-01,54.3
1975-10-01,54.7
1975-11-01,54.9
1975-12-01,55.1
1976-01-01,55.1
1976-02-01,54.8
1976-03-01,54.6
1976-04-01,54.8
1976-05-01,55.1
1976-06-01,55.5
1976-07-01,56.1
1976-08-01,56.9
1976-09-01,57.3
1976-10-01,58
1976-11-01,59
1976-12-01,60
1977-01-01,60.9
1977-02-01,62.6
1977-03-01,64.1
1977-04-01,66.7
1977-05-01,69.2
1977-06-01,70.8
1977-07-01,70.8
1977-08-01,70.9
1977-09-01,71
1977-10-01,71
1977-11-01,71
1977-12-01,71.1
1978-01-01,71.4
1978-02-01,71.8
1978-03-01,72.4
1978-04-01,72.9
1978-05-01,73.3
1978-06-01,73.8
1978-07-01,74.2
1978-08-01,74.2
1978-09-01,74.3
1978-10-01,74.4
1978-11-01,75
1978-12-01,75.5
1979-01-01,76
1979-02-01,76.4
1979-03-01,76.6
1979-04-01,77.1
1979-05-01,77.8
1979-06-01,78.1
1979-07-01,79
1979-08-01,79.9
1979-09-01,80.8
1979-10-01,81.2
1979-11-01,81.9
1979-12-01,82.5
1980-01-01,82.9
1980-02-01,84
1980-03-01,85.2
1980-04-01,86.1
1980-05-01,87.1
1980-06-01,88.3
1980-07-01,89.2
1980-08-01,90.1
1980-09-01,90.6
1980-10-01,91.1
1980-11-01,92.3
1980-12-01,93.1
1981-01-01,93.7
1981-02-01,94.2
1981-03-01,94.4
1981-04-01,94.7
1981-05-01,94.5
1981-06-01,94.6
1981-07-01,94.8
1981-08-01,95.2
1981-09-01,95.4
1981-10-01,95.6
1981-11-01,95.7
1981-12-01,95.7
1982-01-01,96.1
1982-02-01,96.4
1982-03-01,96.7
1982-04-01,96.5
