"Date","CUURX000SACL1E"
2007-02-01,98.485
2007-03-01,98.934
2007-04-01,98.921
2007-05-01,98.604
2007-06-01,98.071
2007-07-01,97.724
2007-08-01,97.703
2007-09-01,97.877
2007-10-01,98.491
2007-11-01,98.806
2007-12-01,98.545
2008-01-01,98.619
2008-02-01,98.817
2008-03-01,99.183
2008-04-01,99.47
2008-05-01,99.085
2008-06-01,98.657
2008-07-01,98.315
2008-08-01,98.214
2008-09-01,98.566
2008-10-01,98.728
2008-11-01,98.498
2008-12-01,97.987
2009-01-01,97.997
2009-02-01,98.879
2009-03-01,99.926
2009-04-01,100.565
2009-05-01,100.387
2009-06-01,100.301
2009-07-01,100.075
2009-08-01,99.638
2009-09-01,100.386
2009-10-01,101.493
2009-11-01,101.574
2009-12-01,101.352
2010-01-01,101.22
2010-02-01,101.556
2010-03-01,101.91
2010-04-01,101.886
2010-05-01,101.791
2010-06-01,101.402
2010-07-01,101.006
2010-08-01,101.13
2010-09-01,101.372
2010-10-01,101.464
2010-11-01,101.192
2010-12-01,100.892
2011-01-01,100.844
2011-02-01,101.437
2011-03-01,102.047
2011-04-01,102.468
2011-05-01,102.874
2011-06-01,103.027
2011-07-01,103.1
2011-08-01,103.349
2011-09-01,103.626
2011-10-01,103.9
2011-11-01,103.699
2011-12-01,103.201
2012-01-01,103.187
2012-02-01,103.594
2012-03-01,104.367
2012-04-01,104.798
2012-05-01,104.777
2012-06-01,104.686
2012-07-01,104.335
2012-08-01,104.1
2012-09-01,104.335
2012-10-01,104.652
2012-11-01,104.389
2012-12-01,103.832
2013-01-01,103.862
2013-02-01,104.252
2013-03-01,104.711
2013-04-01,104.942
2013-05-01,104.747
2013-06-01,104.489
2013-07-01,104.05
2013-08-01,104.31
2013-09-01,104.69
2013-10-01,104.824
2013-11-01,104.41
2013-12-01,103.671
2014-01-01,103.31
2014-02-01,103.566
2014-03-01,104.039
2014-04-01,104.503
2014-05-01,104.378
2014-06-01,104.284
2014-07-01,103.848
2014-08-01,103.66
2014-09-01,104.217
2014-10-01,104.475
2014-11-01,103.775
2014-12-01,102.88
2015-01-01,102.637
2015-02-01,103.234
2015-03-01,103.901
2015-04-01,104.62
2015-05-01,104.545
2015-06-01,104.2
2015-07-01,103.721
2015-08-01,103.398
2015-09-01,103.605
2015-10-01,103.685
2015-11-01,103.244
2015-12-01,102.516
2016-01-01,102.582
2016-02-01,103.445
2016-03-01,103.896
2016-04-01,104.12
2016-05-01,103.874
2016-06-01,103.42
2016-07-01,102.967
2016-08-01,103.081
2016-09-01,103.202
2016-10-01,103.591
2016-11-01,102.892
2016-12-01,102.236
2017-01-01,102.848
2017-02-01,103.232
2017-03-01,103.523
2017-04-01,103.538
2017-05-01,103.078
2017-06-01,102.658
2017-07-01,102.18
2017-08-01,102.213
2017-09-01,102.234
2017-10-01,102.48
2017-11-01,101.823
2017-12-01,101.442
2018-01-01,101.965
2018-02-01,102.601
2018-03-01,103.276
2018-04-01,103.373
2018-05-01,103.163
2018-06-01,102.911
2018-07-01,102.59
2018-08-01,102.248
2018-09-01,102.086
2018-10-01,102.414
2018-11-01,102.216
2018-12-01,101.746
2019-01-01,102.462
2019-02-01,102.923
2019-03-01,103.239
2019-04-01,103.26
2019-05-01,102.817
2019-06-01,102.964
2019-07-01,103.086
2019-08-01,103.205
2019-09-01,102.819
2019-10-01,102.888
2019-11-01,102.443
2019-12-01,102.051
2020-01-01,102.34
2020-02-01,103.02
2020-03-01,103.294
2020-04-01,102.758
2020-05-01,102.177
2020-06-01,102.096
2020-07-01,102.68
2020-08-01,103.938
2020-09-01,104.397
2020-10-01,104.793
2020-11-01,104.505
2020-12-01,104.072
2021-01-01,104.339
2021-02-01,104.74
2021-03-01,105.128
2021-04-01,107.458
2021-05-01,109.359
2021-06-01,111.741
2021-07-01,112.267
2021-08-01,112.563
2021-09-01,112.546
2021-10-01,114.096
2021-11-01,114.802
2021-12-01,115.739
2022-01-01,117.223
2022-02-01,118.275
2022-03-01,118.043
2022-04-01,118.235
2022-05-01,118.682
2022-06-01,119.701
2022-07-01,119.987
2022-08-01,120.436
2022-09-01,119.932
2022-10-01,119.68
2022-11-01,118.84
2022-12-01,117.963
2023-01-01,118.611
2023-02-01,119.32
2023-03-01,119.796
2023-04-01,120.647
2023-05-01,121.081
2023-06-01,121.183
2023-07-01,120.764
2023-08-01,120.666
2023-09-01,119.956
2023-10-01,119.627
2023-11-01,118.799
