"Date","CUURA210SAH"
1975-11-01,45.1
1975-12-01,NA
1976-01-01,NA
1976-02-01,45
1976-03-01,NA
1976-04-01,NA
1976-05-01,45.2
1976-06-01,NA
1976-07-01,NA
1976-08-01,46.8
1976-09-01,NA
1976-10-01,NA
1976-11-01,47.4
1976-12-01,NA
1977-01-01,NA
1977-02-01,48.5
1977-03-01,NA
1977-04-01,NA
1977-05-01,48.9
1977-06-01,NA
1977-07-01,NA
1977-08-01,50.5
1977-09-01,NA
1977-10-01,NA
1977-11-01,50.9
1977-12-01,NA
1978-01-01,NA
1978-02-01,51.1
1978-03-01,NA
1978-04-01,52.7
1978-05-01,NA
1978-06-01,51.8
1978-07-01,NA
1978-08-01,53.4
1978-09-01,NA
1978-10-01,55.9
1978-11-01,NA
1978-12-01,58.6
1979-01-01,NA
1979-02-01,59.7
1979-03-01,NA
1979-04-01,61.5
1979-05-01,NA
1979-06-01,63.7
1979-07-01,NA
1979-08-01,63.3
1979-09-01,NA
1979-10-01,63.9
1979-11-01,NA
1979-12-01,67.7
1980-01-01,NA
1980-02-01,72.5
1980-03-01,NA
1980-04-01,73.8
1980-05-01,NA
1980-06-01,75.2
1980-07-01,NA
1980-08-01,75.6
1980-09-01,NA
1980-10-01,80.7
1980-11-01,NA
1980-12-01,80.6
1981-01-01,NA
1981-02-01,82.4
1981-03-01,NA
1981-04-01,80.4
1981-05-01,NA
1981-06-01,87.4
1981-07-01,NA
1981-08-01,86.2
1981-09-01,NA
1981-10-01,84.1
1981-11-01,NA
1981-12-01,82.6
1982-01-01,NA
1982-02-01,84.4
1982-03-01,NA
1982-04-01,84.8
1982-05-01,NA
1982-06-01,90.2
1982-07-01,NA
1982-08-01,97.9
1982-09-01,NA
1982-10-01,100.3
1982-11-01,NA
1982-12-01,100.7
1983-01-01,NA
1983-02-01,101.1
1983-03-01,NA
1983-04-01,101
1983-05-01,NA
1983-06-01,103.7
1983-07-01,NA
1983-08-01,102.9
1983-09-01,NA
1983-10-01,104.7
1983-11-01,NA
1983-12-01,102.8
1984-01-01,NA
1984-02-01,102.7
1984-03-01,NA
1984-04-01,104.1
1984-05-01,NA
1984-06-01,105.9
1984-07-01,NA
1984-08-01,105.8
1984-09-01,NA
1984-10-01,106.9
1984-11-01,NA
1984-12-01,106
1985-01-01,NA
1985-02-01,106.3
1985-03-01,NA
1985-04-01,106.3
1985-05-01,NA
1985-06-01,110.4
1985-07-01,NA
1985-08-01,110.6
1985-09-01,NA
1985-10-01,109.4
1985-11-01,NA
1985-12-01,108.9
1986-01-01,NA
1986-02-01,110
1986-03-01,NA
1986-04-01,110.9
1986-05-01,NA
1986-06-01,112.7
1986-07-01,NA
1986-08-01,113.9
1986-09-01,NA
1986-10-01,112.2
1986-11-01,112.5
1986-12-01,111.7
1987-01-01,111.3
1987-02-01,NA
1987-03-01,113.1
1987-04-01,NA
1987-05-01,112.9
1987-06-01,NA
1987-07-01,115.1
1987-08-01,NA
1987-09-01,115.8
1987-10-01,NA
1987-11-01,114.8
1987-12-01,NA
1988-01-01,114.5
1988-02-01,NA
1988-03-01,116.3
1988-04-01,NA
1988-05-01,117.7
1988-06-01,NA
1988-07-01,119.2
1988-08-01,NA
1988-09-01,118.5
1988-10-01,NA
