"Date","CUURX200SA0L2"
1997-12-01,100
1998-01-01,100.1
1998-02-01,100.4
1998-03-01,100.3
1998-04-01,100.6
1998-05-01,100.9
1998-06-01,100.7
1998-07-01,100.7
1998-08-01,100.4
1998-09-01,100.8
1998-10-01,100.9
1998-11-01,100.9
1998-12-01,100.7
1999-01-01,101.1
1999-02-01,101
1999-03-01,101.3
1999-04-01,102.2
1999-05-01,102.1
1999-06-01,102.1
1999-07-01,102.3
1999-08-01,102.5
1999-09-01,103.7
1999-10-01,103.6
1999-11-01,104.3
1999-12-01,104
2000-01-01,104.2
2000-02-01,104.8
2000-03-01,105.7
2000-04-01,105.6
2000-05-01,105.7
2000-06-01,107.4
2000-07-01,106.4
2000-08-01,105.6
2000-09-01,107.6
2000-10-01,107.7
2000-11-01,108
2000-12-01,107.8
2001-01-01,108.7
2001-02-01,108.8
2001-03-01,108.5
2001-04-01,109.5
2001-05-01,111
2001-06-01,110.4
2001-07-01,108.7
2001-08-01,109
2001-09-01,110.8
2001-10-01,108.7
2001-11-01,108.6
2001-12-01,108
2002-01-01,107.9
2002-02-01,107.9
2002-03-01,108.5
2002-04-01,109
2002-05-01,109
2002-06-01,109.4
2002-07-01,109.5
2002-08-01,109.6
2002-09-01,109.9
2002-10-01,110.3
2002-11-01,110.1
2002-12-01,109.8
2003-01-01,110.5
2003-02-01,111.3
2003-03-01,112.2
2003-04-01,111.6
2003-05-01,111.4
2003-06-01,111.8
2003-07-01,111.4
2003-08-01,112.1
2003-09-01,112.5
2003-10-01,112
2003-11-01,111.8
2003-12-01,111.4
2004-01-01,112.5
2004-02-01,113.1
2004-03-01,113.5
2004-04-01,114
2004-05-01,115
2004-06-01,115.5
2004-07-01,114.8
2004-08-01,114.9
2004-09-01,115.2
2004-10-01,116.1
2004-11-01,116.4
2004-12-01,115.7
2005-01-01,115.8
2005-02-01,116.7
2005-03-01,117.4
2005-04-01,118.6
2005-05-01,118.2
2005-06-01,118.6
2005-07-01,119.3
2005-08-01,120.3
2005-09-01,123.1
2005-10-01,122.4
2005-11-01,120.7
2005-12-01,120.2
2006-01-01,121.2
2006-02-01,121.1
2006-03-01,121.8
2006-04-01,123.2
2006-05-01,123.6
2006-06-01,124
2006-07-01,124.2
2006-08-01,124.2
2006-09-01,122.8
2006-10-01,121.7
2006-11-01,122.4
2006-12-01,122.3
2007-01-01,122.129
2007-02-01,123.42
2007-03-01,124.928
2007-04-01,125.563
2007-05-01,127.55
2007-06-01,127.652
2007-07-01,127.206
2007-08-01,126.8
2007-09-01,127.72
2007-10-01,127.456
2007-11-01,129.024
2007-12-01,128.472
2008-01-01,129.287
2008-02-01,129.453
2008-03-01,130.87
2008-04-01,132.688
2008-05-01,134.453
2008-06-01,136.112
2008-07-01,136.874
2008-08-01,136.029
2008-09-01,136.103
2008-10-01,133.1
2008-11-01,129.262
2008-12-01,127.76
2009-01-01,128.432
2009-02-01,128.887
2009-03-01,129.271
2009-04-01,129.534
2009-05-01,130.123
2009-06-01,132.312
2009-07-01,131.764
2009-08-01,132.217
2009-09-01,132.319
2009-10-01,132.082
2009-11-01,132.706
2009-12-01,132.596
2010-01-01,133.487
2010-02-01,133.51
2010-03-01,134.236
2010-04-01,134.771
2010-05-01,135.106
2010-06-01,135.144
2010-07-01,135.502
2010-08-01,135.895
2010-09-01,135.683
2010-10-01,135.314
2010-11-01,135.362
2010-12-01,135.648
2011-01-01,136.608
2011-02-01,137.343
2011-03-01,138.935
2011-04-01,140.595
2011-05-01,141.728
2011-06-01,141.897
2011-07-01,141.976
2011-08-01,142.286
2011-09-01,142.478
2011-10-01,141.017
2011-11-01,140.898
2011-12-01,140.494
2012-01-01,141.397
2012-02-01,141.658
2012-03-01,143.863
2012-04-01,144.276
2012-05-01,143.964
2012-06-01,143.719
2012-07-01,143.513
2012-08-01,145.025
2012-09-01,145.282
2012-10-01,144.326
2012-11-01,143.687
2012-12-01,143.17
2013-01-01,142.797
2013-02-01,144.821
2013-03-01,145.468
2013-04-01,145.279
2013-05-01,145.813
2013-06-01,146.361
2013-07-01,145.244
2013-08-01,145.379
2013-09-01,145.994
2013-10-01,145.303
2013-11-01,144.49
2013-12-01,143.945
2014-01-01,144.695
2014-02-01,145.9
2014-03-01,147.478
2014-04-01,148.185
2014-05-01,148.548
2014-06-01,149.516
2014-07-01,148.957
2014-08-01,148.55
2014-09-01,148.965
2014-10-01,147.625
2014-11-01,146.383
2014-12-01,144.799
2015-01-01,143.241
2015-02-01,144.002
2015-03-01,145.036
2015-04-01,145.002
2015-05-01,145.769
2015-06-01,147.112
2015-07-01,146.653
2015-08-01,146.244
2015-09-01,145.613
2015-10-01,145.383
2015-11-01,144.107
2015-12-01,142.834
2016-01-01,142.885
2016-02-01,142.88
2016-03-01,144.126
2016-04-01,144.757
2016-05-01,145.388
2016-06-01,146.437
2016-07-01,145.596
2016-08-01,145.774
2016-09-01,145.901
2016-10-01,145.829
2016-11-01,144.878
2016-12-01,144.861
2017-01-01,146.151
2017-02-01,146.342
2017-03-01,146.381
2017-04-01,146.906
2017-05-01,146.477
2017-06-01,146.196
2017-07-01,146.166
2017-08-01,146.793
2017-09-01,147.253
2017-10-01,147.009
2017-11-01,146.821
