"Date","APUS37A74716"
1981-09-01,1.368
1981-10-01,1.37
1981-11-01,1.368
1981-12-01,1.371
1982-01-01,1.366
1982-02-01,1.355
1982-03-01,1.313
1982-04-01,1.215
1982-05-01,1.229
1982-06-01,1.312
1982-07-01,1.344
1982-08-01,1.338
1982-09-01,1.331
1982-10-01,1.324
1982-11-01,1.325
1982-12-01,1.315
1983-01-01,1.282
1983-02-01,1.251
1983-03-01,1.219
1983-04-01,1.257
1983-05-01,1.297
1983-06-01,1.305
1983-07-01,1.312
1983-08-01,1.315
1983-09-01,1.313
1983-10-01,1.311
1983-11-01,1.299
1983-12-01,1.296
1984-01-01,1.284
1984-02-01,1.275
1984-03-01,1.275
1984-04-01,1.292
1984-05-01,1.294
1984-06-01,1.294
1984-07-01,1.297
1984-08-01,1.336
1984-09-01,1.347
1984-10-01,1.347
1984-11-01,1.332
1984-12-01,1.326
1985-01-01,1.3
1985-02-01,1.288
1985-03-01,1.297
1985-04-01,1.315
1985-05-01,1.348
1985-06-01,1.348
1985-07-01,1.36
1985-08-01,1.354
1985-09-01,1.354
1985-10-01,1.346
1985-11-01,1.243
1985-12-01,1.242
1986-01-01,1.239
1986-02-01,1.199
1986-03-01,1.078
1986-04-01,0.935
1986-05-01,0.923
1986-06-01,0.963
1986-07-01,0.941
1986-08-01,0.872
1986-09-01,0.859
1986-10-01,0.853
1986-11-01,0.832
1986-12-01,0.841
1987-01-01,0.927
1987-02-01,0.97
1987-03-01,0.961
1987-04-01,0.98
1987-05-01,0.98
1987-06-01,1
1987-07-01,1.02
1987-08-01,1.052
1987-09-01,1.046
1987-10-01,1.051
1987-11-01,1.043
1987-12-01,1.039
1988-01-01,1.034
1988-02-01,1.029
1988-03-01,1.002
1988-04-01,1.002
1988-05-01,1.015
1988-06-01,1.023
1988-07-01,1.032
1988-08-01,1.051
1988-09-01,1.054
1988-10-01,1.036
1988-11-01,1.013
1988-12-01,1.013
1989-01-01,0.982
1989-02-01,0.981
1989-03-01,0.982
1989-04-01,1.078
1989-05-01,1.14
1989-06-01,1.154
1989-07-01,1.139
1989-08-01,1.101
1989-09-01,1.072
1989-10-01,1.067
1989-11-01,1.065
1989-12-01,1.058
1990-01-01,1.112
1990-02-01,1.114
1990-03-01,1.111
1990-04-01,1.133
1990-05-01,1.15
1990-06-01,1.183
1990-07-01,1.19
1990-08-01,1.235
1990-09-01,1.363
1990-10-01,1.451
1990-11-01,1.502
1990-12-01,1.485
1991-01-01,1.384
