"Date","APUS49B7471A"
1978-01-01,0.666
1978-02-01,0.668
1978-03-01,0.665
1978-04-01,0.67
1978-05-01,0.684
1978-06-01,0.697
1978-07-01,0.705
1978-08-01,0.715
1978-09-01,0.722
1978-10-01,0.723
1978-11-01,0.722
1978-12-01,0.725
1979-01-01,0.73
1979-02-01,0.741
1979-03-01,0.768
1979-04-01,0.833
1979-05-01,0.888
1979-06-01,0.947
1979-07-01,0.988
1979-08-01,1.031
1979-09-01,1.063
1979-10-01,1.075
1979-11-01,1.078
1979-12-01,1.091
1980-01-01,1.165
1980-02-01,1.251
1980-03-01,1.296
1980-04-01,1.311
1980-05-01,1.309
1980-06-01,1.307
1980-07-01,1.305
1980-08-01,1.309
1980-09-01,1.301
1980-10-01,1.296
1980-11-01,1.288
1980-12-01,1.285
1981-01-01,1.302
1981-02-01,1.36
1981-03-01,1.4
1981-04-01,1.406
1981-05-01,1.392
1981-06-01,1.401
1981-07-01,1.406
1981-08-01,1.411
1981-09-01,1.441
1981-10-01,1.434
1981-11-01,1.429
1981-12-01,1.415
1982-01-01,1.397
1982-02-01,1.372
1982-03-01,1.315
1982-04-01,1.271
1982-05-01,1.279
1982-06-01,1.342
1982-07-01,1.404
1982-08-01,1.396
1982-09-01,1.378
1982-10-01,1.342
1982-11-01,1.316
1982-12-01,1.259
1983-01-01,1.24
1983-02-01,1.183
1983-03-01,1.165
1983-04-01,1.204
1983-05-01,1.294
1983-06-01,1.35
1983-07-01,1.362
1983-08-01,1.354
1983-09-01,1.316
1983-10-01,1.258
1983-11-01,1.245
1983-12-01,1.261
1984-01-01,1.268
1984-02-01,1.247
1984-03-01,1.26
1984-04-01,1.307
1984-05-01,1.334
1984-06-01,1.324
1984-07-01,1.288
1984-08-01,1.251
1984-09-01,1.255
1984-10-01,1.295
1984-11-01,1.301
1984-12-01,1.291
1985-01-01,1.225
1985-02-01,1.209
1985-03-01,1.233
1985-04-01,1.268
1985-05-01,1.304
1985-06-01,1.307
1985-07-01,1.297
1985-08-01,1.259
1985-09-01,1.238
1985-10-01,1.235
1985-11-01,1.219
1985-12-01,1.221
1986-01-01,1.221
1986-02-01,1.181
1986-03-01,1.038
1986-04-01,0.963
1986-05-01,1.006
1986-06-01,1.02
1986-07-01,0.941
1986-08-01,0.889
1986-09-01,0.898
1986-10-01,0.856
1986-11-01,0.838
1986-12-01,0.84
1987-01-01,0.828
1987-02-01,0.905
1987-03-01,0.943
1987-04-01,0.958
1987-05-01,0.959
1987-06-01,0.964
1987-07-01,0.961
1987-08-01,0.969
1987-09-01,0.976
1987-10-01,0.979
1987-11-01,0.976
