"Date","APUS12B72620"
1978-11-01,0.43
1978-12-01,0.43
1979-01-01,0.433
1979-02-01,0.433
1979-03-01,0.429
1979-04-01,0.435
1979-05-01,0.426
1979-06-01,0.421
1979-07-01,0.421
1979-08-01,0.421
1979-09-01,0.42
1979-10-01,0.441
1979-11-01,0.441
1979-12-01,0.441
1980-01-01,0.441
1980-02-01,0.464
1980-03-01,0.447
1980-04-01,0.448
1980-05-01,0.448
1980-06-01,0.454
1980-07-01,0.456
1980-08-01,0.474
1980-09-01,0.508
1980-10-01,0.502
1980-11-01,0.504
1980-12-01,0.505
1981-01-01,0.508
1981-02-01,0.509
1981-03-01,0.526
1981-04-01,0.564
1981-05-01,0.577
1981-06-01,0.584
1981-07-01,0.587
1981-08-01,0.546
1981-09-01,0.545
1981-10-01,0.565
1981-11-01,0.566
1981-12-01,0.566
1982-01-01,0.623
1982-02-01,0.62
1982-03-01,0.643
1982-04-01,0.643
1982-05-01,0.644
1982-06-01,0.645
1982-07-01,0.687
1982-08-01,0.686
1982-09-01,0.743
1982-10-01,0.778
1982-11-01,0.773
1982-12-01,0.773
1983-01-01,0.774
1983-02-01,0.773
1983-03-01,0.772
1983-04-01,0.772
1983-05-01,0.77
1983-06-01,0.771
1983-07-01,0.769
1983-08-01,0.77
1983-09-01,0.738
1983-10-01,0.737
1983-11-01,0.737
1983-12-01,0.738
1984-01-01,0.712
1984-02-01,0.707
1984-03-01,0.709
1984-04-01,0.734
1984-05-01,0.79
1984-06-01,0.789
1984-07-01,0.789
1984-08-01,0.79
1984-09-01,0.824
1984-10-01,0.824
1984-11-01,0.822
1984-12-01,0.823
1985-01-01,0.751
1985-02-01,0.745
1985-03-01,0.744
1985-04-01,0.736
1985-05-01,0.737
1985-06-01,0.737
1985-07-01,0.737
1985-08-01,0.718
1985-09-01,NA
1985-10-01,0.716
1985-11-01,0.726
1985-12-01,0.721
1986-01-01,0.722
1986-02-01,0.713
1986-03-01,0.717
1986-04-01,0.717
1986-05-01,0.715
1986-06-01,0.716
1986-07-01,0.716
1986-08-01,0.716
1986-09-01,0.716
1986-10-01,0.67
1986-11-01,0.666
1986-12-01,0.767
1987-01-01,0.696
1987-02-01,0.657
1987-03-01,0.657
1987-04-01,0.658
1987-05-01,0.697
1987-06-01,0.734
1987-07-01,0.735
1987-08-01,0.736
1987-09-01,0.698
1987-10-01,0.68
1987-11-01,0.639
1987-12-01,0.644
1988-01-01,0.647
1988-02-01,0.644
1988-03-01,0.645
1988-04-01,0.647
1988-05-01,0.649
1988-06-01,0.649
1988-07-01,0.649
1988-08-01,0.649
1988-09-01,0.666
1988-10-01,0.677
1988-11-01,0.678
1988-12-01,0.66
1989-01-01,0.674
1989-02-01,0.675
1989-03-01,0.734
1989-04-01,0.734
1989-05-01,0.751
1989-06-01,0.751
1989-07-01,0.751
1989-08-01,0.751
1989-09-01,0.75
1989-10-01,0.75
1989-11-01,0.75
1989-12-01,0.776
1990-01-01,0.772
1990-02-01,0.774
1990-03-01,0.774
1990-04-01,0.774
1990-05-01,0.773
1990-06-01,0.774
1990-07-01,0.775
1990-08-01,0.774
1990-09-01,0.775
1990-10-01,0.778
1990-11-01,0.78
1990-12-01,0.762
1991-01-01,0.762
1991-02-01,0.758
1991-03-01,0.764
1991-04-01,0.765
1991-05-01,0.765
1991-06-01,0.764
1991-07-01,0.736
1991-08-01,0.736
1991-09-01,0.737
1991-10-01,0.736
1991-11-01,0.739
1991-12-01,0.715
1992-01-01,0.729
1992-02-01,0.74
1992-03-01,0.729
1992-04-01,0.741
1992-05-01,0.741
1992-06-01,0.741
1992-07-01,0.741
1992-08-01,0.725
1992-09-01,0.725
1992-10-01,0.725
1992-11-01,0.725
1992-12-01,0.722
1993-01-01,0.723
1993-02-01,0.712
1993-03-01,0.711
1993-04-01,0.722
1993-05-01,0.722
1993-06-01,0.721
1993-07-01,0.722
1993-08-01,0.722
1993-09-01,0.722
1993-10-01,0.722
1993-11-01,0.722
1993-12-01,0.768
1994-01-01,0.768
1994-02-01,0.769
1994-03-01,0.77
1994-04-01,0.771
1994-05-01,0.772
1994-06-01,0.771
1994-07-01,0.772
1994-08-01,0.772
1994-09-01,0.772
1994-10-01,0.77
1994-11-01,0.755
1994-12-01,0.769
1995-01-01,0.764
1995-02-01,0.764
1995-03-01,0.772
1995-04-01,0.771
1995-05-01,0.77
1995-06-01,0.755
1995-07-01,0.755
1995-08-01,0.757
1995-09-01,0.736
1995-10-01,0.726
1995-11-01,0.722
1995-12-01,0.704
1996-01-01,0.703
1996-02-01,0.701
1996-03-01,0.714
1996-04-01,0.724
1996-05-01,0.724
1996-06-01,0.726
1996-07-01,0.731
1996-08-01,0.731
1996-09-01,0.731
1996-10-01,0.76
1996-11-01,0.775
1996-12-01,0.841
1997-01-01,0.848
1997-02-01,0.847
1997-03-01,0.858
1997-04-01,0.86
1997-05-01,0.859
1997-06-01,0.856
1997-07-01,0.855
1997-08-01,0.856
1997-09-01,0.854
1997-10-01,0.851
1997-11-01,0.85
1997-12-01,0.847
1998-01-01,0.847
1998-02-01,0.849
1998-03-01,0.853
1998-04-01,0.857
1998-05-01,0.857
1998-06-01,0.855
1998-07-01,0.853
1998-08-01,0.847
1998-09-01,0.866
1998-10-01,0.873
1998-11-01,0.876
1998-12-01,0.867
1999-01-01,0.812
1999-02-01,0.811
1999-03-01,0.799
1999-04-01,0.799
1999-05-01,0.801
1999-06-01,0.812
1999-07-01,0.813
1999-08-01,0.816
1999-09-01,0.81
1999-10-01,0.811
1999-11-01,0.807
1999-12-01,0.806
2000-01-01,0.789
2000-02-01,0.787
2000-03-01,0.793
2000-04-01,0.793
2000-05-01,0.793
2000-06-01,0.805
2000-07-01,0.805
2000-08-01,0.804
2000-09-01,0.816
2000-10-01,0.814
2000-11-01,0.834
2000-12-01,0.906
2001-01-01,1.029
2001-02-01,1.074
2001-03-01,1.216
2001-04-01,1.219
2001-05-01,1.173
2001-06-01,1.18
2001-07-01,1.186
2001-08-01,1.188
2001-09-01,1.113
2001-10-01,1.112
2001-11-01,1.118
2001-12-01,0.998
2002-01-01,0.997
2002-02-01,0.996
2002-03-01,0.973
2002-04-01,0.969
2002-05-01,0.962
2002-06-01,0.981
2002-07-01,0.982
2002-08-01,0.997
2002-09-01,1.003
2002-10-01,1.004
2002-11-01,1.011
2002-12-01,1.007
2003-01-01,1.012
2003-02-01,1.009
2003-03-01,1.09
2003-04-01,1.1
2003-05-01,1.113
2003-06-01,1.143
2003-07-01,1.144
2003-08-01,1.147
2003-09-01,1.186
2003-10-01,1.186
2003-11-01,1.194
2003-12-01,1.217
2004-01-01,1.212
2004-02-01,1.212
2004-03-01,1.254
2004-04-01,1.255
2004-05-01,1.248
2004-06-01,1.263
2004-07-01,1.25
2004-08-01,1.25
2004-09-01,1.254
2004-10-01,1.264
2004-11-01,1.271
2004-12-01,1.299
2005-01-01,1.297
2005-02-01,1.297
2005-03-01,1.271
2005-04-01,1.265
2005-05-01,1.266
2005-06-01,1.324
2005-07-01,1.324
2005-08-01,1.324
2005-09-01,1.384
2005-10-01,1.456
2005-11-01,1.467
2005-12-01,1.631
2006-01-01,1.705
2006-02-01,1.705
2006-03-01,1.671
2006-04-01,1.663
2006-05-01,1.663
2006-06-01,1.598
2006-07-01,1.603
2006-08-01,1.603
2006-09-01,1.543
2006-10-01,1.515
2006-11-01,1.514
2006-12-01,1.483
2007-01-01,1.482
2007-02-01,1.482
2007-03-01,1.512
2007-04-01,1.505
2007-05-01,1.506
2007-06-01,1.512
2007-07-01,1.513
2007-08-01,1.513
2007-09-01,1.491
2007-10-01,1.49
2007-11-01,1.499
2007-12-01,1.485
2008-01-01,1.481
2008-02-01,1.483
2008-03-01,1.534
2008-04-01,1.528
2008-05-01,1.528
2008-06-01,1.712
2008-07-01,1.712
2008-08-01,1.712
2008-09-01,1.663
2008-10-01,1.683
2008-11-01,1.698
2008-12-01,1.606
2009-01-01,1.606
2009-02-01,1.606
2009-03-01,1.487
2009-04-01,1.48
2009-05-01,1.483
2009-06-01,1.398
2009-07-01,1.398
2009-08-01,1.398
2009-09-01,1.378
2009-10-01,1.321
2009-11-01,1.325
2009-12-01,1.349
2010-01-01,1.353
2010-02-01,1.352
2010-03-01,1.383
2010-04-01,1.375
2010-05-01,1.375
2010-06-01,1.292
2010-07-01,1.287
2010-08-01,1.287
2010-09-01,1.303
2010-10-01,1.293
2010-11-01,1.3
2010-12-01,1.257
2011-01-01,1.273
2011-02-01,1.274
2011-03-01,1.315
2011-04-01,1.308
2011-05-01,1.309
2011-06-01,1.257
2011-07-01,1.257
2011-08-01,1.256
2011-09-01,1.22
2011-10-01,1.209
2011-11-01,1.214
2011-12-01,1.243
2012-01-01,1.238
2012-02-01,1.223
2012-03-01,1.198
2012-04-01,1.192
2012-05-01,1.194
2012-06-01,1.17
