"Date","APUS35C7471A"
1978-01-01,0.64
1978-02-01,0.637
1978-03-01,0.637
1978-04-01,0.64
1978-05-01,0.646
1978-06-01,0.654
1978-07-01,0.662
1978-08-01,0.668
1978-09-01,0.676
1978-10-01,0.675
1978-11-01,0.679
1978-12-01,0.687
1979-01-01,0.699
1979-02-01,0.71
1979-03-01,0.735
1979-04-01,0.782
1979-05-01,0.819
1979-06-01,0.869
1979-07-01,0.916
1979-08-01,0.961
1979-09-01,0.99
1979-10-01,1.008
1979-11-01,1.024
1979-12-01,1.048
1980-01-01,1.121
1980-02-01,1.205
1980-03-01,1.245
1980-04-01,1.26
1980-05-01,1.259
1980-06-01,1.264
1980-07-01,1.263
1980-08-01,1.261
1980-09-01,1.253
1980-10-01,1.245
1980-11-01,1.242
1980-12-01,1.252
1981-01-01,1.297
1981-02-01,1.383
1981-03-01,1.412
1981-04-01,1.411
1981-05-01,1.403
1981-06-01,1.39
1981-07-01,1.381
1981-08-01,1.363
1981-09-01,1.387
1981-10-01,1.383
1981-11-01,1.381
1981-12-01,1.382
1982-01-01,1.384
1982-02-01,1.368
1982-03-01,1.313
1982-04-01,1.252
1982-05-01,1.28
1982-06-01,1.353
1982-07-01,1.369
1982-08-01,1.358
1982-09-01,1.289
1982-10-01,1.283
1982-11-01,1.273
1982-12-01,1.257
1983-01-01,1.202
1983-02-01,1.166
1983-03-01,1.144
1983-04-01,1.218
1983-05-01,1.253
1983-06-01,1.254
1983-07-01,1.258
1983-08-01,1.259
1983-09-01,1.256
1983-10-01,1.247
1983-11-01,1.234
1983-12-01,1.221
1984-01-01,1.19
1984-02-01,1.215
1984-03-01,1.22
1984-04-01,1.221
1984-05-01,1.212
1984-06-01,1.208
1984-07-01,1.198
1984-08-01,1.191
1984-09-01,1.195
1984-10-01,1.192
1984-11-01,1.187
1984-12-01,1.169
1985-01-01,1.127
1985-02-01,1.113
1985-03-01,1.143
1985-04-01,1.19
1985-05-01,1.212
1985-06-01,1.216
1985-07-01,1.236
