"Date","CUSR0000SAD"
1956-01-01,35.7
1956-02-01,35.8
1956-03-01,35.8
1956-04-01,35.7
1956-05-01,35.8
1956-06-01,35.9
1956-07-01,36.1
1956-08-01,36.2
1956-09-01,36.3
1956-10-01,36.6
1956-11-01,36.6
1956-12-01,36.7
1957-01-01,36.9
1957-02-01,37
1957-03-01,37.2
1957-04-01,37.3
1957-05-01,37.2
1957-06-01,37.3
1957-07-01,37.2
1957-08-01,37.3
1957-09-01,37.4
1957-10-01,37.1
1957-11-01,37.6
1957-12-01,37.6
1958-01-01,37.7
1958-02-01,37.7
1958-03-01,37.7
1958-04-01,37.7
1958-05-01,37.8
1958-06-01,37.7
1958-07-01,37.8
1958-08-01,37.8
1958-09-01,37.9
1958-10-01,37.8
1958-11-01,38.1
1958-12-01,38.2
1959-01-01,38.1
1959-02-01,38.1
1959-03-01,38.3
1959-04-01,38.3
1959-05-01,38.4
1959-06-01,38.4
1959-07-01,38.5
1959-08-01,38.4
1959-09-01,38.5
1959-10-01,38.5
1959-11-01,38.5
1959-12-01,38.5
1960-01-01,38.5
1960-02-01,38.5
1960-03-01,38.4
1960-04-01,38.3
1960-05-01,38.2
1960-06-01,38.1
1960-07-01,38.1
1960-08-01,38.1
1960-09-01,37.9
1960-10-01,37.9
1960-11-01,37.8
1960-12-01,37.9
1961-01-01,37.8
1961-02-01,37.9
1961-03-01,37.9
1961-04-01,37.9
1961-05-01,38
1961-06-01,38.1
1961-07-01,38.2
1961-08-01,38.3
1961-09-01,38.3
1961-10-01,38.3
1961-11-01,38.3
1961-12-01,38.3
1962-01-01,38.3
1962-02-01,38.3
1962-03-01,38.4
1962-04-01,38.5
1962-05-01,38.6
1962-06-01,38.6
1962-07-01,38.6
1962-08-01,38.7
1962-09-01,38.7
1962-10-01,38.6
1962-11-01,38.6
1962-12-01,38.5
1963-01-01,38.3
1963-02-01,38.3
1963-03-01,38.5
1963-04-01,38.5
1963-05-01,38.5
1963-06-01,38.6
1963-07-01,38.7
1963-08-01,38.7
1963-09-01,38.7
1963-10-01,38.8
1963-11-01,38.8
1963-12-01,38.9
1964-01-01,38.9
1964-02-01,39
1964-03-01,39
1964-04-01,39
1964-05-01,38.9
1964-06-01,38.9
1964-07-01,38.9
1964-08-01,38.9
1964-09-01,39
1964-10-01,38.9
1964-11-01,39
1964-12-01,39
1965-01-01,39.2
1965-02-01,39.1
1965-03-01,39.1
1965-04-01,39
1965-05-01,38.9
1965-06-01,38.8
1965-07-01,38.7
1965-08-01,38.5
1965-09-01,38.5
1965-10-01,38.5
1965-11-01,38.6
1965-12-01,38.7
1966-01-01,38.6
1966-02-01,38.6
1966-03-01,38.7
1966-04-01,38.7
1966-05-01,38.8
1966-06-01,38.8
1966-07-01,38.9
1966-08-01,39
1966-09-01,39
1966-10-01,39
1966-11-01,39
1966-12-01,38.9
1967-01-01,38.9
1967-02-01,39
1967-03-01,39
1967-04-01,39.1
1967-05-01,39.2
1967-06-01,39.3
1967-07-01,39.4
1967-08-01,39.6
1967-09-01,39.8
1967-10-01,39.9
1967-11-01,40
1967-12-01,40.2
1968-01-01,40.2
1968-02-01,40.3
1968-03-01,40.4
1968-04-01,40.4
1968-05-01,40.4
1968-06-01,40.5
1968-07-01,40.7
1968-08-01,40.8
1968-09-01,40.9
1968-10-01,40.9
1968-11-01,41.3
1968-12-01,41.1
1969-01-01,41.1
1969-02-01,41.6
1969-03-01,42.1
1969-04-01,42.2
1969-05-01,42
1969-06-01,42.1
1969-07-01,42.2
1969-08-01,42.3
1969-09-01,42.3
1969-10-01,42.7
1969-11-01,42.8
1969-12-01,42.9
1970-01-01,43
1970-02-01,43.2
1970-03-01,43.3
1970-04-01,43.5
1970-05-01,43.8
1970-06-01,44
1970-07-01,44.1
1970-08-01,44.3
1970-09-01,44.5
1970-10-01,44.8
1970-11-01,45.1
1970-12-01,45.4
1971-01-01,45.5
1971-02-01,45.6
1971-03-01,45.7
1971-04-01,45.8
1971-05-01,46
1971-06-01,46.1
1971-07-01,46.2
1971-08-01,46.1
1971-09-01,46
1971-10-01,46
1971-11-01,46.1
1971-12-01,46.2
1972-01-01,46.4
1972-02-01,46.5
1972-03-01,46.5
1972-04-01,46.6
1972-05-01,46.7
1972-06-01,46.8
1972-07-01,47
1972-08-01,47.1
1972-09-01,47.2
1972-10-01,47.2
1972-11-01,47.3
1972-12-01,47.5
1973-01-01,47.5
1973-02-01,47.6
1973-03-01,47.7
1973-04-01,47.9
1973-05-01,48
1973-06-01,48
1973-07-01,48.1
1973-08-01,48.2
1973-09-01,48.2
1973-10-01,48.4
1973-11-01,48.5
1973-12-01,48.6
1974-01-01,48.9
1974-02-01,49.1
1974-03-01,49.3
1974-04-01,49.7
1974-05-01,50.3
1974-06-01,51
1974-07-01,51.6
1974-08-01,52.3
1974-09-01,53
1974-10-01,53.8
1974-11-01,54.3
1974-12-01,54.8
1975-01-01,55.3
1975-02-01,55.8
1975-03-01,56.4
1975-04-01,56.8
1975-05-01,57
1975-06-01,57.2
1975-07-01,57.6
1975-08-01,57.9
1975-09-01,58.3
1975-10-01,58.5
1975-11-01,58.8
1975-12-01,59
1976-01-01,59.1
1976-02-01,59.4
1976-03-01,59.7
1976-04-01,60
1976-05-01,60.4
1976-06-01,60.7
1976-07-01,61.1
1976-08-01,61.5
1976-09-01,61.8
1976-10-01,62.1
1976-11-01,62.2
1976-12-01,62.6
1977-01-01,63
1977-02-01,63.4
1977-03-01,63.8
1977-04-01,64.1
1977-05-01,64.3
1977-06-01,64.4
1977-07-01,64.5
1977-08-01,64.6
1977-09-01,64.8
1977-10-01,64.9
1977-11-01,65.2
1977-12-01,65.5
1978-01-01,65.8
1978-02-01,66.3
1978-03-01,67
1978-04-01,67.4
1978-05-01,68
1978-06-01,68.5
1978-07-01,68.8
1978-08-01,69.2
1978-09-01,69.7
1978-10-01,70.2
1978-11-01,70.6
1978-12-01,71.2
1979-01-01,71.9
1979-02-01,72.8
1979-03-01,73.6
1979-04-01,74.4
1979-05-01,74.8
1979-06-01,75.3
1979-07-01,75.6
1979-08-01,76.1
1979-09-01,76.4
1979-10-01,76.9
1979-11-01,77.9
1979-12-01,78.6
1980-01-01,79.5
1980-02-01,80.1
1980-03-01,80.8
1980-04-01,81.1
1980-05-01,81.8
1980-06-01,82.2
1980-07-01,82.4
1980-08-01,83.6
1980-09-01,84.8
1980-10-01,85.7
1980-11-01,86.6
1980-12-01,86.9
1981-01-01,87.2
1981-02-01,87.4
1981-03-01,87.4
1981-04-01,87.5
1981-05-01,88.5
1981-06-01,89.3
1981-07-01,90.2
1981-08-01,91
1981-09-01,91.7
1981-10-01,91.4
1981-11-01,91.5
1981-12-01,91.9
1982-01-01,92.1
1982-02-01,92.7
1982-03-01,92.8
1982-04-01,93.3
1982-05-01,94.7
1982-06-01,95.9
1982-07-01,96.3
1982-08-01,96.3
1982-09-01,96.2
1982-10-01,96.6
1982-11-01,96.8
1982-12-01,97.3
1983-01-01,97.7
1983-02-01,97.9
1983-03-01,98.4
1983-04-01,98.3
1983-05-01,98.5
1983-06-01,99
1983-07-01,99.7
1983-08-01,100.2
1983-09-01,101.1
1983-10-01,101.7
1983-11-01,102.5
