"Date","CUURA101SAG"
1976-01-01,56.5
1976-02-01,57.3
1976-03-01,57.7
1976-04-01,57.9
1976-05-01,57.9
1976-06-01,58.2
1976-07-01,58.4
1976-08-01,59
1976-09-01,59.6
1976-10-01,59.8
1976-11-01,60.1
1976-12-01,60.1
1977-01-01,61.1
1977-02-01,61.5
1977-03-01,61.6
1977-04-01,61.5
1977-05-01,61.7
1977-06-01,61.9
1977-07-01,62
1977-08-01,62.1
1977-09-01,62.7
1977-10-01,62.9
1977-11-01,63.9
1977-12-01,64
1978-01-01,64.1
1978-02-01,64.2
1978-03-01,64.4
1978-04-01,64.2
1978-05-01,64.2
1978-06-01,64.4
1978-07-01,64.9
1978-08-01,65
1978-09-01,66.4
1978-10-01,66.4
1978-11-01,66.7
1978-12-01,66.7
1979-01-01,67
1979-02-01,67.2
1979-03-01,67.5
1979-04-01,67.6
1979-05-01,67.8
1979-06-01,68
1979-07-01,68
1979-08-01,68.5
1979-09-01,70.2
1979-10-01,70.5
1979-11-01,70.6
1979-12-01,71.1
1980-01-01,71.7
1980-02-01,72.2
1980-03-01,72.1
1980-04-01,72.3
1980-05-01,72.8
1980-06-01,73.4
1980-07-01,73.7
1980-08-01,73.9
1980-09-01,76
1980-10-01,76.6
1980-11-01,76.8
1980-12-01,77.4
1981-01-01,78.1
1981-02-01,78.2
1981-03-01,78.3
1981-04-01,78.5
1981-05-01,79.1
1981-06-01,79.1
1981-07-01,79.7
1981-08-01,79.9
1981-09-01,84.4
1981-10-01,84.9
1981-11-01,85.1
1981-12-01,85.1
1982-01-01,85.6
1982-02-01,86.1
1982-03-01,86.5
1982-04-01,87
1982-05-01,87.3
1982-06-01,87.3
1982-07-01,88.1
1982-08-01,89
1982-09-01,93.4
1982-10-01,94.5
1982-11-01,95.4
1982-12-01,96.3
1983-01-01,97.1
1983-02-01,97.3
1983-03-01,97.6
1983-04-01,98.9
1983-05-01,98.7
1983-06-01,99.2
1983-07-01,100.7
1983-08-01,101.2
1983-09-01,105
1983-10-01,105.9
1983-11-01,106.6
1983-12-01,106.6
1984-01-01,107
1984-02-01,107.1
1984-03-01,107
1984-04-01,107.1
1984-05-01,107.5
1984-06-01,107.6
1984-07-01,107.9
1984-08-01,108.2
1984-09-01,111.7
1984-10-01,112
1984-11-01,112.7
1984-12-01,112.8
1985-01-01,113.6
1985-02-01,113.7
1985-03-01,113.9
1985-04-01,114.3
1985-05-01,114.4
1985-06-01,114.6
1985-07-01,115.2
1985-08-01,115.4
1985-09-01,119
1985-10-01,119.4
1985-11-01,119.7
1985-12-01,120.3
1986-01-01,121.4
1986-02-01,121.3
1986-03-01,122
1986-04-01,121.9
1986-05-01,121.8
1986-06-01,121.4
1986-07-01,123
1986-08-01,122.7
1986-09-01,125.9
1986-10-01,126.9
1986-11-01,127.3
1986-12-01,126.9
1987-01-01,127.9
1987-02-01,127.9
1987-03-01,128.6
1987-04-01,128.8
1987-05-01,128.9
1987-06-01,129.4
1987-07-01,130.1
1987-08-01,130
1987-09-01,133.9
1987-10-01,134.7
1987-11-01,134.8
1987-12-01,135
1988-01-01,136.6
1988-02-01,136.9
1988-03-01,137.5
1988-04-01,137.6
1988-05-01,137.4
1988-06-01,137.5
1988-07-01,138.2
1988-08-01,138.9
1988-09-01,142.9
1988-10-01,143.1
1988-11-01,143.5
1988-12-01,143.6
1989-01-01,146.3
1989-02-01,146.6
1989-03-01,147
1989-04-01,146.9
1989-05-01,149.3
1989-06-01,150.9
1989-07-01,151.2
1989-08-01,153.1
1989-09-01,157.7
1989-10-01,157.3
1989-11-01,157.7
1989-12-01,158.2
1990-01-01,159.4
1990-02-01,159.8
1990-03-01,160.5
1990-04-01,160.6
1990-05-01,161.3
1990-06-01,162
1990-07-01,164.4
1990-08-01,165.2
1990-09-01,168.4
1990-10-01,168.3
1990-11-01,168.5
1990-12-01,169.2
1991-01-01,171.4
1991-02-01,171.9
1991-03-01,172
1991-04-01,173.3
1991-05-01,174.3
1991-06-01,174.7
1991-07-01,175.4
1991-08-01,177.4
1991-09-01,183.2
1991-10-01,183.4
1991-11-01,184.7
1991-12-01,185.1
1992-01-01,187.3
1992-02-01,187.6
1992-03-01,187.6
1992-04-01,187.9
1992-05-01,188.6
1992-06-01,189
1992-07-01,189.5
1992-08-01,192.5
1992-09-01,195.4
1992-10-01,195.3
1992-11-01,195.3
1992-12-01,195.8
1993-01-01,197.4
1993-02-01,198.3
1993-03-01,198.8
1993-04-01,199.3
1993-05-01,199.1
1993-06-01,200.1
1993-07-01,200.8
1993-08-01,201.7
1993-09-01,202.5
1993-10-01,201.1
1993-11-01,201
1993-12-01,201.2
1994-01-01,202
1994-02-01,202
1994-03-01,201.9
1994-04-01,202.5
1994-05-01,202.8
1994-06-01,204.5
1994-07-01,203.9
1994-08-01,206.6
1994-09-01,207.5
1994-10-01,208
1994-11-01,208.5
1994-12-01,208.4
1995-01-01,208.8
1995-02-01,210.3
1995-03-01,209.9
1995-04-01,210.2
1995-05-01,211
1995-06-01,211.8
1995-07-01,212.5
1995-08-01,215.6
1995-09-01,217.3
1995-10-01,217.9
1995-11-01,218.2
1995-12-01,218.2
1996-01-01,219.2
1996-02-01,219.7
1996-03-01,219.8
1996-04-01,219.3
1996-05-01,219.8
1996-06-01,220.2
1996-07-01,220.6
1996-08-01,223.5
1996-09-01,224.7
1996-10-01,224.5
1996-11-01,225.1
1996-12-01,223.7
1997-01-01,225.7
1997-02-01,225.8
1997-03-01,226
1997-04-01,228.1
1997-05-01,228.3
1997-06-01,229.2
1997-07-01,228.8
1997-08-01,230.1
1997-09-01,233.3
1997-10-01,235.2
1997-11-01,235.3
1997-12-01,234.8
1998-01-01,238.2
1998-02-01,239.7
1998-03-01,239.6
1998-04-01,240.4
1998-05-01,240.4
1998-06-01,240.2
1998-07-01,242
1998-08-01,242
1998-09-01,245
1998-10-01,246.2
1998-11-01,245.6
1998-12-01,252.2
1999-01-01,253.6
1999-02-01,253.1
1999-03-01,253.5
1999-04-01,252.7
1999-05-01,252.8
1999-06-01,255.1
1999-07-01,256.8
1999-08-01,256.5
1999-09-01,260.2
1999-10-01,261.8
1999-11-01,260.8
1999-12-01,260.5
2000-01-01,262.8
2000-02-01,266.7
2000-03-01,271.5
2000-04-01,276.3
2000-05-01,274.3
2000-06-01,274.2
2000-07-01,272.4
2000-08-01,273.9
2000-09-01,276.3
2000-10-01,277.3
2000-11-01,279.4
2000-12-01,277.7
2001-01-01,279.4
2001-02-01,280.4
2001-03-01,282.4
2001-04-01,283.7
2001-05-01,285.4
2001-06-01,285
2001-07-01,285.4
2001-08-01,283.7
2001-09-01,288.7
2001-10-01,288.2
2001-11-01,291.7
2001-12-01,289.7
2002-01-01,291.2
2002-02-01,292
2002-03-01,292.7
2002-04-01,298
2002-05-01,297.9
2002-06-01,298
2002-07-01,307.4
2002-08-01,306.8
2002-09-01,307
2002-10-01,305
2002-11-01,305.9
2002-12-01,307.4
2003-01-01,309.3
2003-02-01,309.7
2003-03-01,307.4
2003-04-01,308.9
2003-05-01,310
2003-06-01,307.6
2003-07-01,313.7
2003-08-01,313.8
2003-09-01,314.6
2003-10-01,314.6
2003-11-01,315.3
2003-12-01,314.6
2004-01-01,317
2004-02-01,317.5
2004-03-01,318.1
2004-04-01,317.8
2004-05-01,317.9
2004-06-01,317.9
2004-07-01,318.7
2004-08-01,320.1
2004-09-01,322.1
2004-10-01,322.6
2004-11-01,321.1
2004-12-01,324.7
2005-01-01,324.5
2005-02-01,327.2
2005-03-01,328.4
2005-04-01,328.9
2005-05-01,328.6
2005-06-01,328.9
2005-07-01,328.8
2005-08-01,328.7
2005-09-01,327.7
2005-10-01,330.2
2005-11-01,332.5
2005-12-01,331.9
2006-01-01,332
2006-02-01,330.7
2006-03-01,331.2
2006-04-01,330.6
2006-05-01,331
2006-06-01,332.9
2006-07-01,331.7
2006-08-01,330.9
2006-09-01,332.9
2006-10-01,333.8
2006-11-01,334.2
2006-12-01,334.6
2007-01-01,334.348
2007-02-01,333.093
2007-03-01,332.024
2007-04-01,335.498
2007-05-01,335.804
2007-06-01,336.216
2007-07-01,337.091
2007-08-01,336.267
2007-09-01,338.816
2007-10-01,338.974
2007-11-01,338.981
2007-12-01,340.127
2008-01-01,340.952
2008-02-01,340.327
2008-03-01,341.966
2008-04-01,341.909
2008-05-01,343.477
2008-06-01,349.941
2008-07-01,352.966
2008-08-01,352.883
2008-09-01,353.597
2008-10-01,354.472
2008-11-01,348.845
2008-12-01,349.842
2009-01-01,350.251
2009-02-01,349.37
2009-03-01,354.342
2009-04-01,359.362
2009-05-01,360.425
2009-06-01,360.942
2009-07-01,361.314
2009-08-01,362.008
2009-09-01,361.853
2009-10-01,366.539
2009-11-01,369.386
2009-12-01,369.117
2010-01-01,368.379
