"Date","CUURA207SASL2RS"
1982-12-01,100
1983-01-01,100.9
1983-02-01,101.2
1983-03-01,101.1
1983-04-01,101.4
1983-05-01,101.8
1983-06-01,104.1
1983-07-01,104.8
1983-08-01,105.3
1983-09-01,105.8
1983-10-01,103.9
1983-11-01,104.4
1983-12-01,104.4
1984-01-01,105.4
1984-02-01,105
1984-03-01,105.2
1984-04-01,105
1984-05-01,104.8
1984-06-01,107.7
1984-07-01,107.9
1984-08-01,110.1
1984-09-01,110.9
1984-10-01,109.3
1984-11-01,109.3
1984-12-01,108.7
1985-01-01,109.3
1985-02-01,109.5
1985-03-01,110
1985-04-01,109.7
1985-05-01,110.2
1985-06-01,114.8
1985-07-01,115.1
1985-08-01,114.7
1985-09-01,114.5
1985-10-01,110.5
1985-11-01,111.2
1985-12-01,111.2
1986-01-01,112
1986-02-01,113.6
1986-03-01,113.5
1986-04-01,113.4
1986-05-01,113.1
1986-06-01,119.6
1986-07-01,120.1
1986-08-01,120.1
1986-09-01,121.2
1986-10-01,115.6
1986-11-01,115.9
1986-12-01,116.1
1987-01-01,117.3
1987-02-01,117.4
1987-03-01,118
1987-04-01,118.1
1987-05-01,118.6
1987-06-01,126.8
1987-07-01,127.4
1987-08-01,127
1987-09-01,127.4
1987-10-01,119.7
1987-11-01,119.4
1987-12-01,119.6
1988-01-01,117.1
1988-02-01,120.6
1988-03-01,121.3
1988-04-01,121.5
1988-05-01,120
1988-06-01,126.3
1988-07-01,126.7
1988-08-01,124.9
1988-09-01,128.7
1988-10-01,126
1988-11-01,125.2
1988-12-01,127.3
1989-01-01,127.2
1989-02-01,129
1989-03-01,129
1989-04-01,127.2
1989-05-01,127.9
1989-06-01,134.7
1989-07-01,135.1
1989-08-01,135.2
1989-09-01,135.9
1989-10-01,131.8
1989-11-01,131.8
1989-12-01,132.2
1990-01-01,134.1
1990-02-01,135.3
1990-03-01,134.7
1990-04-01,134.8
1990-05-01,135.2
1990-06-01,140.7
1990-07-01,139.7
1990-08-01,140.4
