"Date","APU0400FL2101"
2006-01-01,1.096
2006-02-01,1.25
2006-03-01,1.147
2006-04-01,1.24
2006-05-01,1.313
2006-06-01,1.1
2006-07-01,0.948
2006-08-01,1.041
2006-09-01,1.246
2006-10-01,1.34
2006-11-01,1.272
2006-12-01,1.303
2007-01-01,1.614
2007-02-01,1.832
2007-03-01,1.683
2007-04-01,1.417
2007-05-01,1.471
2007-06-01,1.334
2007-07-01,1.202
2007-08-01,1.209
2007-09-01,1.386
2007-10-01,1.388
2007-11-01,1.634
2007-12-01,1.699
2008-01-01,1.663
2008-02-01,1.792
2008-03-01,1.452
2008-04-01,1.386
2008-05-01,1.397
2008-06-01,1.486
2008-07-01,1.539
2008-08-01,1.651
2008-09-01,1.743
2008-10-01,1.77
2008-11-01,1.706
2008-12-01,1.667
2009-01-01,1.677
2009-02-01,1.605
2009-03-01,1.592
2009-04-01,1.529
2009-05-01,1.429
2009-06-01,1.401
2009-07-01,1.362
2009-08-01,1.373
2009-09-01,1.447
2009-10-01,1.429
2009-11-01,1.556
2009-12-01,1.715
2010-01-01,1.939
2010-02-01,1.622
2010-03-01,1.554
2010-04-01,1.533
2010-05-01,1.49
2010-06-01,1.48
2010-07-01,1.433
2010-08-01,1.457
2010-09-01,1.538
2010-10-01,1.258
2010-11-01,1.388
2010-12-01,1.509
2011-01-01,1.461
2011-02-01,1.549
2011-03-01,1.719
2011-04-01,1.408
2011-05-01,1.459
2011-06-01,NA
2011-07-01,NA
2011-08-01,NA
2011-09-01,NA
2011-10-01,1.38
2011-11-01,1.491
2011-12-01,1.382
2012-01-01,1.333
2012-02-01,1.33
2012-03-01,1.282
2012-04-01,1.197
2012-05-01,1.219
2012-06-01,1.184
2012-07-01,1.362
2012-08-01,1.263
2012-09-01,1.264
2012-10-01,1.33
2012-11-01,1.27
2012-12-01,1.187
2013-01-01,2.003
2013-02-01,1.885
2013-03-01,NA
2013-04-01,NA
2013-05-01,NA
2013-06-01,1.338
2013-07-01,1.494
2013-08-01,1.599
2013-09-01,1.564
2013-10-01,1.556
2013-11-01,1.636
2013-12-01,1.584
2014-01-01,1.461
2014-02-01,1.368
2014-03-01,1.3
2014-04-01,1.294
2014-05-01,1.461
2014-06-01,1.714
2014-07-01,1.727
2014-08-01,1.623
2014-09-01,1.644
2014-10-01,1.67
2014-11-01,1.808
2014-12-01,1.878
2015-01-01,1.868
2015-02-01,2.341
2015-03-01,1.757
2015-04-01,1.68
2015-05-01,1.787
2015-06-01,1.833
2015-07-01,1.772
2015-08-01,1.694
2015-09-01,1.791
2015-10-01,1.716
2015-11-01,1.779
2015-12-01,1.942
2016-01-01,1.805
2016-02-01,1.855
2016-03-01,1.63
2016-04-01,1.718
2016-05-01,1.697
2016-06-01,1.68
2016-07-01,1.646
2016-08-01,1.634
2016-09-01,1.557
2016-10-01,1.556
2016-11-01,1.544
2016-12-01,1.524
2017-01-01,1.595
2017-02-01,1.614
2017-03-01,1.698
2017-04-01,1.897
2017-05-01,2.023
2017-06-01,2.006
2017-07-01,1.945
2017-08-01,2.028
2017-09-01,2.017
2017-10-01,2.158
2017-11-01,2.357
2017-12-01,2.356
2018-01-01,2.356
2018-02-01,2.174
2018-03-01,2.017
2018-04-01,2.131
2018-05-01,1.993
2018-06-01,1.866
2018-07-01,1.919
2018-08-01,1.986
2018-09-01,2.013
2018-10-01,2.065
2018-11-01,NA
2018-12-01,2.326
2019-01-01,2.142
2019-02-01,2.109
2019-03-01,2.101
2019-04-01,2.237
2019-05-01,2.163
2019-06-01,1.938
2019-07-01,2.015
2019-08-01,1.984
2019-09-01,1.906
2019-10-01,2.089
2019-11-01,2.325
2019-12-01,2.352
2020-01-01,2.347
2020-02-01,2.189
2020-03-01,NA
2020-04-01,NA
2020-05-01,NA
2020-06-01,NA
2020-07-01,NA
2020-08-01,NA
2020-09-01,NA
2020-10-01,NA
2020-11-01,NA
2020-12-01,NA
2021-01-01,NA
2021-02-01,NA
2021-03-01,NA
2021-04-01,NA
2021-05-01,NA
2021-06-01,NA
2021-07-01,NA
2021-08-01,NA
2021-09-01,NA
2021-10-01,NA
2021-11-01,NA
2021-12-01,NA
2022-01-01,NA
2022-02-01,NA
2022-03-01,NA
2022-04-01,NA
2022-05-01,NA
2022-06-01,NA
2022-07-01,NA
2022-08-01,NA
2022-09-01,NA
2022-10-01,NA
2022-11-01,NA
2022-12-01,NA
2023-01-01,NA
2023-02-01,NA
2023-03-01,NA
2023-04-01,NA
2023-05-01,NA
2023-06-01,NA
2023-07-01,NA
2023-08-01,NA
2023-09-01,NA
2023-10-01,2.737
2023-11-01,2.678
