"Date","CUUR0000SEHC"
1982-12-01,100
1983-01-01,100.7
1983-02-01,100.9
1983-03-01,100.8
1983-04-01,101.7
1983-05-01,101.9
1983-06-01,102.2
1983-07-01,102.7
1983-08-01,103
1983-09-01,103.5
1983-10-01,103.8
1983-11-01,104.2
1983-12-01,104.5
1984-01-01,104.8
1984-02-01,105.1
1984-03-01,105.5
1984-04-01,106.2
1984-05-01,106.5
1984-06-01,106.8
1984-07-01,107.7
1984-08-01,108.1
1984-09-01,108.7
1984-10-01,109.1
1984-11-01,109.4
1984-12-01,109.8
1985-01-01,110
1985-02-01,110.7
1985-03-01,110.9
1985-04-01,111.3
1985-05-01,112.5
1985-06-01,112.8
1985-07-01,113.5
1985-08-01,114.3
1985-09-01,114.6
1985-10-01,115.1
1985-11-01,115.9
1985-12-01,116.3
1986-01-01,116.7
1986-02-01,117
1986-03-01,117.9
1986-04-01,118.7
1986-05-01,118.9
1986-06-01,119
1986-07-01,119.4
1986-08-01,119.9
1986-09-01,120.7
1986-10-01,121.3
1986-11-01,121.5
1986-12-01,121.6
1987-01-01,122
1987-02-01,122.5
1987-03-01,123
1987-04-01,123.6
1987-05-01,124.1
1987-06-01,124.2
1987-07-01,124.4
1987-08-01,125.4
1987-09-01,126
1987-10-01,127.2
1987-11-01,127.5
1987-12-01,128
1988-01-01,128.6
1988-02-01,129
1988-03-01,129.2
1988-04-01,129.5
1988-05-01,130
1988-06-01,130.4
1988-07-01,131.1
1988-08-01,131.9
1988-09-01,132.7
1988-10-01,133.1
1988-11-01,133.9
1988-12-01,134.1
1989-01-01,134.5
1989-02-01,134.8
1989-03-01,135.1
1989-04-01,135.5
1989-05-01,136.3
1989-06-01,136.6
1989-07-01,137.4
1989-08-01,138.2
1989-09-01,139
1989-10-01,139.9
1989-11-01,140.5
1989-12-01,141
1990-01-01,141.2
1990-02-01,141.1
1990-03-01,142.4
1990-04-01,142.7
1990-05-01,143.2
1990-06-01,144.6
1990-07-01,145.7
1990-08-01,146.7
1990-09-01,147.3
1990-10-01,147.5
1990-11-01,147.5
1990-12-01,147.7
1991-01-01,148.1
1991-02-01,148.5
1991-03-01,148.6
1991-04-01,149
1991-05-01,149.4
1991-06-01,149.9
1991-07-01,150.5
1991-08-01,150.9
1991-09-01,151.8
1991-10-01,152.3
1991-11-01,152.9
1991-12-01,153.2
1992-01-01,153.5
1992-02-01,153.7
1992-03-01,154.3
1992-04-01,154.4
1992-05-01,154.6
1992-06-01,155.3
1992-07-01,155.7
1992-08-01,156.1
1992-09-01,156.3
1992-10-01,157.1
1992-11-01,157.5
1992-12-01,157.8
1993-01-01,158.5
1993-02-01,158.8
1993-03-01,159
1993-04-01,159.5
1993-05-01,159.7
1993-06-01,160.4
1993-07-01,160.6
1993-08-01,161.1
1993-09-01,161.6
1993-10-01,161.9
1993-11-01,162.3
1993-12-01,162.8
1994-01-01,163.2
1994-02-01,164
1994-03-01,164.4
1994-04-01,164.6
1994-05-01,164.8
1994-06-01,165.1
1994-07-01,165.5
1994-08-01,166.4
1994-09-01,167.3
1994-10-01,167.8
1994-11-01,168.2
1994-12-01,168.1
1995-01-01,168.7
1995-02-01,169.1
1995-03-01,169.5
1995-04-01,169.9
1995-05-01,170.3
1995-06-01,170.9
1995-07-01,171.4
1995-08-01,171.9
1995-09-01,172.7
1995-10-01,173.4
1995-11-01,173.9
1995-12-01,174.3
1996-01-01,174.7
1996-02-01,175
1996-03-01,175.3
1996-04-01,175.6
1996-05-01,175.9
1996-06-01,176.3
1996-07-01,176.9
1996-08-01,177.3
1996-09-01,177.9
1996-10-01,178.4
1996-11-01,178.9
1996-12-01,179.1
1997-01-01,179.5
1997-02-01,179.9
1997-03-01,180.1
1997-04-01,180.5
1997-05-01,180.9
1997-06-01,181.4
1997-07-01,182.1
1997-08-01,182.6
1997-09-01,183.2
1997-10-01,183.6
1997-11-01,184.2
1997-12-01,184.7
1998-01-01,185.1
1998-02-01,185.5
1998-03-01,185.9
1998-04-01,186.4
1998-05-01,186.8
1998-06-01,187.4
1998-07-01,188
1998-08-01,188.5
1998-09-01,189.2
1998-10-01,189.8
1998-11-01,190.3
1998-12-01,190.7
1999-01-01,191
1999-02-01,191.3
1999-03-01,191.5
1999-04-01,191.9
1999-05-01,192.2
1999-06-01,192.6
1999-07-01,193
1999-08-01,193.4
1999-09-01,193.9
1999-10-01,194.2
1999-11-01,194.9
1999-12-01,195.2
2000-01-01,196.2
2000-02-01,196.6
2000-03-01,196.9
2000-04-01,197.2
2000-05-01,197.6
2000-06-01,198.2
2000-07-01,198.6
2000-08-01,199.2
2000-09-01,199.9
2000-10-01,200.5
2000-11-01,201.2
2000-12-01,201.8
2001-01-01,202.4
2001-02-01,202.9
2001-03-01,203.6
2001-04-01,204.2
2001-05-01,204.9
2001-06-01,205.7
2001-07-01,206.3
2001-08-01,207.3
2001-09-01,208.1
2001-10-01,209
2001-11-01,210.1
2001-12-01,210.9
2002-01-01,211.6
2002-02-01,212.2
2002-03-01,212.8
2002-04-01,213.3
2002-05-01,213.7
2002-06-01,214.3
2002-07-01,214.9
2002-08-01,215.4
2002-09-01,216.2
2002-10-01,216.8
2002-11-01,217.3
2002-12-01,217.9
2003-01-01,218.5
2003-02-01,218.7
2003-03-01,218.9
2003-04-01,218.9
2003-05-01,219.1
2003-06-01,219.1
2003-07-01,219.6
2003-08-01,220.1
2003-09-01,220.7
2003-10-01,221.4
2003-11-01,221.9
2003-12-01,222.2
2004-01-01,222.6
2004-02-01,222.9
2004-03-01,223.3
2004-04-01,223.9
2004-05-01,224.3
2004-06-01,224.7
2004-07-01,225.1
2004-08-01,225.7
2004-09-01,226.1
2004-10-01,226.5
2004-11-01,226.8
2004-12-01,227.2
2005-01-01,227.8
2005-02-01,228.4
2005-03-01,228.7
2005-04-01,229
2005-05-01,229.4
2005-06-01,229.7
2005-07-01,230.2
2005-08-01,230.7
2005-09-01,231.2
2005-10-01,231.7
2005-11-01,232.2
2005-12-01,232.8
2006-01-01,233.4
2006-02-01,234.1
2006-03-01,234.9
2006-04-01,235.8
2006-05-01,236.9
2006-06-01,237.9
2006-07-01,238.8
2006-08-01,239.7
2006-09-01,240.4
2006-10-01,241.3
2006-11-01,242.1
2006-12-01,242.8
2007-01-01,243.345
2007-02-01,244.02
2007-03-01,244.602
2007-04-01,244.993
2007-05-01,245.236
2007-06-01,245.69
2007-07-01,246.149
2007-08-01,246.815
2007-09-01,247.487
2007-10-01,248.075
2007-11-01,248.876
2007-12-01,249.532
2008-01-01,250.106
2008-02-01,250.481
2008-03-01,250.966
2008-04-01,251.418
2008-05-01,251.576
2008-06-01,252.17
2008-07-01,252.504
2008-08-01,252.957
2008-09-01,253.493
2008-10-01,253.902
2008-11-01,254.669
