"Date","SUUR0000SAR"
1999-12-01,100
2000-01-01,100.2
2000-02-01,100.3
2000-03-01,100.6
2000-04-01,100.6
2000-05-01,100.6
2000-06-01,100.8
2000-07-01,101.1
2000-08-01,101.3
2000-09-01,101.3
2000-10-01,101.4
2000-11-01,101.3
2000-12-01,101.2
2001-01-01,101.4
2001-02-01,101.6
2001-03-01,101.6
2001-04-01,102.1
2001-05-01,102
2001-06-01,101.8
2001-07-01,102
2001-08-01,102.2
2001-09-01,102.1
2001-10-01,102.2
2001-11-01,102.2
2001-12-01,102.1
2002-01-01,102.4
2002-02-01,102.7
2002-03-01,103
2002-04-01,103
2002-05-01,103
2002-06-01,102.6
2002-07-01,102.7
2002-08-01,102.7
2002-09-01,102.5
2002-10-01,102.8
2002-11-01,102.7
2002-12-01,102.7
2003-01-01,102.9
2003-02-01,103.2
2003-03-01,103.3
2003-04-01,103.4
2003-05-01,103.5
2003-06-01,103.5
2003-07-01,103.5
2003-08-01,103.6
2003-09-01,103.5
2003-10-01,103.4
2003-11-01,103.5
2003-12-01,103.3
2004-01-01,103.5
2004-02-01,104.4
2004-03-01,104.5
2004-04-01,104.8
2004-05-01,104.7
2004-06-01,104.7
2004-07-01,104.7
2004-08-01,104.7
2004-09-01,104.8
2004-10-01,104.8
2004-11-01,104.8
2004-12-01,104.3
2005-01-01,104.4
2005-02-01,104.5
2005-03-01,104.6
2005-04-01,104.8
2005-05-01,104.9
2005-06-01,103.9
2005-07-01,103.9
2005-08-01,104.7
2005-09-01,104.9
2005-10-01,105.1
2005-11-01,104.9
2005-12-01,104.8
2006-01-01,105
2006-02-01,105.3
2006-03-01,105.8
2006-04-01,106.2
2006-05-01,106.3
2006-06-01,106.2
2006-07-01,106.2
2006-08-01,106
2006-09-01,105.8
2006-10-01,105.7
2006-11-01,105.5
2006-12-01,104.8
2007-01-01,104.855
2007-02-01,104.985
2007-03-01,105.049
2007-04-01,105.335
2007-05-01,105.414
2007-06-01,105.279
2007-07-01,104.884
2007-08-01,104.536
2007-09-01,104.814
2007-10-01,104.99
2007-11-01,104.843
2007-12-01,104.464
2008-01-01,104.681
2008-02-01,104.847
2008-03-01,105.193
2008-04-01,105.363
2008-05-01,105.372
2008-06-01,105.506
2008-07-01,105.835
2008-08-01,106.363
2008-09-01,106.465
2008-10-01,106.503
2008-11-01,106.134
2008-12-01,105.539
2009-01-01,105.612
2009-02-01,105.96
2009-03-01,106.093
2009-04-01,105.738
2009-05-01,105.695
2009-06-01,105.939
2009-07-01,105.877
2009-08-01,105.994
2009-09-01,105.545
2009-10-01,104.841
2009-11-01,104.156
2009-12-01,103.552
2010-01-01,103.409
2010-02-01,103.43
2010-03-01,103.594
2010-04-01,103.988
2010-05-01,103.611
2010-06-01,103.606
2010-07-01,103.404
2010-08-01,103.266
2010-09-01,102.971
2010-10-01,102.84
2010-11-01,102.393
2010-12-01,101.858
2011-01-01,102.171
2011-02-01,102.577
2011-03-01,102.627
2011-04-01,102.698
2011-05-01,102.992
2011-06-01,102.826
2011-07-01,102.685
2011-08-01,102.693
2011-09-01,102.522
2011-10-01,102.233
2011-11-01,102.106
2011-12-01,102.346
2012-01-01,102.748
2012-02-01,102.888
2012-03-01,103.236
2012-04-01,103.153
2012-05-01,103.137
2012-06-01,103.304
2012-07-01,103.245
2012-08-01,103.382
2012-09-01,103.336
2012-10-01,103.203
2012-11-01,103.028
2012-12-01,102.632
2013-01-01,102.932
2013-02-01,103.445
2013-03-01,103.426
2013-04-01,103.352
2013-05-01,103.397
2013-06-01,103.2
2013-07-01,103.11
2013-08-01,103.282
2013-09-01,103.224
2013-10-01,103.249
2013-11-01,103.159
2013-12-01,102.537
2014-01-01,102.998
2014-02-01,103.384
2014-03-01,103.16
2014-04-01,103.215
2014-05-01,103.035
2014-06-01,103.091
2014-07-01,103.102
2014-08-01,102.637
2014-09-01,102.543
2014-10-01,102.712
2014-11-01,102.095
2014-12-01,101.785
2015-01-01,102.369
2015-02-01,102.05
2015-03-01,102.197
2015-04-01,102.299
2015-05-01,102.475
2015-06-01,102.933
2015-07-01,102.898
2015-08-01,102.659
2015-09-01,102.458
2015-10-01,102.481
2015-11-01,102.092
2015-12-01,101.676
2016-01-01,102.129
2016-02-01,102.677
2016-03-01,103.118
2016-04-01,103.457
2016-05-01,103.514
2016-06-01,103.442
2016-07-01,103.284
2016-08-01,103.128
2016-09-01,102.95
2016-10-01,102.806
2016-11-01,102.704
2016-12-01,102.299
2017-01-01,102.882
2017-02-01,103.665
2017-03-01,103.674
2017-04-01,103.66
2017-05-01,103.511
2017-06-01,103.457
2017-07-01,103.7
2017-08-01,103.676
2017-09-01,103.728
2017-10-01,103.536
2017-11-01,102.969
2017-12-01,102.647
2018-01-01,102.951
2018-02-01,103.164
2018-03-01,103.288
2018-04-01,103.077
2018-05-01,102.938
2018-06-01,103.092
2018-07-01,103.217
2018-08-01,102.938
2018-09-01,103.091
2018-10-01,102.874
2018-11-01,102.84
2018-12-01,103.074
2019-01-01,103.612
2019-02-01,103.83
2019-03-01,104.145
2019-04-01,104.166
2019-05-01,103.644
2019-06-01,103.664
2019-07-01,103.625
2019-08-01,103.76
2019-09-01,103.443
2019-10-01,103.754
2019-11-01,103.983
2019-12-01,103.725
2020-01-01,104.176
2020-02-01,104.49
2020-03-01,104.652
2020-04-01,104.505
2020-05-01,104.768
2020-06-01,104.694
2020-07-01,103.477
2020-08-01,104.06
2020-09-01,105.242
2020-10-01,105.353
2020-11-01,105.396
2020-12-01,105.375
2021-01-01,106.026
2021-02-01,106.599
2021-03-01,106.645
2021-04-01,107.453
2021-05-01,107.71
2021-06-01,107.742
2021-07-01,108.22
2021-08-01,108.59
2021-09-01,108.671
2021-10-01,109.353
2021-11-01,108.861
2021-12-01,108.603
2022-01-01,109.675
2022-02-01,110.777
2022-03-01,110.553
2022-04-01,111.111
2022-05-01,111.587
2022-06-01,111.775
2022-07-01,112.328
2022-08-01,112.692
2022-09-01,112.815
2022-10-01,113.519
2022-11-01,113.845
2022-12-01,114.158
2023-01-01,114.929
2023-02-01,116.131
2023-03-01,116.241
2023-04-01,116.747
2023-05-01,116.645
2023-06-01,116.653
2023-07-01,116.722
2023-08-01,116.493
2023-09-01,116.983
2023-10-01,116.976
2023-11-01,116.552
