"Date","APUB30072610"
1978-11-01,0.036
1978-12-01,0.035
1979-01-01,0.037
1979-02-01,0.038
1979-03-01,0.038
1979-04-01,0.038
1979-05-01,0.039
1979-06-01,0.041
1979-07-01,0.042
1979-08-01,0.043
1979-09-01,0.044
1979-10-01,0.045
1979-11-01,0.042
1979-12-01,0.041
1980-01-01,0.042
1980-02-01,0.043
1980-03-01,0.043
1980-04-01,0.045
1980-05-01,0.045
1980-06-01,0.046
1980-07-01,0.049
1980-08-01,0.05
1980-09-01,0.05
1980-10-01,0.053
1980-11-01,0.051
1980-12-01,0.047
1981-01-01,0.049
1981-02-01,0.05
1981-03-01,0.051
1981-04-01,0.053
1981-05-01,0.05
1981-06-01,0.054
1981-07-01,0.058
1981-08-01,0.061
1981-09-01,0.061
1981-10-01,0.06
1981-11-01,0.059
1981-12-01,0.06
1982-01-01,0.059
1982-02-01,0.059
1982-03-01,0.06
1982-04-01,0.06
1982-05-01,0.061
1982-06-01,0.063
1982-07-01,0.063
1982-08-01,0.065
1982-09-01,0.065
1982-10-01,0.064
1982-11-01,0.063
1982-12-01,0.064
1983-01-01,0.062
1983-02-01,0.063
1983-03-01,0.062
1983-04-01,0.062
1983-05-01,0.062
1983-06-01,0.065
1983-07-01,0.067
1983-08-01,0.065
1983-09-01,0.067
1983-10-01,0.067
1983-11-01,0.066
1983-12-01,0.064
1984-01-01,0.064
1984-02-01,0.065
1984-03-01,0.065
1984-04-01,0.067
1984-05-01,0.067
1984-06-01,0.069
1984-07-01,0.071
1984-08-01,0.07
1984-09-01,0.069
1984-10-01,0.068
1984-11-01,0.067
1984-12-01,0.066
1985-01-01,0.065
1985-02-01,0.066
1985-03-01,0.066
1985-04-01,0.066
1985-05-01,0.067
1985-06-01,0.068
1985-07-01,0.068
1985-08-01,0.068
1985-09-01,NA
1985-10-01,0.07
1985-11-01,0.068
1985-12-01,0.069
1986-01-01,0.069
1986-02-01,0.062
1986-03-01,0.061
1986-04-01,0.061
1986-05-01,0.063
1986-06-01,0.065
1986-07-01,0.066
1986-08-01,0.067
1986-09-01,0.066
1986-10-01,0.064
1986-11-01,0.062
1986-12-01,0.061
1987-01-01,0.071
1987-02-01,0.08
1987-03-01,0.08
1987-04-01,0.078
1987-05-01,0.078
1987-06-01,0.08
1987-07-01,0.081
1987-08-01,0.081
1987-09-01,0.078
1987-10-01,0.076
1987-11-01,0.076
1987-12-01,0.078
1988-01-01,0.077
1988-02-01,0.077
1988-03-01,0.077
1988-04-01,0.077
1988-05-01,0.07
1988-06-01,0.08
1988-07-01,0.081
1988-08-01,0.081
1988-09-01,0.081
1988-10-01,0.082
1988-11-01,0.08
1988-12-01,0.073
1989-01-01,0.079
1989-02-01,0.077
1989-03-01,0.079
1989-04-01,0.079
1989-05-01,0.08
1989-06-01,0.082
1989-07-01,0.082
1989-08-01,0.082
1989-09-01,0.084
1989-10-01,0.081
1989-11-01,0.081
1989-12-01,0.081
1990-01-01,0.078
1990-02-01,0.08
1990-03-01,0.08
1990-04-01,0.08
1990-05-01,0.081
1990-06-01,0.083
1990-07-01,0.083
1990-08-01,0.084
1990-09-01,0.084
1990-10-01,0.083
1990-11-01,0.082
1990-12-01,0.082
1991-01-01,0.082
1991-02-01,0.082
1991-03-01,0.082
1991-04-01,0.082
1991-05-01,0.082
1991-06-01,0.079
1991-07-01,0.086
1991-08-01,0.086
1991-09-01,0.087
1991-10-01,0.083
1991-11-01,0.084
1991-12-01,0.084
1992-01-01,0.083
1992-02-01,0.083
1992-03-01,0.083
1992-04-01,0.084
1992-05-01,0.084
1992-06-01,0.085
1992-07-01,0.087
1992-08-01,0.085
1992-09-01,0.086
1992-10-01,0.083
1992-11-01,0.082
1992-12-01,0.082
1993-01-01,0.082
1993-02-01,0.071
1993-03-01,0.082
1993-04-01,0.083
1993-05-01,0.082
1993-06-01,0.087
1993-07-01,0.088
1993-08-01,0.088
1993-09-01,0.088
1993-10-01,0.083
1993-11-01,0.083
1993-12-01,0.083
1994-01-01,0.083
1994-02-01,0.084
1994-03-01,0.081
1994-04-01,0.075
1994-05-01,0.081
1994-06-01,0.086
1994-07-01,0.087
1994-08-01,0.087
1994-09-01,0.085
1994-10-01,0.083
1994-11-01,0.08
1994-12-01,0.08
1995-01-01,0.08
1995-02-01,0.077
1995-03-01,0.077
1995-04-01,0.077
1995-05-01,0.076
1995-06-01,0.081
1995-07-01,0.082
1995-08-01,0.082
1995-09-01,0.082
1995-10-01,0.079
1995-11-01,0.076
1995-12-01,0.076
1996-01-01,0.076
1996-02-01,0.076
1996-03-01,0.076
1996-04-01,0.076
1996-05-01,0.076
1996-06-01,0.081
1996-07-01,0.082
1996-08-01,0.082
1996-09-01,0.082
1996-10-01,0.079
1996-11-01,0.077
1996-12-01,0.077
1997-01-01,0.077
1997-02-01,0.077
1997-03-01,0.077
1997-04-01,0.077
1997-05-01,0.077
1997-06-01,0.082
1997-07-01,0.083
1997-08-01,0.083
1997-09-01,0.083
1997-10-01,0.08
1997-11-01,0.078
1997-12-01,0.079
