"Date","CUURX000SEHC01"
2022-04-01,177.786
2022-05-01,178.807
2022-06-01,180.163
2022-07-01,181.26
2022-08-01,182.724
2022-09-01,184.315
2022-10-01,185.539
2022-11-01,186.689
2022-12-01,188.228
2023-01-01,189.588
2023-02-01,190.887
2023-03-01,191.766
2023-04-01,192.75
2023-05-01,193.81
2023-06-01,194.728
2023-07-01,195.758
2023-08-01,196.506
2023-09-01,197.493
2023-10-01,198.403
2023-11-01,199.395
