"Date","SUUR0000SAF116"
1999-12-01,100
2000-01-01,100.3
2000-02-01,100.5
2000-03-01,100.8
2000-04-01,101
2000-05-01,101
2000-06-01,101.3
2000-07-01,101.7
2000-08-01,101.8
2000-09-01,102
2000-10-01,102.2
2000-11-01,102.4
2000-12-01,102.4
2001-01-01,102.6
2001-02-01,102.8
2001-03-01,103.1
2001-04-01,103.3
2001-05-01,103.5
2001-06-01,103.9
2001-07-01,104.1
2001-08-01,104.2
2001-09-01,104.4
2001-10-01,104.8
2001-11-01,104.8
2001-12-01,104.8
2002-01-01,105.3
2002-02-01,105.6
2002-03-01,105.7
2002-04-01,106
2002-05-01,106.2
2002-06-01,106.4
2002-07-01,106.5
2002-08-01,106.6
2002-09-01,106.6
2002-10-01,107.1
2002-11-01,107.1
2002-12-01,107.2
2003-01-01,107.6
2003-02-01,107.6
2003-03-01,107.9
2003-04-01,107.9
2003-05-01,108.1
2003-06-01,108.1
2003-07-01,108.2
2003-08-01,108.2
2003-09-01,108.5
2003-10-01,108.8
2003-11-01,109
2003-12-01,109.1
2004-01-01,109.5
2004-02-01,109.7
2004-03-01,110.1
2004-04-01,110.7
2004-05-01,110.7
2004-06-01,111
2004-07-01,111
2004-08-01,111.2
2004-09-01,111.7
2004-10-01,111.9
2004-11-01,112.1
2004-12-01,111.9
2005-01-01,112
2005-02-01,112.6
2005-03-01,112.8
2005-04-01,113
2005-05-01,112.8
2005-06-01,112.7
2005-07-01,112.8
2005-08-01,112.6
2005-09-01,113.1
2005-10-01,113.5
2005-11-01,113.5
2005-12-01,113.5
2006-01-01,114.5
2006-02-01,115.4
2006-03-01,115.8
2006-04-01,115.8
2006-05-01,116.2
2006-06-01,116.5
2006-07-01,116.5
2006-08-01,116.3
2006-09-01,116.6
2006-10-01,116.8
2006-11-01,116.5
2006-12-01,116.4
2007-01-01,117.488
2007-02-01,118.291
2007-03-01,118.798
2007-04-01,119.469
2007-05-01,119.749
2007-06-01,120.236
2007-07-01,120.209
2007-08-01,120.498
2007-09-01,120.838
2007-10-01,121.278
2007-11-01,121.005
2007-12-01,121.101
2008-01-01,122.101
2008-02-01,123.056
2008-03-01,123.296
2008-04-01,123.974
2008-05-01,123.975
2008-06-01,123.966
2008-07-01,124.275
2008-08-01,124.84
2008-09-01,125.331
2008-10-01,125.826
2008-11-01,125.852
2008-12-01,126.277
2009-01-01,127.112
2009-02-01,127.333
2009-03-01,127.288
2009-04-01,127.002
2009-05-01,127.209
2009-06-01,127.358
2009-07-01,127.664
2009-08-01,127.943
2009-09-01,128.033
2009-10-01,128.45
2009-11-01,128.499
2009-12-01,128.044
2010-01-01,128.31
2010-02-01,128.45
2010-03-01,128.296
2010-04-01,128.101
2010-05-01,128.379
2010-06-01,128.56
2010-07-01,129.071
2010-08-01,129.138
2010-09-01,129.487
2010-10-01,129.696
2010-11-01,129.199
2010-12-01,129.119
2011-01-01,129.625
2011-02-01,129.969
2011-03-01,129.87
2011-04-01,130.272
2011-05-01,130.321
2011-06-01,130.481
2011-07-01,130.305
2011-08-01,130.447
2011-09-01,130.534
2011-10-01,130.476
2011-11-01,130.368
2011-12-01,130.31
2012-01-01,131.623
2012-02-01,132.103
2012-03-01,131.67
2012-04-01,131.744
2012-05-01,132.234
2012-06-01,132.569
2012-07-01,132.326
2012-08-01,132.019
2012-09-01,132.333
2012-10-01,132.444
2012-11-01,132.458
2012-12-01,132.63
2013-01-01,133.276
2013-02-01,134.094
2013-03-01,134.241
2013-04-01,134.453
2013-05-01,134.559
2013-06-01,134.508
2013-07-01,134.832
2013-08-01,134.778
2013-09-01,134.639
2013-10-01,134.848
2013-11-01,134.859
2013-12-01,135.11
2014-01-01,135.222
2014-02-01,135.398
2014-03-01,135.55
2014-04-01,135.451
2014-05-01,135.655
2014-06-01,135.295
2014-07-01,135.218
2014-08-01,136.026
2014-09-01,136.081
2014-10-01,136.191
2014-11-01,136.968
2014-12-01,136.528
2015-01-01,136.562
2015-02-01,136.844
2015-03-01,136.838
2015-04-01,136.667
2015-05-01,136.919
2015-06-01,136.176
2015-07-01,136.241
2015-08-01,136.374
2015-09-01,136.389
2015-10-01,137.433
2015-11-01,137.339
2015-12-01,136.864
2016-01-01,137.596
2016-02-01,138.295
2016-03-01,138.333
2016-04-01,138.331
2016-05-01,138.196
2016-06-01,138.042
2016-07-01,137.964
2016-08-01,137.91
2016-09-01,138.288
2016-10-01,139.059
2016-11-01,138.855
2016-12-01,138.852
2017-01-01,139.638
2017-02-01,139.697
2017-03-01,139.919
2017-04-01,140.203
2017-05-01,139.78
2017-06-01,139.636
2017-07-01,139.558
2017-08-01,139.887
2017-09-01,140.248
2017-10-01,140.682
2017-11-01,140.892
2017-12-01,140.693
2018-01-01,141.185
2018-02-01,141.826
2018-03-01,141.717
2018-04-01,141.932
2018-05-01,141.632
2018-06-01,141.891
2018-07-01,141.766
2018-08-01,141.743
2018-09-01,142.687
2018-10-01,142.958
2018-11-01,143.054
2018-12-01,142.658
2019-01-01,143.111
2019-02-01,143.587
2019-03-01,143.301
2019-04-01,143.241
2019-05-01,143.296
2019-06-01,143.627
2019-07-01,144.161
2019-08-01,144.266
2019-09-01,144.172
2019-10-01,143.928
2019-11-01,143.464
2019-12-01,143.313
2020-01-01,144.039
2020-02-01,144.683
2020-03-01,145.198
2020-04-01,146.52
2020-05-01,146.889
2020-06-01,146.473
2020-07-01,146.143
2020-08-01,146.208
2020-09-01,146.411
2020-10-01,147.169
2020-11-01,147.593
2020-12-01,147.437
2021-01-01,147.797
2021-02-01,148.195
2021-03-01,148.037
2021-04-01,148.369
2021-05-01,148.839
2021-06-01,149.65
2021-07-01,149.834
2021-08-01,150.259
2021-09-01,150.709
2021-10-01,150.663
2021-11-01,150.774
2021-12-01,150.525
2022-01-01,151.271
2022-02-01,152.604
2022-03-01,153.089
2022-04-01,153.707
2022-05-01,154.348
2022-06-01,154.985
2022-07-01,155.442
2022-08-01,156.151
2022-09-01,156.432
2022-10-01,157.738
2022-11-01,158.512
2022-12-01,159.279
2023-01-01,160.141
2023-02-01,160.204
2023-03-01,160.325
2023-04-01,161.097
2023-05-01,161.839
2023-06-01,162.025
2023-07-01,161.997
2023-08-01,162.158
2023-09-01,163.069
2023-10-01,163.511
2023-11-01,163.174
