"Date","CUURA422SAH1"
1952-12-01,17.9
1953-01-01,NA
1953-02-01,NA
1953-03-01,17.9
1953-04-01,NA
1953-05-01,NA
1953-06-01,18.1
1953-07-01,NA
1953-08-01,NA
1953-09-01,18.5
1953-10-01,NA
1953-11-01,NA
1953-12-01,18.4
1954-01-01,NA
1954-02-01,NA
1954-03-01,18.5
1954-04-01,NA
1954-05-01,NA
1954-06-01,18.5
1954-07-01,NA
1954-08-01,NA
1954-09-01,18.5
1954-10-01,NA
1954-11-01,NA
1954-12-01,18.6
1955-01-01,NA
1955-02-01,NA
1955-03-01,18.1
1955-04-01,NA
1955-05-01,NA
1955-06-01,18.1
1955-07-01,NA
1955-08-01,NA
1955-09-01,18.2
1955-10-01,NA
1955-11-01,NA
1955-12-01,18.4
1956-01-01,NA
1956-02-01,NA
1956-03-01,18.8
1956-04-01,NA
1956-05-01,NA
1956-06-01,19.2
1956-07-01,NA
1956-08-01,NA
1956-09-01,19.3
1956-10-01,NA
1956-11-01,NA
1956-12-01,19.5
1957-01-01,NA
1957-02-01,NA
1957-03-01,19.8
1957-04-01,NA
1957-05-01,NA
1957-06-01,19.8
1957-07-01,NA
1957-08-01,NA
1957-09-01,19.9
1957-10-01,NA
1957-11-01,NA
1957-12-01,20.3
1958-01-01,NA
1958-02-01,NA
1958-03-01,20.6
1958-04-01,NA
1958-05-01,NA
1958-06-01,20.8
1958-07-01,NA
1958-08-01,NA
1958-09-01,20.9
1958-10-01,NA
1958-11-01,NA
1958-12-01,21
1959-01-01,NA
1959-02-01,NA
1959-03-01,21.2
1959-04-01,NA
1959-05-01,NA
1959-06-01,21.2
1959-07-01,NA
1959-08-01,NA
1959-09-01,21.5
1959-10-01,NA
1959-11-01,NA
1959-12-01,21.7
1960-01-01,NA
1960-02-01,NA
1960-03-01,22
1960-04-01,NA
1960-05-01,NA
1960-06-01,22.2
1960-07-01,NA
1960-08-01,NA
1960-09-01,22.3
1960-10-01,NA
1960-11-01,NA
1960-12-01,22.4
1961-01-01,NA
1961-02-01,NA
1961-03-01,22.5
1961-04-01,NA
1961-05-01,NA
1961-06-01,22.5
1961-07-01,NA
1961-08-01,NA
1961-09-01,22.7
1961-10-01,NA
1961-11-01,NA
1961-12-01,22.7
1962-01-01,NA
1962-02-01,NA
1962-03-01,22.8
1962-04-01,NA
1962-05-01,NA
1962-06-01,22.9
1962-07-01,NA
1962-08-01,NA
1962-09-01,23
1962-10-01,NA
1962-11-01,NA
1962-12-01,23.1
1963-01-01,NA
1963-02-01,NA
1963-03-01,23.1
1963-04-01,NA
1963-05-01,NA
1963-06-01,23.4
1963-07-01,NA
1963-08-01,NA
1963-09-01,23.5
1963-10-01,NA
1963-11-01,NA
1963-12-01,23.9
1964-01-01,NA
1964-02-01,NA
1964-03-01,24
1964-04-01,NA
1964-05-01,NA
1964-06-01,24.1
1964-07-01,NA
1964-08-01,NA
1964-09-01,24.3
1964-10-01,NA
1964-11-01,NA
1964-12-01,24.5
1965-01-01,NA
1965-02-01,NA
1965-03-01,24.8
1965-04-01,NA
1965-05-01,NA
1965-06-01,24.9
1965-07-01,NA
1965-08-01,NA
1965-09-01,24.9
1965-10-01,NA
1965-11-01,NA
1965-12-01,25.1
1966-01-01,NA
1966-02-01,NA
1966-03-01,25.5
1966-04-01,NA
1966-05-01,NA
1966-06-01,25.8
1966-07-01,NA
1966-08-01,NA
1966-09-01,26.2
1966-10-01,NA
1966-11-01,NA
1966-12-01,26.5
1967-01-01,NA
1967-02-01,NA
1967-03-01,26.4
1967-04-01,NA
1967-05-01,NA
1967-06-01,27
1967-07-01,NA
1967-08-01,NA
1967-09-01,27.2
1967-10-01,NA
1967-11-01,NA
1967-12-01,27.5
1968-01-01,NA
1968-02-01,NA
1968-03-01,27.8
1968-04-01,NA
1968-05-01,NA
1968-06-01,28.8
1968-07-01,NA
1968-08-01,NA
1968-09-01,29.3
1968-10-01,NA
1968-11-01,NA
1968-12-01,29.7
1969-01-01,NA
1969-02-01,NA
1969-03-01,30.5
1969-04-01,NA
1969-05-01,NA
1969-06-01,31.2
1969-07-01,NA
1969-08-01,NA
1969-09-01,32.3
1969-10-01,NA
1969-11-01,NA
1969-12-01,32.9
1970-01-01,NA
1970-02-01,NA
1970-03-01,34
1970-04-01,NA
1970-05-01,NA
1970-06-01,34.4
1970-07-01,NA
1970-08-01,NA
1970-09-01,34.7
1970-10-01,NA
1970-11-01,NA
1970-12-01,35
1971-01-01,NA
1971-02-01,NA
1971-03-01,34.5
1971-04-01,NA
1971-05-01,NA
1971-06-01,34.5
1971-07-01,NA
1971-08-01,NA
1971-09-01,35.2
1971-10-01,NA
1971-11-01,NA
1971-12-01,35.8
1972-01-01,NA
1972-02-01,NA
1972-03-01,35.9
1972-04-01,NA
1972-05-01,NA
1972-06-01,36.6
1972-07-01,NA
1972-08-01,NA
1972-09-01,36.8
1972-10-01,NA
1972-11-01,NA
1972-12-01,37
1973-01-01,NA
1973-02-01,NA
1973-03-01,37.5
1973-04-01,NA
1973-05-01,NA
1973-06-01,37.3
1973-07-01,NA
1973-08-01,NA
1973-09-01,39.2
1973-10-01,NA
1973-11-01,NA
1973-12-01,39.1
1974-01-01,NA
1974-02-01,NA
1974-03-01,40.1
1974-04-01,NA
1974-05-01,NA
1974-06-01,40.9
1974-07-01,NA
1974-08-01,NA
1974-09-01,41.9
1974-10-01,NA
1974-11-01,NA
1974-12-01,43.8
1975-01-01,NA
1975-02-01,NA
1975-03-01,45.8
1975-04-01,NA
1975-05-01,NA
1975-06-01,45
1975-07-01,NA
1975-08-01,NA
1975-09-01,46.3
1975-10-01,NA
1975-11-01,NA
1975-12-01,47.7
1976-01-01,NA
1976-02-01,NA
1976-03-01,48.2
1976-04-01,NA
1976-05-01,NA
1976-06-01,48.5
1976-07-01,NA
1976-08-01,NA
1976-09-01,49.6
1976-10-01,NA
1976-11-01,NA
1976-12-01,50.6
1977-01-01,NA
1977-02-01,NA
1977-03-01,51.5
1977-04-01,NA
1977-05-01,NA
1977-06-01,52.6
1977-07-01,NA
1977-08-01,NA
1977-09-01,53.9
1977-10-01,NA
1977-11-01,NA
1977-12-01,56.6
1978-01-01,NA
1978-02-01,57.3
1978-03-01,NA
1978-04-01,58.2
1978-05-01,NA
1978-06-01,61.5
1978-07-01,NA
1978-08-01,64.3
1978-09-01,NA
1978-10-01,61.2
1978-11-01,NA
1978-12-01,59.2
1979-01-01,NA
1979-02-01,59.9
1979-03-01,NA
1979-04-01,61.5
1979-05-01,NA
1979-06-01,62
1979-07-01,NA
1979-08-01,64.7
1979-09-01,NA
1979-10-01,65.6
1979-11-01,NA
1979-12-01,70.8
1980-01-01,NA
1980-02-01,75.8
1980-03-01,NA
1980-04-01,74.5
1980-05-01,NA
1980-06-01,75.6
1980-07-01,NA
1980-08-01,75.9
1980-09-01,NA
1980-10-01,75.5
1980-11-01,NA
1980-12-01,77.8
1981-01-01,NA
1981-02-01,80.2
1981-03-01,NA
1981-04-01,86
1981-05-01,NA
1981-06-01,87
1981-07-01,NA
1981-08-01,96.2
1981-09-01,NA
1981-10-01,101.9
1981-11-01,NA
1981-12-01,97.9
1982-01-01,NA
1982-02-01,97
