"Date","CPGREN01USM659N"
1960-01-01,4.18604651162791
1960-02-01,2.76497695852534
1960-03-01,2.29357798165138
1960-04-01,2.29357798165138
1960-05-01,1.84331797235023
1960-06-01,2.76497695852534
1960-07-01,3.2258064516129
1960-08-01,3.19634703196347
1960-09-01,2.72727272727273
1960-10-01,0.896860986547085
1960-11-01,1.79372197309417
1960-12-01,1.33928571428571
1961-01-01,1.7857142857143
1961-02-01,1.79372197309417
1961-03-01,1.79372197309417
1961-04-01,-0.448430493273542
1961-05-01,0.452488687782805
1961-06-01,0
1961-07-01,0
1961-08-01,-0.442477876106195
1961-09-01,0
1961-10-01,0
1961-11-01,-0.440528634361233
1961-12-01,-1.3215859030837
1962-01-01,-1.31578947368422
1962-02-01,-0.440528634361233
1962-03-01,-0.881057268722466
1962-04-01,2.25225225225225
1962-05-01,1.35135135135135
1962-06-01,0.448430493273542
1962-07-01,-0.892857142857142
1962-08-01,-0.444444444444444
1962-09-01,0.884955752212402
1962-10-01,1.33333333333335
1962-11-01,0.442477876106195
1962-12-01,2.23214285714287
1963-01-01,1.77777777777779
1963-02-01,0.442477876106195
1963-03-01,0.888888888888888
1963-04-01,-0.881057268722466
1963-05-01,0
1963-06-01,0
1963-07-01,1.8018018018018
1963-08-01,0.892857142857142
1963-09-01,-0.877192982456152
1963-10-01,-0.438596491228082
1963-11-01,-0.440528634361233
1963-12-01,-0.873362445414859
1964-01-01,0
1964-02-01,-2.20264317180617
1964-03-01,-0.440528634361233
1964-04-01,0
1964-05-01,-0.444444444444444
1964-06-01,0.446428571428571
1964-07-01,-0.442477876106195
1964-08-01,0
1964-09-01,-0.442477876106195
1964-10-01,-0.881057268722466
1964-11-01,-0.442477876106195
1964-12-01,0
1965-01-01,-0.436681222707423
1965-02-01,2.25225225225225
1965-03-01,0.442477876106195
1965-04-01,1.77777777777779
1965-05-01,2.67857142857144
1965-06-01,2.22222222222223
1965-07-01,2.22222222222223
1965-08-01,1.76991150442479
1965-09-01,2.66666666666668
1965-10-01,2.22222222222223
1965-11-01,2.66666666666668
1965-12-01,1.76211453744495
1966-01-01,1.31578947368421
1966-02-01,2.20264317180618
1966-03-01,2.20264317180618
1966-04-01,0.873362445414847
1966-05-01,0.869565217391304
1966-06-01,1.30434782608696
1966-07-01,1.73913043478261
1966-08-01,1.30434782608696
1966-09-01,1.2987012987013
1966-10-01,1.73913043478261
1966-11-01,1.73160173160172
1966-12-01,1.73160173160172
1967-01-01,2.16450216450215
1967-02-01,2.15517241379309
1967-03-01,2.15517241379309
1967-04-01,3.46320346320345
1967-05-01,3.01724137931033
1967-06-01,2.1459227467811
1967-07-01,1.7094017094017
1967-08-01,2.57510729613733
1967-09-01,2.56410256410255
1967-10-01,2.13675213675212
1967-11-01,2.12765957446808
1967-12-01,1.70212765957447
1968-01-01,1.69491525423729
1968-02-01,1.68776371308017
1968-03-01,1.68776371308017
1968-04-01,0.418410041841004
1968-05-01,0.836820083682008
1968-06-01,1.68067226890756
1968-07-01,1.68067226890756
1968-08-01,1.67364016736402
1968-09-01,1.25
1968-10-01,1.67364016736402
1968-11-01,1.66666666666667
1968-12-01,1.67364016736402
1969-01-01,1.66666666666667
1969-02-01,1.2448132780083
1969-03-01,2.4896265560166
1969-04-01,3.75000000000001
1969-05-01,2.9045643153527
1969-06-01,3.30578512396695
1969-07-01,2.89256198347108
1969-08-01,2.46913580246915
1969-09-01,2.46913580246915
1969-10-01,2.880658436214
1969-11-01,2.04918032786886
1969-12-01,2.880658436214
1970-01-01,2.8688524590164
1970-02-01,2.8688524590164
1970-03-01,1.21457489878544
1970-04-01,2.40963855421687
1970-05-01,2.8225806451613
1970-06-01,1.2
1970-07-01,2.40963855421687
1970-08-01,2.00803212851406
1970-09-01,2.81124497991968
1970-10-01,3.6
1970-11-01,4.01606425702811
1970-12-01,4.8
1971-01-01,4.7808764940239
1971-02-01,4.7808764940239
1971-03-01,5.2
1971-04-01,2.35294117647059
1971-05-01,2.74509803921568
1971-06-01,3.95256916996047
1971-07-01,3.13725490196078
1971-08-01,5.51181102362204
1971-09-01,5.078125
1971-10-01,3.86100386100386
1971-11-01,3.08880308880309
1971-12-01,3.05343511450382
1972-01-01,2.6615969581749
1972-02-01,2.28136882129277
1972-03-01,2.6615969581749
1972-04-01,3.06513409961686
1972-05-01,3.43511450381679
1972-06-01,2.6615969581749
1972-07-01,3.04182509505703
1972-08-01,1.86567164179104
1972-09-01,2.60223048327137
1972-10-01,2.60223048327137
1972-11-01,3.74531835205992
1972-12-01,2.59259259259259
1973-01-01,3.7037037037037
1973-02-01,5.20446096654275
1973-03-01,5.18518518518518
1973-04-01,6.69144981412639
1973-05-01,6.6420664206642
1973-06-01,8.51851851851851
1973-07-01,8.1180811808118
1973-08-01,7.69230769230769
1973-09-01,6.52173913043478
1973-10-01,9.05797101449275
1973-11-01,12.6353790613718
1973-12-01,16.9675090252708
1974-01-01,22.1428571428572
1974-02-01,25.4416961130742
1974-03-01,30.2816901408451
1974-04-01,31.3588850174216
1974-05-01,32.8719723183391
1974-06-01,32.0819112627986
1974-07-01,33.4470989761092
1974-08-01,33.3333333333333
1974-09-01,33.6734693877551
1974-10-01,29.5681063122924
1974-11-01,25.3205128205128
1974-12-01,21.6049382716049
1975-01-01,16.3742690058479
1975-02-01,13.2394366197183
1975-03-01,8.91891891891892
1975-04-01,7.95755968169759
1975-05-01,7.29166666666666
1975-06-01,8.2687338501292
1975-07-01,9.71867007672634
1975-08-01,10.2040816326531
1975-09-01,10.941475826972
