"Date","CUURA101SA0L2"
1975-12-01,59.9
1976-01-01,NA
1976-02-01,NA
1976-03-01,60.5
1976-04-01,NA
1976-05-01,NA
1976-06-01,61.2
1976-07-01,NA
1976-08-01,NA
1976-09-01,62.2
1976-10-01,NA
1976-11-01,NA
1976-12-01,62.7
1977-01-01,NA
1977-02-01,NA
1977-03-01,63.7
1977-04-01,NA
1977-05-01,NA
1977-06-01,64.9
1977-07-01,NA
1977-08-01,NA
1977-09-01,65.3
1977-10-01,NA
1977-11-01,NA
1977-12-01,65.8
1978-01-01,66.1
1978-02-01,66.5
1978-03-01,67
1978-04-01,67.6
1978-05-01,68.1
1978-06-01,68.8
1978-07-01,68.8
1978-08-01,69
1978-09-01,69.4
1978-10-01,69.9
1978-11-01,70.1
1978-12-01,70.4
1979-01-01,70.8
1979-02-01,71.8
1979-03-01,72.4
1979-04-01,73.1
1979-05-01,73.8
1979-06-01,74.6
1979-07-01,75.3
1979-08-01,75.6
1979-09-01,76.5
1979-10-01,77.1
1979-11-01,77.3
1979-12-01,78
1980-01-01,79
1980-02-01,79.9
1980-03-01,81.1
1980-04-01,81.8
1980-05-01,82.1
1980-06-01,82.7
1980-07-01,83.4
1980-08-01,84.1
1980-09-01,84.9
1980-10-01,85.2
1980-11-01,85.7
1980-12-01,86.3
1981-01-01,87.2
1981-02-01,88.7
1981-03-01,89.4
1981-04-01,90.2
1981-05-01,90.4
1981-06-01,91.1
1981-07-01,92
1981-08-01,92.5
1981-09-01,93.4
1981-10-01,93.2
1981-11-01,93.3
1981-12-01,93.5
1982-01-01,94.1
1982-02-01,94.5
1982-03-01,94.7
1982-04-01,94.8
1982-05-01,95
1982-06-01,96.1
1982-07-01,96.4
1982-08-01,96.5
1982-09-01,97.2
1982-10-01,97.7
1982-11-01,97.3
1982-12-01,97.5
1983-01-01,97.7
1983-02-01,98
1983-03-01,98.1
1983-04-01,98.8
1983-05-01,99.1
1983-06-01,99.4
1983-07-01,99.7
1983-08-01,100
1983-09-01,101
1983-10-01,101.2
1983-11-01,101.3
1983-12-01,101.4
1984-01-01,102.5
1984-02-01,103.2
1984-03-01,103.6
1984-04-01,103.8
1984-05-01,103.6
1984-06-01,104
1984-07-01,104.4
1984-08-01,105
1984-09-01,105.5
1984-10-01,105.4
1984-11-01,105.6
1984-12-01,105.7
1985-01-01,105.9
1985-02-01,106.6
1985-03-01,106.9
1985-04-01,107.1
1985-05-01,107.2
1985-06-01,107.2
1985-07-01,107.2
1985-08-01,107.6
1985-09-01,108.3
1985-10-01,108.5
1985-11-01,109
1985-12-01,109.3
